Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
,,"Nov 21, 2025",$34.56,$0.00,,,Fixed price,,5
,,"Nov 26, 2025",$163.00,$3.50,,,Auction,,1
1821 NGC AU53 Capped Bust Half Dollar,116996093957,"Feb 17, 2026",$750.00,$0.00,,,Fixed price,https://www.ebay.com/itm/116996093957,1
1821 Cap Bust Half Dollar PCGS VF30,117017154745,"Feb 16, 2026",$300.00,$5.00,,,Fixed price,https://www.ebay.com/itm/117017154745,1
1821 Capped Bust Half Dollar ANACS XF40 Better Date Looks AU - O-106,117052058302,"Feb 27, 2026",$345.00,$6.99,,,Auction,https://www.ebay.com/itm/117052058302,1
1821 Capped Bust Silver Half Dollar (cn16472),117070082143,"Mar 31, 2026",$115.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117070082143,1
1821 CAPPED BUST HALF DOLLAR-higher Grade-toning-original,117088491986,"Mar 21, 2026",$115.50,$13.99,,,Auction,https://www.ebay.com/itm/117088491986,1
1821 Silver Half Dollar 50C Capped Bust Coin,117102113189,"Mar 27, 2026",$125.00,$8.10,,,Fixed price,https://www.ebay.com/itm/117102113189,1
,,"Dec 16, 2025",$290.00,$0.00,,,Fixed price,,1
"1821 Capped Bust Half Dollar NGC XF Details, Obverse Graffiti, Better Date Coin",127834235875,"May 4, 2026",$185.00,$4.50,,,Fixed price,https://www.ebay.com/itm/127834235875,1
1821 Capped Bust Half Dollar O-103 EF45 ANACS *3939,135473629586,"Feb 28, 2026",$446.00,$0.00,,,Fixed price,https://www.ebay.com/itm/135473629586,1
,,"Dec 4, 2025",$160.00,$0.00,,,Fixed price,,1
,,"Dec 18, 2025",$174.50,$0.00,,,Auction,,1
,,"Jan 6, 2026",$100.00,$4.87,,,Fixed price,,1
,,"Jan 18, 2026",$63.60,$0.00,,,Auction,,1
,,"Feb 5, 2026",$395.00,$5.07,,,Fixed price,,1
1821 50c Capped Bust Silver Half Dollar,137025793444,"Feb 16, 2026",$75.03,$0.00,,,Auction,https://www.ebay.com/itm/137025793444,1
1821 capped bust half dollar VERY FINE EX. FINE CONDITION,137231619703,"Apr 18, 2026",$120.00,$5.52,,,Fixed price,https://www.ebay.com/itm/137231619703,1
1821 50c Capped Bust Half Dollar ANACS EF40 Details (PAP004001),146480731340,"Mar 3, 2026",$351.00,$5.00,,,Fixed price,https://www.ebay.com/itm/146480731340,1
1821 0-104A Doubled Edge Lettering 50C Capped Bust Half Dollar PCGS MS92,146838830546,"Feb 18, 2026",$265.00,$0.00,,,Fixed price,https://www.ebay.com/itm/146838830546,1
,,"Jan 29, 2026",$152.06,$0.00,,,Fixed price,,1
,,"Jan 29, 2026",$259.99,$10.99,,,Fixed price,,1
,,"Nov 17, 2025",$90.00,$1.97,,,Auction,,1
,,"Dec 21, 2025",$89.00,$4.99,,,Auction,,1
,,"Dec 26, 2025",$182.00,$0.00,,,Fixed price,,1
,,"Jan 20, 2026",$110.50,$5.49,,,Auction,,1
1821 Capped Bust Half Dollar Choice VG 0-101a R.1 Great Eye Appeal Nice Strike,147163863897,"Feb 27, 2026",$114.50,$0.00,,,Auction,https://www.ebay.com/itm/147163863897,1
1821 50c Capped Bust Half Dollar,155173887430,"Apr 14, 2026",$225.00,$0.00,,,Fixed price,https://www.ebay.com/itm/155173887430,1
,,"Nov 17, 2025",$245.00,$5.00,,,Fixed price,,1
,,"Dec 26, 2025",$160.00,$0.00,,,Auction,,1
,,"Jan 4, 2026",$289.00,$5.50,,,Auction,,1
,,"Jan 11, 2026",$308.00,$4.25,,,Auction,,1
,,"Jan 17, 2026",$225.00,$0.00,,,Auction,,1
,,"Feb 4, 2026",$99.00,$0.00,,,Auction,,1
1821 Capped Bust Silver Half Dollar Scarce VF Early Silver 50c Type Coin,157685386919,"Feb 16, 2026",$150.00,$7.95,,,Fixed price,https://www.ebay.com/itm/157685386919,1
1821 Capped Bust Half Dollar United States Silver,157703530091,"Mar 2, 2026",$50.00,$4.99,,,Auction,https://www.ebay.com/itm/157703530091,1
1821 CAPPED BUST HALF DOLLAR,157735073264,"Mar 15, 2026",$99.00,$5.99,,,Auction,https://www.ebay.com/itm/157735073264,1
Item #1472 US 1821 Half Dollar F,157822776802,"Apr 16, 2026",$124.08,$0.00,,,Auction,https://www.ebay.com/itm/157822776802,1
1821 50c Capped Bust Half Dollar G Detail Tough Type Coin,157863479344,"May 2, 2026",$75.00,$8.60,,,Fixed price,https://www.ebay.com/itm/157863479344,1
,,"Dec 25, 2025","$2,350.00",$0.00,,,Fixed price,,1
1821 Capped Bust Half Dollar 50C Silver Philadelphia United States Coin,177890657066,"Mar 22, 2026",$79.99,$5.56,,,Fixed price,https://www.ebay.com/itm/177890657066,1
"1821 Capped Bust Half Dollar PCGS XF Details Scratch, Small but Visible",178084882619,"May 10, 2026",$235.00,$5.48,,,Fixed price,https://www.ebay.com/itm/178084882619,1
,,"Jan 18, 2026",$137.99,$0.00,,,Fixed price,,1
,,"Jan 13, 2026",$110.00,$0.00,,,Fixed price,,1
,,"Nov 20, 2025",$100.00,$8.10,,,Auction,,1
,,"Dec 20, 2025",$395.00,$0.00,,,Fixed price,,1
,,"Jan 12, 2026",$39.00,$0.00,,,Fixed price,,1
,,"Feb 11, 2026",$157.50,$5.29,,,Auction,,1
1821 Capped Bust Half Dollar 50c ANACS XF40 O-106 Better Date Dark Blue Toning,198081252675,"Feb 15, 2026",$287.09,$0.00,,,Auction,https://www.ebay.com/itm/198081252675,1
,,"Jan 18, 2026",$200.00,$0.00,,,Auction,,1
