Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
,,"Jan 8, 2026",$86.00,$4.76,,,Fixed price,,1
"1844-O SEATED LIBERTY silver U.S. half dollar. VG, edge bump filed. #q1",117152496524,"Apr 20, 2026",$42.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117152496524,1
1844-O SEATED LIBERTY HALF DOLLAR - BETTER GRADE!,126784534825,"Feb 10, 2026",$199.00,$3.00,,,Fixed price,https://www.ebay.com/itm/126784534825,1
1844-O Seated Liberty Half Dollar Silver Coin Beautiful Toning,126819630924,"Feb 27, 2026",$298.88,$0.00,,,Fixed price,https://www.ebay.com/itm/126819630924,1
1859-O Seated Liberty Half Dollar (minted in New Orleans) Fine,127413136239,"Feb 13, 2026",$90.00,$5.52,,,Fixed price,https://www.ebay.com/itm/127413136239,1
,,"Nov 8, 2025",$90.00,$8.50,,,Auction,,1
,,"Nov 22, 2025",$70.00,$0.00,,,Fixed price,,1
,,"Jan 4, 2026",$124.99,$0.00,,,Fixed price,,1
,,"Jan 12, 2026",$99.99,$0.00,,,Fixed price,,1
*VERY NICE LOOKING 1844-O SEATED LIBERTY HALF DOLLAR- ESTATE FRESH*,127754322498,"Mar 25, 2026",$152.50,$0.00,,,Auction,https://www.ebay.com/itm/127754322498,1
1844-o Seated Liberty Half Dollar ZM,127779845088,"Apr 8, 2026",$64.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127779845088,1
,,"Nov 1, 2025",$460.00,$0.00,,,Fixed price,,1
1844-O seated liberty half dollar,137127759527,"Mar 31, 2026",$71.00,$0.00,,,Fixed price,https://www.ebay.com/itm/137127759527,1
1844-O Seated Liberty Half Dollar,137197958318,"Apr 14, 2026",$100.00,$5.89,,,Auction,https://www.ebay.com/itm/137197958318,1
,,"Nov 3, 2025",$266.66,$4.99,,,Auction,,1
,,"Jan 19, 2026",$43.99,$0.00,,,Fixed price,,1
1844 O Seated Half Dollar 50C - US Silver Coin. Circulated,147185676148,"Mar 13, 2026",$56.25,$7.70,,,Fixed price,https://www.ebay.com/itm/147185676148,1
,,"Nov 21, 2025",$125.50,$2.43,,,Auction,,1
04/000005 L#4655 1844 O Seated Liberty Silver Half Dollar,157808190023,"Apr 5, 2026",$227.00,$0.00,,,Auction,https://www.ebay.com/itm/157808190023,1
,,"Dec 28, 2025",$76.00,$0.00,,,Auction,,1
,,"Dec 2, 2025",$113.00,$7.50,,,Fixed price,,1
1844-O Seated Liberty Half Dollar Beautiful High Grade Coin Rare Date,188025947385,"Feb 11, 2026",$162.50,$0.00,,,Auction,https://www.ebay.com/itm/188025947385,1
1844-O 50c Seated Liberty Half Dollar ~ AG,188089616228,"Feb 25, 2026",$45.00,$5.25,,,Fixed price,https://www.ebay.com/itm/188089616228,1
1844 O Seated Liberty Half Dollar Double Date PCGS Graded VG 10,198140011790,"Mar 1, 2026","$1,300.00",$0.00,,,Fixed price,https://www.ebay.com/itm/198140011790,1
,,"Dec 15, 2025",$291.20,$4.50,,,Auction,,1
,,"Jan 15, 2026",$102.50,$0.00,,,Auction,,1
1844 O Seated Liberty Half Dollar 90% Silver Damaged Scratches See Pics K725,206143267315,"Mar 27, 2026",$94.13,$3.95,,,Fixed price,https://www.ebay.com/itm/206143267315,1
1844-O 50c Seated Liberty Silver Half Dollar - RPD Repunched Date- VF/XF - Z6496,227203083191,"Feb 9, 2026",$202.66,$5.50,,,Auction,https://www.ebay.com/itm/227203083191,1
Lot (5) Seated Liberty Half Dollars 1844 O 1846 O 1856 O 1877 S Silver 50C Coins,236702827620,"Mar 29, 2026",$285.00,$4.95,,,Auction,https://www.ebay.com/itm/236702827620,1
,,"Jan 18, 2026",$675.00,$0.00,,,Fixed price,,1
,,"Dec 5, 2025",$130.50,$1.99,,,Fixed price,,1
,,"Nov 29, 2025",$232.50,$5.00,,,Auction,,1
,,"Jan 2, 2026",$35.99,$4.99,,,Fixed price,,1
"1844-O Seated Liberty Half Dollar — Circulated, Original Surfaces 🔥",257304306666,"Mar 8, 2026",$189.00,$0.00,,,Fixed price,https://www.ebay.com/itm/257304306666,1
,,"Jan 28, 2026",$36.01,$2.38,,,Auction,,1
1844 O Seated Liberty Silver Half Dollar 50C (Toning!),257350099859,"Feb 22, 2026",$196.28,$1.99,,,Fixed price,https://www.ebay.com/itm/257350099859,1
1844 O Seated Half Dollar 50C - US Silver Coin,257351112352,"Feb 13, 2026",$81.00,$7.95,,,Auction,https://www.ebay.com/itm/257351112352,1
1844-O Seated Liberty Silver Half Dollar 50c,257352387673,"Feb 16, 2026",$84.01,$2.48,,,Auction,https://www.ebay.com/itm/257352387673,1
1844-O Seated Liberty Half Dollar Good Condition,257420159772,"Mar 29, 2026",$59.00,$6.95,,,Auction,https://www.ebay.com/itm/257420159772,1
,,"Nov 29, 2025",$435.00,$0.00,,,Fixed price,,1
,,"Jan 25, 2026",$74.95,$0.00,,,Fixed price,,1
1844-O SS New York & 1853-O Arrow & Rays SS Republic Seated Half Dollars 50c NGC,267559433286,"Feb 3, 2026",$610.07,$0.00,,,Auction,https://www.ebay.com/itm/267559433286,1
,,"Nov 20, 2025",$134.40,$0.00,,,Fixed price,,1
1844-O Liberty Seated Half Dollar ANACS G 4 Details Scratched /Cleaned,287113679964,"Mar 12, 2026",$60.00,$8.10,,,Fixed price,https://www.ebay.com/itm/287113679964,1
,,"Jan 26, 2026",$100.00,$0.00,,,Fixed price,,1
1844-O 50C Seated Liberty Half Dollar ANACS VF 30 | Soap Box Repunched Date,304185209385,"Dec 13, 2025","$2,039.95",$35.00,,,Fixed price,https://www.ebay.com/itm/304185209385,1
Beautiful 1844 O Seated Liberty Half Dollar,306767199600,"Feb 19, 2026",$105.50,$3.33,,,Auction,https://www.ebay.com/itm/306767199600,1
,,"Dec 8, 2025",$199.95,$0.00,,,Fixed price,,1
,,"Nov 24, 2025",$59.95,$4.76,,,Fixed price,,1
,,"Nov 12, 2025","$1,899.00",$0.00,,,Fixed price,,1
