Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
1854-O 25c Seated Liberty Silver Quarter w/ Arrows - RAW - Nice Coin,257502974992,"May 13, 2026",$32.50,$5.00,,,Fixed price,https://www.ebay.com/itm/257502974992,1
"1854-O Seated Liberty Quarter Huge ""O"" FS-501 ANACS F 12 * Rare Key Date Variety",358523903564,"May 12, 2026","$1,048.00",$0.00,,,Auction,https://www.ebay.com/itm/358523903564,1
1854-O Seated Liberty Quarter - Cleaned,377162199049,"May 11, 2026",$94.00,$0.00,,,Auction,https://www.ebay.com/itm/377162199049,1
1854 O Seated Liberty Quarter Silver,800005241866,"May 11, 2026",$219.00,$5.97,,,Fixed price,https://www.ebay.com/itm/800005241866,1
1854-O New Orleans Mint Silver Seated Liberty Quarter,366386659800,"May 10, 2026",$18.51,$0.25,,,Auction,https://www.ebay.com/itm/366386659800,1
"1854 O Seated Liberty Quarter Poor Arrows, light scratches",336561314257,"May 10, 2026",$202.50,$5.95,,,Auction,https://www.ebay.com/itm/336561314257,1
1854-O Seated Liberty Quarter Fine Condition,257489770119,"May 10, 2026",$40.00,$17.73,,,Auction,https://www.ebay.com/itm/257489770119,1
1854-O Arrows Seated Liberty Quarter 25c US 90% Silver Coin #2,227325421766,"May 8, 2026",$23.50,$8.15,,,Auction,https://www.ebay.com/itm/227325421766,1
1854-O Arrows Seated Liberty Quarter 25c US 90% Silver Coin,227325420161,"May 8, 2026",$52.00,$8.15,,,Auction,https://www.ebay.com/itm/227325420161,1
1854 O New Orleans Seated Liberty 25C Fine Silver Quarter Dollar Coin Arrows,406897525366,"May 8, 2026",$25.06,$3.00,,,Auction,https://www.ebay.com/itm/406897525366,1
"1854 ""O"" Seated Liberty Quarter *ARROWS* 25c PCGS VF30 #291 Very Fine ECC&C, Inc",206198444197,"May 7, 2026",$125.00,$0.00,,,Fixed price,https://www.ebay.com/itm/206198444197,1
SEATED LIBERTY QUARTER LOT F*. FULL LIBERTY X3 -1854-O 1854-O 1853P*SEE,389944898236,"May 2, 2026",$106.50,$5.00,,,Auction,https://www.ebay.com/itm/389944898236,1
1854-O New Orleans Mint Silver Seated Liberty Quarter with Arrows,366370021300,"May 2, 2026",$51.02,$4.65,,,Auction,https://www.ebay.com/itm/366370021300,1
1854 o seated liberty silver quarter,168327618498,"May 1, 2026",$14.95,$5.25,,,Auction,https://www.ebay.com/itm/168327618498,1
1854-O Seated Liberty Quarter 25C ANACS EF40 DETAILS NICE BETTER GRADE COIN!!,206074910476,"Apr 28, 2026",$107.99,$0.00,,,Fixed price,https://www.ebay.com/itm/206074910476,1
SS CENTRAL AMERICA SHIPWRECK 1854-O SEATED LIB QUARTER & GOLD PINCH PCGS VF 35,178087418830,"Apr 28, 2026",$625.00,$0.00,,,Fixed price,https://www.ebay.com/itm/178087418830,1
Nice 1854-O Seated Liberty Silver Quarter Free US Shipping,397848012472,"Apr 26, 2026",$52.00,$0.00,,,Auction,https://www.ebay.com/itm/397848012472,1
1854-o Seated Liberty Quarter. VG. 201054,365162734044,"Apr 25, 2026",$54.00,$4.99,,,Fixed price,https://www.ebay.com/itm/365162734044,1
1854 O Seated Liberty Silver Quarter Dollar Nice VG+ Y607,197969401054,"Apr 24, 2026",$56.00,$0.00,,,Fixed price,https://www.ebay.com/itm/197969401054,1
1854 O Seated Liberty Quarter F12 ANACS,137203171596,"Apr 22, 2026",$65.00,$0.00,,,Fixed price,https://www.ebay.com/itm/137203171596,1
"1854 O Seated Quarter ( good, very good )",377113619569,"Apr 21, 2026",$12.50,$5.99,,,Auction,https://www.ebay.com/itm/377113619569,1
Lot of 2x SEATED LIBERTY Silver Quarters 25C: 1854 O with Arrows & 1877 *SCARCE*,257454617769,"Apr 19, 2026",$53.00,$0.00,,,Auction,https://www.ebay.com/itm/257454617769,1
1854-O New Orleans Mint Silver Seated Liberty Quarter,236751197464,"Apr 18, 2026",$22.09,$0.25,,,Auction,https://www.ebay.com/itm/236751197464,1
1854 O New Orleans Seated Liberty Quarter - 90% Silver 25C Coin,277813744408,"Apr 18, 2026",$41.99,$5.00,,,Fixed price,https://www.ebay.com/itm/277813744408,1
ESTATE FIND 1854 O ARROWS SEATED LIBERTY QUARTER #K60129,198263037640,"Apr 17, 2026",$61.00,$3.95,,,Auction,https://www.ebay.com/itm/198263037640,1
Lot of 6 Seated Liberty Silver Quarters 25C (1856 1856-O 1857 1858 1859 1861),168298404226,"Apr 16, 2026",$310.00,$0.00,,,Auction,https://www.ebay.com/itm/168298404226,1
Lot of 4 Seated Liberty Quarter (1953 Arrows & Rays 1854 1854-O 1855),157822428171,"Apr 16, 2026",$339.56,$0.00,,,Auction,https://www.ebay.com/itm/157822428171,1
1854 O Seated Liberty Quarter Arrows Key Date New Orleans Mint Silver,168295351940,"Apr 15, 2026",$27.99,$5.25,,,Auction,https://www.ebay.com/itm/168295351940,1
1854 O Seated Liberty Quarter VG +,358403624927,"Apr 12, 2026",$36.00,$5.95,,,Auction,https://www.ebay.com/itm/358403624927,1
"1853, 1854-O, 1877, & 1891 25c Seated Liberty Silver Quarter Lot",257434137688,"Apr 11, 2026",$86.75,$4.25,,,Auction,https://www.ebay.com/itm/257434137688,1
(1) Beautiful Antique 1854-O Seated Liberty Quarter CHOICE G-GOOD BETTER DATE,177824279393,"Apr 9, 2026",$41.79,$0.00,,,Fixed price,https://www.ebay.com/itm/177824279393,1
"Rare 1854-O, Huge O Mint Mark, US 25C Seated Liberty Silver Quarter Dollar Coin",277846879484,"Apr 8, 2026",$821.20,$15.00,,,Auction,https://www.ebay.com/itm/277846879484,1
1854-O SEATED LIBERTY QUARTER ~ SOLID GOOD! QA,127600967524,"Apr 8, 2026",$34.99,$0.00,,,Fixed price,https://www.ebay.com/itm/127600967524,1
1854 - O Liberty Seated Quarter With Arrows XF Better Date Big O Variety,168184165391,"Apr 8, 2026",$90.00,$5.56,,,Fixed price,https://www.ebay.com/itm/168184165391,1
1854-O With Arrows Seated Liberty Quarter /B58,178016838304,"Apr 7, 2026",$16.61,$0.00,,,Auction,https://www.ebay.com/itm/178016838304,1
1854-O NGC & CAC AG3 Liberty Seated Quarter 25c New Orleans Mint - Toned Reverse,197974375500,"Apr 7, 2026",$175.00,$4.99,,,Fixed price,https://www.ebay.com/itm/197974375500,1
2 Seated Silver Liberty Half Dollars 1854-O Arrows & 1875 +Plus 1875 Quarter,386566174390,"Apr 7, 2026",$118.99,$0.00,,,Fixed price,https://www.ebay.com/itm/386566174390,1
"1854-O Seated Liberty Quarter, Arrows, New Orleans",358389304791,"Apr 5, 2026",$12.50,$3.25,,,Auction,https://www.ebay.com/itm/358389304791,1
