Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
"1855-S, Seated Liberty Half Dollar, RARE!!!, Raw, Fine Details",178193013113,"Jun 5, 2026",$800.00,$0.00,,,Fixed price,https://www.ebay.com/itm/178193013113,1
"Lot of 5 Seated Liberty Half Dollars 1855-O, 1856-O, 1858, 1876, 1876-S",298343963517,"May 29, 2026",$152.50,$5.48,,,Auction,https://www.ebay.com/itm/298343963517,1
1855 S Seated Liberty Half Dollar RARE!!!!!!!,298315944776,"May 26, 2026",$825.00,$7.00,,,Fixed price,https://www.ebay.com/itm/298315944776,1
50C 1855-S Arrows Seated Liberty Half Dollar Poor Condition * AvenueCoin,227344756325,"May 25, 2026",$227.00,$0.00,,,Auction,https://www.ebay.com/itm/227344756325,1
1855 S Seated Liberty Half Dollar RARE!!!!!!!,117200245084,"May 17, 2026",$120.00,$7.95,,,Fixed price,https://www.ebay.com/itm/117200245084,1
[Removed] Item 358497586784,358497586784,"May 5, 2026",$14.50,$9.99,,,Fixed price,,2
[Removed] Item 318227144850,318227144850,"May 2, 2026",$15.00,$9.99,,,Fixed price,,1
1855-S Arrows Liberty Seated Half Dollar - Key Date - PCGS Genuine XF Details,267413527267,"Apr 29, 2026","$2,400.00",$0.00,,,Fixed price,https://www.ebay.com/itm/267413527267,1
[Removed] Item 358478376254,358478376254,"Apr 25, 2026",$18.33,$9.99,,,Fixed price,,3
1855-S Seated Liberty Half Dollar,137178476175,"Apr 8, 2026",$450.00,$5.89,,,Auction,https://www.ebay.com/itm/137178476175,1
1855-S Seated Liberty Half Dollar Arrows at Date Damaged 5HEG,377023692435,"Mar 11, 2026",$445.00,$6.00,,,Fixed price,https://www.ebay.com/itm/377023692435,1
,,"Mar 11, 2026",$445.00,$6.00,,,Fixed price,,1
1855-S Arrows Seated Liberty Half Dollar 50C - Certified NGC AU Details - Rare,177871141847,"Mar 3, 2026","$2,600.00",$0.00,,,Fixed price,https://www.ebay.com/itm/177871141847,1
,,"Mar 3, 2026","$2,600.00",$0.00,,,Fixed price,,1
1855 S Seated Half Dollar ANACS Damaged VF30 Details Better Date,205469456917,"Feb 14, 2026","$1,688.00",$7.95,,,Fixed price,https://www.ebay.com/itm/205469456917,1
,,"Feb 14, 2026","$1,688.00",$7.95,,,Fixed price,,1
,,"Jan 29, 2026",$292.00,$3.00,,,Auction,,1
[Removed] Item 168004477226,168004477226,"Dec 30, 2025",$25.25,$0.00,,,Fixed price,,1
,,"Dec 28, 2025",$25.00,$0.00,,,Fixed price,,12
,,"Dec 28, 2025",$24.33,$0.00,,,Fixed price,,6
,,"Dec 14, 2025",$25.29,$0.00,,,Fixed price,,19
[Removed] Item 197839000146,197839000146,"Dec 3, 2025",$23.77,$0.00,,,Fixed price,,7
,,"Nov 28, 2025",$775.01,$0.00,,,Fixed price,,1
