Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
1855-P Arrows Seated Liberty Quarter Dollar Coin 90% Silver Very Nice Condition,117170325484,"May 17, 2026",$39.91,$6.36,,,Fixed price,https://www.ebay.com/itm/117170325484,1
1855 S Seated Liberty Half Dollar RARE!!!!!!!,117200245084,"May 17, 2026",$120.00,$7.95,,,Fixed price,https://www.ebay.com/itm/117200245084,1
"1855-O Seated Liberty Half Dollar w/ Arrows, (I#010)",117172588896,"May 6, 2026",$64.69,$0.00,,,Auction,https://www.ebay.com/itm/117172588896,1
[Removed] Item 358497586784,358497586784,"May 5, 2026",$14.50,$9.99,,,Fixed price,,2
"1855-O Seated Liberty Half Dollar w/ Arrows, Better New Orleans Mint",147280165665,"Apr 29, 2026",$49.99,$7.59,,,Fixed price,https://www.ebay.com/itm/147280165665,1
"1855-O Seated Liberty Half Dollar, Arrows, Tough New Orleans Issue, Choice XF++",358472929491,"Apr 28, 2026",$305.00,$3.25,,,Auction,https://www.ebay.com/itm/358472929491,1
Seat. Lib Half Dollar EF45. 1855-O/O 50c FS-501 RPM-1 W/B-102. (6717) Free Ship,168315245532,"Apr 27, 2026",$189.17,$0.00,,,Auction,https://www.ebay.com/itm/168315245532,1
Vintage 1855 Seated Liberty Half Dollar,236766901513,"Apr 26, 2026",$94.53,$6.00,,,Auction,https://www.ebay.com/itm/236766901513,1
"1855O, 1859O Seated Liberty Silver Half Dollars Low Grade 1942 Walking Liberty",188291523909,"Apr 25, 2026",$93.00,$0.00,,,Auction,https://www.ebay.com/itm/188291523909,1
1855 Arrows 50C Seated Liberty Half Dollar VG Details Cleaned J335,358320428451,"Apr 25, 2026",$47.00,$7.95,,,Fixed price,https://www.ebay.com/itm/358320428451,1
[Removed] Item 358478376254,358478376254,"Apr 25, 2026",$18.33,$9.99,,,Fixed price,,3
1855-O Arrows 50c Seated Liberty Half Dollar - Holed,306856062229,"Apr 23, 2026",$50.00,$0.00,,,Fixed price,https://www.ebay.com/itm/306856062229,1
