Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
1859 S Seated Liberty Dime 10c Pre-Civil War KEY Date 90% Silver US Coin CC29701,127831342196,"May 15, 2026",$700.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127831342196,1
1859-S Seated Liberty Dime PCGS AU Details Cleaned Mintage 60K,397292219267,"May 9, 2026","$2,546.00",$0.00,,,Fixed price,https://www.ebay.com/itm/397292219267,1
1859 S Seated Liberty Silver Dime- San Francisco,327099551561,"Apr 22, 2026",$425.99,$4.79,,,Fixed price,https://www.ebay.com/itm/327099551561,1
1859 Liberty Seated Dime *Free S/H After 1st Item*,336529638744,"Apr 19, 2026",$10.49,$0.83,,,Auction,https://www.ebay.com/itm/336529638744,1
1865-s Seated Liberty Half Dime. VG Detail. 209326,376600561299,"Apr 17, 2026",$99.00,$4.99,,,Fixed price,https://www.ebay.com/itm/376600561299,1
"RARE 1859-S VF+ SEATED DIME 60,000 MINTED TARNISHED",327000804776,"Mar 22, 2026",$849.95,$0.00,,,Fixed price,https://www.ebay.com/itm/327000804776,1
1859-S Seated Liberty Dime 60BA,377044703799,"Mar 19, 2026",$355.00,$6.00,,,Fixed price,https://www.ebay.com/itm/377044703799,1
"1859-S LIBERTY SEATED DIME - PCGS GENUINE G DETAILS, DAMAGE! RARE!",358258958432,"Feb 25, 2026",$325.00,$0.00,,,Fixed price,https://www.ebay.com/itm/358258958432,1
,,"Jan 25, 2026",$29.50,$4.99,,,Fixed price,,1
,,"Jan 3, 2026",$265.00,$6.00,,,Auction,,1
1859-S Liberty Seated Dime 10c,326772190571,"Dec 23, 2025",$624.99,$0.00,,,Fixed price,https://www.ebay.com/itm/326772190571,1
,,"Dec 10, 2025","$1,020.00",$0.00,,,Fixed price,,1
,,"Dec 8, 2025","$1,825.00",$0.00,,,Fixed price,,1
,,"Dec 4, 2025",$21.00,$4.99,,,Fixed price,,1
,,"Nov 16, 2025",$511.00,$10.65,,,Fixed price,,1
