Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
1860-O Seated Liberty Half Dollar Almost Uncirculated Cleaned W-725,116455295037,"Mar 30, 2026",$275.00,$8.30,,,Fixed price,https://www.ebay.com/itm/116455295037,1
,,"Jan 9, 2026",$989.00,$0.00,,,Fixed price,,1
,,"Nov 18, 2025",$391.20,$7.49,,,Auction,,1
1860 O Seated Liberty Dollar ~ Well Struck + Nice Eye Appeal ~ Graded PCGS XF 45,116877873580,"Mar 20, 2026","$1,661.00",$5.55,,,Fixed price,https://www.ebay.com/itm/116877873580,1
,,"Jan 18, 2026",$175.00,$5.00,,,Auction,,1
1860-O Seated Liberty Half Dollar - PCGS VF Details (Cleaned) - New Orleans Mint,117080205749,"Mar 17, 2026",$117.50,$5.45,,,Auction,https://www.ebay.com/itm/117080205749,1
1860 O NGC VF20 Seated Liberty Half Dollar,117126248717,"Apr 11, 2026",$140.00,$8.00,,,Fixed price,https://www.ebay.com/itm/117126248717,1
,,"Jan 14, 2026",$565.25,$0.00,,,Fixed price,,1
,,"Dec 25, 2025",$107.00,$0.00,,,Fixed price,,1
,,"Dec 18, 2025","$3,150.00",$0.00,,,Fixed price,,1
,,"Nov 30, 2025",$64.99,$0.00,,,Fixed price,,1
,,"Dec 4, 2025",$30.00,$4.76,,,Auction,,1
,,"Jan 27, 2026",$189.95,$5.19,,,Fixed price,,1
,,"Jan 12, 2026",$44.00,$1.16,,,Auction,,1
,,"Jan 20, 2026",$227.00,$9.75,,,Fixed price,,1
1860 O Seated Liberty Half Dollar 50C Ungraded 90% Silver US Coin CC29257,127681392462,"Mar 2, 2026",$369.99,$0.00,,,Fixed price,https://www.ebay.com/itm/127681392462,1
1860-O Seated Liberty Dollar - $1 PCGS G06 Good 6 Nice Coin!,127690444285,"Feb 20, 2026",$579.00,$5.77,,,Auction,https://www.ebay.com/itm/127690444285,1
"1860-O Seated Liberty Silver Dollar, 26.7g, $1 USA",127696315219,"Feb 27, 2026",$510.00,$10.64,,,Auction,https://www.ebay.com/itm/127696315219,1
1860 O Liberty Seated Dollar NGC VG 10 Freshly Graded,127705176701,"Feb 25, 2026",$449.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127705176701,1
1860-O Seated Liberty Dollar NGC AU53 - Rare Type Clear Details Luster Edge Tone,127717359716,"Mar 3, 2026","$1,125.00",$0.00,,,Fixed price,https://www.ebay.com/itm/127717359716,1
1860 O Seated Liberty Half Dollar 50C Ungraded 90% Silver US Coin CC29546,127724177524,"Mar 10, 2026",$127.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127724177524,1
1860 O $1 Seated Liberty Silver Dollar XF Cleaned,127792616888,"Apr 5, 2026",$479.99,$0.00,,,Fixed price,https://www.ebay.com/itm/127792616888,1
1860-O Seated Liberty Dollar $1 PCGS MS62,127812254074,"Apr 16, 2026","$3,399.00",$0.00,,,Fixed price,https://www.ebay.com/itm/127812254074,1
1860-O Seated Liberty Silver Dollar MS62 PCGS *6962,135184919829,"Feb 22, 2026","$3,562.00",$0.00,,,Fixed price,https://www.ebay.com/itm/135184919829,1
1860 O LIBERTY SEATED HALF DOLLAR NGC VERY CHOICE XF 45 ORIGINAL AND WHOLESOME,135573246344,"Mar 4, 2026",$350.00,$0.00,,,Fixed price,https://www.ebay.com/itm/135573246344,1
,,"Nov 8, 2025",$85.00,$0.00,,,Fixed price,,1
,,"Jan 11, 2026","$1,299.00",$5.99,,,Fixed price,,1
1860-O SILVER LIBERTY SEATED DOLLAR. CIRCULATED.,136996958624,"Feb 8, 2026",$170.50,$5.95,,,Auction,https://www.ebay.com/itm/136996958624,1
1860-O Seated Liberty Half Dollar Beautiful Tone *3644,137111757720,"Mar 13, 2026",$215.00,$0.00,,,Fixed price,https://www.ebay.com/itm/137111757720,1
1860-O Seated Liberty Half Dollar,137182081683,"Apr 9, 2026",$138.50,$1.86,,,Auction,https://www.ebay.com/itm/137182081683,1
,,"Dec 27, 2025","$2,250.00",$0.00,,,Fixed price,,1
,,"Jan 24, 2026",$650.00,$8.75,,,Fixed price,,1
,,"Nov 14, 2025",$165.00,$0.00,,,Fixed price,,1
"1860 O SEATED LIBERTY ""NO MOTTO"" DOLLAR NGC VERY CHOICE VERY FINE 30 NICE AND",146804740548,"Mar 9, 2026",$795.00,$0.00,,,Fixed price,https://www.ebay.com/itm/146804740548,1
,,"Nov 1, 2025",$660.25,$0.00,,,Fixed price,,1
,,"Nov 16, 2025",$57.88,$4.99,,,Auction,,1
,,"Dec 10, 2025",$707.25,$6.00,,,Fixed price,,1
,,"Jan 2, 2026",$603.25,$0.00,,,Fixed price,,1
,,"Dec 21, 2025",$54.52,$0.00,,,Auction,,1
,,"Jan 3, 2026",$498.75,$0.00,,,Fixed price,,1
1860 O Seated Liberty Silver Half Dollar,147185049633,"Mar 9, 2026",$70.00,$6.49,,,Auction,https://www.ebay.com/itm/147185049633,1
1860-o seated liberty half dollar,147215043455,"Mar 27, 2026",$201.50,$0.00,,,Auction,https://www.ebay.com/itm/147215043455,1
1860-O Seated Liberty Silver Dollar ($1) – New Orleans Mint,147257598003,"Apr 13, 2026",$325.00,$7.95,,,Fixed price,https://www.ebay.com/itm/147257598003,1
,,"Nov 2, 2025",$750.00,$0.00,,,Fixed price,,1
U.S 1860 O New Orleans Half Dollar $1/2 Seated Liberty Currency Siler Coin,155879270813,"Feb 12, 2026",$70.00,$0.00,,,Fixed price,https://www.ebay.com/itm/155879270813,1
1860-O Liberty Seated Dollar ICG AU53 FREE SHIPPING,156739640669,"Feb 2, 2026",$925.00,$0.00,,,Fixed price,https://www.ebay.com/itm/156739640669,1
1860-O 50c Seated Liberty Half Dollar ANACS AU 58 Details Cleaned,157336857720,"Jan 30, 2026",$475.00,$0.00,,,Fixed price,https://www.ebay.com/itm/157336857720,1
,,"Oct 31, 2025",$70.00,$5.00,,,Auction,,1
,,"Nov 16, 2025",$92.48,$4.75,,,Auction,,1
,,"Nov 22, 2025",$350.00,$4.76,,,Auction,,1
