Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
1869 Indian Head Cent 1c Circulated #99306,188169920716,"Apr 25, 2026",$53.99,$0.00,,,Fixed price,https://www.ebay.com/itm/188169920716,1
1869 Indian Head Cent Penny GOOD FREE SHIPPING E101 JCB,366180651865,"Apr 25, 2026",$56.19,$0.00,,,Fixed price,https://www.ebay.com/itm/366180651865,1
1869 1C NGC VF20 BN Indian Head One Cent Penny Semi-Key Date Coin,227305028633,"Apr 25, 2026",$249.99,$0.00,,,Fixed price,https://www.ebay.com/itm/227305028633,1
1869/69 RPD Indian Head Cent 1c ICG AU50 Details Environmental Damage,377043519552,"Apr 25, 2026",$551.99,$0.00,,,Fixed price,https://www.ebay.com/itm/377043519552,1
HS&C: 1869 Indian Head Penny/Cent XF - US Coin,358209662241,"Apr 25, 2026",$495.99,$14.95,,,Fixed price,https://www.ebay.com/itm/358209662241,1
"1869/9 Indian Head Cent Penny, Nice Strong Over-Date, VG++/Fine",406881812984,"Apr 25, 2026",$35.00,$5.00,,,Fixed price,https://www.ebay.com/itm/406881812984,1
"1869 Indian Head Cent Penny, Key Date",298237734152,"Apr 24, 2026",$109.25,$3.25,,,Auction,https://www.ebay.com/itm/298237734152,1
1869 Indian Cent Penny ---- Nice Coin ---- #PP586,306701336728,"Apr 24, 2026",$285.00,$3.95,,,Fixed price,https://www.ebay.com/itm/306701336728,1
1869 FULL DATE Indian Head Cent Penny ABOUT GOOD,226585041170,"Apr 24, 2026",$46.00,$0.00,,,Fixed price,https://www.ebay.com/itm/226585041170,4
56 Indian Cent Set 1857 1858 1861 1968 1869 1870 1871 1872 1875 1876 1878-1909,198270887654,"Apr 24, 2026",$531.00,$0.00,,,Fixed price,https://www.ebay.com/itm/198270887654,1
1870 Indian Head Cent #K59571,198281378465,"Apr 24, 2026",$30.00,$0.50,,,Auction,https://www.ebay.com/itm/198281378465,1
"1869 INDIAN HEAD CENT,NICE TOUGHER COIN!!!!(A4)",358463667619,"Apr 24, 2026",$45.00,$0.99,,,Auction,https://www.ebay.com/itm/358463667619,1
1869 Philadelphia Mint Indian Head Cent Semi KEY Double Profile,226651883849,"Apr 24, 2026",$59.95,$4.95,,,Fixed price,https://www.ebay.com/itm/226651883849,1
1869 Indian Head Cent 1c Better Grade Details #78697,187908144957,"Apr 24, 2026",$46.97,$0.00,,,Fixed price,https://www.ebay.com/itm/187908144957,1
1869 Indian Cent Good+ details Cull,157855659063,"Apr 23, 2026",$19.99,$0.99,,,Fixed price,https://www.ebay.com/itm/157855659063,1
1869/69 Indian Head One Cent Penny 1c RPD Good Details,327118044359,"Apr 23, 2026",$135.00,$0.00,,,Fixed price,https://www.ebay.com/itm/327118044359,1
1869 INDIAN HEAD CENT NICE KEY DATE COIN!! #30,257362602702,"Apr 23, 2026",$70.95,$6.95,,,Fixed price,https://www.ebay.com/itm/257362602702,1
1869 US Indian Head Cent - CULL / Hole FIller / Dug Up Relic,227314017143,"Apr 23, 2026",$4.95,$0.79,,,Fixed price,https://www.ebay.com/itm/227314017143,1
1869 Indian Head Cent ANACS VF35,377083270498,"Apr 22, 2026",$385.00,$5.98,,,Fixed price,https://www.ebay.com/itm/377083270498,1
"1869/9 Indian Head Cent Penny, Nice Strong Over-Date, VG++/Fine",287249847228,"Apr 22, 2026",$33.40,$5.00,,,Fixed price,https://www.ebay.com/itm/287249847228,5
1869 Indian Head Copper Cent,188281627397,"Apr 22, 2026",$33.00,$8.10,,,Auction,https://www.ebay.com/itm/188281627397,1
1869 Indian Head Cent 1c Better Grade #43597,186291681279,"Apr 22, 2026",$95.00,$0.00,,,Fixed price,https://www.ebay.com/itm/186291681279,1
1869/9 Indian Head Cent - Nice F+/VF Penny; FS-301; Y094,157836162441,"Apr 22, 2026",$495.00,$0.00,,,Fixed price,https://www.ebay.com/itm/157836162441,1
1869 US Indian Head Cent! SEMI KEY DATE! VG/FINE! Hard to Find! Old US Coin!,366347961089,"Apr 21, 2026",$73.59,$0.00,,,Auction,https://www.ebay.com/itm/366347961089,1
1869 Indian Cent XF,377124643830,"Apr 21, 2026",$103.50,$4.99,,,Auction,https://www.ebay.com/itm/377124643830,1
1869 Indian Head Cent Low grade,406873763320,"Apr 21, 2026",$7.50,$0.00,,,Auction,https://www.ebay.com/itm/406873763320,1
1869 INDIAN CENT VF *details Indian head Cent High Grade Choice VF,377024564579,"Apr 21, 2026",$185.50,$5.56,,,Fixed price,https://www.ebay.com/itm/377024564579,1
1869 indian head penny,257463250343,"Apr 21, 2026",$97.96,$5.07,,,Fixed price,https://www.ebay.com/itm/257463250343,1
1869/9 Overdate Indian Head Cent 1c Nicely Circulated #100844,188295642432,"Apr 21, 2026",$189.99,$0.00,,,Fixed price,https://www.ebay.com/itm/188295642432,1
1869 indian head penny,257463276139,"Apr 20, 2026",$59.12,$5.22,,,Fixed price,https://www.ebay.com/itm/257463276139,1
"1868 P Indian Head Cent Penny Very Worn, But No Damagel - C9917",406666260386,"Apr 20, 2026",$18.95,$0.79,,,Fixed price,https://www.ebay.com/itm/406666260386,1
