Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
1870-S 50 CENTS SEATED LIBERTY HALF DOLLAR,188327114586,"May 15, 2026",$73.00,$7.00,,,Auction,https://www.ebay.com/itm/188327114586,1
1870-S 50c Seated Liberty Half Dollar,206261654339,"May 15, 2026",$137.50,$0.00,,,Auction,https://www.ebay.com/itm/206261654339,1
1870 S SEATED LIBERTY HALF DOLLAR ANACS VF 30 DETAILS CLEANED,286930073352,"May 15, 2026",$255.00,$7.00,,,Fixed price,https://www.ebay.com/itm/286930073352,1
1870 S Seated Liberty Half Dollar Nice!,298246792829,"May 13, 2026",$225.00,$5.00,,,Fixed price,https://www.ebay.com/itm/298246792829,1
1870-S 50c Seated Liberty Half Dollar. Low Grade Circulated Example,227331448908,"May 8, 2026",$57.00,$0.00,,,Fixed price,https://www.ebay.com/itm/227331448908,1
1870 s seated liberty half dollar,168349459149,"May 5, 2026",$110.50,$5.97,,,Auction,https://www.ebay.com/itm/168349459149,1
1870-S Seated Liberty Silver Half Dollar 50C High Grade,336549048494,"Apr 27, 2026",$19.00,$9.99,,,Fixed price,https://www.ebay.com/itm/336549048494,1
"1870-s Seated Liberty Half Dollar, Better Date, Free shipping",376878552985,"Apr 23, 2026",$64.99,$0.00,,,Fixed price,https://www.ebay.com/itm/376878552985,1
Item #1468 US 1870-S Half Dollar VG,157822716050,"Apr 16, 2026",$100.00,$0.00,,,Auction,https://www.ebay.com/itm/157822716050,1
"1870-S Liberty Seated Half Dollar - Ch XF Details, Strongly Cleaned (#58265-L)",167282214608,"Apr 12, 2026",$468.00,$0.00,,,Fixed price,https://www.ebay.com/itm/167282214608,1
1870-S Seated Liberty Half Dollar,137185635870,"Apr 10, 2026",$129.01,$1.89,,,Auction,https://www.ebay.com/itm/137185635870,1
Item #1444 US 1870-S Half Dollar VF,157790941949,"Apr 3, 2026",$64.55,$0.00,,,Auction,https://www.ebay.com/itm/157790941949,1
1870-S Seated Liberty Half Dollar | ALMOST UNCIRCULATED,277084009651,"Mar 26, 2026",$885.00,$5.95,,,Fixed price,https://www.ebay.com/itm/277084009651,1
1870 S Seated Liberty 90% Silver Half Dollar Type 4 with Motto 020225 02dk,227233413856,"Mar 21, 2026",$79.95,$5.95,,,Fixed price,https://www.ebay.com/itm/227233413856,1
1870 S Seated Liberty Silver Half Dollar 50C High Grade,406784882923,"Mar 21, 2026",$19.99,$0.00,,,Fixed price,https://www.ebay.com/itm/406784882923,1
1870-S Seated Liberty Silver Half Dollar VF E281 TRUBY,137146324385,"Mar 20, 2026",$250.70,$0.00,,,Fixed price,https://www.ebay.com/itm/137146324385,1
1870-S F VF Seated Liberty Half Dollar Nice Looking Coin PSC,358265914591,"Mar 20, 2026",$175.00,$4.35,,,Fixed price,https://www.ebay.com/itm/358265914591,1
1870-S Seated Liberty Silver Half Dollar Rare Key Date San Francisco Mint Fine,389754413031,"Mar 18, 2026",$148.88,$0.00,,,Fixed price,https://www.ebay.com/itm/389754413031,1
[Removed] Item 406724364301,406724364301,"Mar 16, 2026",$24.00,$0.00,,,Fixed price,,3
1870-s Seated Liberty Half Dollar. Fine. 209588,365910686104,"Mar 15, 2026",$149.00,$4.99,,,Fixed price,https://www.ebay.com/itm/365910686104,1
1870-S Seated Liberty Half Dollar VF Attractive Circulated Silver Coin Late Die,366277224093,"Mar 15, 2026",$300.00,$0.00,,,Fixed price,https://www.ebay.com/itm/366277224093,1
1870-S SEATED HALF DOLLAR ~ SOLID XF ~ ORIGINAL LOOK!,277443150623,"Mar 14, 2026",$385.00,$0.00,,,Fixed price,https://www.ebay.com/itm/277443150623,1
"1870-S .50 ANACS AG 3 1800 Half Dollar, Liberty Seated Half, 50 Cents",354661821345,"Mar 10, 2026",$130.00,$5.00,,,Fixed price,https://www.ebay.com/itm/354661821345,1
1870-S PCGS AU53 Seated Liberty Half Dollar WB-2,358065734988,"Mar 10, 2026","$1,099.95",$0.00,,,Fixed price,https://www.ebay.com/itm/358065734988,1
1870-S Seated Liberty Silver Half Dollar 50C High Grade,287181209483,"Mar 9, 2026",$28.99,$0.00,,,Fixed price,https://www.ebay.com/itm/287181209483,4
1870-S SEATED LIBERTY HALF DOLLAR 50c COIN SAN FRANCISCO MINT NICE RARER DATE,335039683861,"Mar 8, 2026",$117.50,$0.00,,,Fixed price,https://www.ebay.com/itm/335039683861,1
[Removed] Item 287162060568,287162060568,"Mar 4, 2026",$28.00,$0.00,,,Fixed price,,2
1870 S SEATED LIBERTY HALF DOLLAR VF-,198135930657,"Mar 4, 2026",$88.89,$5.75,,,Auction,https://www.ebay.com/itm/198135930657,1
1870-S Seated Liberty 90% Silver Half Dollar ☆Type 4 W/Motto☆ High Grade Coin 🪙,358233073246,"Feb 25, 2026",$53.00,$3.99,,,Auction,https://www.ebay.com/itm/358233073246,1
1870-S Seated Liberty Silver Half Dollar 50C High Grade,406708459771,"Feb 23, 2026",$27.83,$0.00,,,Fixed price,https://www.ebay.com/itm/406708459771,6
"1870-S 50C SEATED HALF DOLLAR NGC XF DETAILS (HARSHLY) ""CLEANED"" #8405241-008",277734321091,"Feb 23, 2026",$265.00,$0.00,,,Fixed price,https://www.ebay.com/itm/277734321091,1
1870-S SEATED LIBERTY HALF DOLLAR PCGS XF40,147015697166,"Feb 20, 2026",$590.00,$9.00,,,Fixed price,https://www.ebay.com/itm/147015697166,1
