Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
"Whitman Classic® Coin Album - Trade Dollars: 1873-1878 (P, CC, & S Mints)",205909568281,"Jan 22, 2026",$41.95,$0.00,,,Fixed price,https://www.ebay.com/itm/205909568281,3
"1873-CC Trade Dollar – Rare, First Year of Series Carson City - AU Details",117022532363,"Feb 16, 2026","$1,756.20",$12.00,,,Auction,https://www.ebay.com/itm/117022532363,1
1873-CC Trade Silver Dollar Carson City Key Date Raw -,117078508477,"Mar 12, 2026",$680.00,$8.50,,,Auction,https://www.ebay.com/itm/117078508477,1
,,"Dec 18, 2025",$198.99,$9.98,,,Fixed price,,1
,,"Jan 24, 2026","$1,675.00",$0.00,,,Auction,,1
1873-CC Trade Silver Dollar Carson City Key Date Raw - Lot #39,157733954888,"Mar 10, 2026",$516.05,$5.29,,,Auction,https://www.ebay.com/itm/157733954888,1
trade dollars 1873-85 cc,168176908122,"Feb 24, 2026",$99.96,$15.00,,,Auction,https://www.ebay.com/itm/168176908122,1
,,"Dec 15, 2025",$125.00,$7.95,,,Fixed price,,5
,,"Feb 1, 2026",$539.99,$0.00,,,Fixed price,,1
,,"Dec 12, 2025",$699.99,$4.50,,,Fixed price,,1
,,"Dec 27, 2025","$2,499.00",$9.95,,,Fixed price,,1
,,"Dec 6, 2025","$4,300.00",$3.99,,,Fixed price,,1
,,"Dec 15, 2025","$1,750.00",$0.00,,,Fixed price,,1
1873 CC Trade Dollar Holed VF,287204207013,"Mar 14, 2026",$400.00,$5.07,,,Fixed price,https://www.ebay.com/itm/287204207013,1
1873-CC Trade Dollar VF Uncertified #500,297932384855,"Jan 20, 2026","$1,627.50",$0.00,,,Fixed price,https://www.ebay.com/itm/297932384855,1
,,"Dec 2, 2025",$137.77,$0.00,,,Fixed price,,1
,,"Jan 13, 2026",$208.77,$0.00,,,Fixed price,,1
1873 CC TRADE DOLLAR TRIBUTE 2 TROY OUNCES .999 FINE SILVER INTAGLIO MINT 39MM,317900277515,"Feb 20, 2026",$196.77,$0.00,,,Fixed price,https://www.ebay.com/itm/317900277515,1
1873 CC Trade Silver Dollar AU Details NGC $1 Coin SKU:I24288,366251512272,"Mar 9, 2026","$2,999.99",$0.00,,,Fixed price,https://www.ebay.com/itm/366251512272,1
1873 CC PCGS Genuine Cleaned VF Detail Trade Dollar,366320314472,"Apr 1, 2026",$900.00,$6.80,,,Fixed price,https://www.ebay.com/itm/366320314472,1
Key-date 1873-cc Silver TRADE Dollar. Carson City coin. (obverse scratch),377157616699,"May 2, 2026",$600.00,$0.00,,,Fixed price,https://www.ebay.com/itm/377157616699,1
1873 CC Trade Dollar Tribute 2 oz Silver High Relief Round Intaglio Mint,389942252510,"Apr 27, 2026",$195.00,$0.00,,,Fixed price,https://www.ebay.com/itm/389942252510,1
