Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
,,"Nov 3, 2025",$162.41,$7.90,,,Auction,,1
,,"Nov 23, 2025",$560.00,$0.00,,,Auction,,1
,,"Nov 30, 2025",$290.00,$0.00,,,Fixed price,,1
,,"Nov 28, 2025",$290.00,$0.00,,,Fixed price,,1
,,"Jan 6, 2026",$130.29,$6.25,,,Auction,,1
1877-S ~ Trade Dollar ~ Silver Coin,117023061720,"Feb 6, 2026",$199.00,$5.00,,,Auction,https://www.ebay.com/itm/117023061720,1
1877 S High Grade Trade Silver Dollar XF,117031967502,"Feb 18, 2026",$230.50,$0.00,,,Auction,https://www.ebay.com/itm/117031967502,1
1877-S NGC AU Details Silver Trade Dollar Lightly Toned,117044907457,"Feb 18, 2026",$375.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117044907457,1
"1877-S U. S. Trade Dollar $1 PCGS AU 58 (20+ Distinct Chinese ""Chop"" Marks! )",117049782083,"Feb 28, 2026",$635.00,$0.00,,,Auction,https://www.ebay.com/itm/117049782083,1
1877 S $1 US Silver Trade Dollar XF,117064402465,"Mar 12, 2026",$314.00,$9.63,,,Fixed price,https://www.ebay.com/itm/117064402465,1
1877-S Trade Dollar T$1 ~ PCGS UNC Details Cleaned Strong Strike,117093910190,"Mar 18, 2026",$475.00,$14.15,,,Fixed price,https://www.ebay.com/itm/117093910190,1
1877 S Trade Dollar MS 60 ANACS Details-Cleaned,117098742269,"Mar 30, 2026",$550.00,$36.91,,,Fixed price,https://www.ebay.com/itm/117098742269,1
"1877-S Trade Dollars AU58 ANACS, C-3 ""Broken Arrows"" TDV-33. Can combine ship.",117127882393,"Apr 5, 2026",$625.00,$6.00,,,Fixed price,https://www.ebay.com/itm/117127882393,1
"1877-S Trade Dollar XF45 NGC, JK-25, S/S tilted. Offering combined shipping.",117129545283,"Apr 19, 2026",$495.00,$6.00,,,Fixed price,https://www.ebay.com/itm/117129545283,1
1877-S Small S IIM/IIM Coxe-1.1 JK-13 Trade Dollar VF Offering combined shipping,117140001770,"Apr 13, 2026",$210.00,$6.00,,,Fixed price,https://www.ebay.com/itm/117140001770,1
1877-S Large S IIL/IIL Trade Dollar VF/XF cleaned. Offering combined shipping.,117143781077,"Apr 21, 2026",$250.00,$6.00,,,Fixed price,https://www.ebay.com/itm/117143781077,1
,,"Nov 2, 2025",$300.00,$0.00,,,Fixed price,,1
1877 S Trade Silver Dollar $1 -,126774008260,"Apr 1, 2026",$369.60,$5.00,,,Fixed price,https://www.ebay.com/itm/126774008260,1
,,"Nov 11, 2025",$340.00,$0.00,,,Fixed price,,1
,,"Dec 19, 2025",$300.00,$4.46,,,Fixed price,,1
,,"Nov 7, 2025",$170.00,$4.69,,,Fixed price,,1
,,"Dec 27, 2025",$390.00,$0.00,,,Fixed price,,1
,,"Nov 16, 2025",$160.50,$3.58,,,Auction,,1
,,"Jan 9, 2026",$277.00,$0.00,,,Fixed price,,1
,,"Jan 8, 2026",$149.00,$4.87,,,Fixed price,,1
,,"Jan 26, 2026",$260.00,$7.95,,,Auction,,1
1877-S Silver Trade Dollar NGC AU Details! Beautiful Coin with Sharp Details,127661780792,"Feb 9, 2026",$450.00,$0.00,,,Auction,https://www.ebay.com/itm/127661780792,1
1877-S Silver Trade Dollar coin graded Genuine XF Detail by PCGS.,127668208025,"Feb 19, 2026",$211.23,$5.77,,,Fixed price,https://www.ebay.com/itm/127668208025,1
1877-S $1 Trade Silver One Dollar - PCGS AU50 - San Francisco CC963,127671743907,"Feb 7, 2026",$600.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127671743907,1
1877-S Silver Trade Dollar NGC AU 58 Rare Valuable Coin Sharp Details Tone,127675807136,"Mar 16, 2026",$799.99,$0.00,,,Fixed price,https://www.ebay.com/itm/127675807136,1
US Coin 1877-S Trade Silver Dollar Historic Old West Coin NO RESERVE!,127723404868,"Mar 11, 2026",$376.00,$10.00,,,Auction,https://www.ebay.com/itm/127723404868,1
1877 S United States Silver Trade Dollar- Nice Coin PJ,127737180360,"Mar 14, 2026",$199.99,$0.00,,,Fixed price,https://www.ebay.com/itm/127737180360,1
1877-S TRADE DOLLAR VF DETAILS PJ,127737196443,"Mar 16, 2026",$239.99,$0.00,,,Fixed price,https://www.ebay.com/itm/127737196443,1
1877-S Trade Dollar~ Silver~ Nice XF++ condition~ Full Head~ Genuine~ Toned~,127738053617,"Mar 13, 2026",$280.00,$5.75,,,Fixed price,https://www.ebay.com/itm/127738053617,1
1877-S Trade Dollar PCGS VF30,127761828378,"Mar 29, 2026",$450.00,$5.75,,,Fixed price,https://www.ebay.com/itm/127761828378,1
US Coin 1877 S Trade Dollar Silver Seated Liberty NO RESERVE!,127774892800,"Apr 1, 2026",$285.00,$10.00,,,Auction,https://www.ebay.com/itm/127774892800,1
1877 S $1 Trade Dollar VG,127787934978,"Apr 4, 2026",$240.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127787934978,1
