Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
1879 - CC Morgan 90% Silver Dollar Uncirculated coins Collectible Series,389733206765,"Mar 15, 2026",$42.99,$0.00,,,Fixed price,https://www.ebay.com/itm/389733206765
1879-CC Morgan Dollar Carson City PCGS VF Details Gold Shield Freshly Graded,117057561590,"Mar 22, 2026",$449.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117057561590
1879-CC Morgan Dollar “Key Date” Carson City 1879-CC RARE Looks G6/VG,117089556673,"Mar 20, 2026",$232.50,$6.99,,,Auction,https://www.ebay.com/itm/117089556673
1879 CC Morgan Silver Dollar Premium Condition / VF - XF Great Detail,117101438298,"Mar 29, 2026",$350.00,$5.50,,,Auction,https://www.ebay.com/itm/117101438298
"1879-CC Carson City Morgan U.S. silver dollar. ICG XF40 details, cleaned. #104",117106169429,"Apr 3, 2026",$828.00,$0.00,,,Auction,https://www.ebay.com/itm/117106169429
1879-CC Morgan Silver Dollar *6080,127483299082,"Mar 7, 2026",$635.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127483299082
1879 CC MORGAN SILVER DOLLAR AG+/G DETAILS RARE KEY DATE CARSON CITY COIN,127642912978,"Mar 23, 2026",$230.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127642912978
1879 CC MORGAN SILVER DOLLAR F15 PCGS VALUE $600,127709244800,"Mar 6, 2026",$476.00,$5.00,,,Auction,https://www.ebay.com/itm/127709244800
1879 CC MORGAN SILVER DOLLAR VF+++/XF DETAILS KEY DATE CARSON CITY MINT COIN,127712776395,"Mar 31, 2026",$745.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127712776395
1879-CC Morgan Silver Dollar Details,127737171513,"Mar 21, 2026",$249.99,$0.00,,,Fixed price,https://www.ebay.com/itm/127737171513
1879-CC Morgan Dollar Tougher Date Carson City! #EHD5,136516885608,"Mar 27, 2026",$310.00,$0.00,,,Fixed price,https://www.ebay.com/itm/136516885608
1879-CC Morgan Silver Dollar Genuine ICG *5402,136525698741,"Mar 7, 2026",$485.00,$0.00,,,Fixed price,https://www.ebay.com/itm/136525698741
1879-CC Morgan Silver Dollar VG10 ICG Nice Tone *5493,136533757715,"Mar 11, 2026",$395.95,$0.00,,,Fixed price,https://www.ebay.com/itm/136533757715
1879-CC Morgan Silver Dollar $1 ANACS VG10 - Sweet original look!,136745531036,"Mar 12, 2026",$350.00,$0.00,,,Fixed price,https://www.ebay.com/itm/136745531036
1879-CC TOP-100 MORGAN SILVER DOLLAR VAM-3 CAPPED CC NGC XF45 01XXIA26,137105406515,"Mar 23, 2026","$2,185.00",$16.99,,,Fixed price,https://www.ebay.com/itm/137105406515
1879-CC MORGAN SILVER DOLLAR CIRCULATED ACTUAL COIN #8552,137127496080,"Apr 1, 2026",$184.86,$4.85,,,Fixed price,https://www.ebay.com/itm/137127496080
