Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
,,"Nov 13, 2025",$26.56,$10.98,,,Fixed price,
[Removed] Item 197747634849,197747634849,"Oct 30, 2025",$18.96,$10.00,,,Fixed price,
[Removed] Item 136838898422,136838898422,"Feb 2, 2026",$70.89,$0.00,,,Fixed price,
,,"Nov 4, 2025",$35.04,$0.00,,,Fixed price,
XF 1879 (P) Morgan Silver Dollar (1 coin),135244737572,"Jan 22, 2026",$59.67,$0.00,,,Fixed price,https://www.ebay.com/itm/135244737572
[Removed] Item 357722367278,357722367278,"Oct 19, 2025",$26.62,$0.00,,,Fixed price,
,,"Nov 24, 2025",$22.83,$0.00,,,Fixed price,
VF 1879 (P) Morgan Silver Dollar (1 coin),135753197595,"Jan 2, 2026",$56.65,$0.00,,,Fixed price,https://www.ebay.com/itm/135753197595
[Removed] Item 236501047169,236501047169,"Jan 18, 2026",$60.01,$0.00,,,Fixed price,
,,"Nov 12, 2025",$18.07,$0.00,,,Fixed price,
[Removed] Item 389062217380,389062217380,"Nov 25, 2025",$18.44,$0.00,,,Fixed price,
1879 S Morgan Silver Dollar $1 Brilliant Uncirculated BU 90% Silver,196284222133,"Apr 6, 2026",$171.01,$0.00,,,Fixed price,https://www.ebay.com/itm/196284222133
[Removed] Item 389105995740,389105995740,"Oct 23, 2025",$25.40,$0.00,,,Fixed price,
,,"Oct 14, 2025",$25.20,$0.00,,,Fixed price,
[Removed] Item 397587924719,397587924719,"Feb 21, 2026",$60.45,$0.00,,,Fixed price,
[Removed] Item 318027744827,318027744827,"Apr 3, 2026",$62.13,$0.00,,,Fixed price,
,,"Nov 8, 2025",$22.24,$4.99,,,Fixed price,
[Removed] Item 205997207643,205997207643,"Feb 3, 2026",$72.45,$0.00,,,Fixed price,
[Removed] Item 389044921045,389044921045,"Oct 24, 2025",$26.27,$0.00,,,Fixed price,
VF 1879-S Morgan Silver Dollar (1 coin),365117525088,"Jan 26, 2026",$49.45,$0.00,,,Fixed price,https://www.ebay.com/itm/365117525088
,,"Jan 17, 2026",$64.28,$0.00,,,Fixed price,
,,"Nov 17, 2025",$33.71,$0.00,,,Fixed price,
,,"Nov 12, 2025",$22.41,$4.99,,,Fixed price,
[Removed] Item 317641079027,317641079027,"Dec 26, 2025",$23.10,$0.00,,,Fixed price,
[Removed] Item 136556309708,136556309708,"Dec 3, 2025",$24.00,$0.00,,,Fixed price,
,,"Nov 15, 2025",$33.99,$0.00,,,Fixed price,
[Removed] Item 317426098842,317426098842,"Oct 28, 2025",$19.52,$5.00,,,Fixed price,
[Removed] Item 205893772743,205893772743,"Jan 31, 2026",$207.26,$0.00,,,Fixed price,
1879 S US Morgan Silver Dollar $1 - NGC Brilliant Uncirculated,305612269931,"Mar 25, 2026",$65.19,$0.00,,,Fixed price,https://www.ebay.com/itm/305612269931
[Removed] Item 357793283500,357793283500,"Nov 12, 2025",$19.07,$0.00,,,Fixed price,
XF 1879-O Morgan Silver Dollar (1 coin),365921547794,"Jan 28, 2026",$61.07,$0.00,,,Fixed price,https://www.ebay.com/itm/365921547794
,,"Nov 18, 2025",$29.02,$0.00,,,Fixed price,
* 1879-S * CHOICE to GEM BU MS MORGAN SILVER DOLLAR * FROM ORIGINAL BANK BAG *,164709589360,"Apr 6, 2026",$204.86,$0.00,,,Fixed price,https://www.ebay.com/itm/164709589360
1879 Morgan Silver Dollar San Francisco Mint-FAST SHIPPING,167948341090,"Feb 24, 2026",$67.08,$0.00,,,Fixed price,https://www.ebay.com/itm/167948341090
[Removed] Item 376573998022,376573998022,"Nov 17, 2025",$90.72,$0.00,,,Fixed price,
AU+ 1879 (P) Morgan Silver Dollar (1 coin),365515339427,"Jan 2, 2026",$56.89,$0.00,,,Fixed price,https://www.ebay.com/itm/365515339427
[Removed] Item 406709648387,406709648387,"Mar 27, 2026",$62.49,$0.00,,,Fixed price,
VF 1879-O Morgan Silver Dollar (1 coin),135244734039,"Jan 2, 2026",$58.51,$0.00,,,Fixed price,https://www.ebay.com/itm/135244734039
,,"Nov 16, 2025",$34.22,$0.00,,,Fixed price,
,,"Jan 25, 2026",$72.39,$0.00,,,Fixed price,
[Removed] Item 127509713280,127509713280,"Dec 2, 2025",$22.92,$0.00,,,Fixed price,
1879 US Morgan Silver Dollar $1 - NGC Brilliant Uncirculated,375478620367,"Mar 25, 2026",$98.15,$0.00,,,Fixed price,https://www.ebay.com/itm/375478620367
,,"Oct 20, 2025",$93.03,$0.00,,,Fixed price,
,,"Nov 15, 2025",$27.43,$0.00,,,Fixed price,
[Removed] Item 366019837435,366019837435,"Dec 2, 2025",$22.84,$0.00,,,Fixed price,
,,"Nov 12, 2025",$18.38,$0.00,,,Fixed price,
,,"Nov 13, 2025",$25.87,$0.00,,,Fixed price,
[Removed] Item 365934835359,365934835359,"Oct 24, 2025",$34.45,$0.00,,,Fixed price,
,,"Nov 13, 2025",$22.70,$0.00,,,Fixed price,
VG/F 1879-O Morgan Silver Dollar (1 coin),126671178344,"Jan 24, 2026",$61.91,$0.00,,,Fixed price,https://www.ebay.com/itm/126671178344
[Removed] Item 197747634849,197747634849,"Oct 30, 2025",$18.88,$10.00,,,Fixed price,
1879 S Morgan Silver Dollar $1 Brilliant Uncirculated BU 90% Silver,196284222133,"Apr 8, 2026",$171.01,$0.00,,,Fixed price,https://www.ebay.com/itm/196284222133
[Removed] Item 136556309708,136556309708,"Dec 3, 2025",$23.95,$0.00,,,Fixed price,
[Removed] Item 389044921045,389044921045,"Oct 24, 2025",$25.96,$0.00,,,Fixed price,
,,"Nov 13, 2025",$26.48,$10.98,,,Fixed price,,393
VF 1879 (P) Morgan Silver Dollar (1 coin),135753197595,"Jan 2, 2026",$56.79,$0.00,,,Fixed price,https://www.ebay.com/itm/135753197595,99
[Removed] Item 197747634849,197747634849,"Oct 30, 2025",$18.91,$10.00,,,Fixed price,,63
[Removed] Item 357722367278,357722367278,"Oct 19, 2025",$26.67,$0.00,,,Fixed price,,46
,,"Nov 8, 2025",$22.80,$0.00,,,Fixed price,,43
1879 Year San Francisco Mint Mark Morgan Silver Dollar $1 US COIN,236669323009,"Apr 13, 2026",$62.70,$0.00,,,Fixed price,https://www.ebay.com/itm/236669323009,30
* 1879-S * CHOICE to GEM BU MS MORGAN SILVER DOLLAR * FROM ORIGINAL BANK BAG *,164709589360,"Apr 6, 2026",$205.48,$0.00,,,Fixed price,https://www.ebay.com/itm/164709589360,24
[Removed] Item 389044921045,389044921045,"Oct 24, 2025",$25.65,$0.00,,,Fixed price,,25
[Removed] Item 376573998022,376573998022,"Nov 17, 2025",$90.70,$0.00,,,Fixed price,,28
AU+ 1879 (P) Morgan Silver Dollar (1 coin),365515339427,"Jan 2, 2026",$57.14,$0.00,,,Fixed price,https://www.ebay.com/itm/365515339427,36
1879 US Morgan Silver Dollar $1 - NGC Brilliant Uncirculated,375478620367,"Mar 25, 2026",$99.11,$0.00,,,Fixed price,https://www.ebay.com/itm/375478620367,19
MS 1879-S MORGAN SILVER DOLLAR BEAUTIFULLY TONED COLLECTOR GRADE COIN M-1797,177798784772,"Apr 7, 2026",$91.10,$5.25,,,Fixed price,https://www.ebay.com/itm/177798784772,10
,,"Nov 18, 2025",$20.71,$0.00,,,Fixed price,,16
[Removed] Item 389212163226,389212163226,"Nov 19, 2025",$92.90,$0.00,,,Fixed price,,11
1879 Morgan Silver Dollar MS63 PCGS Blue Label,135191909688,"Feb 22, 2026",$132.87,$0.00,,,Fixed price,https://www.ebay.com/itm/135191909688,9
,,"Oct 22, 2025",$26.34,$0.00,,,Fixed price,,9
[Removed] Item 317576244642,317576244642,"Dec 1, 2025",$22.38,$0.00,,,Fixed price,,9
[Removed] Item 357793288485,357793288485,"Nov 11, 2025",$19.41,$0.00,,,Fixed price,,11
VG/F 1879 (P) Morgan Silver Dollar (1 coin),127139093055,"Jan 15, 2026",$64.42,$0.00,,,Fixed price,https://www.ebay.com/itm/127139093055,38
1879 O Morgan Silver Dollar $1 Brilliant Uncirculated BU 90% Silver,196257842619,"Apr 10, 2026",$267.48,$0.00,,,Fixed price,https://www.ebay.com/itm/196257842619,8
1879-S Morgan Silver Dollar MS64 PCGS,362734320998,"Mar 8, 2026",$147.00,$0.00,,,Fixed price,https://www.ebay.com/itm/362734320998,9
1879 O Morgan Dollar VF Very Fine 90% Silver $1 US Coin Collectible,365683745997,"Jan 24, 2026",$81.49,$0.00,,,Fixed price,https://www.ebay.com/itm/365683745997,8
,,"Nov 2, 2025",$20.10,$0.00,,,Fixed price,,8
[Removed] Item 389275120678,389275120678,"Dec 6, 2025",$18.13,$0.00,,,Fixed price,,14
AU+ 1879-O Morgan Silver Dollar (1 coin),126227206194,"Mar 7, 2026",$70.70,$5.28,,,Fixed price,https://www.ebay.com/itm/126227206194,7
,,"Nov 13, 2025",$21.54,$0.00,,,Fixed price,,7
,,"Dec 1, 2025",$17.42,$0.00,,,Fixed price,,19
1879 S Morgan Dollar Uncirculated Silver $1 Coin,365846546258,"Jan 22, 2026",$104.42,$0.00,,,Fixed price,https://www.ebay.com/itm/365846546258,7
3 Types 1794 Flowing Hair 1877 Trade Dollar 1879 Morgan Silver Dollar COPY Coins,376925471584,"Feb 23, 2026",$8.59,$1.50,,,Fixed price,https://www.ebay.com/itm/376925471584,10
VG/F 1879-S Morgan Silver Dollar (1 coin),126671178390,"Dec 29, 2025",$49.34,$0.00,,,Fixed price,https://www.ebay.com/itm/126671178390,7
AU 1879-O MORGAN SILVER DOLLAR NICELY TONED QUALITY COLLECTOR GRADE COIN M-1764,177798782081,"Mar 31, 2026",$86.83,$5.25,,,Fixed price,https://www.ebay.com/itm/177798782081,6
[Removed] Item 205811575845,205811575845,"Nov 29, 2025",$22.95,$3.99,,,Fixed price,,6
,,"Oct 28, 2025",$31.71,$0.00,,,Fixed price,,14
[Removed] Item 317584968774,317584968774,"Dec 6, 2025",$19.41,$0.00,,,Fixed price,,8
[Removed] Item 357625813476,357625813476,"Dec 7, 2025",$90.00,$0.00,,,Fixed price,,7
,,"Nov 10, 2025",$21.23,$7.00,,,Fixed price,,6
EF 1879 MORGAN SILVER DOLLAR NICE DETAIL COLLECTOR GRADE COIN M-1338,116953905234,"Feb 4, 2026",$72.00,$5.25,,,Fixed price,https://www.ebay.com/itm/116953905234,5
XF 1879-S Morgan Silver Dollar (1 coin),127139093781,"Jan 26, 2026",$59.67,$0.00,,,Fixed price,https://www.ebay.com/itm/127139093781,7
[Removed] Item 127436443122,127436443122,"Oct 23, 2025",$22.73,$0.00,,,Fixed price,,5
,,"Nov 20, 2025",$23.25,$4.99,,,Fixed price,,6
BU/Unc 1879-S Morgan Silver Dollar (1 coin),133331306875,"Jan 18, 2026",$82.30,$0.00,,,Fixed price,https://www.ebay.com/itm/133331306875,15
,,"Mar 11, 2026",$69.40,$0.00,,,Fixed price,,5
EF 1879-S MORGAN SILVER DOLLAR EXCELLENTEF DETAIL COLLECTOR QUALITY COIN M-1708,177743364037,"Mar 25, 2026",$79.40,$5.25,,,Fixed price,https://www.ebay.com/itm/177743364037,5
