Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
1882 Trade Silver Dollar *High Relief US Coin*,366486882306,"Jun 21, 2026",$68.96,$0.00,,,Fixed price,https://www.ebay.com/itm/366486882306,9
1882 Silver Trade Dollar $1 NGC PF 63,257546388056,"Jun 13, 2026","$3,700.00",$5.00,,,Fixed price,https://www.ebay.com/itm/257546388056,1
1882 Seated Liberty Trade Dollar PR62 CAM ICG *6487,366349537294,"May 12, 2026","$3,506.00",$0.00,,,Fixed price,https://www.ebay.com/itm/366349537294,1
1882 US Trade Dollar Silver $1 Coin .900 Fine,366391242929,"May 11, 2026",$252.50,$5.97,,,Fixed price,https://www.ebay.com/itm/366391242929,1
1882 T$1 Proof Trade Dollar NGC PF64 Cameo - Sharp Mirrors,147287045647,"May 7, 2026","$4,857.00",$0.00,,,Auction,https://www.ebay.com/itm/147287045647,1
1882 CC Morgan Silver Dollar $1 PCGS MS64 Lot. H72,306884753454,"Apr 26, 2026",$409.00,$7.50,,,Auction,https://www.ebay.com/itm/306884753454,1
"Carson City Silver Dollars. 1878, 1879, 1881 And 1882",306892832905,"Apr 20, 2026","$1,000.00",$5.27,,,Fixed price,https://www.ebay.com/itm/306892832905,1
1882 O MORGAN SILVER DOLLAR HI GRADE GENUINE U.S. MINT RARE COIN 4043,267633596911,"Apr 15, 2026",$74.56,$0.00,,,Auction,https://www.ebay.com/itm/267633596911,1
1882 Morgan Silver Dollar Choice BU from Old Time Hoard,336513294672,"Apr 8, 2026",$63.00,$3.12,,,Auction,https://www.ebay.com/itm/336513294672,1
"1882 $1 PROOF TRADE DOLLAR - PCGS PR-62 CAM, CAMEO ATTRACTIVE DEEP MIRRORS!",358310546913,"Mar 31, 2026","$4,250.00",$0.00,,,Fixed price,https://www.ebay.com/itm/358310546913,1
TRADE DOLLAR CANADA SASKATCHEWAN SASKATOON BRIDGING 100 YEARS 1882-1982 #2,306128836542,"Mar 24, 2026",$2.74,$0.68,,,Fixed price,https://www.ebay.com/itm/306128836542,1
TRADE DOLLAR CANADA SASKATCHEWAN SASKATOON BRIDGING 100 YEARS 1882-1982,306128836545,"Mar 24, 2026",$2.74,$0.68,,,Fixed price,https://www.ebay.com/itm/306128836545,1
1882 $1 Trade Dollar PCGS PR 60 CAM,389736737335,"Mar 22, 2026","$3,745.00",$0.00,,,Fixed price,https://www.ebay.com/itm/389736737335,1
,,"Mar 22, 2026","$3,745.00",$0.00,,,Fixed price,,1
,,"Feb 3, 2026",$76.89,$0.00,,,Fixed price,,8
[Removed] Item 336390283364,336390283364,"Jan 17, 2026",$70.44,$0.00,,,Fixed price,,3
,,"Jan 10, 2026","$6,750.00",$0.00,,,Fixed price,,1
,,"Jan 5, 2026",$102.84,$4.69,,,Auction,,1
,,"Dec 25, 2025",$49.99,$0.00,,,Fixed price,,1
,,"Dec 16, 2025","$6,000.00",$7.80,,,Fixed price,,1
,,"Dec 10, 2025",$14.99,$8.75,,,Fixed price,,1
,,"Nov 25, 2025",$152.50,$7.50,,,Auction,,1
,,"Nov 18, 2025",$35.78,$0.00,,,Fixed price,,2
