Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
1883-CC Carson City Uncirculated GSA Morgan Silver Dollar,147289751307,"May 7, 2026",$57.64,$0.00,,,Fixed price,https://www.ebay.com/itm/147289751307,22
GSA Black Box & COA for 1883-CC Morgan Silver Dollar - Empty No Carson City Coin,117155876764,"May 7, 2026",$18.95,$0.00,,,Fixed price,https://www.ebay.com/itm/117155876764,14
1883-CC Morgan Dollar GSA Hoard Black Box & COA | No Coin,277712008492,"May 7, 2026",$13.34,$6.04,,,Fixed price,https://www.ebay.com/itm/277712008492,15
1883-CC Morgan Silver Dollar Carson City BU MS Details Nice Luster！！,389977426881,"May 7, 2026",$45.19,$0.00,,,Fixed price,https://www.ebay.com/itm/389977426881,7
,,"May 5, 2026",$59.99,$0.00,,,Fixed price,,4
,,"May 3, 2026",$59.99,$0.00,,,Fixed price,,18
1883 GSA COA Certificate Original Card for CC Morgan Silver Dollar (1card),363520259372,"May 2, 2026",$10.53,$0.00,,,Fixed price,https://www.ebay.com/itm/363520259372,30
,,"May 2, 2026",$59.99,$0.00,,,Fixed price,,9
[Removed] Item 358488468461,358488468461,"Apr 28, 2026",$56.80,$0.00,,,Fixed price,,5
* 1883-CC * CHOICE to GEM BU MS MORGAN SILVER DOLLAR * FROM ORIGINAL BANK BAG *,164709651226,"Apr 26, 2026",$506.81,$0.00,,,Fixed price,https://www.ebay.com/itm/164709651226,21
1883-CC Carson City Uncirculated GSA Morgan Silver Dollar with Box,366368936169,"Apr 26, 2026",$59.99,$0.00,,,Fixed price,https://www.ebay.com/itm/366368936169,4
1883-CC Carson City Uncirculated GSA Morgan Silver Dollar,406884576714,"Apr 26, 2026",$59.99,$0.00,,,Fixed price,https://www.ebay.com/itm/406884576714,4
1883CC GSA BOX AND CARD FOR A MORGAN SILVER DOLLAR COIN 1883 CC BOX & CARD ONLY,351968149213,"Apr 17, 2026",$29.99,$0.00,,,Fixed price,https://www.ebay.com/itm/351968149213,6
1883-CC $1 MORGAN SILVER ONE DOLLAR BOX & PAPERS INCLUDED,376828983671,"Apr 15, 2026",$380.00,$7.70,,,Fixed price,https://www.ebay.com/itm/376828983671,2
GSA Black Box & COA for 1883-CC Morgan Silver Dollar - Empty No Carson City Coin,116603212877,"Apr 10, 2026",$18.39,$0.00,,,Fixed price,https://www.ebay.com/itm/116603212877,95
"1883-CC Morgan Dollar - GSA no box - Ch BU Details, Light Toning OBS",117126270669,"Apr 5, 2026",$315.00,$12.00,,,Fixed price,https://www.ebay.com/itm/117126270669
"1883-CC GSA Morgan Dollar, Uncertified, Full Set, NR",117115035389,"Apr 4, 2026",$310.00,$7.00,,,Auction,https://www.ebay.com/itm/117115035389
"1883-CC Morgan Silver Dollar Coin, Raw Type, UNC Choice BU++ Carson City. M-56",137188622409,"Apr 4, 2026",$329.00,$12.50,,,Auction,https://www.ebay.com/itm/137188622409
1883-CC Morgan Dollar - GSA Hard Pack Numbered CoA - Ch BU (#59906-L),136022654591,"Apr 3, 2026",$415.00,$0.00,,,Fixed price,https://www.ebay.com/itm/136022654591
1883-CC Carson City Morgan Silver Dollar CAC MS64 GSA Treasure $1,127689966070,"Apr 2, 2026",$449.95,$0.00,,,Fixed price,https://www.ebay.com/itm/127689966070
1883-CC Morgan Silver Dollar In OGP And Certificate Of Authenticity,127760725534,"Mar 30, 2026",$296.00,$8.75,,,Auction,https://www.ebay.com/itm/127760725534
