Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
04/00000018 L#4157 1883 CC Morgan Silver Dollar Coin PCGS MS63 (tkj),157835996821,"Apr 18, 2026",$476.00,$0.00,,,Auction,https://www.ebay.com/itm/157835996821,1
1883 CC Carson City NGC MS63 PL - GSA Hoard Silver Morgan Dollar Vam 5C,267635935421,"Apr 18, 2026",$401.00,$7.55,,,Auction,https://www.ebay.com/itm/267635935421,1
1883-CC NGC MS63 Carson City Morgan Dollar,358406257513,"Apr 17, 2026",$325.00,$3.50,,,Fixed price,https://www.ebay.com/itm/358406257513,1
1883-CC Morgan Silver Dollar GSA MS63 ANACS w/ Box & COA 🔥 Priced to Move,127773073040,"Apr 17, 2026",$350.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127773073040,1
1883-CC NGC MS63 Carson City Morgan Dollar,306842865398,"Apr 15, 2026",$385.00,$8.95,,,Fixed price,https://www.ebay.com/itm/306842865398,1
1883-CC Morgan Silver Dollar PCGS MS63 – Brilliant Luster,168287023765,"Apr 11, 2026",$410.00,$5.07,,,Auction,https://www.ebay.com/itm/168287023765,1
1883-CC $1 Morgan Silver Dollar NGC MS63 GSA Hoard Carson City w/ Box & COA,277859473323,"Apr 9, 2026",$385.00,$0.00,,,Auction,https://www.ebay.com/itm/277859473323,1
1883-CC $1 Morgan Silver Dollar ANACS MS63 Proof-Like Choice BU Coin C4280,397793633101,"Apr 9, 2026",$391.99,$0.00,,,Auction,https://www.ebay.com/itm/397793633101,1
1883-CC Morgan Silver Dollar PCGS MS63 OGH PQ!!!,317181612032,"Apr 9, 2026",$398.00,$5.07,,,Fixed price,https://www.ebay.com/itm/317181612032,1
"1883-CC $1 MORGAN SILVER DOLLAR ""CARSON CITY"" NGC MS63 #8672755-007",277867718290,"Apr 9, 2026",$379.99,$0.00,,,Fixed price,https://www.ebay.com/itm/277867718290,1
"1883-CC GSA Morgan dollar, CACG MS63+ Frosty PQ, DKRC's DOLLAR DEAL WEDNESDAY!!!",206134403458,"Apr 8, 2026",$415.00,$0.00,,,Auction,https://www.ebay.com/itm/206134403458,1
1883-CC Morgan Silver Dollar GSA NGC Graded MS63 #429548-019 w/ Box & COA,306754239767,"Apr 8, 2026",$435.00,$0.00,,,Fixed price,https://www.ebay.com/itm/306754239767,1
1883 CC United States Morgan Silver Dollar PCGS MS63,257441248494,"Apr 8, 2026",$399.99,$0.00,,,Auction,https://www.ebay.com/itm/257441248494,1
1883 CC Carson City Morgan Silver Dollar GSA MS63 ANACS Certified,327078541775,"Apr 7, 2026",$360.00,$6.99,,,Auction,https://www.ebay.com/itm/327078541775,1
1883 CC Carson City $1 Morgan Silver Dollar NGC MS63 Brilliant Uncirculated Coin,377082547990,"Apr 6, 2026",$349.99,$0.00,,,Fixed price,https://www.ebay.com/itm/377082547990,1
1883-CC Morgan Silver Dollar PCGS MS63 Beautiful Gold Both Sides Toning Toned,137179236622,"Apr 5, 2026",$345.00,$6.99,,,Auction,https://www.ebay.com/itm/137179236622,1
"1883 CC Morgan Dollar $1 - GSA Holder - NGC MS63, Missing Box & Papers SKU#604",358392192490,"Apr 3, 2026",$342.99,$0.00,,,Fixed price,https://www.ebay.com/itm/358392192490,1
1883-CC MORGAN SILVER DOLLAR.. MS63 PCGS,366308734286,"Apr 3, 2026",$360.19,$7.00,,,Auction,https://www.ebay.com/itm/366308734286,1
1883-CC MORGAN SILVER DOLLAR GSA PCGS MS63–FROSTY WHITE LUSTER!,397419970411,"Apr 3, 2026",$375.00,$0.00,,,Fixed price,https://www.ebay.com/itm/397419970411,1
1883-CC Morgan Dollar MS63 PCGS,397591400224,"Apr 2, 2026",$289.36,$10.64,,,Fixed price,https://www.ebay.com/itm/397591400224,1
1883-CC Morgan Silver Dollar $1 PCGS MS63,306848530300,"Apr 1, 2026",$420.00,$5.45,,,Fixed price,https://www.ebay.com/itm/306848530300,1
1883 CC Morgan Silver Dollar ANACS MS63 ~ GSA Hoard,157794362037,"Mar 31, 2026",$365.00,$5.77,,,Fixed price,https://www.ebay.com/itm/157794362037,1
1883-CC GSA Hoard Morgan Silver Dollar Lustrous NGC MS63+,177974415538,"Mar 28, 2026",$445.00,$0.00,,,Auction,https://www.ebay.com/itm/177974415538,1
1883-CC Morgan Silver Dollar – NGC MS63 – GSA Hoard with Box & COA,127742686024,"Mar 26, 2026",$400.00,$5.77,,,Fixed price,https://www.ebay.com/itm/127742686024,1
1883 CC Morgan Silver Dollar $1 GSA Treasure MS63 PCGS,389566964242,"Mar 25, 2026",$380.00,$5.45,,,Fixed price,https://www.ebay.com/itm/389566964242,1
"1882-CC, 1883-CC, 1884-CC Morgan Silver Dollar NGC MS63 Matched-Grade Coin Set",168165000728,"Mar 24, 2026","$1,050.00",$0.00,,,Fixed price,https://www.ebay.com/itm/168165000728,1
1883-CC GSA Morgan Dollar $1 MS63 NGC Lens Only 31680,267610183158,"Mar 23, 2026",$333.00,$9.99,,,Auction,https://www.ebay.com/itm/267610183158,1
"silver dollar lot- 1883-CC Morgan Silver Dollar, GSA Hoard / NGC MS63",287225972749,"Mar 22, 2026",$536.70,$5.77,,,Fixed price,https://www.ebay.com/itm/287225972749,1
1883-CC Morgan Silver Dollar $1 – PCGS MS63 Green Rattler Holder – Carson City,406751847685,"Mar 22, 2026",$390.00,$10.00,,,Auction,https://www.ebay.com/itm/406751847685,1
GSA Hoard 1883-CC Morgan Silver Dollar MS63,306824336103,"Mar 22, 2026",$385.00,$0.00,,,Auction,https://www.ebay.com/itm/306824336103,1
1883-CC MS63 Morgan Silver Dollar,389756967545,"Mar 22, 2026",$320.00,$5.27,,,Fixed price,https://www.ebay.com/itm/389756967545,1
UNCIRCULATED 1883-CC MORGAN SILVER DOLLAR. GSA BLACK PAK. MS63 PCGS,198179814957,"Mar 22, 2026",$343.00,$7.00,,,Auction,https://www.ebay.com/itm/198179814957,1
1883-CC $1 CAC MS63 Morgan Silver Dollar Carson City GSA Pedigree Mint State 63,389736784715,"Mar 19, 2026",$346.00,$7.95,,,Auction,https://www.ebay.com/itm/389736784715,1
"1883-CC MS63 Silver Morgan Dollar NGC Graded, Uncirculated",188150228389,"Mar 19, 2026",$360.00,$0.00,,,Auction,https://www.ebay.com/itm/188150228389,1
1883-P $1 Morgan Silver Dollar NGC MS63 GSA Super Frosty NON CC GSA RARE DATE,188179405182,"Mar 18, 2026",$999.95,$0.00,,,Fixed price,https://www.ebay.com/itm/188179405182,1
Morgan Silver Dollar 1883 CC NGC Graded MS63. Beautiful Coin.,147174343153,"Mar 18, 2026",$379.00,$5.52,,,Fixed price,https://www.ebay.com/itm/147174343153,1
1883-CC MS63 PCGS Gold Shield GSA Hoard Morgan Silver Dollar,297922552409,"Mar 18, 2026",$375.00,$0.00,,,Fixed price,https://www.ebay.com/itm/297922552409,1
1883-CC $1 MS63 CAC OGH Morgan Silver Dollar - PCGS Old Green Holder,127749448744,"Mar 16, 2026",$459.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127749448744,1
1883-CC MORGAN DOLLAR GSA HOARD PCGS MS63,358270638597,"Mar 16, 2026",$383.00,$5.30,,,Fixed price,https://www.ebay.com/itm/358270638597,1
1883-CC Morgan Silver Dollar PCGS MS63 Reflective Each Side Contrast Close To PL,267598448099,"Mar 15, 2026",$365.00,$5.95,,,Auction,https://www.ebay.com/itm/267598448099,1
1883 CC MORGAN SILVER DOLLAR CERTIFIED MS63 GSA HOARD SMALL MINTAGE HIGH QUALITY,177940404061,"Mar 15, 2026",$319.00,$6.99,,,Auction,https://www.ebay.com/itm/177940404061,1
"1883-CC $1 MORGAN SILVER DOLLAR ""CARSON CITY"" NGC MS63 #8672755-006",277801294874,"Mar 14, 2026",$399.99,$0.00,,,Fixed price,https://www.ebay.com/itm/277801294874,1
1883-CC Morgan Silver Dollar – NGC MS63 – GSA Hoard,318004584540,"Mar 14, 2026",$350.00,$0.00,,,Fixed price,https://www.ebay.com/itm/318004584540,1
1883-CC Carson City Morgan Silver Dollar PCGGraded MS63 Gold Shield,397683427863,"Mar 13, 2026",$366.00,$0.00,,,Auction,https://www.ebay.com/itm/397683427863,1
1883-CC Morgan Dollar PCGS MS63 TraderBea Purple Core,277785703079,"Mar 13, 2026",$350.00,$5.29,,,Fixed price,https://www.ebay.com/itm/277785703079,1
"1883-CC GSA Hardpack Morgan dollar, NGC MS63, DKRC's DOLLAR DEAL WEDNESDAY!!!",206074564166,"Mar 11, 2026",$362.00,$0.00,,,Auction,https://www.ebay.com/itm/206074564166,1
1883 CC CAC Morgan Silver Dollar CAC MS63 Nice Frosty Coin,358290949770,"Mar 10, 2026",$390.00,$0.00,,,Auction,https://www.ebay.com/itm/358290949770,1
1883-CC MORGAN DOLLAR GSA HOARD PCGS MS63,336439890876,"Mar 10, 2026",$385.00,$0.00,,,Fixed price,https://www.ebay.com/itm/336439890876,1
1883-CC $1 NGC MS63 PL Morgan Silver Dollar Proof-like Carson City,227159238678,"Mar 9, 2026",$469.99,$0.00,,,Fixed price,https://www.ebay.com/itm/227159238678,1
"1883 CC Morgan Dollar $1 Coin Silver, Graded MS63 by PCGS",147179744625,"Mar 8, 2026",$359.99,$0.00,,,Auction,https://www.ebay.com/itm/147179744625,1
