Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
1883-S San Francisco Mint Silver Morgan Dollar,267666115887,"May 17, 2026",$50.00,$5.99,,,Auction,https://www.ebay.com/itm/267666115887,1
"1879, 1880 O, 1881 S, 1883, and 1883 $1 Morgan Silver Dollars",137293091994,"May 17, 2026",$267.00,$0.00,,,Auction,https://www.ebay.com/itm/137293091994,1
"Lot (2) Better Date, High Grade Morgan Silver Dollars 1883 S 1884 S $1 Coins",236809778060,"May 17, 2026",$223.70,$1.91,,,Auction,https://www.ebay.com/itm/236809778060,1
1883-S $1 PCGS MS62 Morgan Silver Dollar 34165241,188393787708,"May 17, 2026","$2,050.00",$0.00,,,Fixed price,https://www.ebay.com/itm/188393787708,1
1883 s SILVER Morgan Dollar ICG VF30,188368631538,"May 17, 2026",$82.00,$5.28,,,Auction,https://www.ebay.com/itm/188368631538,1
05/00000016 L#3526 1883-S Morgan Silver Dollar (xrjz),800014781687,"May 16, 2026","$1,225.00",$0.00,,,Auction,https://www.ebay.com/itm/800014781687,1
1979 S Morgan Silver Dollar; Rev. Of '79. Note: Error: My 1893 O Is An 1883 O!!,178119880876,"May 16, 2026",$62.00,$5.62,,,Auction,https://www.ebay.com/itm/178119880876,1
1883 S XF AND 1884 S XF MORGAN DOLLAR,318276452048,"May 16, 2026",$157.65,$3.03,,,Auction,https://www.ebay.com/itm/318276452048,1
1883 S MORGAN DOLLAR CH AU+,198343141691,"May 16, 2026",$224.50,$3.86,,,Auction,https://www.ebay.com/itm/198343141691,1
"1883-S MORGAN SILVER DOLLAR, CH AU CLEANED NO OTHER PROBLEMS",336582522311,"May 16, 2026",$119.00,$5.58,,,Fixed price,https://www.ebay.com/itm/336582522311,1
Early - 1883-S Morgan Silver Dollar - 90% US Coin *371,127859733292,"May 16, 2026",$59.00,$0.00,,,Auction,https://www.ebay.com/itm/127859733292,1
1883-S Morgan Silver Dollar Coin-90% Silver,377173276121,"May 16, 2026",$64.97,$5.17,,,Auction,https://www.ebay.com/itm/377173276121,1
