Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
[Removed] Item 127417036452,127417036452,"Dec 3, 2025",$22.71,$0.00,,,Fixed price,
,,"Nov 15, 2025",$26.67,$9.98,,,Fixed price,
[Removed] Item 406128423882,406128423882,"Oct 14, 2025",$23.06,$0.00,,,Fixed price,
,,"Nov 25, 2025",$22.57,$0.00,,,Fixed price,
1885 O Morgan Dollar BU Uncirculated Mint State 90% Silver $1 US Coin,365409296909,"Mar 20, 2026",$112.90,$18.19,,,Fixed price,https://www.ebay.com/itm/365409296909
XF 1885 (P) Morgan Silver Dollar (1 coin),135244737799,"Feb 6, 2026",$73.74,$0.00,,,Fixed price,https://www.ebay.com/itm/135244737799
[Removed] Item 336289186257,336289186257,"Nov 26, 2025",$18.90,$0.00,,,Fixed price,
[Removed] Item 389234561994,389234561994,"Dec 2, 2025",$19.88,$0.00,,,Fixed price,
1885-CC Morgan Silver Dollar Carson City Mint Choice Uncirculated BU+,366247296955,"Apr 7, 2026",$64.64,$0.00,,,Fixed price,https://www.ebay.com/itm/366247296955
,,"Oct 27, 2025",$23.10,$0.00,,,Fixed price,
,,"Oct 20, 2025",$29.17,$0.00,,,Fixed price,
[Removed] Item 157392860889,157392860889,"Nov 3, 2025",$19.68,$0.00,,,Fixed price,
,,"Nov 14, 2025",$22.84,$4.99,,,Fixed price,
,,"Nov 22, 2025",$22.26,$0.00,,,Fixed price,
BU/Unc 1885-O Morgan Silver Dollar (1 coin),133125056058,"Feb 7, 2026",$74.96,$0.00,,,Fixed price,https://www.ebay.com/itm/133125056058
[Removed] Item 336263757402,336263757402,"Nov 10, 2025",$21.64,$0.00,,,Fixed price,
,,"Nov 13, 2025",$22.60,$0.00,,,Fixed price,
VG/F 1885 (P) Morgan Silver Dollar (1 coin),136592464140,"Jan 6, 2026",$49.67,$0.00,,,Fixed price,https://www.ebay.com/itm/136592464140
[Removed] Item 227017830055,227017830055,"Nov 3, 2025",$21.93,$0.00,,,Fixed price,
BU/Unc 1885 (P) Morgan Silver Dollar (1 coin),124632912023,"Jan 24, 2026",$87.45,$0.00,,,Fixed price,https://www.ebay.com/itm/124632912023
AU+ 1885 (P) Morgan Silver Dollar (1 coin),135875448686,"Jan 28, 2026",$60.50,$12.05,,,Fixed price,https://www.ebay.com/itm/135875448686
* 1885-O * CHOICE to GEM BU MS MORGAN SILVER DOLLAR * FROM ORIGINAL BANK BAG *,164716491689,"Apr 6, 2026",$142.45,$0.00,,,Fixed price,https://www.ebay.com/itm/164716491689
,,"Nov 8, 2025",$9.52,$0.00,,,Fixed price,
1885-O US Morgan Silver Dollar $1 - NGC Brilliant Uncirculated,404837029634,"Mar 20, 2026",$90.26,$0.00,,,Fixed price,https://www.ebay.com/itm/404837029634
* 1885-P * CHOICE to GEM BU MS MORGAN SILVER DOLLAR * FROM ORIGINAL BANK BAG *,154335525535,"Apr 6, 2026",$146.31,$0.00,,,Fixed price,https://www.ebay.com/itm/154335525535
,,"Nov 11, 2025",$22.09,$0.00,,,Fixed price,
,,"Nov 14, 2025",$18.83,$0.00,,,Fixed price,
,,"Dec 2, 2025",$18.98,$0.00,,,Fixed price,
,,"Nov 12, 2025",$21.91,$12.00,,,Fixed price,
1878-1904 MORGAN DOLLAR BU CHOICE UNCIRCULATED 🔥O MINT MARK 🔥 GEM COINS,364824758484,"Mar 30, 2026",$115.49,$13.64,,,Fixed price,https://www.ebay.com/itm/364824758484
[Removed] Item 197747641050,197747641050,"Nov 7, 2025",$19.99,$0.00,,,Fixed price,
1885 O Morgan Dollar BU Uncirculated Mint State 90% Silver $1 US Coin,257185385006,"Jan 12, 2026",$69.99,$0.00,,,Fixed price,https://www.ebay.com/itm/257185385006
1885 US Morgan Silver Dollar $1 - NGC Brilliant Uncirculated,406740429856,"Mar 26, 2026",$95.28,$0.00,,,Fixed price,https://www.ebay.com/itm/406740429856
,,"Nov 2, 2025",$23.86,$0.00,,,Fixed price,
,,"Nov 20, 2025",$23.52,$4.99,,,Fixed price,
VG/F 1885-S Morgan Silver Dollar (1 coin),126671178787,"Dec 12, 2025",$49.68,$0.00,,,Fixed price,https://www.ebay.com/itm/126671178787
VF 1885 (P) Morgan Silver Dollar (1 coin),127431025094,"Jan 12, 2026",$60.35,$0.00,,,Fixed price,https://www.ebay.com/itm/127431025094
[Removed] Item 157461578234,157461578234,"Nov 17, 2025",$22.59,$0.00,,,Fixed price,
[Removed] Item 397194196770,397194196770,"Oct 29, 2025",$29.39,$4.99,,,Fixed price,
1885 $1 Morgan Silver Dollar NGC MS63 Bullion Plus Label Bag Fragment,136999471340,"Feb 24, 2026",$110.55,$0.00,,,Fixed price,https://www.ebay.com/itm/136999471340
1885-O $1 Morgan Silver Dollar PCGS MS63 Blue Label,317916042428,"Mar 1, 2026",$106.90,$0.00,,,Fixed price,https://www.ebay.com/itm/317916042428
,,"Nov 16, 2025",$50.00,$0.00,,,Fixed price,
,,"Nov 12, 2025",$21.81,$4.99,,,Fixed price,
[Removed] Item 397150092249,397150092249,"Nov 22, 2025",$21.56,$0.00,,,Fixed price,
[Removed] Item 397601507112,397601507112,"Mar 3, 2026",$19.99,$0.00,,,Fixed price,
1885-O $1 Morgan Silver Dollar NGC MS63 Bullion Plus Label Bag Fragment,136999471341,"Mar 14, 2026",$110.21,$0.00,,,Fixed price,https://www.ebay.com/itm/136999471341
,,"Nov 16, 2025",$19.18,$0.00,,,Fixed price,
Morgan Silver Dollar Circulated $1 Coins Silver random years 1881-1898,198104946231,"Feb 15, 2026",$40.70,$6.06,,,Fixed price,https://www.ebay.com/itm/198104946231
[Removed] Item 286861092357,286861092357,"Oct 16, 2025",$23.12,$6.00,,,Fixed price,
[Removed] Item 306836778792,306836778792,"Mar 22, 2026",$40.64,$10.65,,,Fixed price,
1885-CC Morgan Silver Dollar Carson City Mint Choice Uncirculated BU+,366247296955,"Apr 8, 2026",$64.23,$0.00,,,Fixed price,https://www.ebay.com/itm/366247296955
[Removed] Item 127417036452,127417036452,"Dec 3, 2025",$22.72,$0.00,,,Fixed price,,181
1885 O Morgan Dollar BU Uncirculated Mint State 90% Silver $1 US Coin,365409296909,"Apr 9, 2026",$112.68,$18.19,,,Fixed price,https://www.ebay.com/itm/365409296909,45
1885-CC Morgan Silver Dollar Carson City Mint Choice Uncirculated BU+,366247296955,"Apr 13, 2026",$59.94,$0.00,,,Fixed price,https://www.ebay.com/itm/366247296955,48
,,"Oct 27, 2025",$23.22,$0.00,,,Fixed price,,18
BU/Unc 1885-O Morgan Silver Dollar (1 coin),133125056058,"Apr 9, 2026",$76.92,$0.00,,,Fixed price,https://www.ebay.com/itm/133125056058,28
[Removed] Item 227017830055,227017830055,"Nov 3, 2025",$21.88,$0.00,,,Fixed price,,26
BU/Unc 1885 (P) Morgan Silver Dollar (1 coin),124632912023,"Jan 24, 2026",$88.18,$0.00,,,Fixed price,https://www.ebay.com/itm/124632912023,31
* 1885-P * CHOICE to GEM BU MS MORGAN SILVER DOLLAR * FROM ORIGINAL BANK BAG *,154335525535,"Apr 6, 2026",$147.95,$0.00,,,Fixed price,https://www.ebay.com/itm/154335525535,10
,,"Jan 12, 2026",$69.99,$0.00,,,Fixed price,,9
1885-O US Morgan Silver Dollar $1 - NGC Brilliant Uncirculated,404837029634,"Mar 20, 2026",$100.63,$0.00,,,Fixed price,https://www.ebay.com/itm/404837029634,8
[Removed] Item 317519492853,317519492853,"Dec 2, 2025",$27.09,$0.00,,,Fixed price,,5
,,"Mar 12, 2026",$16.71,$10.00,,,Fixed price,,5
,,"Nov 10, 2025",$18.90,$0.00,,,Fixed price,,15
1885 GSA COA Certificate Original Card for CC Morgan Silver Dollar (1 card),127406884297,"Apr 7, 2026",$33.37,$0.00,,,Fixed price,https://www.ebay.com/itm/127406884297,5
VF 1885-O Morgan Silver Dollar (1 coin),127624060392,"Jan 28, 2026",$90.72,$0.00,,,Fixed price,https://www.ebay.com/itm/127624060392,13
,,"Nov 12, 2025",$15.99,$18.00,,,Fixed price,,16
1885-O $1 Morgan Silver Dollar,157393556397,"Jan 28, 2026",$119.75,$5.07,,,Fixed price,https://www.ebay.com/itm/157393556397,4
,,"Dec 26, 2025",$67.99,$13.48,,,Fixed price,,4
,,"Dec 1, 2025",$19.37,$30.00,,,Fixed price,,8
,,"Nov 10, 2025",$24.92,$0.00,,,Fixed price,,4
VG/F 1885-O Morgan Silver Dollar (1 coin),365575703985,"Jan 6, 2026",$52.45,$0.00,,,Fixed price,https://www.ebay.com/itm/365575703985,4
,,"Nov 13, 2025",$22.15,$0.00,,,Fixed price,,4
,,"Dec 17, 2025",$8.95,$1.50,,,Fixed price,,4
1885-O Morgan Silver Dollar NGC MS63 $1,389306324788,"Jan 22, 2026",$89.95,$0.00,,,Fixed price,https://www.ebay.com/itm/389306324788,5
,,"Nov 3, 2025",$14.58,$0.00,,,Fixed price,,24
[Removed] Item 406297538359,406297538359,"Nov 17, 2025",$20.67,$0.00,,,Fixed price,,4
1885 Morgan Silver Dollar MS65 NGC Brown Label,127406884114,"Mar 15, 2026",$189.98,$0.00,,,Fixed price,https://www.ebay.com/itm/127406884114,3
[Removed] Item 127454893238,127454893238,"Dec 1, 2025",$19.99,$0.00,,,Fixed price,,17
,,"Nov 20, 2025",$21.60,$0.00,,,Fixed price,,3
G/VG 1885-S Morgan Silver Dollar (1 coin),135241361794,"Jan 10, 2026",$57.97,$0.00,,,Fixed price,https://www.ebay.com/itm/135241361794,3
VF 1885-S Morgan Silver Dollar (1 coin),135244734432,"Jan 27, 2026",$66.62,$4.81,,,Fixed price,https://www.ebay.com/itm/135244734432,3
1885 MS64 Morgan Silver Dollar CACG -READ DESCRIPTION,146687502417,"Dec 27, 2025",$99.99,$0.00,,,Fixed price,https://www.ebay.com/itm/146687502417,3
1885-CC GSA Morgan Silver Dollar empty Box and COA card (NO COIN),177419935026,"Dec 27, 2025",$40.00,$0.00,,,Fixed price,https://www.ebay.com/itm/177419935026,4
,,"Nov 11, 2025",$24.88,$0.00,,,Fixed price,,6
[Removed] Item 177500614551,177500614551,"Oct 22, 2025",$23.22,$0.00,,,Fixed price,,3
1885-O $1 Morgan Silver Dollar NGC MS63 Brown Label,205789702634,"Jan 6, 2026",$82.42,$0.00,,,Fixed price,https://www.ebay.com/itm/205789702634,3
,,"Dec 29, 2025",$79.95,$0.00,,,Fixed price,,4
,,"Nov 26, 2025",$19.48,$0.00,,,Fixed price,,3
1885 O Morgan Dollar From OBW Estate Roll Choice-Gem Bu Uncirculated 90% Silver,266718566866,"Jan 20, 2026",$127.26,$0.00,,,Fixed price,https://www.ebay.com/itm/266718566866,3
1885 Morgan Dollar ~ UNC Uncirculated ~ 90% Silver $1 US Coin,266968392058,"Nov 17, 2025",$59.95,$13.29,,,Fixed price,https://www.ebay.com/itm/266968392058,3
1885-CC Morgan Dollar GSA Hoard Black Box & COA | No Coin,277712008490,"Mar 20, 2026",$26.33,$5.95,,,Fixed price,https://www.ebay.com/itm/277712008490,3
1885 O Morgan Silver Dollar Uncirculated $1 Coins,297960451731,"Jan 23, 2026",$55.00,$0.00,,,Fixed price,https://www.ebay.com/itm/297960451731,3
1885-O $1 Morgan Silver Dollar NGC MS 63 | Uncirculated UNC,305242977220,"Jan 14, 2026",$82.95,$0.00,,,Fixed price,https://www.ebay.com/itm/305242977220,5
1885-O $1 Morgan Silver Dollar NGC MS 62 | Uncirculated UNC,305242977223,"Dec 29, 2025",$70.29,$0.00,,,Fixed price,https://www.ebay.com/itm/305242977223,3
1885 MORGAN SILVER DOLLAR PCGS MS64 CHOICE BU,327031051055,"Mar 8, 2026",$110.00,$5.00,,,Fixed price,https://www.ebay.com/itm/327031051055,3
1885-O $1 MORGAN SILVER DOLLAR PCGS MS63 2 COIN SET,358198285779,"Feb 7, 2026",$160.00,$5.54,,,Fixed price,https://www.ebay.com/itm/358198285779,3
