Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
VG/F 1885-S Morgan Silver Dollar (1 coin),126671178787,"Dec 12, 2025",$49.76,$0.00,,,Fixed price,https://www.ebay.com/itm/126671178787,5
,,"Nov 10, 2025",$24.92,$0.00,,,Fixed price,,4
VF 1885-S Morgan Silver Dollar (1 coin),135244734432,"Jan 27, 2026",$66.62,$4.81,,,Fixed price,https://www.ebay.com/itm/135244734432,3
,,"Dec 29, 2025",$79.95,$0.00,,,Fixed price,,4
2023 Fiji S$1 1885-CC Morgan Dollar NGC MS70 - David Ryder Signed - 99.9% Silver,397123732320,"Mar 10, 2026",$146.67,$5.37,,,Fixed price,https://www.ebay.com/itm/397123732320,3
[Removed] Item 127454893238,127454893238,"Dec 1, 2025",$19.99,$0.00,,,Fixed price,,11
G/VG 1885-S Morgan Silver Dollar (1 coin),135241361794,"Jan 10, 2026",$62.98,$0.00,,,Fixed price,https://www.ebay.com/itm/135241361794,2
,,"Nov 10, 2025",$17.50,$8.00,,,Fixed price,,2
,,"Jan 12, 2026",$69.95,$0.00,,,Fixed price,,1
1885-S MORGAN SILVER DOLLAR #8081223-50W,115895791398,"Feb 28, 2026",$128.00,$0.00,,,Fixed price,https://www.ebay.com/itm/115895791398,1
MORGAN SILVER DOLLAR 1885 S AU/BU SLIDER UNC WITH COLOR SUPER ORIGINAL KEY DATE,116455184948,"Apr 29, 2026",$325.00,$6.95,,,Fixed price,https://www.ebay.com/itm/116455184948,1
,,"Nov 23, 2025",$151.38,$6.59,,,Auction,,1
,,"Nov 29, 2025",$146.50,$4.99,,,Auction,,1
,,"Nov 29, 2025",$158.00,$4.00,,,Auction,,1
,,"Jan 22, 2026",$320.00,$0.00,,,Fixed price,,1
,,"Jan 23, 2026",$88.00,$5.52,,,Fixed price,,1
,,"Dec 15, 2025",$132.50,$5.26,,,Auction,,1
,,"Jan 17, 2026",$160.66,$0.00,,,Auction,,1
"Three (3) Vintage 90% SILVER Morgan Dollar - CIRULATED - 1884-O, 1885-P, 1921-S",117015193195,"Feb 11, 2026",$181.00,$5.50,,,Auction,https://www.ebay.com/itm/117015193195,1
1885-S Morgan Silver Dollar XF++ (cn16120),117028640060,"Feb 9, 2026",$140.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117028640060,1
1885-S MORGAN SILVER DOLLAR BRILLIANT UNCIRCULATED CARTWHEEL LUSTER KEY DATE,117032013000,"Feb 18, 2026",$290.50,$5.52,,,Auction,https://www.ebay.com/itm/117032013000,1
"Set of 5 - Morgan Silver Dollars $1 - 1882, 1883-S, 1884, 1885, 1886-O",117077354398,"Mar 15, 2026",$400.00,$12.51,,,Auction,https://www.ebay.com/itm/117077354398,1
1885 S Morgan Silver Dollar - XF !!,117087981601,"Mar 20, 2026",$119.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117087981601,1
1885-S Morgan Silver Dollar Almost Uncirculated 55,117114317140,"Apr 1, 2026",$78.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117114317140,1
1885 S $1 Morgan Dollar 90% Silver - San Francisco Mint,117128691356,"Apr 13, 2026",$53.00,$4.95,,,Auction,https://www.ebay.com/itm/117128691356,1
,,"Nov 13, 2025",$38.75,$4.95,,,Fixed price,,1
,,"Jan 3, 2026",$66.00,$8.40,,,Fixed price,,1
,,"Jan 10, 2026",$77.00,$8.40,,,Fixed price,,1
,,"Jan 27, 2026",$99.99,$0.00,,,Fixed price,,1
,,"Jan 1, 2026",$140.00,$0.00,,,Fixed price,,1
,,"Dec 29, 2025",$849.00,$0.00,,,Fixed price,,1
,,"Feb 2, 2026",$189.95,$4.99,,,Fixed price,,1
1885-S $1 Morgan Silver Dollar -San Francisco RC797,127018100720,"Apr 23, 2026",$176.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127018100720,1
,,"Jan 18, 2026",$179.95,$0.00,,,Fixed price,,1
,,"Nov 23, 2025",$399.00,$0.00,,,Fixed price,,1
,,"Jan 19, 2026",$327.99,$7.55,,,Fixed price,,1
,,"Jan 19, 2026",$285.00,$0.00,,,Fixed price,,1
,,"Nov 16, 2025",$46.10,$5.00,,,Auction,,1
,,"Nov 12, 2025",$87.00,$5.16,,,Fixed price,,1
,,"Nov 13, 2025",$41.80,$0.00,,,Auction,,1
,,"Nov 22, 2025",$110.00,$5.00,,,Fixed price,,1
,,"Nov 19, 2025",$650.00,$5.00,,,Fixed price,,1
,,"Dec 23, 2025",$160.00,$5.00,,,Fixed price,,1
,,"Dec 9, 2025",$74.95,$0.00,,,Fixed price,,1
,,"Jan 7, 2026",$155.00,$0.00,,,Fixed price,,1
,,"Jan 20, 2026",$119.95,$0.00,,,Fixed price,,1
,,"Jan 1, 2026",$185.00,$5.00,,,Fixed price,,1
,,"Jan 3, 2026",$292.00,$5.95,,,Auction,,1
,,"Jan 8, 2026",$63.00,$0.00,,,Auction,,1
,,"Jan 18, 2026",$67.00,$0.00,,,Auction,,1
