Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
,,"Feb 4, 2026",$70.14,$0.00,,,Fixed price,
VF 1886-O Morgan Silver Dollar (1 coin),365515338159,"Mar 31, 2026",$76.02,$0.00,,,Fixed price,https://www.ebay.com/itm/365515338159
,,"Nov 21, 2025",$34.10,$0.00,,,Fixed price,
[Removed] Item 397199090126,397199090126,"Nov 19, 2025",$33.91,$0.00,,,Fixed price,
[Removed] Item 317331139204,317331139204,"Oct 20, 2025",$34.03,$0.00,,,Fixed price,
[Removed] Item 365937501976,365937501976,"Oct 25, 2025",$34.72,$0.00,,,Fixed price,
EF 1886-O MORGAN SILVER DOLLAR BEAUTIFUL DETAIL EXCELLENT COLLECTOR COIN M-1278,116998162872,"Feb 6, 2026",$82.80,$5.25,,,Fixed price,https://www.ebay.com/itm/116998162872
VG/F 1886-O Morgan Silver Dollar (1 coin),135244730527,"Mar 31, 2026",$89.65,$0.00,,,Fixed price,https://www.ebay.com/itm/135244730527
[Removed] Item 389665893798,389665893798,"Mar 12, 2026",$61.99,$0.00,,,Fixed price,
1886 O Morgan Dollar XF EF Extremely Fine 90% Silver $1 US Coin Collectible,365978681384,"Mar 2, 2026",$127.99,$0.00,,,Fixed price,https://www.ebay.com/itm/365978681384
XF 1886-O Morgan Silver Dollar (1 coin),136592460038,"Mar 31, 2026",$99.95,$0.00,,,Fixed price,https://www.ebay.com/itm/136592460038
[Removed] Item 137146555645,137146555645,"Mar 21, 2026",$58.22,$0.00,,,Fixed price,
,,"Nov 14, 2025",$140.00,$4.75,,,Fixed price,
1886 O Morgan Dollar ~ VF VERY FINE ~ 90% Silver $1 US Coin Collectible,256421424528,"Nov 19, 2025",$44.95,$0.00,,,Fixed price,https://www.ebay.com/itm/256421424528
,,"Nov 7, 2025",$34.56,$0.00,,,Fixed price,
1886-O Morgan Silver Dollar $1 Coin Circulated,306678545394,"Jan 24, 2026",$66.50,$4.80,,,Fixed price,https://www.ebay.com/itm/306678545394
,,"Nov 18, 2025",$33.83,$0.00,,,Fixed price,
[Removed] Item 376655101807,376655101807,"Nov 25, 2025",$35.50,$0.00,,,Fixed price,
1886 O Morgan Silver Dollar XF Detail,397724895296,"Apr 3, 2026",$58.79,$0.00,,,Fixed price,https://www.ebay.com/itm/397724895296
,,"Dec 9, 2025",$43.00,$0.00,,,Fixed price,
,,"Dec 31, 2025",$60.00,$0.00,,,Fixed price,
,,"Oct 11, 2025",$19.00,$5.71,,,Fixed price,
,,"Oct 11, 2025",$119.50,$0.00,,,Fixed price,
,,"Oct 19, 2025",$43.00,$5.15,,,Auction,
,,"Oct 24, 2025",$213.55,$11.00,,,Auction,
,,"Nov 2, 2025",$36.00,$4.00,,,Auction,
,,"Nov 12, 2025",$47.76,$5.99,,,Auction,
,,"Nov 12, 2025",$61.00,$5.55,,,Auction,
,,"Nov 19, 2025",$150.50,$7.49,,,Auction,
,,"Nov 28, 2025",$39.95,$5.95,,,Fixed price,
1886 O morgan dollar NGC AU53 ~,116914774823,"Feb 5, 2026",$176.00,$5.00,,,Fixed price,https://www.ebay.com/itm/116914774823
,,"Dec 13, 2025",$120.50,$6.50,,,Auction,
,,"Dec 20, 2025",$44.00,$2.42,,,Auction,
,,"Dec 20, 2025",$47.00,$5.00,,,Auction,
,,"Dec 30, 2025",$71.03,$0.00,,,Auction,
1886-O Morgan Silver Dollar Very Choice AU+ condition,116971100484,"Jan 13, 2026",$110.00,$4.76,,,Fixed price,https://www.ebay.com/itm/116971100484
1886-O MORGAN SILVER DOLLAR NICE VF DETAIL COLLECTORS COIN M-633,116994655080,"Jan 22, 2026",$68.00,$2.11,,,Fixed price,https://www.ebay.com/itm/116994655080
1886-O MORGAN SILVER DOLLAR,116997401562,"Feb 2, 2026",$70.00,$0.00,,,Auction,https://www.ebay.com/itm/116997401562
MORGAN SILVER DOLLAR 1886 O KEY DATE NICE BETTE GRADE XF+ 90% SILVER DOLLAR,116999281803,"Jan 29, 2026",$88.00,$5.95,,,Auction,https://www.ebay.com/itm/116999281803
1886-O Morgan Silver Dollar AU58+ PCGS Gold Shield - AU58 Plus Everyman Top Pop!,116999373135,"Feb 12, 2026",$995.00,$0.00,,,Fixed price,https://www.ebay.com/itm/116999373135
1901 o Morgan Silver Dollar,117002880776,"Feb 2, 2026",$73.00,$5.07,,,Auction,https://www.ebay.com/itm/117002880776
1889 o Morgan Silver Dollar,117003121014,"Feb 2, 2026",$70.00,$5.20,,,Auction,https://www.ebay.com/itm/117003121014
VF 1886-O MORGAN SILVER DOLLAR BEAUTIFULLY TONED COLLECTOR QUALITY COIN M-648,117011391188,"Jan 31, 2026",$79.00,$5.25,,,Fixed price,https://www.ebay.com/itm/117011391188
1886-O Morgan Silver Dollar (cn16050),117017576704,"Mar 15, 2026",$79.00,$4.00,,,Fixed price,https://www.ebay.com/itm/117017576704
1886-O Morgan Silver Dollar•90% Silver,117017912077,"Feb 10, 2026",$54.13,$2.38,,,Auction,https://www.ebay.com/itm/117017912077
1886-O Morgan Silver Dollar $1 Coin,117024669644,"Feb 14, 2026",$103.50,$5.29,,,Auction,https://www.ebay.com/itm/117024669644
[Removed] Item 317331139204,317331139204,"Oct 20, 2025",$33.98,$0.00,,,Fixed price,
1886 O Morgan Silver Dollar XF Detail,397724895296,"Apr 7, 2026",$56.59,$0.00,,,Fixed price,https://www.ebay.com/itm/397724895296
[Removed] Item 317331139204,317331139204,"Oct 20, 2025",$32.69,$0.00,,,Fixed price,,12
1886 O Morgan Silver Dollar XF Detail,397724895296,"Apr 11, 2026",$56.86,$0.00,,,Fixed price,https://www.ebay.com/itm/397724895296,6
,,"Jan 12, 2026",$58.95,$4.95,,,Fixed price,,1
,,"Jan 13, 2026",$110.00,$4.76,,,Fixed price,,1
,,"Jan 10, 2026",$175.00,$4.95,,,Fixed price,,1
"LOT OF 3 US 90% Morgan Silver Dollars 1878 P 7TF, 1880 O, 1886 P",117026480982,"Feb 8, 2026",$155.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117026480982,1
1886-O Morgan Silver Dollar,117029192006,"Feb 16, 2026",$70.00,$5.52,,,Auction,https://www.ebay.com/itm/117029192006,1
VF 1886-O MORGAN SILVER DOLLAR NICELY TONED COLLECTOR QUALITY COIN M1498,117037927136,"Feb 19, 2026",$87.00,$5.25,,,Fixed price,https://www.ebay.com/itm/117037927136,1
1886 O Morgan Silver Dollar,117064592812,"Mar 11, 2026",$81.15,$0.00,,,Auction,https://www.ebay.com/itm/117064592812,1
"Set of 5 - Morgan Silver Dollars $1 - 1882, 1883-S, 1884, 1885, 1886-O",117077354398,"Mar 15, 2026",$400.00,$12.51,,,Auction,https://www.ebay.com/itm/117077354398,1
1886-O Morgan Silver Dollar Great 90% Silver Coin BETTER DATE! SHIPS FREE!!,117081851243,"Mar 11, 2026",$72.00,$5.29,,,Fixed price,https://www.ebay.com/itm/117081851243,1
1886-O $1 Morgan Silver Dollar,117101925958,"Mar 29, 2026",$56.00,$5.50,,,Auction,https://www.ebay.com/itm/117101925958,1
AU 1886-O MORGAN SILVER DOLLAR BEAUTIFULLY TONED COLLECTOR QUALITY COIN M-1758,117113933983,"Apr 2, 2026",$105.00,$5.25,,,Fixed price,https://www.ebay.com/itm/117113933983,1
1886-O $1 Morgan Silver Dollar,117115432621,"Apr 5, 2026",$46.00,$5.50,,,Auction,https://www.ebay.com/itm/117115432621,1
"1886 O Morgan Silver Dollar, A.U. Almost Uncirculated",117116654313,"Apr 4, 2026",$104.95,$6.22,,,Auction,https://www.ebay.com/itm/117116654313,1
1886 O Morgan Silver Dollar Better Date! AU+++,117117395451,"Apr 6, 2026",$195.00,$4.78,,,Auction,https://www.ebay.com/itm/117117395451,1
1886-O MORGAN SILVER DOLLAR ICG EF 45 DETAILS ACTUAL COIN,117123616417,"Apr 3, 2026",$80.00,$7.00,,,Fixed price,https://www.ebay.com/itm/117123616417,1
1886-O MORGAN SILVER DOLLAR NICE REFL. FIELDS BLAST WHITE #4021521-85EE,124649236284,"Jan 22, 2026",$170.00,$0.00,,,Fixed price,https://www.ebay.com/itm/124649236284,1
,,"Nov 16, 2025",$475.00,$0.00,,,Fixed price,,1
1886-O Morgan Silver Dollar *2842,126186542109,"Mar 31, 2026",$159.00,$0.00,,,Fixed price,https://www.ebay.com/itm/126186542109,1
1886-O Morgan Silver Dollar *5110,126248653353,"Mar 31, 2026",$189.00,$0.00,,,Fixed price,https://www.ebay.com/itm/126248653353,1
,,"Dec 21, 2025",$60.00,$0.00,,,Fixed price,,1
1886-O Morgan Silver Dollar *3531,126428406784,"Mar 9, 2026",$159.00,$0.00,,,Fixed price,https://www.ebay.com/itm/126428406784,1
1886-O Morgan Silver Dollar AU Details,126553712554,"Mar 27, 2026",$120.00,$0.00,,,Fixed price,https://www.ebay.com/itm/126553712554,1
,,"Oct 23, 2025",$150.00,$0.00,,,Fixed price,,1
,,"Dec 31, 2025",$477.00,$0.00,,,Fixed price,,1
,,"Jan 2, 2026",$66.00,$5.00,,,Fixed price,,1
1886-O Morgan Silver One $1 Dollar - New Orleans RC834,126978330015,"Jan 21, 2026",$375.00,$0.00,,,Fixed price,https://www.ebay.com/itm/126978330015,1
,,"Dec 30, 2025",$69.95,$0.00,,,Fixed price,,1
,,"Oct 30, 2025",$37.00,$3.00,,,Fixed price,,1
,,"Dec 22, 2025",$51.30,$0.00,,,Fixed price,,1
1886-O Morgan Silver Dollar Authentic ICG *2887,127279900569,"Mar 31, 2026",$179.95,$0.00,,,Fixed price,https://www.ebay.com/itm/127279900569,1
,,"Oct 28, 2025",$110.00,$0.00,,,Fixed price,,1
,,"Oct 28, 2025",$60.00,$0.00,,,Fixed price,,1
,,"Dec 15, 2025",$58.49,$0.00,,,Fixed price,,1
,,"Dec 6, 2025",$200.00,$5.00,,,Fixed price,,1
,,"Jan 9, 2026","$1,305.00",$11.10,,,Fixed price,,1
,,"Jan 10, 2026",$69.99,$0.00,,,Fixed price,,1
,,"Oct 25, 2025",$229.29,$2.23,,,Auction,,1
,,"Oct 17, 2025",$39.00,$4.87,,,Auction,,1
,,"Oct 16, 2025",$195.63,$7.53,,,Auction,,1
,,"Oct 19, 2025",$45.07,$0.00,,,Auction,,1
,,"Oct 19, 2025",$48.00,$0.00,,,Auction,,1
,,"Oct 19, 2025",$46.00,$0.00,,,Auction,,1
,,"Oct 23, 2025",$36.00,$5.20,,,Auction,,1
,,"Oct 21, 2025",$64.99,$4.95,,,Fixed price,,1
,,"Oct 31, 2025",$99.00,$8.00,,,Auction,,1
,,"Oct 29, 2025",$59.95,$0.00,,,Auction,,1
,,"Oct 30, 2025",$48.00,$0.00,,,Auction,,1
,,"Nov 1, 2025",$37.11,$0.00,,,Auction,,1
,,"Nov 2, 2025",$39.57,$0.00,,,Auction,,1
