Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
,,"Jan 16, 2026",$60.27,$0.00,,,Fixed price,
[Removed] Item 168188635858,168188635858,"Feb 28, 2026",$65.80,$0.00,,,Fixed price,
,,"Mar 11, 2026",$63.97,$0.00,,,Fixed price,
VF 1889-O Morgan Silver Dollar (1 coin),126671185015,"Jan 10, 2026",$52.16,$4.80,,,Fixed price,https://www.ebay.com/itm/126671185015
,,"Nov 22, 2025",$34.12,$0.00,,,Fixed price,
[Removed] Item 236612948678,236612948678,"Apr 3, 2026",$61.87,$0.00,,,Fixed price,
,,"Oct 25, 2025",$32.97,$0.00,,,Fixed price,
,,"Nov 20, 2025",$31.87,$0.00,,,Fixed price,
[Removed] Item 317530644674,317530644674,"Nov 22, 2025",$39.11,$0.00,,,Fixed price,
G/VG 1889-O Morgan Silver Dollar (1 coin),126624294775,"Dec 11, 2025",$47.34,$0.00,,,Fixed price,https://www.ebay.com/itm/126624294775
XF 1889-O Morgan Silver Dollar (1 coin),127431019716,"Feb 21, 2026",$89.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127431019716
HARD DATE VF+ 1889-O MORGAN SILVER DOLLAR BEAUTIFUL COLLECTORS COIN M-1668,177754499939,"Mar 18, 2026",$84.00,$5.25,,,Fixed price,https://www.ebay.com/itm/177754499939
,,"Oct 26, 2025",$32.57,$0.00,,,Fixed price,
[Removed] Item 317823531602,317823531602,"Mar 15, 2026",$63.82,$0.00,,,Fixed price,
[Removed] Item 366273167576,366273167576,"Mar 19, 2026",$15.72,$0.00,,,Fixed price,
VG/F 1889-O Morgan Silver Dollar (1 coin),135244731041,"Jan 12, 2026",$58.70,$0.00,,,Fixed price,https://www.ebay.com/itm/135244731041
1889 O Morgan Dollar ~ XF EXTREMELY FINE ~ 90% Silver $1 US Coin Collectible,266899237810,"Oct 16, 2025",$42.75,$0.00,,,Fixed price,https://www.ebay.com/itm/266899237810
,,"Dec 23, 2025",$71.00,$4.06,,,Fixed price,
EF 1889-O MORGAN SILVER DOLLAR BEAUTIFULLY TONED COLLECTOR GRADE COIN M-1721,177841677137,"Apr 7, 2026",$96.50,$5.25,,,Fixed price,https://www.ebay.com/itm/177841677137
,,"Nov 1, 2025",$31.99,$5.00,,,Fixed price,
1889 O Morgan Dollar ~ AU UNC ABOUT UNCIRCULATED ~ 90% Silver $1 US Coin,256888017290,"Oct 13, 2025",$49.95,$0.00,,,Fixed price,https://www.ebay.com/itm/256888017290
1889 O Morgan Dollar ~ G GOOD ~ 90% Silver $1 US Coin Collectible,266899254724,"Dec 11, 2025",$44.95,$0.00,,,Fixed price,https://www.ebay.com/itm/266899254724
1889-O Morgan Silver Dollar New Orleans Mint Popular & Historic Coin,358028323238,"Jan 13, 2026",$55.00,$6.95,,,Fixed price,https://www.ebay.com/itm/358028323238
,,"Oct 31, 2025",$43.00,$0.00,,,Fixed price,
,,"Dec 23, 2025",$58.00,$0.00,,,Fixed price,
1889 O Morgan Silver Dollar NGC AU 55,116443079950,"Feb 3, 2026",$189.99,$0.00,,,Fixed price,https://www.ebay.com/itm/116443079950
,,"Nov 24, 2025",$38.00,$4.87,,,Fixed price,
,,"Nov 13, 2025",$39.50,$4.95,,,Fixed price,
,,"Nov 12, 2025",$65.00,$5.25,,,Fixed price,
,,"Nov 13, 2025",$39.50,$4.95,,,Fixed price,
1889-O Morgan Dollar CACG AU-50 CAC - Totally Original!,116740634238,"Mar 28, 2026",$172.19,$0.00,,,Fixed price,https://www.ebay.com/itm/116740634238
1889 O Morgan Dollar,116744762697,"Apr 6, 2026",$185.00,$4.88,,,Fixed price,https://www.ebay.com/itm/116744762697
,,"Dec 4, 2025",$379.00,$0.00,,,Fixed price,
,,"Oct 11, 2025",$119.50,$0.00,,,Fixed price,
,,"Oct 11, 2025",$48.99,$2.24,,,Auction,
1889-O Morgan Silver Dollar - NGC AU-58- Almost Uncirculated 58,116817643126,"Mar 23, 2026",$285.00,$4.50,,,Fixed price,https://www.ebay.com/itm/116817643126
,,"Oct 11, 2025",$45.00,$5.15,,,Auction,
,,"Oct 25, 2025",$49.99,$0.00,,,Fixed price,
,,"Dec 20, 2025",$47.00,$1.36,,,Fixed price,
,,"Oct 21, 2025",$28.00,$4.52,,,Fixed price,
,,"Oct 27, 2025",$124.50,$7.50,,,Auction,
,,"Nov 2, 2025",$37.00,$5.86,,,Auction,
1889 O Silver Morgan Dollar - XF !!,116853408261,"Jan 14, 2026",$65.00,$0.00,,,Fixed price,https://www.ebay.com/itm/116853408261
,,"Nov 7, 2025",$176.50,$8.00,,,Auction,
,,"Nov 6, 2025",$107.50,$1.87,,,Auction,
,,"Nov 16, 2025",$34.00,$5.00,,,Auction,
,,"Nov 20, 2025",$44.00,$5.95,,,Auction,
,,"Nov 10, 2025",$136.00,$4.99,,,Auction,
,,"Nov 15, 2025",$110.00,$5.90,,,Auction,
,,"Nov 29, 2025",$70.00,$5.25,,,Fixed price,
,,"Nov 20, 2025",$31.85,$0.00,,,Fixed price,
,,"Oct 25, 2025",$32.87,$0.00,,,Fixed price,,12
,,"Nov 20, 2025",$31.93,$0.00,,,Fixed price,,8
G/VG 1889-O Morgan Silver Dollar (1 coin),126624294775,"Dec 11, 2025",$48.76,$0.00,,,Fixed price,https://www.ebay.com/itm/126624294775,5
1889-O MORGAN SILVER DOLLAR BEAUTIFULLY TONED COLLECTOR GRADE COIN M-1726,177841677137,"Apr 8, 2026",$93.67,$5.25,,,Fixed price,https://www.ebay.com/itm/177841677137,3
1889 O Morgan Silver Dollar PCGS XF45 Tougher Date Morgan,116885201821,"Jan 24, 2026",$80.00,$5.29,,,Fixed price,https://www.ebay.com/itm/116885201821,1
,,"Nov 29, 2025",$134.35,$5.90,,,Auction,,1
,,"Nov 23, 2025",$260.00,$0.00,,,Fixed price,,1
,,"Nov 29, 2025",$135.50,$4.00,,,Auction,,1
,,"Dec 9, 2025",$455.00,$8.45,,,Auction,,1
,,"Dec 9, 2025",$39.00,$4.92,,,Auction,,1
,,"Dec 13, 2025",$43.00,$5.95,,,Auction,,1
,,"Dec 11, 2025",$43.42,$5.00,,,Auction,,1
,,"Dec 6, 2025",$71.00,$5.25,,,Fixed price,,1
,,"Dec 16, 2025",$45.00,$4.50,,,Auction,,1
,,"Dec 16, 2025",$61.00,$1.74,,,Auction,,1
,,"Dec 20, 2025",$46.50,$5.00,,,Auction,,1
,,"Dec 28, 2025",$45.00,$4.65,,,Fixed price,,1
,,"Dec 28, 2025",$68.00,$4.69,,,Fixed price,,1
,,"Dec 27, 2025",$48.55,$8.10,,,Auction,,1
,,"Dec 30, 2025",$120.26,$0.00,,,Auction,,1
,,"Jan 5, 2026",$59.99,$0.00,,,Fixed price,,1
,,"Jan 3, 2026",$100.00,$4.76,,,Fixed price,,1
,,"Jan 12, 2026",$59.05,$0.00,,,Auction,,1
,,"Jan 7, 2026",$330.00,$0.00,,,Fixed price,,1
"1889-o, Morgan silver dollar",116974164029,"Jan 16, 2026",$66.99,$5.99,,,Auction,https://www.ebay.com/itm/116974164029,1
1889 O Morgan Silver dollar,116981737462,"Jan 18, 2026",$71.00,$5.89,,,Auction,https://www.ebay.com/itm/116981737462,1
"Morgan Silver Dollars: 1878, 1885, 1889-O",116982035841,"Jan 18, 2026",$162.50,$5.52,,,Auction,https://www.ebay.com/itm/116982035841,1
MORGAN SILVER DOLLAR 1889 O KEY TO RARE DATE COLORFUL AU,116987563284,"Jan 17, 2026",$98.00,$5.95,,,Auction,https://www.ebay.com/itm/116987563284,1
AU 1889-O MORGAN SILVER DOLLAR BEAUTIFULLY TONED COLLECTOR GRADE COIN M-1046,116994592579,"Jan 22, 2026",$72.00,$5.25,,,Fixed price,https://www.ebay.com/itm/116994592579,1
Morgan Dollar 1889 O Circulated Ungraded Lot#158,116994844176,"Jan 24, 2026",$67.00,$5.52,,,Auction,https://www.ebay.com/itm/116994844176,1
MORGAN SILVER DOLLAR 1889 O AU/BU NICE COLORFUL TONER KEY DATE,116997231485,"Jan 24, 2026",$78.00,$5.95,,,Auction,https://www.ebay.com/itm/116997231485,1
MORGAN SILVER DOLLAR 1889 O KEY BETTER DATE NICE XF ORIGINAL 90% DOLLAR,116999121040,"Jan 25, 2026",$72.00,$3.51,,,Auction,https://www.ebay.com/itm/116999121040,1
1889 o Morgan Silver Dollar,117003121014,"Feb 2, 2026",$70.00,$5.20,,,Auction,https://www.ebay.com/itm/117003121014,1
1889 - 1890 - 1891 O - Old Morgan 90% Silver Dollar Nice Coin,117009501230,"Jan 30, 2026",$210.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117009501230,1
1889-O Morgan Dollar $1 PCGS AU53 New Orleans Silver One US Coin BETTER DATE!,117020657924,"Mar 29, 2026",$150.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117020657924,1
1889-O Morgan Silver Dollar $1 – XF/AU Details – Original Toning – New Orleans M,117024942624,"Feb 14, 2026",$65.00,$5.20,,,Auction,https://www.ebay.com/itm/117024942624,1
1889 O MORGAN SILVER DOLLAR COIN $1,117032384397,"Feb 14, 2026",$70.00,$5.00,,,Fixed price,https://www.ebay.com/itm/117032384397,1
Lot of 3- 1889 O Morgan Silver Dollars,117033578046,"Feb 22, 2026",$178.50,$9.49,,,Auction,https://www.ebay.com/itm/117033578046,1
VF 1889-O MORGAN SILVER DOLLAR BEAUTIFULLY TONED COLLECTOR GRADE COIN M-1463,117034628816,"Feb 17, 2026",$89.00,$5.25,,,Fixed price,https://www.ebay.com/itm/117034628816,1
1889-O $1 Morgan Silver Dollar PCGS Poor Fair Details,117042996335,"Feb 20, 2026",$48.00,$5.20,,,Auction,https://www.ebay.com/itm/117042996335,1
1889 O MORGAN SILVER DOLLAR! BEAUTIFUL CIRCULATED Coin! MORE RARE!,117085688963,"Mar 14, 2026",$62.00,$4.00,,,Auction,https://www.ebay.com/itm/117085688963,1
MORGAN SILVER DOLLAR 1889 O NICE KEY BETTER DATE AU+ HIGH GRADE 90% DOLLAR,117134099789,"Apr 12, 2026",$58.00,$6.95,,,Auction,https://www.ebay.com/itm/117134099789,1
1889 O Morgan Silver US $1 Dollar,125311365978,"Jan 20, 2026",$66.49,$0.00,,,Fixed price,https://www.ebay.com/itm/125311365978,1
,,"Dec 23, 2025",$49.00,$0.00,,,Fixed price,,1
,,"Dec 7, 2025",$995.00,$0.00,,,Fixed price,,1
,,"Dec 1, 2025",$229.00,$0.00,,,Fixed price,,1
,,"Dec 22, 2025",$217.55,$0.00,,,Fixed price,,1
,,"Dec 23, 2025",$229.00,$0.00,,,Fixed price,,1
,,"Jan 9, 2026",$113.00,$0.00,,,Fixed price,,1
,,"Dec 1, 2025",$40.00,$4.65,,,Fixed price,,1
,,"Dec 29, 2025",$66.00,$5.00,,,Fixed price,,1
,,"Jan 6, 2026",$55.00,$5.00,,,Fixed price,,1
,,"Dec 17, 2025",$35.00,$4.88,,,Fixed price,,1
,,"Jan 10, 2026",$171.00,$4.91,,,Fixed price,,1
,,"Dec 19, 2025",$55.00,$5.00,,,Fixed price,,1
,,"Dec 5, 2025",$40.00,$4.99,,,Fixed price,,1
,,"Nov 28, 2025",$37.00,$1.05,,,Fixed price,,1
,,"Jan 1, 2026",$66.00,$5.00,,,Fixed price,,1
1889 O MORGAN SILVER DOLLAR KEY DATE,127323510637,"Jan 15, 2026",$59.95,$5.00,,,Fixed price,https://www.ebay.com/itm/127323510637,1
,,"Jan 3, 2026",$102.00,$5.15,,,Fixed price,,1
,,"Dec 18, 2025",$49.50,$0.00,,,Fixed price,,1
,,"Dec 15, 2025",$44.99,$0.00,,,Fixed price,,1
1889 O Morgan Silver Dollar $1 Choice AU++++/MS Slider Lustous 90% Coin,127396859263,"Feb 2, 2026",$175.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127396859263,1
,,"Dec 30, 2025",$99.00,$0.00,,,Fixed price,,1
,,"Oct 16, 2025",$36.00,$3.95,,,Fixed price,,1
,,"Nov 8, 2025",$179.00,$4.19,,,Auction,,1
,,"Oct 17, 2025",$60.00,$1.77,,,Auction,,1
,,"Oct 21, 2025",$346.00,$3.31,,,Auction,,1
,,"Oct 19, 2025",$46.00,$0.00,,,Auction,,1
,,"Oct 22, 2025",$42.95,$0.00,,,Auction,,1
,,"Oct 21, 2025",$40.00,$4.92,,,Auction,,1
,,"Oct 21, 2025",$40.13,$0.00,,,Auction,,1
