Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
1889 O Morgan Silver Dollar NGC AU 55,267481492190,"May 8, 2026",$150.00,$0.00,,,Fixed price,https://www.ebay.com/itm/267481492190,1
Morgan Dollar 1889 O - 90% Silver,227334795769,"May 8, 2026",$53.00,$0.00,,,Fixed price,https://www.ebay.com/itm/227334795769,1
1889-O Morgan Silver Dollar – New Orleans Mint – 90% Silver – Circulated Coin,327132881168,"May 7, 2026",$49.00,$5.48,,,Auction,https://www.ebay.com/itm/327132881168,1
1889-O MORGAN SILVER DOLLAR ~VF ~NICE COIN~,178081783659,"May 7, 2026",$53.07,$5.75,,,Auction,https://www.ebay.com/itm/178081783659,1
1889-O Morgan Silver Dollar VF/AU Condition US Coin,168219247305,"May 7, 2026",$59.99,$0.00,,,Fixed price,https://www.ebay.com/itm/168219247305,3
1889 O Morgan Silver Dollar ☆☆ Circulated ☆☆ Great For Sets 249,236742549534,"May 7, 2026",$66.89,$0.00,,,Fixed price,https://www.ebay.com/itm/236742549534,1
1889-O Morgan Silver Dollar 90% Silver.,327132594560,"May 7, 2026",$48.00,$8.50,,,Auction,https://www.ebay.com/itm/327132594560,1
1889 O Morgan Dollar 90% Silver $1 US Coin Collectible,397757418341,"May 7, 2026",$60.18,$0.00,,,Fixed price,https://www.ebay.com/itm/397757418341,11
1889-O AU Morgan Silver Dollar #3086,306908415898,"May 7, 2026",$89.00,$5.20,,,Auction,https://www.ebay.com/itm/306908415898,1
1889-O Morgan Silver Dollar $1,267655245673,"May 7, 2026",$52.50,$5.40,,,Auction,https://www.ebay.com/itm/267655245673,1
Early - 1889-O Morgan Silver Dollar - 90% US Coin Good Detail,127842352718,"May 7, 2026",$59.00,$5.48,,,Auction,https://www.ebay.com/itm/127842352718,1
"Lot of (3) Three SILVER Morgan Dollars 1888, 1889, & 1890 O Toning",267659584507,"May 7, 2026",$158.99,$8.75,,,Fixed price,https://www.ebay.com/itm/267659584507,1
"1889-O 1.00 ANACS F12 Morgan Silver Dollar, Miss Liberty Head Dollar",306920610589,"May 7, 2026",$80.00,$8.30,,,Fixed price,https://www.ebay.com/itm/306920610589,1
1889 O US Morgan Silver Dollar,127835246751,"May 7, 2026",$55.00,$10.50,,,Fixed price,https://www.ebay.com/itm/127835246751,1
1889-O New Orleans Mint Silver Morgan Dollar,358502763200,"May 6, 2026",$57.55,$0.25,,,Auction,https://www.ebay.com/itm/358502763200,1
Early - 1889-O Morgan Silver Dollar - 90% US Coin *501,127840909059,"May 6, 2026",$63.00,$0.00,,,Auction,https://www.ebay.com/itm/127840909059,1
05/000006 L#5844 1889-O Morgan Silver Dollar,389984513590,"May 6, 2026",$185.00,$0.00,,,Auction,https://www.ebay.com/itm/389984513590,1
Early - 1889-O Morgan Silver Dollar - 90% US Coin *664,137273309024,"May 6, 2026",$59.00,$0.00,,,Auction,https://www.ebay.com/itm/137273309024,1
1889 O Morgan Silver Dollar ~ New Orleans Mint ~ Old US Coin,236799072614,"May 6, 2026",$63.50,$0.00,,,Fixed price,https://www.ebay.com/itm/236799072614,1
"1889-O Morgan Silver Dollar Coin, PCGS Cleaning F Details, 90% Silver (Ref 4608)",287312780616,"May 6, 2026",$64.50,$0.00,,,Fixed price,https://www.ebay.com/itm/287312780616,1
PCGS VF35 1889-O MORGAN SILVER DOLLAR,157885369023,"May 6, 2026",$75.00,$10.00,,,Fixed price,https://www.ebay.com/itm/157885369023,1
Raw 1889 O Morgan Silver Dollar - New Orleans,318105143035,"May 6, 2026",$57.80,$5.50,,,Fixed price,https://www.ebay.com/itm/318105143035,1
1889-O $1 Morgan Silver Dollar - Luster - AU Semi Key Date - SKU-D5371,227211823387,"May 6, 2026",$120.00,$5.50,,,Fixed price,https://www.ebay.com/itm/227211823387,1
1889-O New Orleans Mint Silver Morgan Dollar,366376130155,"May 5, 2026",$61.00,$4.65,,,Auction,https://www.ebay.com/itm/366376130155,1
,,"May 5, 2026",$110.00,$0.00,,,Auction,,1
