Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
VF 1892-O Morgan Silver Dollar (1 coin),127039415831,"Mar 25, 2026",$58.20,$12.28,,,Fixed price,https://www.ebay.com/itm/127039415831
VG/F 1892-O Morgan Silver Dollar (1 coin),135681091500,"Jan 25, 2026",$54.68,$13.15,,,Fixed price,https://www.ebay.com/itm/135681091500
,,"Oct 14, 2025",$20.53,$0.00,,,Fixed price,
,,"Oct 14, 2025",$19.39,$0.00,,,Fixed price,
,,"Oct 23, 2025",$20.09,$0.00,,,Fixed price,
G/VG 1892-O Morgan Silver Dollar (1 coin),135191943612,"Jan 4, 2026",$53.72,$0.00,,,Fixed price,https://www.ebay.com/itm/135191943612
,,"Dec 23, 2025",$49.33,$5.11,,,Fixed price,
1892-O Morgan Silver Dollar VG / FINE RARE TOUGH DATE!,226519397836,"Mar 29, 2026",$115.69,$0.00,,,Fixed price,https://www.ebay.com/itm/226519397836
,,"Nov 13, 2025",$20.10,$0.00,,,Fixed price,
,,"Nov 5, 2025",$58.95,$1.64,,,Fixed price,
,,"Nov 10, 2025",$40.00,$4.00,,,Fixed price,
,,"Oct 11, 2025",$116.50,$4.95,,,Auction,
,,"Nov 9, 2025",$49.99,$4.87,,,Fixed price,
,,"Nov 21, 2025",$370.00,$4.52,,,Fixed price,
,,"Nov 26, 2025",$27.00,$7.35,,,Fixed price,
,,"Nov 30, 2025",$212.49,$4.00,,,Auction,
,,"Dec 23, 2025",$220.00,$4.65,,,Fixed price,
,,"Dec 26, 2025",$89.88,$6.50,,,Auction,
,,"Jan 6, 2026",$55.00,$5.09,,,Auction,
"1892-O Morgan Dollar, Uncertified, NR.",116958101584,"Jan 10, 2026",$62.99,$4.00,,,Auction,https://www.ebay.com/itm/116958101584
,,"Jan 5, 2026",$175.00,$10.98,,,Auction,
1892-O SILVER DOLLAR *** a great gift (V4),116977442332,"Jan 18, 2026",$70.00,$6.00,,,Auction,https://www.ebay.com/itm/116977442332
1892 O New Orleans Morgan Silver Dollar,116996176865,"Jan 25, 2026",$89.99,$0.00,,,Fixed price,https://www.ebay.com/itm/116996176865
VF 1892-O MORGAN SILVER DOLLAR NICELY TONED COLLECTOR COIN M-1312,117006511603,"Jan 29, 2026",$83.00,$3.50,,,Fixed price,https://www.ebay.com/itm/117006511603
HIGH GRADE 1892-O MORGAN SILVER DOLLAR WITH LUSTER -SCARSE COIN,117021099261,"Feb 12, 2026",$122.50,$5.56,,,Auction,https://www.ebay.com/itm/117021099261
1892-O Better date Morgan dollar NGC AU 53 Freshly Graded,117023439154,"Feb 28, 2026",$245.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117023439154
1892-O Morgan Silver Dollar (cn16155),117028890724,"Feb 9, 2026",$100.00,$4.00,,,Fixed price,https://www.ebay.com/itm/117028890724
VF 1892-O MORGAN SILVER DOLLAR NICELY TONED COLLECTOR COIN M-1541,117048720631,"Feb 26, 2026",$83.00,$5.25,,,Fixed price,https://www.ebay.com/itm/117048720631
1892-O $1 Morgan Silver Dollar,117079675192,"Mar 15, 2026",$60.00,$7.55,,,Auction,https://www.ebay.com/itm/117079675192
1892-O Morgan Dollar BU Details Better Date RARE,117087844317,"Mar 19, 2026",$103.51,$4.60,,,Auction,https://www.ebay.com/itm/117087844317
1892-O Morgan Silver Dollar,117094826175,"Mar 25, 2026",$50.00,$5.95,,,Auction,https://www.ebay.com/itm/117094826175
1892-O Lightly Toned Morgan Dollar “Key Date” BU Details RARE 1892-O,117099063994,"Mar 25, 2026",$79.20,$6.99,,,Auction,https://www.ebay.com/itm/117099063994
VF 1892-O MORGAN SILVER DOLLAR NICELY TONED COLLECTOR COIN M-1748,117108640451,"Apr 7, 2026",$85.00,$5.25,,,Fixed price,https://www.ebay.com/itm/117108640451
1892-O Morgan Silver Dollar *7147,126071149276,"Mar 24, 2026",$180.00,$0.00,,,Fixed price,https://www.ebay.com/itm/126071149276
,,"Jan 4, 2026",$122.55,$0.00,,,Fixed price,
1892-O Morgan Silver Dollar *8745,126329209114,"Mar 4, 2026",$149.00,$0.00,,,Fixed price,https://www.ebay.com/itm/126329209114
,,"Oct 23, 2025",$150.00,$0.00,,,Fixed price,
,,"Dec 23, 2025",$78.99,$0.00,,,Fixed price,
,,"Oct 21, 2025",$89.95,$4.95,,,Fixed price,
,,"Dec 14, 2025",$52.00,$3.99,,,Fixed price,
"1878 7/8 TF, 1892-P, 1892-O Scarce Morgan Silver Dollars XF Details",126786005850,"Jan 22, 2026",$285.00,$0.00,,,Fixed price,https://www.ebay.com/itm/126786005850
,,"Jan 7, 2026",$104.00,$0.00,,,Fixed price,
,,"Dec 25, 2025",$45.00,$4.76,,,Fixed price,
,,"Dec 27, 2025",$325.00,$0.00,,,Fixed price,
"1892 O Morgan Silver Dollar, Tough Date-Only 2,744,000 Minted Great for Low Ball",127017774663,"Jan 19, 2026",$68.99,$4.95,,,Fixed price,https://www.ebay.com/itm/127017774663
,,"Dec 29, 2025",$152.99,$4.25,,,Fixed price,
VF 1892-O Morgan Silver Dollar (1 coin),127039415831,"Mar 25, 2026",$58.36,$12.28,,,Fixed price,https://www.ebay.com/itm/127039415831,99
VG/F 1892-O Morgan Silver Dollar (1 coin),135681091500,"Jan 25, 2026",$56.30,$13.15,,,Fixed price,https://www.ebay.com/itm/135681091500,44
,,"Jan 10, 2026",$62.99,$4.00,,,Auction,,1
"Lot of 3 Morgan Silver Dollars Better Dates 1902-S, 1892, NICE 1884-O - Details",116971194997,"Jan 18, 2026",$286.00,$7.70,,,Auction,https://www.ebay.com/itm/116971194997,1
1892-O Silver Morgan Dollar ICG XF45 Details Cleaned Key Date 1892-O,117007918616,"Feb 3, 2026",$82.00,$5.99,,,Auction,https://www.ebay.com/itm/117007918616,1
1892 O Morgan Silver Dollar San Francisco NGC VF Details Cleaned,117054396907,"Mar 9, 2026",$115.00,$5.52,,,Fixed price,https://www.ebay.com/itm/117054396907,1
Lot of 3 1892-O Morgan Silver Dollars XF Details,126468843707,"Jan 22, 2026",$270.00,$0.00,,,Fixed price,https://www.ebay.com/itm/126468843707,1
1892-O Morgan Dollar #434,127168061397,"Mar 5, 2026",$85.99,$4.99,,,Fixed price,https://www.ebay.com/itm/127168061397,1
,,"Nov 9, 2025",$54.95,$0.00,,,Fixed price,,1
,,"Nov 19, 2025",$67.99,$4.87,,,Fixed price,,1
,,"Dec 23, 2025",$49.99,$4.48,,,Fixed price,,1
"1892-O Morgan Silver Dollar Silver Coin, XF Scarcer Date PJ",127376530406,"Jan 19, 2026",$68.88,$0.00,,,Fixed price,https://www.ebay.com/itm/127376530406,1
,,"Oct 25, 2025",$141.35,$1.27,,,Auction,,1
,,"Oct 20, 2025",$44.00,$0.00,,,Auction,,1
,,"Nov 16, 2025",$135.00,$0.00,,,Fixed price,,1
,,"Jan 13, 2026",$79.95,$0.00,,,Fixed price,,1
,,"Nov 4, 2025",$39.00,$0.00,,,Auction,,1
,,"Nov 7, 2025",$47.95,$0.00,,,Auction,,1
,,"Nov 7, 2025",$38.01,$0.00,,,Auction,,1
,,"Nov 10, 2025",$40.55,$0.00,,,Auction,,1
1892 O Morgan Silver Dollar PCGS MS-63+ MM,127483667012,"Jan 19, 2026",$899.99,$0.00,,,Fixed price,https://www.ebay.com/itm/127483667012,1
,,"Nov 18, 2025",$56.66,$0.00,,,Auction,,1
,,"Dec 2, 2025",$50.00,$5.00,,,Fixed price,,1
,,"Nov 29, 2025",$43.88,$0.00,,,Auction,,1
,,"Dec 2, 2025",$51.00,$0.00,,,Auction,,1
,,"Dec 7, 2025",$50.99,$0.00,,,Auction,,1
,,"Dec 10, 2025",$46.95,$0.00,,,Auction,,1
,,"Dec 9, 2025",$45.75,$0.00,,,Auction,,1
,,"Dec 11, 2025",$50.75,$0.00,,,Auction,,1
,,"Dec 26, 2025",$220.00,$0.00,,,Fixed price,,1
,,"Dec 13, 2025",$46.95,$0.00,,,Auction,,1
,,"Dec 14, 2025",$50.00,$0.00,,,Auction,,1
,,"Dec 18, 2025",$47.95,$0.00,,,Auction,,1
,,"Dec 24, 2025",$54.00,$8.50,,,Auction,,1
,,"Dec 26, 2025",$66.00,$0.00,,,Auction,,1
1892-O Morgan Silver One $1 Dollar - New Orleans R1660,127572911117,"Apr 4, 2026",$100.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127572911117,1
,,"Dec 29, 2025",$61.61,$0.00,,,Auction,,1
,,"Dec 28, 2025",$61.00,$0.00,,,Auction,,1
,,"Dec 30, 2025",$74.00,$0.00,,,Auction,,1
,,"Dec 30, 2025",$60.00,$0.00,,,Auction,,1
,,"Jan 3, 2026",$466.91,$10.95,,,Auction,,1
,,"Dec 29, 2025",$698.00,$19.74,,,Fixed price,,1
,,"Jan 2, 2026",$265.00,$5.00,,,Fixed price,,1
,,"Jan 9, 2026",$61.00,$4.95,,,Auction,,1
,,"Jan 3, 2026",$375.00,$0.00,,,Fixed price,,1
,,"Jan 10, 2026",$64.03,$0.00,,,Auction,,1
,,"Jan 11, 2026",$68.95,$4.95,,,Auction,,1
1892-O Morgan Silver Dollar #P02645,127607455911,"Jan 16, 2026",$72.00,$2.47,,,Auction,https://www.ebay.com/itm/127607455911,1
,,"Jan 10, 2026",$349.00,$0.00,,,Fixed price,,1
VG/F 1892-O Morgan Silver Dollar (1 coin) *3217,127610435876,"Jan 14, 2026",$75.00,$0.00,,,Auction,https://www.ebay.com/itm/127610435876,1
VG/F 1892-O Morgan Silver Dollar (1 coin) *6466,127618067163,"Jan 18, 2026",$72.50,$0.00,,,Auction,https://www.ebay.com/itm/127618067163,1
1892-O Morgan Silver Dollar 90% Key Date Coin # 366,127618090953,"Jan 18, 2026",$71.00,$3.77,,,Auction,https://www.ebay.com/itm/127618090953,1
VG/F 1892-O Morgan Silver Dollar (1 coin) *8977,127624466241,"Jan 21, 2026",$76.95,$0.00,,,Auction,https://www.ebay.com/itm/127624466241,1
Early - 1892-O Morgan Silver Dollar - 90% US Coin *298,127626057484,"Jan 20, 2026",$68.00,$0.00,,,Auction,https://www.ebay.com/itm/127626057484,1
"1892-S, 1894-O & 1896-S Morgan Silver Dollars NGC VG8, F12, F15",127629998581,"Jan 17, 2026",$275.00,$5.00,,,Fixed price,https://www.ebay.com/itm/127629998581,1
VG/F 1892-O Morgan Silver Dollar (1 coin) *5508,127630096951,"Jan 24, 2026",$74.95,$0.00,,,Auction,https://www.ebay.com/itm/127630096951,1
1892-O Morgan Silver Dollar $1 PCGS MS64 – New Orleans Mint –NO RESERVE!,127631492735,"Jan 23, 2026",$866.00,$20.00,,,Auction,https://www.ebay.com/itm/127631492735,1
VG/F 1892-O Morgan Silver Dollar (1 coin) *0351,127633890497,"Jan 26, 2026",$79.00,$0.00,,,Auction,https://www.ebay.com/itm/127633890497,1
1892-O Morgan Dollar,127641216358,"Jan 30, 2026",$79.00,$4.95,,,Auction,https://www.ebay.com/itm/127641216358,1
Early - 1892-O Morgan Silver Dollar - 90% US Coin *881,127647583037,"Jan 31, 2026",$75.01,$0.00,,,Auction,https://www.ebay.com/itm/127647583037,1
1880-O 1892-O Morgan Silver Dollar - 90% US Coin 2 Coin Lot! *383,127649533475,"Feb 1, 2026",$145.00,$0.00,,,Auction,https://www.ebay.com/itm/127649533475,1
VERY NICE MS-62 1892-O MORGAN DOLLAR,127651336339,"Feb 26, 2026",$500.00,$8.00,,,Fixed price,https://www.ebay.com/itm/127651336339,1
"lot of 5 Morgan silver dollars, 1892 O,1894 O, 1898 S, 1900 O, 1904",127665852180,"Feb 9, 2026",$330.00,$5.75,,,Auction,https://www.ebay.com/itm/127665852180,1
1892 o morgan silver dollar #3,127668347279,"Feb 12, 2026",$59.00,$11.00,,,Auction,https://www.ebay.com/itm/127668347279,1
Early - 1892-O Morgan Silver Dollar - 90% US Coin *373,127671910724,"Feb 12, 2026",$64.01,$0.00,,,Auction,https://www.ebay.com/itm/127671910724,1
1892-O Morgan Silver Dollar Good Better Date 90% Silver,127672209129,"Feb 17, 2026",$76.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127672209129,1
1892- O Morgan Silver Dollar S$1 MS 62 - NGC,127677538066,"Feb 22, 2026",$466.55,$7.00,,,Auction,https://www.ebay.com/itm/127677538066,1
1892-O Morgan Silver Dollar PCGS MS62 $1,127682711990,"Feb 23, 2026",$549.95,$0.00,,,Fixed price,https://www.ebay.com/itm/127682711990,1
Early - 1892-O Morgan Silver Dollar - 90% US Coin *530,127703537847,"Mar 1, 2026",$74.00,$0.00,,,Auction,https://www.ebay.com/itm/127703537847,1
Early - 1892-O Morgan Silver Dollar - 90% US Coin *449,127715137311,"Mar 7, 2026",$89.00,$0.00,,,Auction,https://www.ebay.com/itm/127715137311,1
"Lot of 4 Morgan Silver Dollars 1879-S, 1884-O, 1892-O, 1921 Nice Key Dates.",127717456207,"Mar 8, 2026",$289.00,$8.75,,,Fixed price,https://www.ebay.com/itm/127717456207,1
Early - 1892-O Morgan Silver Dollar - 90% US Coin *632,127721011534,"Mar 10, 2026",$67.00,$0.00,,,Auction,https://www.ebay.com/itm/127721011534,1
Early - 1892-O Morgan Silver Dollar - 90% US Coin *831,127723916116,"Mar 11, 2026",$63.00,$0.00,,,Auction,https://www.ebay.com/itm/127723916116,1
1892 O Morgan Silver Dollar Ungraded Uncertified Circulated Nice,127761732386,"Mar 28, 2026",$64.00,$8.30,,,Auction,https://www.ebay.com/itm/127761732386,1
1892-O Morgan Silver Dollar AU58 ANACS Soapbox (M6233),127770832842,"Apr 6, 2026",$350.00,$5.45,,,Fixed price,https://www.ebay.com/itm/127770832842,1
1892-O Morgan Silver Dollar Very Fine Condition,127773017008,"Mar 28, 2026",$83.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127773017008,1
