Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
1892 S $1 UNITED STATES MORGAN 90% SILVER DOLLAR KM# 110 KEY DATE/MINT GENUINE,117084328670,"Mar 16, 2026",$179.95,$4.95,,,Fixed price,https://www.ebay.com/itm/117084328670
"1892-S Morgan Silver Dollar, San Francisco",117087789868,"Mar 14, 2026",$110.00,$5.07,,,Fixed price,https://www.ebay.com/itm/117087789868
1892-S San Francisco Morgan Dollar **Key Date** Circulated,117096573252,"Mar 26, 2026",$76.76,$0.00,,,Auction,https://www.ebay.com/itm/117096573252
1892 S Morgan Silver Dollar ~ CIRCULATED BUT RARE & VALUABLE ~ 90% Silver $1,117104584711,"Mar 28, 2026",$146.50,$6.75,,,Auction,https://www.ebay.com/itm/117104584711
1892-S MORGAN SILVER DOLLAR COIN SILVER UNCIRCULATED CERTIFIED AU 53,117112341172,"Apr 3, 2026","$2,329.00",$23.95,,,Auction,https://www.ebay.com/itm/117112341172
1892-S Morgan Silver One $1 Dollar - San Francisco RC908,127116509146,"Mar 23, 2026",$135.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127116509146
Early - 1892-S Morgan Silver Dollar - 90% US Coin *527,127716765982,"Mar 8, 2026",$68.00,$0.00,,,Auction,https://www.ebay.com/itm/127716765982
1892 S Morgan Silver Dollar with Patina,134961713694,"Apr 5, 2026",$75.00,$8.50,,,Fixed price,https://www.ebay.com/itm/134961713694
1892-S Morgan Dollar PCGS VF20 Original luste Just Graded New Holder #C135,136297097217,"Mar 15, 2026",$189.99,$8.99,,,Fixed price,https://www.ebay.com/itm/136297097217
1892-S Morgan Dollar PCGS VF30 Original luster Just Graded New Holder #K474,137142332399,"Apr 3, 2026",$289.00,$10.99,,,Fixed price,https://www.ebay.com/itm/137142332399
1892-S Morgan Dollar Tough Date VF #3FHH,137142901033,"Mar 23, 2026",$165.00,$0.00,,,Fixed price,https://www.ebay.com/itm/137142901033
G/VG 1892-S Morgan Silver Dollar (1 coin) *7257,137170463992,"Apr 2, 2026",$84.95,$0.00,,,Auction,https://www.ebay.com/itm/137170463992
VG/F 1892-S Morgan Silver Dollar (1 coin) *0261,137170540616,"Apr 2, 2026",$94.95,$0.00,,,Auction,https://www.ebay.com/itm/137170540616
1892 S Morgan Silver Dollar Coin. C96,137182623338,"Apr 5, 2026",$70.00,$5.95,,,Fixed price,https://www.ebay.com/itm/137182623338
1892 S - United State Silver Morgan $1 Dollar - .900 Early American Silver 🇺🇸,147181141261,"Mar 12, 2026",$62.01,$4.05,,,Auction,https://www.ebay.com/itm/147181141261
1892-S Morgan Silver Dollar $1 Nice Coin,147194211036,"Mar 9, 2026",$75.00,$0.00,,,Fixed price,https://www.ebay.com/itm/147194211036
1892 S Morgan Silver Dollar ANCS XF40 Damaged,147206347588,"Mar 22, 2026",$338.00,$1.15,,,Auction,https://www.ebay.com/itm/147206347588
1892 S Morgan Silver Dollar,147212942547,"Mar 24, 2026",$67.00,$6.49,,,Auction,https://www.ebay.com/itm/147212942547
1892 S Morgan Silver Dollar,147213051267,"Mar 24, 2026",$54.51,$6.49,,,Auction,https://www.ebay.com/itm/147213051267
1892 S Morgan Silver Dollar,147223188429,"Mar 30, 2026",$63.00,$6.49,,,Auction,https://www.ebay.com/itm/147223188429
1892 S Morgan Silver Dollar,147223220113,"Mar 30, 2026",$56.50,$6.49,,,Auction,https://www.ebay.com/itm/147223220113
1892 S Morgan Silver Dollar Key Date Low Mintage,155721399407,"Mar 24, 2026",$139.99,$0.00,,,Fixed price,https://www.ebay.com/itm/155721399407
1892 S Morgan Silver Dollar***NICE COIN*** FREE SHIPPING***A8950,155911690266,"Apr 4, 2026",$95.00,$0.00,,,Fixed price,https://www.ebay.com/itm/155911690266
1892 S MORGAN SILVER DOLLAR VF KEY DATE GREAT ORIGINAL LOOK,156366181583,"Apr 2, 2026",$155.00,$5.58,,,Fixed price,https://www.ebay.com/itm/156366181583
1892 s Morgan Dollar,157059044323,"Mar 13, 2026",$110.00,$5.52,,,Fixed price,https://www.ebay.com/itm/157059044323
1892 S $1 MORGAN SILVER ONE DOLLAR,157706346484,"Mar 12, 2026",$85.00,$0.00,,,Fixed price,https://www.ebay.com/itm/157706346484
1892-S Morgan Dollar : NGC VF25,157709345658,"Mar 7, 2026",$233.99,$7.95,,,Fixed price,https://www.ebay.com/itm/157709345658
AU+ KEY 1892-S MORGAN SILVER DOLLAR. Wonderful eye appeal.,157747474149,"Mar 22, 2026",$912.00,$8.10,,,Auction,https://www.ebay.com/itm/157747474149
1892 S Morgan Silver Dollar NGC VF-30,157753381002,"Mar 20, 2026",$256.15,$0.00,,,Fixed price,https://www.ebay.com/itm/157753381002
1892-S MORGAN SILVER DOLLAR F/VF TOUGH DATE SAN FRANCISCO MINT,157764148129,"Mar 18, 2026",$100.00,$7.95,,,Fixed price,https://www.ebay.com/itm/157764148129
1892-S MORGAN DOLLAR CAC G4 BETTER DATE,157772848146,"Mar 21, 2026",$90.00,$0.00,,,Fixed price,https://www.ebay.com/itm/157772848146
03/00000028 L#8425 1892 S Morgan Silver Dollar (tep),157791593122,"Mar 28, 2026",$890.00,$0.00,,,Auction,https://www.ebay.com/itm/157791593122
03/00000029 L#531 1892 S Morgan Silver Dollar Coin (hlr),157793273566,"Mar 29, 2026",$165.00,$0.00,,,Auction,https://www.ebay.com/itm/157793273566
03/9000030 L#1050 1892 S Morgan Silver Dollar Coin (bfr),157797649350,"Mar 30, 2026",$180.00,$0.00,,,Auction,https://www.ebay.com/itm/157797649350
1892-S San Francisco Morgan Silver Dollar $1 Fine FN F+,167756205509,"Apr 4, 2026",$105.00,$0.00,,,Fixed price,https://www.ebay.com/itm/167756205509
1892 S MORGAN SILVER DOLLAR DARK TONED PATINA BETTER DATE BETTER GRADE,168184641682,"Mar 21, 2026",$134.99,$5.99,,,Fixed price,https://www.ebay.com/itm/168184641682
1892-S Morgan Silver Dollar PCGS Toned,168238932919,"Mar 19, 2026",$89.88,$3.07,,,Auction,https://www.ebay.com/itm/168238932919
1892 S Morgan Silver Dollar,168267725392,"Apr 3, 2026",$109.50,$5.00,,,Auction,https://www.ebay.com/itm/168267725392
VG 1892-S MORGAN SILVER DOLLAR NICE COLLECTOR COIN M-1662,177182541812,"Mar 24, 2026",$95.00,$5.25,,,Fixed price,https://www.ebay.com/itm/177182541812
5 Morgan Silver Dollars 1899-O 1891-O 1891-S 1901-O 1892-O,177941356984,"Mar 8, 2026",$299.00,$10.00,,,Fixed price,https://www.ebay.com/itm/177941356984
[Removed] Item 167961126366,167961126366,"Jan 21, 2026",$65.82,$0.00,,,Fixed price,,72
[Removed] Item 376628663243,376628663243,"Nov 17, 2025",$37.35,$0.00,,,Fixed price,,31
,,"Nov 17, 2025",$38.33,$0.00,,,Fixed price,,9
[Removed] Item 357929817391,357929817391,"Dec 6, 2025",$37.56,$0.00,,,Fixed price,,21
,,"Nov 10, 2025",$30.23,$5.00,,,Fixed price,,6
[Removed] Item 287162876754,287162876754,"Feb 25, 2026",$65.00,$0.00,,,Fixed price,,2
VF 1892-S Morgan Silver Dollar (1 coin),365896075741,"Feb 20, 2026",$187.48,$0.00,,,Fixed price,https://www.ebay.com/itm/365896075741,2
1892-S Morgan Silver Dollar San Francisco Mint Better Date $1 #033,114880162907,"Jan 19, 2026",$68.99,$5.25,,,Fixed price,https://www.ebay.com/itm/114880162907,1
1892 s morgan silver dollar ngc AU55,116177666585,"Feb 16, 2026","$4,000.00",$0.00,,,Fixed price,https://www.ebay.com/itm/116177666585,1
"1892 S Morgan Silver Dollar, Circulated - free shipping!!",116311539674,"Feb 20, 2026",$85.00,$0.00,,,Fixed price,https://www.ebay.com/itm/116311539674,1
,,"Jan 12, 2026",$55.00,$5.15,,,Fixed price,,1
1892-S Morgan Dollar Very Good Condition,116735267768,"Jan 26, 2026",$78.75,$0.00,,,Fixed price,https://www.ebay.com/itm/116735267768,1
,,"Nov 20, 2025",$156.00,$0.00,,,Fixed price,,1
,,"Nov 18, 2025",$50.00,$6.50,,,Auction,,1
,,"Dec 1, 2025",$138.12,$3.99,,,Auction,,1
,,"Jan 2, 2026",$60.00,$0.00,,,Fixed price,,1
,,"Dec 26, 2025",$255.00,$6.50,,,Auction,,1
"Lot of 3 Morgan Silver Dollars Better Dates 1902-S, 1892, NICE 1884-O - Details",116971194997,"Jan 18, 2026",$286.00,$7.70,,,Auction,https://www.ebay.com/itm/116971194997,1
1892 S MORGAN SILVER DOLLAR COIN FREE SHIPPING RARE,116999074769,"Jan 31, 2026",$172.49,$0.00,,,Auction,https://www.ebay.com/itm/116999074769,1
VERY RARE! 1892 S Morgan Silver Dollar ~ KEY DATE ~ HIGH GRADE ~ 90% Silver $1,117001369385,"Feb 1, 2026",$182.50,$6.50,,,Auction,https://www.ebay.com/itm/117001369385,1
1892-S Morgan Silver Dollar Nice $1 VF Details Tough Date San Francisco Mint,117011243574,"Feb 7, 2026",$165.00,$5.00,,,Auction,https://www.ebay.com/itm/117011243574,1
1892 S Morgan Silver Dollar ~ CIRCULATED BUT RARE ~ 90% Silver $1,117030682574,"Feb 15, 2026",$158.27,$6.50,,,Auction,https://www.ebay.com/itm/117030682574,1
VF 1892-S MORGAN SILVER DOLLAR BEAUTIFULLY TONED COIN M-1809,117126197112,"Apr 10, 2026",$95.00,$5.25,,,Fixed price,https://www.ebay.com/itm/117126197112,1
1892-S Morgan Silver Dollar #4,126035207763,"Feb 15, 2026",$110.00,$0.00,,,Fixed price,https://www.ebay.com/itm/126035207763,1
1892-S Morgan Silver Dollar *6099,126683677610,"Feb 20, 2026",$325.00,$0.00,,,Fixed price,https://www.ebay.com/itm/126683677610,1
,,"Dec 2, 2025",$195.00,$7.70,,,Fixed price,,1
,,"Oct 31, 2025",$475.00,$0.00,,,Fixed price,,1
,,"Dec 1, 2025",$250.00,$0.00,,,Fixed price,,1
,,"Dec 30, 2025",$66.60,$0.00,,,Fixed price,,1
,,"Oct 25, 2025",$331.20,$3.24,,,Auction,,1
,,"Oct 21, 2025",$79.99,$0.00,,,Fixed price,,1
,,"Oct 20, 2025",$675.00,$4.25,,,Auction,,1
,,"Oct 26, 2025",$98.00,$0.00,,,Auction,,1
,,"Oct 29, 2025",$94.95,$0.00,,,Auction,,1
,,"Oct 31, 2025",$41.00,$0.00,,,Auction,,1
,,"Nov 3, 2025",$180.00,$0.00,,,Fixed price,,1
,,"Nov 6, 2025",$421.00,$0.00,,,Fixed price,,1
,,"Nov 11, 2025",$79.95,$5.25,,,Fixed price,,1
,,"Dec 10, 2025",$198.99,$0.00,,,Fixed price,,1
,,"Nov 14, 2025",$75.00,$5.20,,,Fixed price,,1
,,"Dec 7, 2025",$140.00,$0.00,,,Fixed price,,1
,,"Dec 26, 2025",$61.95,$5.25,,,Fixed price,,1
,,"Dec 27, 2025",$84.95,$0.00,,,Auction,,1
,,"Dec 28, 2025",$67.55,$0.00,,,Auction,,1
,,"Dec 29, 2025",$698.00,$19.74,,,Fixed price,,1
1892-S Morgan Silver One $1 Dollar - San Francisco R1706,127595184402,"Feb 5, 2026",$100.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127595184402,1
,,"Jan 7, 2026",$56.00,$4.76,,,Auction,,1
,,"Jan 10, 2026",$292.50,$0.00,,,Fixed price,,1
,,"Jan 11, 2026",$65.00,$0.00,,,Fixed price,,1
VG/F 1892-S Morgan Silver Dollar (1 coin) *0137,127624293269,"Jan 21, 2026",$94.95,$0.00,,,Auction,https://www.ebay.com/itm/127624293269,1
"1892-S, 1894-O & 1896-S Morgan Silver Dollars NGC VG8, F12, F15",127629998581,"Jan 17, 2026",$275.00,$5.00,,,Fixed price,https://www.ebay.com/itm/127629998581,1
1892-S Morgan Silver Dollar. Extra Fine,127633536520,"Apr 11, 2026",$450.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127633536520,1
VF 1892-S Morgan Silver Dollar (1 coin) *7333,127633934692,"Jan 26, 2026",$177.50,$0.00,,,Auction,https://www.ebay.com/itm/127633934692,1
"lot of 5 Morgan silver dollars, 1892 O,1894 O, 1898 S, 1900 O, 1904",127665852180,"Feb 9, 2026",$330.00,$5.75,,,Auction,https://www.ebay.com/itm/127665852180,1
VERY RARE! 1892 S Morgan Silver Dollar ~ KEY DATE ~ 90% Silver $1,127668178810,"Feb 10, 2026",$153.50,$3.54,,,Auction,https://www.ebay.com/itm/127668178810,1
KEY DATE! 1892 S Morgan Silver Dollar ~ RARE & In Demand ~ 90% Silver $1,127673891661,"Feb 13, 2026",$124.50,$6.50,,,Auction,https://www.ebay.com/itm/127673891661,1
"1892-S Better date Morgan dollar, NGC F15 original DKRC's DOLLAR DEAL WEDNESDAY!",127675516217,"Mar 4, 2026",$140.50,$0.00,,,Auction,https://www.ebay.com/itm/127675516217,1
1892- O Morgan Silver Dollar S$1 MS 62 - NGC,127677538066,"Feb 22, 2026",$466.55,$7.00,,,Auction,https://www.ebay.com/itm/127677538066,1
