Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
1895-O BARBER DIME PCGS G4 KEY DATE SOLID COIN,137433775539,"Jun 22, 2026",$525.00,$8.50,,,Fixed price,https://www.ebay.com/itm/137433775539,1
"Super Key 1895-O Barber Silver Dime, G. G3",137408299263,"Jun 19, 2026",$390.00,$10.00,,,Auction,https://www.ebay.com/itm/137408299263,1
1995 O BARBER DIME RARE New Orleans Key Date Coin 90% Silver AG- G Details,117236838856,"Jun 14, 2026",$175.60,$1.90,,,Auction,https://www.ebay.com/itm/117236838856,1
United States 1895-o Barber Dime,157973593260,"Jun 12, 2026",$375.00,$8.40,,,Auction,https://www.ebay.com/itm/157973593260,1
1895-O 10c Barber Silver Dime - Series Key Date,157987206192,"Jun 12, 2026",$495.00,$5.83,,,Fixed price,https://www.ebay.com/itm/157987206192,1
,,"Jun 5, 2026",$270.00,$0.00,,,Auction,,1
1895-O Barber Silver Dime VF+++/XF Details Key Date Beautiful High Grade! Rare,168422182393,"Jun 4, 2026",$885.00,$5.40,,,Fixed price,https://www.ebay.com/itm/168422182393,1
Lot of 3 1895-O 1901-S 1913-S Barber 10C Dime,127889221436,"Jun 1, 2026",$40.00,$9.00,,,Fixed price,https://www.ebay.com/itm/127889221436,1
[Removed] Item 147323622732,147323622732,"May 25, 2026",$40.00,$9.00,,,Fixed price,,1
Lot of 3 1895-O 1901-S 1913-S Barber Dime Silver 10C Key Date Coin,147308416906,"May 20, 2026",$45.00,$9.00,,,Fixed price,https://www.ebay.com/itm/147308416906,2
1895 O 10C Barber Dime NGC Good Details - Environmental Damage,117189099577,"May 17, 2026",$430.00,$0.00,,,Auction,https://www.ebay.com/itm/117189099577,1
1895-O Barber Silver Dime Rare Key Date New Orleans O Mint VG Cleaned Bent,800028818612,"May 17, 2026",$488.00,$0.00,,,Fixed price,https://www.ebay.com/itm/800028818612,1
"New Orleans O Mint Mark silver 1901 Barber Dime, 1906 Half Dollar, 1895 Quarter",227337597713,"May 16, 2026",$46.99,$5.97,,,Auction,https://www.ebay.com/itm/227337597713,1
1895 O Barber Dime 10c Liberty Head Ungraded 90% Silver US Coin CC29975,127803418132,"May 16, 2026",$675.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127803418132,1
1895-O Barber Dime - key date (10C New Orleans),389730661483,"May 15, 2026",$629.99,$6.20,,,Fixed price,https://www.ebay.com/itm/389730661483,1
Lot of 3 1895-O 1901-S 1913-S Barber Dime Silver 10C Key Date Coin,157893659491,"May 11, 2026",$34.33,$7.84,,,Fixed price,https://www.ebay.com/itm/157893659491,3
1895 O Barber Dime- Key Date- No Reserve,298290282205,"May 11, 2026",$325.00,$5.00,,,Auction,https://www.ebay.com/itm/298290282205,1
1895-O Barber Dime AG,188355962743,"May 9, 2026",$321.20,$0.00,,,Auction,https://www.ebay.com/itm/188355962743,1
1895 O Barber Dime * ESTATE * NICE*,137291497188,"May 7, 2026",$170.00,$4.27,,,Fixed price,https://www.ebay.com/itm/137291497188,1
[Removed] Item 397914758419,397914758419,"May 5, 2026",$29.99,$9.99,,,Fixed price,,2
1895-O Barber Dime G/G- details **KEY DATE**,168353402801,"May 4, 2026",$299.00,$5.99,,,Fixed price,https://www.ebay.com/itm/168353402801,1
[Removed] Item 397892558124,397892558124,"May 4, 2026",$29.99,$9.99,,,Fixed price,,1
"1894-O, 1895-S, 1896-O, 1897-O, 1897-S, 1901-S, 1903-S BARBER DIME KEY DATE COIN",198324550197,"May 3, 2026",$42.50,$5.99,,,Fixed price,https://www.ebay.com/itm/198324550197,1
1895 o Barber Dime G Key Date New Orleans Mint FREE S/H AND RETURNS,366346972374,"May 2, 2026",$585.00,$0.00,,,Fixed price,https://www.ebay.com/itm/366346972374,1
"1895-O, U.S. BARBER DIME-worn typical reverse strike for an 1895-O - RARE!",188288425420,"May 2, 2026",$361.00,$5.48,,,Auction,https://www.ebay.com/itm/188288425420,1
UNITED STATES 1895-O silver 10c Barber dime key date! Very nice!,178095793825,"May 1, 2026",$250.00,$5.40,,,Fixed price,https://www.ebay.com/itm/178095793825,1
"Lot of 5 Better Date US Silver Barber Dimes 1893-O,1895-S,1901,1909-S, 1913-S",366357034442,"Apr 29, 2026",$108.38,$0.00,,,Auction,https://www.ebay.com/itm/366357034442,1
"1895 Unknown Mint Barber Dime. Could be S or Plain, maybe O. Poor condition",236731284772,"Apr 27, 2026",$35.00,$5.62,,,Fixed price,https://www.ebay.com/itm/236731284772,1
"1895-O Barber Dime, Better Date New Orleans Mint Issue, Excellent Condition!",358478380941,"Apr 26, 2026",$34.95,$0.00,,,Fixed price,https://www.ebay.com/itm/358478380941,2
1895-O 10c Barber Silver Dime - PCGS XF Details,256906651112,"Apr 26, 2026","$1,651.00",$4.25,,,Fixed price,https://www.ebay.com/itm/256906651112,1
#234 - 1895 O Barber Dime KEY DATE PCGS G6,178075866467,"Apr 25, 2026",$495.00,$0.00,,,Auction,https://www.ebay.com/itm/178075866467,1
1895-O BARBER DIME DESIRABLE KEY DATE COIN!! #5,257462347443,"Apr 23, 2026",$353.39,$15.95,,,Fixed price,https://www.ebay.com/itm/257462347443,1
Lot of 3 1895-O 1901-S 1913-S Barber Dime Silver 10C Key Date Coin,358465195693,"Apr 22, 2026",$41.50,$9.00,,,Fixed price,https://www.ebay.com/itm/358465195693,2
