Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
1895 O 10C Barber Dime NGC Good Details - Environmental Damage,117189099577,"May 17, 2026",$430.00,$0.00,,,Auction,https://www.ebay.com/itm/117189099577,1
1895-O Barber Silver Dime Rare Key Date New Orleans O Mint VG Cleaned Bent,800028818612,"May 17, 2026",$488.00,$0.00,,,Fixed price,https://www.ebay.com/itm/800028818612,1
1895 S Barber Silver Dime 10C,257464840691,"May 17, 2026",$32.27,$1.99,,,Fixed price,https://www.ebay.com/itm/257464840691,1
1895 BARBER DIME,277701487075,"May 17, 2026",$270.00,$0.00,,,Fixed price,https://www.ebay.com/itm/277701487075,1
"New Orleans O Mint Mark silver 1901 Barber Dime, 1906 Half Dollar, 1895 Quarter",227337597713,"May 16, 2026",$46.99,$5.97,,,Auction,https://www.ebay.com/itm/227337597713,1
1895 O Barber Dime 10c Liberty Head Ungraded 90% Silver US Coin CC29975,127803418132,"May 16, 2026",$675.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127803418132,1
1895 S San Francisco Barber Dime Early Silver Dime 10C US Coin,406909226958,"May 16, 2026",$27.51,$3.00,,,Auction,https://www.ebay.com/itm/406909226958,1
1895 Barber Dime 10c Liberty Head Ungraded 90% Silver US Coin CC30377,127863378705,"May 16, 2026",$179.99,$0.00,,,Fixed price,https://www.ebay.com/itm/127863378705,1
1895-S Barber Dime,377114813780,"May 16, 2026",$65.00,$4.98,,,Fixed price,https://www.ebay.com/itm/377114813780,1
1895-O Barber Dime - key date (10C New Orleans),389730661483,"May 15, 2026",$629.99,$6.20,,,Fixed price,https://www.ebay.com/itm/389730661483,1
1895 Barber Dime Key Date,227333131908,"May 13, 2026",$86.00,$0.00,,,Auction,https://www.ebay.com/itm/227333131908,1
1895 Barber Silver Dime G Good Details 10c Coin Collectible SKU:CP1348,366406767127,"May 13, 2026",$74.99,$0.00,,,Fixed price,https://www.ebay.com/itm/366406767127,1
1895-P Barber Dime,389979632717,"May 12, 2026",$72.00,$0.00,,,Auction,https://www.ebay.com/itm/389979632717,1
Lot of 3 1895-O 1901-S 1913-S Barber Dime Silver 10C Key Date Coin,157893659491,"May 11, 2026",$34.33,$7.84,,,Fixed price,https://www.ebay.com/itm/157893659491,3
1895 O Barber Dime- Key Date- No Reserve,298290282205,"May 11, 2026",$325.00,$5.00,,,Auction,https://www.ebay.com/itm/298290282205,1
"1890's BARBER COIN TYPE SET In Case-Silver 1895 Half, 1899 Quarter, 1897 Dime.",206251968053,"May 11, 2026",$49.99,$6.30,,,Auction,https://www.ebay.com/itm/206251968053,1
(#102642) Barber Dime: 1895. NGC VG 8. Better date! (see video!),336559089864,"May 10, 2026",$279.99,$5.28,,,Auction,https://www.ebay.com/itm/336559089864,1
1895 Proof Barber Dime NGC Graded PF 66 United States Silver 10c Coin NR #C743-8,336561405837,"May 10, 2026","$1,200.00",$17.99,,,Auction,https://www.ebay.com/itm/336561405837,1
1895 S San Francisco Mint Barber Dime,257481813828,"May 9, 2026",$14.59,$0.50,,,Auction,https://www.ebay.com/itm/257481813828,1
1895-O Barber Dime AG,188355962743,"May 9, 2026",$321.20,$0.00,,,Auction,https://www.ebay.com/itm/188355962743,1
1895 Barber Dime 10C Silver 0.900 Business Strike Philadelphia #506,178119588700,"May 9, 2026",$35.95,$1.20,,,Fixed price,https://www.ebay.com/itm/178119588700,1
1895 Barber Dime G Details,366388182548,"May 9, 2026",$39.00,$3.75,,,Auction,https://www.ebay.com/itm/366388182548,1
"1895-S Barber Dime San Francisco Mint, Circulated",117177900330,"May 9, 2026",$28.00,$2.50,,,Auction,https://www.ebay.com/itm/117177900330,1
"1895 Barber Dime Very Good VG Coin, Scratches #39876",397913264797,"May 8, 2026",$129.95,$0.00,,,Fixed price,https://www.ebay.com/itm/397913264797,1
1895 O Barber Dime * ESTATE * NICE*,137291497188,"May 7, 2026",$170.00,$4.27,,,Fixed price,https://www.ebay.com/itm/137291497188,1
1895 Barber Dime - Scarce Key Date No Reserve #J9751,366380282891,"May 7, 2026",$107.50,$3.04,,,Auction,https://www.ebay.com/itm/366380282891,1
1895 P Barber Dime 10c Philadelphia Better Grade #100159,188197536994,"May 5, 2026",$150.00,$0.00,,,Fixed price,https://www.ebay.com/itm/188197536994,1
[Removed] Item 397914758419,397914758419,"May 5, 2026",$29.99,$9.99,,,Fixed price,,2
1895-S Barber Dime VF+ Tough Date & Grade! E795 GCHM,137145685088,"May 5, 2026",$223.00,$0.00,,,Fixed price,https://www.ebay.com/itm/137145685088,1
1895 Barber Dime- Semi Key Better Date- No Reserve #J8938,397886986680,"May 4, 2026",$102.50,$4.25,,,Auction,https://www.ebay.com/itm/397886986680,1
1895-O Barber Dime G/G- details **KEY DATE**,168353402801,"May 4, 2026",$299.00,$5.99,,,Fixed price,https://www.ebay.com/itm/168353402801,1
[Removed] Item 397892558124,397892558124,"May 4, 2026",$29.99,$9.99,,,Fixed price,,1
1895 S Barber Dime Good Lot 5389,318237867296,"May 3, 2026",$49.95,$3.95,,,Fixed price,https://www.ebay.com/itm/318237867296,1
1895 1895-S Barber Dimes Silver 10c Lot of 2,397883575777,"May 3, 2026",$100.00,$6.00,,,Auction,https://www.ebay.com/itm/397883575777,1
1895 S San Francisco Mint Barber Dime,257469681278,"May 3, 2026",$28.20,$6.00,,,Auction,https://www.ebay.com/itm/257469681278,1
