Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
1896-S BARBER QUARTER PCGS G4 CAC NICE ORIGINAL KEY DATE,156935182282,"Jul 5, 2026",$750.00,$13.05,,,Fixed price,https://www.ebay.com/itm/156935182282,1
,,"Jun 28, 2026",$635.00,$0.00,,,Auction,,1
1896-S Key Date Barber Quarter,227393238978,"Jun 28, 2026",$400.00,$12.95,,,Fixed price,https://www.ebay.com/itm/227393238978,1
"(70 coin BARBER QUARTER SET)1896-S DAMAGE MISSING 1901-S, 1913-S ,1907 & 1910",125562868084,"Jun 23, 2026","$2,399.94",$8.50,,,Fixed price,https://www.ebay.com/itm/125562868084,1
1896-S Barber Quarter in Good Plus G+ Condition,206337386533,"Jun 22, 2026",$671.00,$8.30,,,Fixed price,https://www.ebay.com/itm/206337386533,1
1896 s barber quarter 25c. PCGS G04,198409353252,"Jun 14, 2026",$575.00,$8.00,,,Auction,https://www.ebay.com/itm/198409353252,1
1896-S Barber Quarter Pcgs Good 4 Great Eye Appeal Original Surface,168425159616,"Jun 9, 2026",$552.00,$0.00,,,Auction,https://www.ebay.com/itm/168425159616,1
1896-S Barber Quarter NGC FAIR FA 2 Super Tough Key Date KIENX,157961511941,"Jun 4, 2026",$416.05,$8.95,,,Fixed price,https://www.ebay.com/itm/157961511941,1
Lot of 3 1903 S 1896 S 1897 S Barber Silver Quarter 25C Coin,127889222464,"Jun 2, 2026",$51.00,$9.00,,,Fixed price,https://www.ebay.com/itm/127889222464,1
"1896-S Key Date Barber quarter, NGC G4, very pleasing originalDavidKahnRareCoins",206238585164,"May 24, 2026",$700.90,$0.00,,,Auction,https://www.ebay.com/itm/206238585164,1
"1896-S Barber Quarter, Better Date San Francisco Mint Issue, Excellent Condition",198360939682,"May 21, 2026",$35.99,$0.00,,,Fixed price,https://www.ebay.com/itm/198360939682,1
Lot of 3 1903 S 1896 S 1897 S Barber Silver Quarter 25C Coin,147308432454,"May 20, 2026",$33.75,$9.00,,,Fixed price,https://www.ebay.com/itm/147308432454,4
US Coin 1896-S Barber Quarter Silver 25C Key Date RARE NO RESERVE!,127866597318,"May 20, 2026",$591.00,$20.00,,,Auction,https://www.ebay.com/itm/127866597318,1
1896-S Barber Silver Quarter - #C59769NQ,227340013604,"May 16, 2026",$430.00,$0.00,,,Auction,https://www.ebay.com/itm/227340013604,1
Lot of 3 1903 S 1896 S 1897 S Barber Silver Quarter 25C Coin,157893659503,"May 12, 2026",$39.80,$8.70,,,Fixed price,https://www.ebay.com/itm/157893659503,5
1896-S PCGS G04 Barber Quarter - Key Date - PCGS Gold Shield,168363367421,"May 8, 2026",$650.00,$0.00,,,Fixed price,https://www.ebay.com/itm/168363367421,1
Lot of 3 1903 S 1896 S 1897 S Barber Silver Quarter 25C Coin,157871593608,"May 6, 2026",$47.50,$8.00,,,Fixed price,https://www.ebay.com/itm/157871593608,2
1896 S Barber Quarter ICG VG-8,227292498734,"Apr 30, 2026","$1,550.00",$5.89,,,Fixed price,https://www.ebay.com/itm/227292498734,1
1896-S Barber Quarter ***KEY DATES***,267639000608,"Apr 30, 2026",$455.00,$10.00,,,Fixed price,https://www.ebay.com/itm/267639000608,1
(2) Barber Silver Quarters 1897 S & 1896 O Barber 25 C Key Date Rare Low Mintage,257464113232,"Apr 26, 2026",$102.50,$5.75,,,Auction,https://www.ebay.com/itm/257464113232,1
Item ID 397824846545,397824846545,"Apr 25, 2026",$36.33,$0.00,,,Fixed price,https://www.ebay.com/itm/397824846545,3
US 1896-S Barber Liberty Head Quarter Coin Modern Restrike,127799431334,"Apr 15, 2026",$16.00,$1.50,,,Fixed price,https://www.ebay.com/itm/127799431334,1
