Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
1896-S Morgan Silver Dollar Key Date RARE Looks XF - Valued $500 In XF,117236640474,"Jun 12, 2026",$155.51,$6.99,,,Auction,https://www.ebay.com/itm/117236640474,1
"Lot of Five (5) Morgan Silver Dollars 1889-P, 1890-S, 1896-P(2),1921-P",117213348303,"May 29, 2026",$332.89,$0.00,,,Auction,https://www.ebay.com/itm/117213348303,1
1896 S Morgan Silver Dollar SAN FRANCISCO MINT VF EF SEE,117215151312,"May 25, 2026",$74.00,$6.00,,,Fixed price,https://www.ebay.com/itm/117215151312,1
"(5) Five Morgan U.S. SILVER DOLLARS: 1879-S, 1881-S, 1883-O, 1896-P, 1899-O BU",117204217775,"May 24, 2026",$360.00,$0.00,,,Auction,https://www.ebay.com/itm/117204217775,1
"Morgan Silver Dollar Lot Of 6! 1882-s,1896-o,1900-o,1901-s,1902-o And 1904-o",117200273225,"May 20, 2026",$316.51,$5.97,,,Auction,https://www.ebay.com/itm/117200273225,1
1896-S Morgan Silver Dollar ANACS XF45 DETAILS Looks High AU DETAILS RARE 1896-S,117183772665,"May 12, 2026",$234.50,$7.49,,,Auction,https://www.ebay.com/itm/117183772665,1
GREAT 1896-S MORGAN SILVER DOLLAR GREAT!,137261189514,"May 4, 2026",$100.00,$6.00,,,Auction,https://www.ebay.com/itm/137261189514,1
1896 S MORGAN SILVER DOLLAR HI GRADE GENUINE U.S. MINT RARE KEY COIN 4415,267647675647,"May 3, 2026",$281.00,$0.00,,,Auction,https://www.ebay.com/itm/267647675647,1
"1896-S Morgan Silver Dollar Coin, Choice AU Tough Better Date++",397883690653,"May 3, 2026",$33.99,$0.00,,,Fixed price,https://www.ebay.com/itm/397883690653,14
(#102584) Morgan Dollar: 1896 S VG Better date! (See video!),336552874550,"May 3, 2026",$81.99,$1.64,,,Auction,https://www.ebay.com/itm/336552874550,1
1896 S Morgan Dollar AU++ Great Eye Appeal Excellent Strike.,188291219260,"May 3, 2026",$960.11,$6.03,,,Auction,https://www.ebay.com/itm/188291219260,1
1896-S San Francisco Morgan Silver Dollar Extra Fine Details,168339134813,"May 3, 2026",$258.00,$4.79,,,Auction,https://www.ebay.com/itm/168339134813,1
1896-S Morgan Silver Dollar Key Date - rare coin,227320906904,"May 3, 2026",$69.76,$5.05,,,Auction,https://www.ebay.com/itm/227320906904,1
1896 s morgan silver dollar Rare Hard To Fine,287295896953,"May 3, 2026",$132.50,$10.00,,,Auction,https://www.ebay.com/itm/287295896953,1
