Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
1898-O Morgan Silver Dollar MS63 ICG,135539442102,"Jan 5, 2026",$74.98,$0.00,,,Fixed price,https://www.ebay.com/itm/135539442102,6
,,"Jan 13, 2026",$89.95,$0.00,,,Fixed price,,5
1898-O Morgan Silver Dollar MS63 PCGS,295646142712,"Mar 20, 2026",$126.00,$0.00,,,Fixed price,https://www.ebay.com/itm/295646142712,2
,,"Nov 23, 2025",$260.00,$0.00,,,Fixed price,,1
,,"Dec 28, 2025",$550.00,$0.00,,,Fixed price,,1
,,"Jan 27, 2026",$152.50,$6.99,,,Auction,,1
"Morgan Silver Dollar Lot Of 3! 1885-O MS 64, 1898-O, MS 64 And 1883-O MS63.",117043086433,"Feb 20, 2026",$302.89,$5.30,,,Auction,https://www.ebay.com/itm/117043086433,1
One(1) Beautiful 1899-O Morgan Silver Dollar PCGS MS63 7878,117078671750,"Mar 19, 2026",$85.00,$8.75,,,Auction,https://www.ebay.com/itm/117078671750,1
1898-O Morgan Silver Dollar – PCGS MS63 – Trader Bea Purple Core Holder - Toning,117080486299,"Apr 6, 2026",$109.25,$0.00,,,Fixed price,https://www.ebay.com/itm/117080486299,1
1898-O PCGS MS63 Morgan Silver Dollar in Old Green Holder (OGH) Beautiful Toned,117155680571,"Apr 28, 2026",$130.00,$6.95,,,Fixed price,https://www.ebay.com/itm/117155680571,1
1898 O NGC MS63 Old Holder Morgan Silver Dollar,117157471049,"Apr 29, 2026",$98.00,$7.50,,,Auction,https://www.ebay.com/itm/117157471049,1
1898 O Morgan Silver Dollar MS63 NGC - DC135,125188502353,"Apr 25, 2026",$79.00,$6.55,,,Fixed price,https://www.ebay.com/itm/125188502353,1
,,"Dec 3, 2025",$74.00,$7.70,,,Fixed price,,1
1898-O Morgan Silver Dollar Original Bag Fragment MS63 NGC,127406883839,"Jan 19, 2026",$118.75,$0.00,,,Fixed price,https://www.ebay.com/itm/127406883839,1
,,"Jan 1, 2026",$225.00,$5.00,,,Fixed price,,1
,,"Dec 1, 2025",$91.00,$4.95,,,Auction,,1
,,"Dec 3, 2025",$76.77,$0.00,,,Auction,,1
,,"Dec 6, 2025",$95.00,$8.55,,,Fixed price,,1
,,"Jan 21, 2026",$205.00,$0.00,,,Auction,,1
,,"Feb 4, 2026",$221.50,$0.00,,,Auction,,1
1898-O $1 NGC MS63 Old Fatty Holder Morgan Silver Dollar PJ,127703664220,"Feb 24, 2026",$119.99,$0.00,,,Fixed price,https://www.ebay.com/itm/127703664220,1
1898-O PCGS MS63 MORGAN SILVER DOLLAR CERTIFIED,127731548043,"Mar 21, 2026",$100.00,$6.00,,,Fixed price,https://www.ebay.com/itm/127731548043,1
,,"Dec 26, 2025",$90.00,$0.00,,,Fixed price,,1
,,"Nov 20, 2025",$85.00,$0.00,,,Fixed price,,1
,,"Nov 23, 2025",$69.95,$0.00,,,Auction,,1
,,"Dec 4, 2025",$90.00,$5.00,,,Fixed price,,1
,,"Dec 12, 2025",$69.95,$0.00,,,Auction,,1
,,"Jan 20, 2026",$97.99,$7.45,,,Fixed price,,1
,,"Feb 2, 2026",$80.00,$5.00,,,Fixed price,,1
,,"Jan 12, 2026",$84.95,$0.00,,,Auction,,1
,,"Jan 22, 2026",$99.00,$0.00,,,Auction,,1
,,"Jan 29, 2026",$109.10,$5.45,,,Auction,,1
1898 O Morgan Silver Dollar - Beautiful Mint State - NGC MS63 - FREE SHIPPING,137181422598,"Apr 3, 2026",$114.50,$0.00,,,Fixed price,https://www.ebay.com/itm/137181422598,1
1898 O S$1 Morgan Dollar Coin NGC Certified MS63 The Official Red Book,137181695505,"Apr 9, 2026",$94.69,$7.00,,,Auction,https://www.ebay.com/itm/137181695505,1
