Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
FINE+ 1899-S MORGAN SILVER DOLLAR BEAUTIFULLY TONED COLLECTOR QUALITY M-1979,117180223299,"Jun 21, 2026",$99.00,$5.75,,,Fixed price,https://www.ebay.com/itm/117180223299,3
1899-P Vintage US Morgan One Dollar Collectible Silver Liberty,298417758106,"Jun 21, 2026",$90.00,$0.00,,,Fixed price,https://www.ebay.com/itm/298417758106,2
1899-P Morgan Dollar BU Circulated Mint State 90% Silver $1 US Coin,366473691088,"Jun 16, 2026",$59.88,$0.00,,,Fixed price,https://www.ebay.com/itm/366473691088,12
,,"Jun 11, 2026",$58.02,$0.00,,,Fixed price,,3
,,"Jun 7, 2026",$56.86,$0.00,,,Fixed price,,2
[Removed] Item 198395703781,198395703781,"Jun 3, 2026",$59.90,$0.00,,,Fixed price,,2
[Removed] Item 366441972364,366441972364,"Jun 1, 2026",$46.56,$5.99,,,Fixed price,,3
6 Morgan Silver Dollar US Reproduction Coins 1899 - 1904 Looks/Feels Authentic!,377083161607,"May 30, 2026",$20.62,$0.00,,,Fixed price,https://www.ebay.com/itm/377083161607,3
,,"May 29, 2026",$50.46,$5.99,,,Fixed price,,15
1899 Morgan Silver Dollar MS63 ICG,127442628859,"May 29, 2026",$375.98,$0.00,,,Fixed price,https://www.ebay.com/itm/127442628859,2
1899-P Morgan Silver Dollar for Hobby Collection,318342795849,"May 27, 2026",$79.50,$0.00,,,Fixed price,https://www.ebay.com/itm/318342795849,4
[Removed] Item 168401354970,168401354970,"May 26, 2026",$80.00,$0.00,,,Fixed price,,2
1899 O Morgan Dollar VF Very Fine 90% Silver $1 US Coin Collectible,366322641248,"May 23, 2026",$85.49,$0.00,,,Fixed price,https://www.ebay.com/itm/366322641248,2
,,"May 22, 2026",$59.48,$0.00,,,Fixed price,,2
[Removed] Item 168383836079,168383836079,"May 20, 2026",$60.00,$0.00,,,Fixed price,,2
"Lot Of 4 Cull Morgan 90% Silver Dollars 1889, 1884-S, 1901-O, And 1899-O",257506128190,"May 17, 2026",$225.00,$6.24,,,Fixed price,https://www.ebay.com/itm/257506128190,1
1899-S Morgan Silver Dollar VF E342 QEM,137032879718,"May 17, 2026",$121.03,$0.00,,,Fixed price,https://www.ebay.com/itm/137032879718,1
1899 O MORGAN SILVER DOLLAR AU,147311419849,"May 17, 2026",$53.78,$4.20,,,Auction,https://www.ebay.com/itm/147311419849,1
1899-O Morgan Silver Dollar $1 PCGS MS64 PURPLE! Old Glory C&C Weekly 1c Auction,358557519506,"May 17, 2026",$92.00,$3.00,,,Auction,https://www.ebay.com/itm/358557519506,1
1899-O $1 TOP-100 VAM 31 MICRO O PCGS AU DETAIL 1899 O MORGAN SILVER DOLLAR,127858001242,"May 17, 2026",$127.50,$5.45,,,Auction,https://www.ebay.com/itm/127858001242,1
"1899-S Morgan Silver Dollar, Lustrous XF-AU, Scarce S Mint",336573365444,"May 17, 2026",$195.00,$0.00,,,Auction,https://www.ebay.com/itm/336573365444,1
Lot x4 1897-P 1899-O 1900 1902-O PCGS MS63 MS64 Morgan SIlver Dollar,137305338453,"May 17, 2026",$373.00,$6.37,,,Auction,https://www.ebay.com/itm/137305338453,1
"1889-S Morgan Silver Dollar- High Grade Key Date-ONLY 700,000 Minted",267666094059,"May 17, 2026",$88.00,$0.00,,,Auction,https://www.ebay.com/itm/267666094059,1
Early - 1899-O Morgan Silver Dollar - 90% US Coin *681,127861768909,"May 17, 2026",$53.00,$0.00,,,Auction,https://www.ebay.com/itm/127861768909,1
"1899 S Morgan Silver Dollar, High Grade, Lustrous, Better, Semi-KEY Date $1 Coin",236802807173,"May 17, 2026",$316.20,$3.77,,,Auction,https://www.ebay.com/itm/236802807173,1
"1891, 1891 O, and 1899 O $1 Morgan Silver Dollars",137292983796,"May 17, 2026",$153.50,$0.00,,,Auction,https://www.ebay.com/itm/137292983796,1
1899 Morgan Silver Dollar NGC MS 62,206222532249,"May 17, 2026",$299.94,$0.00,,,Fixed price,https://www.ebay.com/itm/206222532249,1
1899-O Morgan Dollar- Choice Gem Brilliant Uncirculated Luster #K2926,366400911698,"May 17, 2026",$70.50,$4.75,,,Auction,https://www.ebay.com/itm/366400911698,1
05/00000017 L#4267 1899 O Morgan Silver Dollar PCGS MS63 (cok),157916154514,"May 17, 2026",$405.00,$0.00,,,Auction,https://www.ebay.com/itm/157916154514,1
Early - 1899-O Morgan Silver Dollar - 90% US Coin *538,137304958071,"May 17, 2026",$60.01,$0.00,,,Auction,https://www.ebay.com/itm/137304958071,1
1899 (O) Morgan Silver Dollar Coin Ring Size 5.5 #J4700,206044266932,"May 17, 2026",$90.00,$3.99,,,Fixed price,https://www.ebay.com/itm/206044266932,1
"1899-o Morgan Silver Dollar Coin. Micro ""o"" Mint Mark. Slabbed",117178660195,"May 17, 2026",$138.91,$5.40,,,Fixed price,https://www.ebay.com/itm/117178660195,1
1899-O Morgan Silver Dollar $1 Coin 90% Silver Orleans Mint VF/F condition,188348451200,"May 17, 2026",$40.00,$5.72,,,Auction,https://www.ebay.com/itm/188348451200,1
1899-P Morgan Silver Dollar PCGS MS62 Nice Eye Appeal Nice Strike,287329947098,"May 17, 2026",$299.99,$5.99,,,Fixed price,https://www.ebay.com/itm/287329947098,1
1899 O $1 NGC MS64 United States Morgan Silver One Dollar Nice Example!,377185609500,"May 17, 2026",$120.00,$0.00,,,Fixed price,https://www.ebay.com/itm/377185609500,1
1899 P Morgan Silver Dollar PCGS AU53 Tough Date Morgan Only 330k Minted,287328812325,"May 17, 2026",$195.50,$5.89,,,Fixed price,https://www.ebay.com/itm/287328812325,1
Early - 1899-O Morgan Silver Dollar - 90% US Coin *499,137304746965,"May 17, 2026",$63.01,$0.00,,,Auction,https://www.ebay.com/itm/137304746965,1
1899-P Morgan Silver Dollar $1 VF Very Fine Semi-Key Date,327151008381,"May 17, 2026",$159.00,$0.00,,,Fixed price,https://www.ebay.com/itm/327151008381,1
US 90% SILVER MORGAN SILVER DOLLAR LOT 1884 1896 1899 O ORLEANS MINT & CASE NR!,157905386471,"May 17, 2026",$178.50,$7.00,,,Auction,https://www.ebay.com/itm/157905386471,1
1899 S Morgan Silver Dollar,147307547043,"May 17, 2026",$61.00,$6.49,,,Auction,https://www.ebay.com/itm/147307547043,1
1899-O Morgan Dollar Silver Coin New Orleans Mint Nice Detail,127861316977,"May 17, 2026",$49.99,$5.17,,,Auction,https://www.ebay.com/itm/127861316977,1
1899-O Morgan Silver Dollar MS63 PL ICG *2448,127846794002,"May 17, 2026",$189.95,$0.00,,,Fixed price,https://www.ebay.com/itm/127846794002,1
1899-O Morgan Silver Dollar MS63 PL ICG *2453,127854733007,"May 17, 2026",$189.95,$0.00,,,Fixed price,https://www.ebay.com/itm/127854733007,1
1899-O Morgan Dollar - NGC MS63,298305443973,"May 17, 2026",$98.00,$4.99,,,Auction,https://www.ebay.com/itm/298305443973,1
1899-O Morgan Silver Dollar MS64 PL ICG *4575,127848580813,"May 17, 2026",$180.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127848580813,1
Morgan Silver Dollar $1 Coin Lot (10) 1881-1899 90% Silver Circulated,318314488187,"May 17, 2026","$1,500.00",$9.54,,,Fixed price,https://www.ebay.com/itm/318314488187,1
1899 P Morgan Silver Dollar $1 US Coin Uncirculated,406926158345,"May 17, 2026",$67.67,$0.00,,,Fixed price,https://www.ebay.com/itm/406926158345,3
1899 P - Morgan Dollar $1 - Gem BU++ - Cleaned Obverse,397951048793,"May 17, 2026",$48.78,$0.00,,,Fixed price,https://www.ebay.com/itm/397951048793,1
1899 S Morgan Dollar Great Eye Appeal Excellent Strike. 100% Original,377176075199,"May 17, 2026",$40.67,$0.00,,,Fixed price,https://www.ebay.com/itm/377176075199,9
,,"May 17, 2026",$67.67,$0.00,,,Fixed price,,3
1899 O Morgan Silver Dollar PCGS MS-64,397941141731,"May 16, 2026",$115.00,$7.50,,,Fixed price,https://www.ebay.com/itm/397941141731,1
1899-O $1 Morgan Silver Dollar (89431),227289559724,"May 16, 2026",$65.35,$0.00,,,Fixed price,https://www.ebay.com/itm/227289559724,1
1899 P Morgan Silver Dollar PCGS AU53 Tough Date Morgan Only 330k Minted,389975136094,"May 16, 2026",$235.00,$0.00,,,Fixed price,https://www.ebay.com/itm/389975136094,1
1899-P $1 Morgan Dollar 90% Silver Philadelphia US Coin - SEMI KEY DATE! LUSTER!,306933407790,"May 16, 2026",$250.50,$5.97,,,Auction,https://www.ebay.com/itm/306933407790,1
1899-S $1 Morgan Dollar 90% Silver San Francisco US Coin,306933403004,"May 16, 2026",$58.76,$5.97,,,Auction,https://www.ebay.com/itm/306933403004,1
1899-S Morgan Silver Dollar PCGS VF30 Very Tough Date & Very Fine Example,257493628394,"May 16, 2026",$105.00,$5.28,,,Auction,https://www.ebay.com/itm/257493628394,1
1899-O Morgan Dollar NGC MS63 S$1 New Orleans Minted Silver Dollar No Reserve,137302004882,"May 16, 2026",$81.06,$3.03,,,Auction,https://www.ebay.com/itm/137302004882,1
1899 O BU UNCIRCULATED MORGAN SILVER DOLLAR AUTHENTIC U.S.MINT FREESHIPPING 6012,277964290474,"May 16, 2026",$133.50,$0.00,,,Auction,https://www.ebay.com/itm/277964290474,1
1884 MORGAN SILVER DOLLAR PCGS MS64 RAINBOW CRESENT TONED SEE PICTURES,137296095704,"May 16, 2026",$103.00,$5.99,,,Auction,https://www.ebay.com/itm/137296095704,1
1902 Morgan Silver Dollar $1 PCGS MS65 5684,198319669218,"May 16, 2026",$399.00,$0.00,,,Fixed price,https://www.ebay.com/itm/198319669218,1
1899 Philadelphia US Morgan Silver Dollar ~ AU ~ Uncertified ~ Light Toning ~,327144012989,"May 16, 2026",$230.27,$5.17,,,Auction,https://www.ebay.com/itm/327144012989,1
1899 S US Morgan Silver Dollar ~ Circulated ~ Uncertified ~,327144011560,"May 16, 2026",$96.01,$5.40,,,Auction,https://www.ebay.com/itm/327144011560,1
"1899-S Morgan Dollar, Nice Coin, Estate Sale, FREE SHIP",147308535651,"May 16, 2026",$65.00,$0.00,,,Fixed price,https://www.ebay.com/itm/147308535651,1
1899 O MORGAN SILVER DOLLAR AUTHENTIC HI GRADE U.S. MINT COIN FREE SHIPPING 6046,277964289364,"May 16, 2026",$92.75,$0.00,,,Auction,https://www.ebay.com/itm/277964289364,1
