Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
1900-s Uncirculated Morgan Silver Dollar PCGS MS64 ~ Semi Key Date,137456132812,"Jul 6, 2026","$1,000.00",$5.97,,,Auction,https://www.ebay.com/itm/137456132812,1
1900-S Morgan Silver Dollar NGC MS64 CAC Jules Reiver Collection Gun Metal Frost,206380115423,"Jul 5, 2026","$1,146.00",$0.00,,,Auction,https://www.ebay.com/itm/206380115423,1
1900 Morgan Silver Dollar PCGS MS64 S$1 Philadelphia Minted No Reserve,377297491584,"Jul 5, 2026",$92.00,$3.50,,,Auction,https://www.ebay.com/itm/377297491584,1
1900-S Morgan Silver Dollar NGC MS64 Brilliant Lustrous Example,205838976091,"Jun 8, 2026","$1,170.17",$0.00,,,Fixed price,https://www.ebay.com/itm/205838976091,1
MS64 1900-S Morgan Silver Dollar ICG *1516,366395181053,"May 14, 2026",$932.00,$0.00,,,Fixed price,https://www.ebay.com/itm/366395181053,1
Morgan 1880-S PCGS MS64 & 1900 NGC MS63 $1 Silver Dollar Lot,227306475250,"Apr 21, 2026",$203.50,$0.00,,,Auction,https://www.ebay.com/itm/227306475250,1
1900 Morgan Silver Dollar NGC MS64 S$1 Philadelphia Minted No Reserve,397817783711,"Apr 19, 2026",$108.05,$3.50,,,Auction,https://www.ebay.com/itm/397817783711,1
1900-O Morgan Silver Dollar NGC MS64 S$1 New Orleans Minted No Reserve,397825194742,"Apr 19, 2026",$113.00,$0.00,,,Auction,https://www.ebay.com/itm/397825194742,1
1900 Morgan Silver Dollar PCGS MS64 S$1 Philadelphia Minted No Reserve,157784345431,"Apr 1, 2026",$107.50,$0.00,,,Auction,https://www.ebay.com/itm/157784345431,1
1900 O Morgan Silver Dollar S$1 NGC MS64 Choice Uncirculated,277852813347,"Apr 1, 2026",$129.95,$0.00,,,Fixed price,https://www.ebay.com/itm/277852813347,1
,,"Apr 1, 2026",$107.50,$0.00,,,Auction,,1
,,"Apr 1, 2026",$129.95,$0.00,,,Fixed price,,1
1900-O Morgan Silver Dollar NGC MS64 S$1 New Orleans Minted No Reserve,377047184833,"Mar 29, 2026",$116.05,$3.50,,,Auction,https://www.ebay.com/itm/377047184833,1
,,"Mar 29, 2026",$116.05,$3.50,,,Auction,,1
1900-O Morgan Silver Dollar NGC MS64 S$1 New Orleans Minted No Reserve,377042036329,"Mar 25, 2026",$113.50,$3.50,,,Auction,https://www.ebay.com/itm/377042036329,1
,,"Mar 25, 2026",$113.50,$3.50,,,Auction,,1
1900-O Morgan Silver Dollar NGC MS64 S$1 New Orleans Minted No Reserve,377031832858,"Mar 22, 2026",$111.50,$3.50,,,Auction,https://www.ebay.com/itm/377031832858,1
1900-O Morgan Silver Dollar NGC MS64 S$1 New Orleans Minted No Reserve,397705136073,"Mar 22, 2026",$109.03,$0.00,,,Auction,https://www.ebay.com/itm/397705136073,1
,,"Mar 22, 2026",$111.50,$3.50,,,Auction,,1
,,"Mar 22, 2026",$109.03,$0.00,,,Auction,,1
1900 Morgan Silver Dollar PCGS MS64 S$1 Philadelphia Minted No Reserve,157737560964,"Mar 18, 2026",$112.50,$3.50,,,Auction,https://www.ebay.com/itm/157737560964,1
1900 Morgan Silver Dollar NGC MS64 S$1 Philadelphia Minted No Reserve,377023303685,"Mar 18, 2026",$113.08,$3.50,,,Auction,https://www.ebay.com/itm/377023303685,1
1900-O Morgan Silver Dollar NGC MS64 S$1 New Orleans Minted No Reserve,397696791344,"Mar 18, 2026",$114.03,$3.50,,,Auction,https://www.ebay.com/itm/397696791344,1
,,"Mar 18, 2026",$112.50,$3.50,,,Auction,,1
,,"Mar 18, 2026",$113.08,$3.50,,,Auction,,1
,,"Mar 18, 2026",$114.03,$3.50,,,Auction,,1
1900-O Morgan Silver Dollar NGC MS64 S$1 New Orleans Minted No Reserve,377006528340,"Mar 11, 2026",$123.45,$3.50,,,Auction,https://www.ebay.com/itm/377006528340,1
,,"Mar 11, 2026",$123.45,$3.50,,,Auction,,1
1900-O Morgan Silver Dollar NGC MS64 S$1 New Orleans Minted No Reserve,157693229376,"Mar 1, 2026",$115.05,$0.00,,,Auction,https://www.ebay.com/itm/157693229376,1
,,"Mar 1, 2026",$115.05,$0.00,,,Auction,,1
1900-S Silver Morgan Dollar MS64,376424691933,"Feb 24, 2026","$1,150.00",$0.00,,,Fixed price,https://www.ebay.com/itm/376424691933,1
,,"Feb 24, 2026","$1,150.00",$0.00,,,Fixed price,,1
1900-O Morgan Silver Dollar NGC MS64 S$1 New Orleans Minted No Reserve,397604425424,"Feb 22, 2026",$120.05,$0.00,,,Auction,https://www.ebay.com/itm/397604425424,1
,,"Feb 22, 2026",$120.05,$0.00,,,Auction,,1
1900-O Morgan Silver Dollar NGC MS64+ S$1 New Orleans Minted No Reserve,157671307940,"Feb 18, 2026",$122.00,$0.00,,,Auction,https://www.ebay.com/itm/157671307940,1
1900-O Morgan Silver Dollar NGC MS64 S$1 New Orleans Minted No Reserve,376949470542,"Feb 18, 2026",$93.00,$0.00,,,Auction,https://www.ebay.com/itm/376949470542,1
,,"Feb 18, 2026",$122.00,$0.00,,,Auction,,1
,,"Feb 18, 2026",$93.00,$0.00,,,Auction,,1
1900-O United States Morgan Silver Dollar $1 PCGS Graded MS64 - Free S&H USA,397617085233,"Feb 16, 2026",$125.00,$0.00,,,Fixed price,https://www.ebay.com/itm/397617085233,1
,,"Feb 16, 2026",$125.00,$0.00,,,Fixed price,,1
,,"Feb 8, 2026",$103.50,$3.50,,,Auction,,1
,,"Jan 31, 2026",$125.00,$5.52,,,Fixed price,,1
,,"Jan 28, 2026",$120.50,$3.50,,,Auction,,1
,,"Jan 25, 2026",$175.00,$0.00,,,Auction,,1
,,"Jan 25, 2026",$107.50,$0.00,,,Auction,,1
,,"Jan 22, 2026",$99.08,$3.50,,,Auction,,1
,,"Jan 21, 2026",$105.50,$0.00,,,Auction,,1
,,"Jan 18, 2026",$854.96,$0.00,,,Fixed price,,1
,,"Jan 18, 2026",$127.50,$0.00,,,Auction,,1
,,"Jan 18, 2026",$106.07,$0.00,,,Auction,,1
,,"Jan 14, 2026",$105.50,$0.00,,,Auction,,1
,,"Jan 14, 2026",$119.10,$3.50,,,Auction,,1
,,"Jan 7, 2026",$102.51,$0.00,,,Auction,,1
,,"Jan 4, 2026",$92.67,$3.50,,,Auction,,1
,,"Dec 29, 2025","$1,178.00",$0.00,,,Fixed price,,1
,,"Dec 28, 2025",$102.00,$3.50,,,Auction,,1
,,"Dec 24, 2025",$95.00,$0.00,,,Auction,,1
,,"Dec 22, 2025",$99.00,$5.99,,,Fixed price,,1
,,"Dec 15, 2025","$1,225.00",$14.50,,,Fixed price,,1
,,"Dec 14, 2025","$1,076.00",$0.00,,,Auction,,1
,,"Dec 10, 2025",$108.00,$13.22,,,Auction,,1
,,"Dec 3, 2025",$85.05,$3.50,,,Auction,,1
,,"Dec 3, 2025",$96.88,$3.50,,,Auction,,1
,,"Nov 21, 2025","$1,395.00",$5.95,,,Fixed price,,1
,,"Nov 19, 2025","$1,599.00",$0.00,,,Fixed price,,1
,,"Nov 16, 2025",$81.01,$0.00,,,Auction,,1
,,"Nov 12, 2025",$89.00,$3.50,,,Auction,,1
