Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
1901-O US Morgan Silver Dollar $1 - NGC Brilliant Uncirculated,375368884450,"May 5, 2026",$100.58,$0.00,,,Fixed price,https://www.ebay.com/itm/375368884450,21
1901 O Morgan Dollar BU Choice Uncirculated Silver $1 Coin,365683756400,"May 1, 2026",$107.88,$0.00,,,Fixed price,https://www.ebay.com/itm/365683756400,9
XF 1901-O Morgan Silver Dollar (1 coin),365857404086,"Jan 17, 2026",$61.42,$0.00,,,Fixed price,https://www.ebay.com/itm/365857404086,13
* 1901-O * CHOICE to GEM BU MS MORGAN SILVER DOLLAR * FROM ORIGINAL BANK BAG *,154335557912,"Apr 3, 2026",$155.95,$0.00,,,Fixed price,https://www.ebay.com/itm/154335557912,5
BU/Unc 1901-O Morgan Silver Dollar (1 coin),124632898996,"Jan 19, 2026",$83.75,$0.00,,,Fixed price,https://www.ebay.com/itm/124632898996,5
1901 O Morgan Dollar VF Very Fine 90% Silver $1 US Coin Collectible,365978725885,"Jan 25, 2026",$108.99,$0.00,,,Fixed price,https://www.ebay.com/itm/365978725885,7
MS 1901-O MORGAN SILVER DOLLAR BEAUTIFUL MS DETAIL COLLECTOR GRADE COIN M-1509,116956471210,"Mar 9, 2026",$89.67,$5.25,,,Fixed price,https://www.ebay.com/itm/116956471210,3
,,"Feb 2, 2026",$70.00,$7.95,,,Fixed price,,4
1901-O Morgan Silver Dollar MS64 PCGS Blue Label,135220895481,"Nov 29, 2025",$93.33,$0.00,,,Fixed price,https://www.ebay.com/itm/135220895481,3
VF 1901-O Morgan Silver Dollar (1 coin),135753197955,"Dec 28, 2025",$61.28,$16.85,,,Fixed price,https://www.ebay.com/itm/135753197955,3
VG/F 1901-O Morgan Silver Dollar (1 coin),365117524291,"Dec 16, 2025",$48.46,$0.00,,,Fixed price,https://www.ebay.com/itm/365117524291,4
1901-O Morgan Silver Dollar PCGS MS65 Blazing White Gem Nice Strike - STOCK,389233183853,"Mar 1, 2026",$249.00,$0.00,,,Fixed price,https://www.ebay.com/itm/389233183853,3
1901-O Morgan Silver Dollar Original Bag Fragment MS63 NGC,136533825865,"Feb 21, 2026",$120.00,$0.00,,,Fixed price,https://www.ebay.com/itm/136533825865,2
,,"Jan 20, 2026",$69.99,$12.48,,,Fixed price,,5
,,"Jan 14, 2026",$98.00,$2.99,,,Fixed price,,2
1901 O Morgan Dollar From OBW Estate Roll Choice-Gem Bu Uncirculated 90% Silver,266901025586,"Apr 22, 2026",$165.00,$0.00,,,Fixed price,https://www.ebay.com/itm/266901025586,2
1901-O Morgan Silver Dollar MS64 NGC,296354404639,"Mar 21, 2026",$141.75,$0.00,,,Fixed price,https://www.ebay.com/itm/296354404639,2
1901-O Morgan Silver Dollar MS63 NGC,297439242413,"Apr 2, 2026",$126.00,$0.00,,,Fixed price,https://www.ebay.com/itm/297439242413,2
AU+ 1901-O Morgan Silver Dollar (1 coin),365631497738,"Dec 12, 2025",$54.48,$0.00,,,Fixed price,https://www.ebay.com/itm/365631497738,2
,,"Nov 28, 2025",$70.19,$0.00,,,Fixed price,,2
1901 O Morgan Dollar CH AU Choice About Uncirculated Silver $1 Coin,366322529596,"Apr 18, 2026",$97.99,$0.00,,,Fixed price,https://www.ebay.com/itm/366322529596,2
,,"Dec 27, 2025",$64.95,$0.00,,,Fixed price,,1
,,"Nov 13, 2025",$38.75,$4.95,,,Fixed price,,1
,,"Feb 9, 2026",$347.00,$0.00,,,Fixed price,,1
,,"Dec 18, 2025",$75.00,$0.00,,,Fixed price,,1
,,"Dec 21, 2025",$79.95,$0.00,,,Fixed price,,1
,,"Nov 29, 2025",$39.95,$0.00,,,Fixed price,,1
2 $1 GENUINE UNITED STATES MORGAN SILVER DOLLARS 1900 P & 1901 O KM# 110,116736589328,"Feb 19, 2026",$165.00,$4.95,,,Fixed price,https://www.ebay.com/itm/116736589328,1
,,"Dec 29, 2025",$79.95,$4.95,,,Fixed price,,1
"1901 O Morgan Silver Dollar, Gorgeous Unique Toning, Magnificent Specimen, BU!",116775763843,"Feb 28, 2026",$98.99,$4.95,,,Fixed price,https://www.ebay.com/itm/116775763843,1
,,"Nov 13, 2025",$57.95,$7.55,,,Auction,,1
,,"Nov 13, 2025",$38.00,$4.88,,,Auction,,1
,,"Nov 13, 2025",$428.50,$9.75,,,Auction,,1
,,"Nov 17, 2025",$98.39,$7.49,,,Auction,,1
,,"Nov 23, 2025",$151.38,$6.59,,,Auction,,1
,,"Nov 30, 2025",$142.39,$0.00,,,Auction,,1
,,"Nov 28, 2025",$140.00,$5.09,,,Auction,,1
,,"Nov 29, 2025",$178.50,$6.06,,,Auction,,1
,,"Nov 23, 2025",$260.00,$0.00,,,Fixed price,,1
,,"Nov 30, 2025",$36.00,$4.99,,,Auction,,1
,,"Dec 4, 2025",$98.00,$0.00,,,Auction,,1
,,"Dec 1, 2025",$161.50,$7.49,,,Auction,,1
,,"Dec 3, 2025",$49.00,$7.49,,,Auction,,1
,,"Jan 7, 2026",$77.00,$4.99,,,Fixed price,,1
,,"Jan 18, 2026",$110.00,$5.00,,,Fixed price,,1
,,"Dec 14, 2025",$72.00,$5.25,,,Fixed price,,1
,,"Dec 11, 2025",$132.00,$5.45,,,Fixed price,,1
,,"Dec 18, 2025",$52.00,$4.96,,,Auction,,1
,,"Dec 20, 2025",$61.25,$4.91,,,Auction,,1
,,"Dec 20, 2025",$59.00,$0.98,,,Auction,,1
