Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
1901-S Barber Dime AG Details,357592592939,11/22/2025,$53.69,Free,Circulated,greatcollections,Buy It Now,https://www.ebay.com/itm/357592592939
1901-S Barber Dime PCGS VG-08,187985846205,2/3/2026,$93.82,Free,Certified,apmex,Best Offer,https://www.ebay.com/itm/187985846205
1901-S Barber Dime AG Details,326435855345,1/22/2026,$36.05,$4.99,Circulated,greatcollections,Auction,https://www.ebay.com/itm/326435855345
1901-S Barber Dime NGC G-06,202672368878,1/22/2026,$47.18,$5.99,Certified,goldeneaglecoin,Best Offer,https://www.ebay.com/itm/202672368878
1901-S Barber Dime NGC VG-08,197528808069,12/26/2025,$95.31,Free,Certified,davidlawrence,Buy It Now,https://www.ebay.com/itm/197528808069
1901-S Barber Dime PCGS G-06,262857472181,12/29/2025,$56.40,$3.99,Certified,keydate_coins,Buy It Now,https://www.ebay.com/itm/262857472181
1901-S Barber Dime NGC G-06,394696969415,1/31/2026,$58.10,$5.99,Certified,pinehurst_coins,Buy It Now,https://www.ebay.com/itm/394696969415
1901-S Barber Dime NGC VG-08,387156328978,12/7/2025,$80.46,Free,Certified,legend_numismatics,Auction,https://www.ebay.com/itm/387156328978
1901-S Barber Dime PCGS G-06,203833607199,2/6/2026,$60.65,Free,Certified,moderncoinmart,Buy It Now,https://www.ebay.com/itm/203833607199
1901-S Barber Dime PCGS F-12,146821349296,2/4/2026,$228.98,$4.99,Certified,davidlawrence,Auction,https://www.ebay.com/itm/146821349296
1901-S Barber Dime AG Details,145965309150,1/29/2026,$57.51,$5.99,Circulated,jmbullion,Best Offer,https://www.ebay.com/itm/145965309150
1901-S Barber Dime PCGS F-12,140197263775,12/22/2025,$152.77,Free,Certified,rarecoinwholesalers,Auction,https://www.ebay.com/itm/140197263775
1901-S Barber Dime AG Details,383102969122,12/2/2025,$56.24,Free,Circulated,davidlawrence,Buy It Now,https://www.ebay.com/itm/383102969122
1901-S Barber Dime NGC F-12,369523198597,1/25/2026,$193.09,Free,Certified,liberty_coin,Buy It Now,https://www.ebay.com/itm/369523198597
1901-S Barber Dime AG Details,297235244966,12/12/2025,$38.05,Free,Circulated,pinehurst_coins,Auction,https://www.ebay.com/itm/297235244966
1901-S Barber Dime AG Details,228925466530,2/15/2026,$48.17,$4.99,Circulated,sdbullion,Buy It Now,https://www.ebay.com/itm/228925466530
