Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
1901 Liberty V Nickel 5c High Grade PCGS MS-64 Toned,126243810027,"Jun 28, 2026",$235.00,$5.40,,,Fixed price,https://www.ebay.com/itm/126243810027,1
"1901 Liberty ""V"" Nickel Full Rim VG Condition RN34",188277956104,"Jun 14, 2026",$3.00,$1.79,,,Fixed price,https://www.ebay.com/itm/188277956104,3
Brazil Copper-Nickel 1901 200 Reis Liberty 1 Year Type KM# 504,117214176336,"Jun 14, 2026",$5.76,$1.32,,,Fixed price,https://www.ebay.com/itm/117214176336,1
1901 Liberty V Nickel AC Average Circ,357884841672,"Jun 9, 2026",$2.97,$0.00,,,Fixed price,https://www.ebay.com/itm/357884841672,8
Lot Of 2 1901 -1912 Liberty Nickel,117183973490,"Jun 9, 2026",$2.77,$0.75,,,Fixed price,https://www.ebay.com/itm/117183973490,1
1899 1901 1903 Liberty V Nickels Nicer Condition (E22),117228941507,"Jun 9, 2026",$11.55,$5.35,,,Auction,https://www.ebay.com/itm/117228941507,1
1901 Liberty V Nickel G/VG Nice Coin!,226274256073,"Jun 3, 2026",$3.84,$0.00,,,Fixed price,https://www.ebay.com/itm/226274256073,6
,,"May 21, 2026",$1.00,$0.99,,,Auction,,1
SELLING AS SHOWN ~ 1901 LIBERTY V NICKEL ~ 838,127822499027,"May 19, 2026",$2.44,$0.00,,,Fixed price,https://www.ebay.com/itm/127822499027,1
1901 LIBERTY HEAD V NICKEL - AU UNC,117152545681,"May 14, 2026",$49.00,$3.00,,,Fixed price,https://www.ebay.com/itm/117152545681,1
1901 LIBERTY HEAD V NICKEL - AU,800006547630,"May 13, 2026",$39.95,$5.72,,,Fixed price,https://www.ebay.com/itm/800006547630,1
1901 Liberty Head Nickel - Exact Coin - Save With Combined Shipping,168370998164,"May 13, 2026",$1.75,$0.19,,,Fixed price,https://www.ebay.com/itm/168370998164,1
1901 Brasil 200 Reis Coin - Liberty VG,236592746603,"May 13, 2026",$18.00,$5.40,,,Fixed price,https://www.ebay.com/itm/236592746603,1
"Lot of 6 - 5 Liberty Head V Nickels and 1 Shield Nickel - 1901, 1907, 1911, 1912",287314498089,"May 12, 2026",$8.50,$0.00,,,Auction,https://www.ebay.com/itm/287314498089,1
1883 1901 1903 1907 1912 Liberty Head V Nickel Lot of 5,287313816157,"May 12, 2026",$12.00,$1.03,,,Auction,https://www.ebay.com/itm/287313816157,1
"1900, 1901, 1902 Liberty V Nickels G (#V-16-102) Lot of 3",327154143678,"May 12, 2026",$4.49,$0.65,,,Fixed price,https://www.ebay.com/itm/327154143678,1
1901 Liberty V Nickel Good Condition #282,327142268329,"May 12, 2026",$1.49,$1.03,,,Auction,https://www.ebay.com/itm/327142268329,1
1901 (3) Liberty V Nickels G (#V-16-115) Lot of 3,327154190978,"May 12, 2026",$3.99,$0.65,,,Fixed price,https://www.ebay.com/itm/327154190978,1
