Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
1878 - 1904 $1 Morgan Silver Dollar Very Good - Very Fine VG-VF,175408957388,"Apr 7, 2026",$68.31,$21.11,,,Fixed price,https://www.ebay.com/itm/175408957388
1878 to 1904 $1 Morgan Silver Dollar About Uncirculated AU,203986225835,"Apr 7, 2026",$75.08,$0.00,,,Fixed price,https://www.ebay.com/itm/203986225835
1878 - 1904 $1 Morgan Silver Dollar Extra Fine XF,204087847552,"Apr 7, 2026",$70.70,$0.00,,,Fixed price,https://www.ebay.com/itm/204087847552
1878 to 1904 $1 Morgan Silver Dollar Brilliant Uncirculated,204560292565,"Apr 7, 2026",$82.53,$24.27,,,Fixed price,https://www.ebay.com/itm/204560292565
1878-1904 Cull Morgan Silver Dollar Random Year Pre 1921 90% Silver Coin,235425120140,"Apr 7, 2026",$56.26,$0.00,,,Fixed price,https://www.ebay.com/itm/235425120140
USA 1878-1904 Morgan Dollar 90% Silver Coin Brilliant Uncirculated - Random Date,197049377274,"Apr 6, 2026",$107.72,$22.43,,,Fixed price,https://www.ebay.com/itm/197049377274
1878-1904 Morgan Silver Dollar DMPL/PL+++ BU Gem Uncirculated From Original Roll,364886214705,"Apr 5, 2026",$127.28,$13.75,,,Fixed price,https://www.ebay.com/itm/364886214705
"1878-1904 SILVER MORGAN DOLLAR $10 ROLL SALE AU-BU P,O,CC SET LIQUIDATION OBW",365627505224,"Apr 7, 2026",$749.25,$41.36,,,Fixed price,https://www.ebay.com/itm/365627505224
1878 to 1904 $1 Morgan Silver Dollar Good or Better G+,175916020743,"Apr 6, 2026",$61.24,$0.00,,,Fixed price,https://www.ebay.com/itm/175916020743
1878-1904 Silver Morgan Dollar Roll - 10 Coins - Brilliantly Uncirculated BU,365066993799,"Apr 4, 2026",$966.33,$0.00,,,Fixed price,https://www.ebay.com/itm/365066993799
1878-1904 MORGAN DOLLAR CHOICE UNCIRCULATED GEM BU COINS FROM ORIGINAL ROLL,364824754224,"Apr 4, 2026",$110.44,$31.10,,,Fixed price,https://www.ebay.com/itm/364824754224
,,"Nov 15, 2025",$79.95,$0.00,,,Fixed price,
1878-1904 Cull Morgan Silver Dollar Random Year Constitutional Silver Pre 1921,205605214257,"Jan 12, 2026",$54.75,$3.99,,,Fixed price,https://www.ebay.com/itm/205605214257
1878 - 1904 $1 Morgan Silver Dollar Very Good - Very Fine VG-VF,145655219607,"Apr 4, 2026",$67.48,$0.00,,,Fixed price,https://www.ebay.com/itm/145655219607
[Removed] Item 136753480508,136753480508,"Dec 1, 2025",$84.76,$0.00,,,Fixed price,
1904 O US Morgan Silver Dollar $1 - NGC Brilliant Uncirculated,375368884452,"Apr 6, 2026",$90.71,$0.00,,,Fixed price,https://www.ebay.com/itm/375368884452
1878-1904 Morgan Silver Dollar XF (Random Year),146811244101,"Mar 29, 2026",$72.07,$35.87,,,Fixed price,https://www.ebay.com/itm/146811244101
1878-1904 Silver Dollar Roll - 10 Coins - Mixed Morgan Dollar AU/BU Liquidation,365066978215,"Mar 30, 2026",$727.14,$0.00,,,Fixed price,https://www.ebay.com/itm/365066978215
💥100+ Year Old 1878-1904 Morgan US Silver Dollar Culls 💥 Buy More Save More!,296731107559,"Feb 26, 2026",$53.48,$5.36,,,Fixed price,https://www.ebay.com/itm/296731107559
1878-1904 Morgan Dollar Roll - 20 Coins - AU / BU - High Grade Bullion,365208927684,"Mar 9, 2026","$1,471.19",$0.00,,,Fixed price,https://www.ebay.com/itm/365208927684
"1878-1904 Morgan Dollar Roll Gem BU UNCIRCULATED 20 Coins S, O, CC Bullion",365823450528,"Apr 3, 2026","$1,899.87",$0.00,,,Fixed price,https://www.ebay.com/itm/365823450528
1878-1904 Morgan Silver Dollar AU (Random Year),127351877865,"Apr 5, 2026",$74.49,$0.00,,,Fixed price,https://www.ebay.com/itm/127351877865
1878-1904 BU Uncirculated Toned 10 Coins Silver Dollar Mixed Roll Morgan Dollars,365594114278,"Apr 5, 2026",$935.93,$0.00,,,Fixed price,https://www.ebay.com/itm/365594114278
[Removed] Item 136657848326,136657848326,"Dec 2, 2025",$84.59,$0.00,,,Fixed price,
XF 1904 (P) Morgan Silver Dollar (1 coin),365921541379,"Jan 23, 2026",$69.97,$0.00,,,Fixed price,https://www.ebay.com/itm/365921541379
1904-O Morgan Silver Dollar MS63 PCGS Blue Label,135191911254,"Jan 26, 2026",$93.74,$0.00,,,Fixed price,https://www.ebay.com/itm/135191911254
1878-1904 Morgan Dollar Gem Uncirculated BU 10 Coins Sealed Original Bank Bag,365475464016,"Feb 13, 2026","$1,007.67",$50.31,,,Fixed price,https://www.ebay.com/itm/365475464016
AU+ 1904-O Morgan Silver Dollar (1 coin),364620850816,"Jan 5, 2026",$55.21,$0.00,,,Fixed price,https://www.ebay.com/itm/364620850816
VG/F 1904-S Morgan Silver Dollar (1 coin),126671183994,"Apr 2, 2026",$77.32,$0.00,,,Fixed price,https://www.ebay.com/itm/126671183994
VF 1904 (P) Morgan Silver Dollar (1 coin),135244737377,"Apr 2, 2026",$61.92,$0.00,,,Fixed price,https://www.ebay.com/itm/135244737377
,,"Jan 1, 2026",$59.95,$0.00,,,Fixed price,
✯ MS63 Morgan Silver Dollars PCGS NGC ✯ 1878-1904 ✯ P S O Mints,275982947514,"Mar 29, 2026",$123.11,$0.00,,,Fixed price,https://www.ebay.com/itm/275982947514
1878-1904 MORGAN DOLLAR BU CHOICE UNCIRCULATED 🔥O MINT MARK 🔥 GEM COINS,364824758484,"Mar 30, 2026",$115.49,$13.64,,,Fixed price,https://www.ebay.com/itm/364824758484
BU/Unc 1904-O Morgan Silver Dollar (1 coin),133232521616,"Feb 11, 2026",$74.62,$0.00,,,Fixed price,https://www.ebay.com/itm/133232521616
* 1904-O * CHOICE to GEM BU MS MORGAN SILVER DOLLAR * FROM ORIGINAL BANK BAG *,154335545972,"Mar 29, 2026",$157.45,$0.00,,,Fixed price,https://www.ebay.com/itm/154335545972
1878-1904 Roll of 20 Morgan Dollars - XF / AU - High Grade - P D S - Set,365208924332,"Jan 5, 2026","$1,233.60",$0.00,,,Fixed price,https://www.ebay.com/itm/365208924332
VG/F 1904 (P) Morgan Silver Dollar (1 coin),126671183636,"Dec 20, 2025",$47.92,$0.00,,,Fixed price,https://www.ebay.com/itm/126671183636
1878 - 1904 $1 Morgan Silver Dollar Very Good - Very Fine VG-VF,175408957388,"Apr 8, 2026",$68.30,$21.11,,,Fixed price,https://www.ebay.com/itm/175408957388
USA 1878-1904 Morgan Dollar 90% Silver Coin Brilliant Uncirculated - Random Date,197049377274,"Apr 8, 2026",$107.69,$22.43,,,Fixed price,https://www.ebay.com/itm/197049377274
1878 to 1904 $1 Morgan Silver Dollar Good or Better G+,175916020743,"Apr 7, 2026",$61.26,$0.00,,,Fixed price,https://www.ebay.com/itm/175916020743
1878 - 1904 $1 Morgan Silver Dollar Very Good - Very Fine VG-VF,175408957388,"Apr 13, 2026",$68.32,$21.11,,,Fixed price,https://www.ebay.com/itm/175408957388,873
1878 to 1904 $1 Morgan Silver Dollar About Uncirculated AU,203986225835,"Apr 7, 2026",$75.33,$0.00,,,Fixed price,https://www.ebay.com/itm/203986225835,364
1878 to 1904 $1 Morgan Silver Dollar Brilliant Uncirculated,204560292565,"Apr 12, 2026",$82.46,$24.27,,,Fixed price,https://www.ebay.com/itm/204560292565,340
1878 - 1904 $1 Morgan Silver Dollar Extra Fine XF,204087847552,"Apr 13, 2026",$71.38,$0.00,,,Fixed price,https://www.ebay.com/itm/204087847552,264
1878-1904 Cull Morgan Silver Dollar Random Year Pre 1921 90% Silver Coin,235425120140,"Apr 12, 2026",$56.56,$0.00,,,Fixed price,https://www.ebay.com/itm/235425120140,340
"1878-1904 SILVER MORGAN DOLLAR $10 ROLL SALE AU-BU P,O,CC SET LIQUIDATION OBW",365627505224,"Apr 9, 2026",$750.31,$41.36,,,Fixed price,https://www.ebay.com/itm/365627505224,94
1878-1904 Morgan Silver Dollar DMPL/PL+++ BU Gem Uncirculated From Original Roll,364886214705,"Apr 8, 2026",$127.17,$13.75,,,Fixed price,https://www.ebay.com/itm/364886214705,97
1878 to 1904 $1 Morgan Silver Dollar Good or Better G+,175916020743,"Apr 11, 2026",$61.32,$0.00,,,Fixed price,https://www.ebay.com/itm/175916020743,196
(1) 1878-1904 GEM BU Morgan Silver Dollar ~ From OBW Roll ~ Estate Hoard ~,266244326856,"Apr 9, 2026",$114.20,$14.66,,,Fixed price,https://www.ebay.com/itm/266244326856,83
1878-1904 Silver Morgan Dollar Roll - 10 Coins - Brilliantly Uncirculated BU,365066993799,"Apr 10, 2026",$962.20,$0.00,,,Fixed price,https://www.ebay.com/itm/365066993799,49
Lot of 5 Coins - 1878-1904 Cull Morgan Silver Dollar Pre 1921 90% US Silver Coin,235760198475,"Mar 28, 2026",$267.76,$0.00,,,Fixed price,https://www.ebay.com/itm/235760198475,61
1878-1904 MORGAN DOLLAR CHOICE UNCIRCULATED GEM BU COINS FROM ORIGINAL ROLL,364824754224,"Apr 13, 2026",$110.79,$27.43,,,Fixed price,https://www.ebay.com/itm/364824754224,85
"1878-1904 Morgan Dollar Gem BU Uncirculated Roll S Mint & S End, PQ Collection",365501404694,"Mar 19, 2026",$993.32,$41.57,,,Fixed price,https://www.ebay.com/itm/365501404694,44
1878 - 1904 $1 Morgan Silver Dollar Very Good - Very Fine VG-VF,145655219607,"Apr 10, 2026",$67.52,$0.00,,,Fixed price,https://www.ebay.com/itm/145655219607,45
1904 O US Morgan Silver Dollar $1 - NGC Brilliant Uncirculated,375368884452,"Apr 12, 2026",$92.86,$0.00,,,Fixed price,https://www.ebay.com/itm/375368884452,31
1878-1904 Silver Dollar Roll - 10 Coins - Mixed Morgan Dollar AU/BU Liquidation,365066978215,"Mar 30, 2026",$734.68,$0.00,,,Fixed price,https://www.ebay.com/itm/365066978215,34
1878-1904 Morgan Silver Dollar Roll of 20 Coins Gem BU CC & CC Ends Collection,365390816937,"Apr 8, 2026","$2,421.29",$0.00,,,Fixed price,https://www.ebay.com/itm/365390816937,24
"1878-1904 Morgan Dollar Roll Gem BU UNCIRCULATED 20 Coins S, O, CC Bullion",365823450528,"Apr 13, 2026","$1,897.38",$0.00,,,Fixed price,https://www.ebay.com/itm/365823450528,24
✯ MS64 MORGAN SILVER DOLLARS PCGS / NGC ✅ 1878-1904 ✅ P S O Mints Coins Estate,295860780833,"Jan 17, 2026",$156.41,$46.61,,,Fixed price,https://www.ebay.com/itm/295860780833,40
"1878-1904 Uncirculated Morgan Dollar Roll 10 Coins CC & S End, Gem BU Collection",365501397734,"Apr 2, 2026","$1,290.32",$59.01,,,Fixed price,https://www.ebay.com/itm/365501397734,22
1878-1904 Silver Morgan Dollar Culls Pre 1921 Mixed Dates Lot of 5 Coins,153832944203,"Apr 9, 2026",$272.46,$0.00,,,Fixed price,https://www.ebay.com/itm/153832944203,26
(1) 1878-1904 Morgan Silver Dollar ~ Circulated 90% ~ Collection Estate Lot,256134225810,"Apr 4, 2026",$61.13,$0.00,,,Fixed price,https://www.ebay.com/itm/256134225810,55
1878-1904 BU Uncirculated Toned 10 Coins Silver Dollar Mixed Roll Morgan Dollars,365594114278,"Apr 12, 2026",$934.25,$0.00,,,Fixed price,https://www.ebay.com/itm/365594114278,22
1878-1904 Morgan Silver Dollar AU (Random Year),127351877865,"Apr 5, 2026",$79.56,$0.00,,,Fixed price,https://www.ebay.com/itm/127351877865,41
Morgan Silver Dollar ~ 1878-1904 BRILLIANT AU/UNCIRCULATED ~ ESTATE LOT SALE!,254977911651,"Mar 20, 2026",$93.87,$7.84,,,Fixed price,https://www.ebay.com/itm/254977911651,40
1878-1904 Morgan Dollar Gem Uncirculated BU 10 Coins Sealed Original Bank Bag,365475464016,"Apr 12, 2026",$989.55,$48.48,,,Fixed price,https://www.ebay.com/itm/365475464016,18
MORGAN DOLLAR COIN RING. SIZES 10 TO 14. FROM 1878 TO 1904.,176440164652,"Apr 4, 2026",$129.57,$5.18,,,Fixed price,https://www.ebay.com/itm/176440164652,13
"Lot of 5 Cull 1878-1904, Pre '21 $1 Morgan Silver Dollars, 5 Coins, Mixed Dates",273499497740,"Jan 26, 2026",$332.28,$22.97,,,Fixed price,https://www.ebay.com/itm/273499497740,16
(1) BU/Unc 1878-1904 P/O/S Morgan Silver Dollar - 90% Silver Bulk Lot Collection,131950903538,"Oct 22, 2025",$65.26,$19.23,,,Fixed price,https://www.ebay.com/itm/131950903538,21
1878 to 1904 $1 Morgan Silver Dollar Brilliant Uncirculated,147245707550,"Apr 12, 2026",$60.60,$5.31,,,Fixed price,https://www.ebay.com/itm/147245707550,10
1878-1904 Morgan Silver Dollar Lot of 5 Coins XF-AU Pre-1921 Bullion Mixed 90%,364886589347,"Dec 26, 2025",$292.36,$0.00,,,Fixed price,https://www.ebay.com/itm/364886589347,11
,,"Dec 29, 2025",$56.36,$12.14,,,Fixed price,,57
[Removed] Item 336253018054,336253018054,"Dec 6, 2025",$84.13,$4.99,,,Fixed price,,8
,,"Nov 25, 2025",$88.02,$14.97,,,Fixed price,,9
XF 1904-O Morgan Silver Dollar (1 coin),127431014738,"Jan 3, 2026",$59.40,$0.00,,,Fixed price,https://www.ebay.com/itm/127431014738,9
BU/Unc 1904-O Morgan Silver Dollar (1 coin),133232521616,"Feb 11, 2026",$79.46,$0.00,,,Fixed price,https://www.ebay.com/itm/133232521616,6
Roll of 20 - 1878-1904 $1 Morgan Silver Dollar Good or Better G+,205731559007,"Feb 9, 2026","$1,110.21",$0.00,,,Fixed price,https://www.ebay.com/itm/205731559007,6
