Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
1905-O Barber Dime Nice Circulated VG/FINE! Complete Your Album!,326431575286,"May 12, 2026",$36.34,$0.00,,,Fixed price,https://www.ebay.com/itm/326431575286,2
1905-o Micro O Barber Dime PCGS G04,127027885804,"May 7, 2026",$110.00,$4.85,,,Fixed price,https://www.ebay.com/itm/127027885804,1
"1905 ‘micro O’ Barber Silver Dime, Better Date U.S. 10c Coin",127376774512,"May 3, 2026",$30.00,$2.85,,,Fixed price,https://www.ebay.com/itm/127376774512,1
1905-O Barber Dime : PCGS MS63,127770741534,"May 1, 2026",$512.00,$5.85,,,Fixed price,https://www.ebay.com/itm/127770741534,1
1905-O MICRO O Barber Silver Dime CHOICE GOOD- E531 QCH,136995675473,"Apr 27, 2026",$32.01,$0.00,,,Fixed price,https://www.ebay.com/itm/136995675473,1
1905 micro-O Barber Dime Collection,117126228488,"Apr 23, 2026",$25.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117126228488,1
"1905-O Barber Dime, Micro-o, Better Date Variety QA1054",127817543484,"Apr 22, 2026",$19.99,$5.00,,,Fixed price,https://www.ebay.com/itm/127817543484,1
1905-O Micro O Barber Silver Dime CHOICE VG E227 AXH,136951508047,"Apr 22, 2026",$56.24,$0.00,,,Fixed price,https://www.ebay.com/itm/136951508047,1
1905-O MICRO O Barber Silver Dime GOOD E227 T,137141514690,"Apr 22, 2026",$38.02,$0.00,,,Fixed price,https://www.ebay.com/itm/137141514690,1
1905 O Barber Dime 10c Liberty Head Ungraded MICRO O Silver US Coin CC27918,127806511360,"Apr 13, 2026",$23.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127806511360,1
Better Lot 5 1910-D 1905-O 1906-D 1908-D 1898 Barber Dime 0.50 Face *271,127793992948,"Apr 12, 2026",$25.11,$0.00,,,Auction,https://www.ebay.com/itm/127793992948,1
Better Lot 5 1908-D 1906-D 1902-O 1908-D 1905-S Barber Dime 0.50 Face *270,127792060151,"Apr 11, 2026",$30.26,$0.00,,,Auction,https://www.ebay.com/itm/127792060151,1
Better Lot 5 1901-O 1898 1898 1908-D 1905-S Barber Dime 0.50 Face *267,127792119082,"Apr 11, 2026",$28.25,$0.00,,,Auction,https://www.ebay.com/itm/127792119082,1
Better Lot 5 1905-O 1910-D 1908-D 1903-O 1908-D Barber Dime 0.50 Face *255,127786403265,"Apr 8, 2026",$31.00,$0.00,,,Auction,https://www.ebay.com/itm/127786403265,1
1905-O Barber Silver Dime - Micro O - New Orleans Mint - RC832,126470932502,"Apr 6, 2026",$21.00,$0.00,,,Fixed price,https://www.ebay.com/itm/126470932502,1
"1905-O Barber Dime ""Micro O"" PCGS VF30 Great Color!",127038949747,"Apr 6, 2026",$575.00,$7.85,,,Fixed price,https://www.ebay.com/itm/127038949747,1
Better Lot 5 1905-O 1914-S 1905-S 1906 1905-S Barber Dime 0.50 Face *228,127771245524,"Apr 1, 2026",$26.05,$0.00,,,Auction,https://www.ebay.com/itm/127771245524,1
Better Lot 5 1902-S 1898 1905-S 1902-O 1906-D Barber Dime 0.50 Face *202,127755707252,"Mar 25, 2026",$26.00,$0.00,,,Auction,https://www.ebay.com/itm/127755707252,1
Better Lot 5 1906-D 1905-S 1898 1900-S 1909-O Barber Dime 0.50 Face *191,127749880644,"Mar 23, 2026",$27.11,$0.00,,,Auction,https://www.ebay.com/itm/127749880644,1
Better Lot 5 1914-S 1903-O 1905-O 1898 1903-O Barber Dime 0.50 Face *193,137138860943,"Mar 23, 2026",$27.00,$0.00,,,Auction,https://www.ebay.com/itm/137138860943,1
Better Lot 5 1901-O 1905-S 1905-S 1903-O 1898 Barber Dime 0.50 Face *194,137139353806,"Mar 23, 2026",$28.00,$0.00,,,Auction,https://www.ebay.com/itm/137139353806,1
Better Lot 5 1898 1898 1892 1900-S 1905-O Barber Dime 0.50 Face *189,127746607706,"Mar 22, 2026",$28.00,$0.00,,,Auction,https://www.ebay.com/itm/127746607706,1
Better Lot 5 1901-O 1901-O 1898 1898 1905-O Barber Dime 0.50 Face *187,127746677675,"Mar 22, 2026",$26.00,$0.00,,,Auction,https://www.ebay.com/itm/127746677675,1
Better Lot 5 1898 1910-D 1901-O 1905-S 1910-D Barber Dime 0.50 Face *186,127743474138,"Mar 21, 2026",$26.00,$0.00,,,Auction,https://www.ebay.com/itm/127743474138,1
Better Lot 5 1914-S 1898 1905-S 1905-O 1910-D Barber Dime 0.50 Face *185,137132904615,"Mar 21, 2026",$26.00,$0.00,,,Auction,https://www.ebay.com/itm/137132904615,1
Better Lot 5 1910-D 1914-S 1903-O 1905-O 1903-O Barber Dime 0.50 Face *176,127737289595,"Mar 19, 2026",$29.56,$0.00,,,Auction,https://www.ebay.com/itm/127737289595,1
1905-O Barber Dime 90% Silver Better Condition (B116),127605402905,"Mar 17, 2026",$14.99,$1.32,,,Fixed price,https://www.ebay.com/itm/127605402905,1
Better Lot 5 1898 1898 1905-S 1900-O 1906-O Barber Dime 0.50 Face *164,127729694038,"Mar 16, 2026",$38.00,$0.00,,,Auction,https://www.ebay.com/itm/127729694038,1
Better Lot 5 1901-O 1909-D 1900-S 1905-S 1908-D Barber Dime 0.50 Face *162,127727670377,"Mar 15, 2026",$37.00,$0.00,,,Auction,https://www.ebay.com/itm/127727670377,1
Better Lot 5 1892 1906-D 1892-O 1905-S 1898 Barber Dime 0.50 Face *161,137108490704,"Mar 15, 2026",$35.00,$0.00,,,Auction,https://www.ebay.com/itm/137108490704,1
Better Lot 5 1893 1905-S 1914-S 1909-O Barber Dime 0.50 Face *159,137109002993,"Mar 15, 2026",$36.00,$0.00,,,Auction,https://www.ebay.com/itm/137109002993,1
Better Lot 5 1905-O 1900-S 1901 1906-O 1908-D Barber Dime 0.50 Face *157,137105143086,"Mar 14, 2026",$36.00,$0.00,,,Auction,https://www.ebay.com/itm/137105143086,1
Better Lot 5 1906-D 1900-S 1892 1905-S 1901-O Barber Dime 0.50 Face *154,137102370504,"Mar 13, 2026",$50.00,$0.00,,,Auction,https://www.ebay.com/itm/137102370504,1
1905 O Barber Dime 10c Liberty Head Ungraded Circulated Silver US Coin (B427),127633418348,"Mar 5, 2026",$14.00,$1.32,,,Fixed price,https://www.ebay.com/itm/127633418348,1
"1905-O Barber Dime, Micro O, Scarce Key Date Variety",127686862685,"Feb 22, 2026",$30.00,$5.00,,,Auction,https://www.ebay.com/itm/127686862685,1
1905-O Silver Barber Dime GOOD FREE SHIPPING,323958132809,"Feb 20, 2026",$28.29,$0.00,,,Fixed price,https://www.ebay.com/itm/323958132809,3
"Lot of 5 Barber Dimes 1903-O, 1907, 1908-D, 1913 & 1916",117030321186,"Feb 17, 2026",$31.00,$5.95,,,Auction,https://www.ebay.com/itm/117030321186,1
,,"Feb 17, 2026",$31.00,$5.95,,,Auction,,1
"1906-O Silver Half Dollar LOT! 1904 Quarter, 1905 V Cents, 1914 Dime, 1881 Cent!",117027398704,"Feb 13, 2026",$48.50,$0.00,,,Auction,https://www.ebay.com/itm/117027398704,1
,,"Feb 13, 2026",$48.50,$0.00,,,Auction,,1
1905 O Barber Dime 90% Silver -0272,126831334347,"Feb 3, 2026",$8.55,$1.32,,,Fixed price,https://www.ebay.com/itm/126831334347,1
1905-O Micro O Barber Silver Dime VG E145 ANM,136968949148,"Feb 3, 2026",$58.83,$0.00,,,Fixed price,https://www.ebay.com/itm/136968949148,1
,,"Feb 3, 2026",$8.55,$1.32,,,Fixed price,,1
,,"Feb 3, 2026",$58.83,$0.00,,,Fixed price,,1
1905-O Barber Dime 10C ICG VG10 BR#3545 - Micro O,136505050971,"Jan 30, 2026",$150.00,$0.00,,,Fixed price,https://www.ebay.com/itm/136505050971,1
,,"Jan 30, 2026",$150.00,$0.00,,,Fixed price,,1
,,"Jan 24, 2026",$40.00,$0.00,,,Fixed price,,1
,,"Jan 18, 2026",$17.00,$0.00,,,Fixed price,,1
1905-O Barber Dime 90% Silver Average Circ,365896075686,"Jan 11, 2026",$14.47,$0.00,,,Fixed price,https://www.ebay.com/itm/365896075686,3
,,"Jan 9, 2026",$77.67,$4.99,,,Auction,,1
,,"Jan 1, 2026",$8.25,$0.00,,,Fixed price,,1
,,"Jan 1, 2026",$7.60,$4.50,,,Fixed price,,1
,,"Dec 22, 2025",$31.06,$0.00,,,Fixed price,,1
,,"Dec 11, 2025",$8.73,$1.29,,,Auction,,1
,,"Nov 24, 2025",$4.80,$1.32,,,Auction,,1
,,"Nov 17, 2025",$17.99,$0.00,,,Fixed price,,1
,,"Nov 14, 2025",$3.25,$0.13,,,Auction,,1
,,"Nov 2, 2025",$25.00,$4.99,,,Fixed price,,1
,,"Nov 2, 2025",$8.10,$1.00,,,Auction,,1
,,"Oct 27, 2025",$3.80,$1.32,,,Auction,,1
