Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
1905-S BARBER SILVER QUARTER 25C,168632204875,"Aug 26, 2026",$18.50,$0.00,,,Fixed price,https://www.ebay.com/itm/168632204875,1
1905-S Barber Quarter 25c VG as Pictured,307127865698,"Aug 26, 2026",$37.99,$4.00,,,Fixed price,https://www.ebay.com/itm/307127865698,1
1905-S Barber Quarter 25c 25 Cent Silver Coin San Francisco,205270515869,"Aug 25, 2026",$28.97,$8.95,,,Fixed price,https://www.ebay.com/itm/205270515869,1
"1905-S Barber Quarter, Good",175579865759,"Aug 24, 2026",$20.00,$0.00,,,Fixed price,https://www.ebay.com/itm/175579865759,1
1905-S barber Quarter Nice original VF++ Better Date,398167514572,"Aug 24, 2026",$129.00,$2.45,,,Fixed price,https://www.ebay.com/itm/398167514572,1
1905-S Barber Quarter,298594443968,"Aug 23, 2026",$13.50,$8.00,,,Auction,https://www.ebay.com/itm/298594443968,1
Better Date 1905 S Barber Quarter,277664430299,"Aug 21, 2026",$16.99,$1.36,,,Fixed price,https://www.ebay.com/itm/277664430299,1
1905 s barber quarter,158184874395,"Aug 20, 2026",$20.00,$5.40,,,Auction,https://www.ebay.com/itm/158184874395,1
"1901-p, 1905-s, 1909-p, and 1915-d Barber quarter lot",377410742810,"Aug 18, 2026",$49.00,$2.50,,,Auction,https://www.ebay.com/itm/377410742810,1
1905 s Barber Quarter vg,315494871108,"Aug 17, 2026",$19.99,$8.60,,,Fixed price,https://www.ebay.com/itm/315494871108,1
1905-S SILVER Barber Quarter NGC AU53,366599668772,"Aug 14, 2026",$255.00,$7.02,,,Fixed price,https://www.ebay.com/itm/366599668772,1
"1905-S & 1914-S BARBER QUARTER, Two Semi-Key Dates, VG & G Condition",298559292869,"Aug 11, 2026",$79.60,$5.62,,,Auction,https://www.ebay.com/itm/298559292869,1
1905-s . Barber Quarter . G . Good . Original .,327264415148,"Aug 10, 2026",$23.97,$4.95,,,Fixed price,https://www.ebay.com/itm/327264415148,1
Lot 5 Better Date Barber Liberty Quarters 1905 O 1909 O 1914 S 1915 S Silver 25C,278226767233,"Aug 9, 2026",$152.01,$4.95,,,Auction,https://www.ebay.com/itm/278226767233,1
1905 S Barber Quarter CHEAP !,326980725905,"Aug 9, 2026",$18.95,$0.62,,,Fixed price,https://www.ebay.com/itm/326980725905,1
"1905 S Barber Quarter, Full LIBERTY, Middle Grade, Better Date Silver 25C Coin",358856082448,"Aug 9, 2026",$41.00,$2.18,,,Auction,https://www.ebay.com/itm/358856082448,1
"1908 S Barber Quarter, Full LIBERTY, Middle Grade, Better Date Silver 25C Coin",358856107547,"Aug 9, 2026",$95.25,$4.95,,,Auction,https://www.ebay.com/itm/358856107547,1
"1897-p, 1902-o, 1905-s, and 1915-d Barber quarter lot",327287301008,"Aug 6, 2026",$66.00,$2.50,,,Auction,https://www.ebay.com/itm/327287301008,1
1905 S Barber Quarter GOOD,147435985455,"Aug 2, 2026",$9.50,$0.00,,,Auction,https://www.ebay.com/itm/147435985455,1
1905 Barber Quarter *Free S/H After 1st Item*,236960860685,"Aug 2, 2026",$10.59,$0.00,,,Auction,https://www.ebay.com/itm/236960860685,1
Silver Quarter - Barber - 1905-S (Looks retoned after old cleaning.) - Set Break,257551494122,"Aug 1, 2026",$20.00,$1.25,,,Fixed price,https://www.ebay.com/itm/257551494122,1
1905 S Barber Quarter AG.....................Lot 6135,298481845315,"Jul 30, 2026",$17.95,$0.00,,,Fixed price,https://www.ebay.com/itm/298481845315,1
1905-S Barber Quarter – 90% Silver – Historic U.S. Coin – See Photos for Details,287477777699,"Jul 29, 2026",$17.99,$1.75,,,Auction,https://www.ebay.com/itm/287477777699,1
"1892-1905 and 1906-1916 Barber Quarter Collection Lot - 38 Coins w/ 1914-S, 15-S",336684253687,"Jul 29, 2026",$546.69,$6.50,,,Auction,https://www.ebay.com/itm/336684253687,1
1905-s Silver BARBER Quarter #51 e,336690276910,"Jul 29, 2026",$22.97,$2.49,,,Auction,https://www.ebay.com/itm/336690276910,1
1905 S Barber Quarter Dollar 90% Silver Tough Date Low Mintage,336703038727,"Jul 29, 2026",$10.50,$0.89,,,Auction,https://www.ebay.com/itm/336703038727,1
