Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
1906-O Barber Quarter Average Circ,365231743319,"Apr 24, 2026",$21.98,$0.00,,,Fixed price,https://www.ebay.com/itm/365231743319,9
,,"Nov 25, 2025",$14.00,$2.00,,,Fixed price,,1
,,"Dec 2, 2025",$54.00,$0.00,,,Auction,,1
"1906-O Silver Half Dollar LOT! 1904 Quarter, 1905 V Cents, 1914 Dime, 1881 Cent!",117027398704,"Feb 13, 2026",$48.50,$0.00,,,Auction,https://www.ebay.com/itm/117027398704,1
VG 1906 O Barber Quarter,117092926839,"Mar 29, 2026",$18.50,$1.00,,,Auction,https://www.ebay.com/itm/117092926839,1
,,"Nov 20, 2025",$23.00,$0.00,,,Fixed price,,1
,,"Dec 7, 2025",$64.01,$5.50,,,Auction,,1
"1906-O Silver Barber Quarter ANACS Certified MS-64, Soapbox, Better Date, Toning",127696289795,"Feb 20, 2026",$850.00,$4.50,,,Fixed price,https://www.ebay.com/itm/127696289795,1
1906-O Barber Quarter 25C GREAT 90% SILVER COIN! NICE DETAILS! BETTER DATE!!,127708755639,"Mar 1, 2026",$31.49,$0.00,,,Fixed price,https://www.ebay.com/itm/127708755639,1
VG 1906 O Barber Quarter,127751855376,"Mar 29, 2026",$17.50,$1.00,,,Auction,https://www.ebay.com/itm/127751855376,1
1906-O Barber Quarter –90% Silver - New Orleans Mint - Edge Tone Fine Condition,136411379824,"Mar 20, 2026",$55.00,$0.78,,,Fixed price,https://www.ebay.com/itm/136411379824,1
,,"Jan 25, 2026",$49.99,$6.00,,,Fixed price,,1
1906 D And 1902 O Barber Quarter,137128467088,"Mar 21, 2026",$21.99,$5.20,,,Fixed price,https://www.ebay.com/itm/137128467088,1
,,"Jan 9, 2026",$18.95,$0.00,,,Fixed price,,1
,,"Jan 12, 2026",$30.00,$0.00,,,Auction,,1
,,"Jan 17, 2026",$18.00,$0.00,,,Fixed price,,1
"1906-O Barber Half Dollar, 1900 Barber Half Dollar, 1916-D Barber Quarter 90% AG",147141955638,"Feb 7, 2026",$60.00,$5.52,,,Fixed price,https://www.ebay.com/itm/147141955638,1
