Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
1907-D Barber Dime 90% Silver Average Circ,365027076581,"Apr 17, 2026",$11.19,$0.00,,,Fixed price,https://www.ebay.com/itm/365027076581,20
1907-D Barber Dime Nice Circulated VG/FINE! Complete Your Album!,226137739198,"Feb 26, 2026",$23.87,$0.00,,,Fixed price,https://www.ebay.com/itm/226137739198,3
1907 D Barber Dime,117009700072,"Feb 6, 2026",$15.55,$8.30,,,Auction,https://www.ebay.com/itm/117009700072,1
"5 Five Barber Silver Coin Lot 1907 Dime 1902, 1908-D, & 1914 qtrs, 1915-S Half",117029192898,"Feb 17, 2026",$64.50,$4.95,,,Auction,https://www.ebay.com/itm/117029192898,1
"Lot of 5 Barber Dimes 1903-O, 1907, 1908-D, 1913 & 1916",117030321186,"Feb 17, 2026",$31.00,$5.95,,,Auction,https://www.ebay.com/itm/117030321186,1
,,"Jan 22, 2026",$14.50,$0.00,,,Auction,,1
1907-D Barber Dime 90% Silver Average Circ *6025,127643941633,"Jan 31, 2026",$9.95,$0.00,,,Auction,https://www.ebay.com/itm/127643941633,1
"U.S. * 1907 D,S & O BARBER DIMES * 90% Silver * Better Mint Marks * Cheap Ship",127712509288,"Mar 6, 2026",$15.05,$2.99,,,Auction,https://www.ebay.com/itm/127712509288,1
1907-D Barber Dime 90% Silver Average Circ *0236,127795891620,"Apr 13, 2026",$10.95,$0.00,,,Auction,https://www.ebay.com/itm/127795891620,1
1907-D Barber Dime 90% Silver Average Circ *9407,127806691270,"Apr 19, 2026",$10.95,$0.00,,,Auction,https://www.ebay.com/itm/127806691270,1
1907 D Barber Dime PCGS AU58 Better Date Nice Toning,127812328049,"Apr 16, 2026",$225.00,$5.85,,,Fixed price,https://www.ebay.com/itm/127812328049,1
1907-D 10c Barber Dime ~ VF QA1054,127817568274,"Apr 20, 2026",$19.99,$5.00,,,Fixed price,https://www.ebay.com/itm/127817568274,1
,,"Dec 9, 2025",$5.00,$7.10,,,Auction,,1
1907-D Barber Dime Well-Worn Detail Denver Mint,136985673053,"Jan 28, 2026",$14.97,$0.00,,,Fixed price,https://www.ebay.com/itm/136985673053,1
1907 D Barber Dime Heavily Circulated Well-Worn Detail,137098634339,"Mar 5, 2026",$16.97,$0.00,,,Fixed price,https://www.ebay.com/itm/137098634339,1
1907-D Barber Dime 90% Silver Average Circ *6694,137157828537,"Mar 29, 2026",$10.95,$0.00,,,Auction,https://www.ebay.com/itm/137157828537,1
"Lot of 3 US Dimes - 1907 Barber, 1945 Mercury, 1960 D Roosevelt - 90% Silver",137212483604,"Apr 9, 2026",$19.00,$1.00,,,Fixed price,https://www.ebay.com/itm/137212483604,1
,,"Dec 15, 2025",$14.00,$1.03,,,Fixed price,,1
,,"Nov 12, 2025",$34.99,$5.49,,,Fixed price,,1
,,"Nov 15, 2025",$4.62,$3.75,,,Auction,,1
,,"Nov 25, 2025",$11.61,$4.91,,,Auction,,1
,,"Dec 14, 2025",$71.07,$0.45,,,Auction,,1
,,"Dec 29, 2025",$3.00,$0.50,,,Auction,,1
,,"Dec 29, 2025",$6.00,$0.00,,,Auction,,1
,,"Jan 18, 2026",$44.00,$0.00,,,Auction,,1
1907-D Barber Dime 90% Silver #18,147151264392,"Feb 19, 2026",$5.00,$0.74,,,Auction,https://www.ebay.com/itm/147151264392,1
1907 D Barber Dime VERY FINE,147157238823,"Feb 21, 2026",$28.00,$0.58,,,Auction,https://www.ebay.com/itm/147157238823,1
1907-D Barber Dime,147158555226,"Feb 24, 2026",$39.00,$0.00,,,Auction,https://www.ebay.com/itm/147158555226,1
1907-D Silver Barber Dime !! Damaged,147165519449,"Feb 26, 2026",$5.99,$0.99,,,Fixed price,https://www.ebay.com/itm/147165519449,1
,,"Nov 9, 2025",$10.00,$4.65,,,Fixed price,,1
,,"Dec 17, 2025",$8.99,$0.00,,,Fixed price,,1
1907 *D* BARBEER SILVER DIME ** NICE** - FREE SHIPPING! C1615,157679540674,"Feb 15, 2026",$10.00,$0.00,,,Fixed price,https://www.ebay.com/itm/157679540674,1
XF Details 1907-D Barber Silver Dime,157746196838,"Mar 14, 2026",$40.00,$0.00,,,Fixed price,https://www.ebay.com/itm/157746196838,1
,,"Dec 21, 2025",$150.00,$0.00,,,Fixed price,,1
,,"Dec 10, 2025",$6.00,$1.32,,,Fixed price,,1
,,"Jan 23, 2026",$7.95,$0.74,,,Fixed price,,1
,,"Nov 22, 2025",$7.65,$0.00,,,Fixed price,,1
1907-D BARBER SILVER DIME 10C,167907142883,"Jan 27, 2026",$7.95,$0.74,,,Fixed price,https://www.ebay.com/itm/167907142883,1
,,"Dec 7, 2025",$55.00,$0.00,,,Fixed price,,1
,,"Dec 12, 2025",$55.00,$4.95,,,Auction,,1
,,"Dec 17, 2025",$13.50,$0.00,,,Auction,,1
,,"Jan 2, 2026",$19.99,$0.95,,,Fixed price,,1
"1907-P, 1907-D, 1907-P Lot of 3 Barber Dime 10C 90% Silver See Pictures",168125734042,"Feb 7, 2026",$12.02,$4.00,,,Auction,https://www.ebay.com/itm/168125734042,1
"1907, 1908-D, 1912 and 1916 10C Barber Dimes 90% Silver (Damaged/Bent)",168200532717,"Mar 18, 2026",$19.30,$0.00,,,Auction,https://www.ebay.com/itm/168200532717,1
1893-O & 1906-D Barber Dime Lot 7 Coins 1900 1904 1905 1907 1910 90% Silver,168201305403,"Mar 3, 2026",$64.95,$4.99,,,Fixed price,https://www.ebay.com/itm/168201305403,1
"1899 HALF DOLLAR & 1916 ""D"" QUARTER , 1913 DIME 90% SILVER",168205322862,"Mar 18, 2026",$60.00,$7.89,,,Auction,https://www.ebay.com/itm/168205322862,1
,,"Jan 18, 2026",$12.99,$0.00,,,Fixed price,,1
,,"Jan 13, 2026",$6.50,$0.50,,,Auction,,1
,,"Jan 18, 2026",$24.50,$0.00,,,Auction,,1
1907-D BARBER SILVER DIME ~GOOD ~NICE COIN~ 90% SILVER,177799200982,"Feb 1, 2026",$10.09,$0.50,,,Auction,https://www.ebay.com/itm/177799200982,1
