Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
1907-S Barber Dime 90% Silver Average Circ,126590378452,"Apr 18, 2026",$12.43,$0.00,,,Fixed price,https://www.ebay.com/itm/126590378452,16
1907-S Silver Barber Dime GOOD FREE SHIPPING,223719546231,"Jan 18, 2026",$15.37,$0.00,,,Fixed price,https://www.ebay.com/itm/223719546231,2
,,"Dec 30, 2025",$13.47,$0.00,,,Fixed price,,2
,,"Nov 30, 2025",$12.50,$0.00,,,Auction,,1
"5 Five Barber Silver Coin Lot 1907 Dime 1902, 1908-D, & 1914 qtrs, 1915-S Half",117029192898,"Feb 17, 2026",$64.50,$4.95,,,Auction,https://www.ebay.com/itm/117029192898,1
"3 Barber Dimes, 1900 S, 1904, 1907 O scratches( see photos for condition)",117127668225,"Apr 17, 2026",$12.00,$1.03,,,Fixed price,https://www.ebay.com/itm/117127668225,1
,,"Dec 27, 2025",$150.00,$3.85,,,Fixed price,,1
,,"Nov 17, 2025",$3.75,$1.32,,,Auction,,1
,,"Dec 18, 2025",$3.76,$0.74,,,Auction,,1
,,"Dec 20, 2025",$12.25,$0.00,,,Auction,,1
,,"Jan 5, 2026",$71.99,$4.65,,,Fixed price,,1
,,"Jan 12, 2026",$2.00,$4.80,,,Auction,,1
,,"Feb 1, 2026",$212.50,$0.00,,,Auction,,1
"U.S. * 1907 D,S & O BARBER DIMES * 90% Silver * Better Mint Marks * Cheap Ship",127712509288,"Mar 6, 2026",$15.05,$2.99,,,Auction,https://www.ebay.com/itm/127712509288,1
1907-S Barber Dime 90% Silver Average Circ *9634,127725946596,"Mar 14, 2026",$10.95,$0.00,,,Auction,https://www.ebay.com/itm/127725946596,1
1907-S Barber Dime - 90% SILVER - Circulated - FREE SHIPPING! QA1054,127817571907,"Apr 20, 2026",$36.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127817571907,1
1907-S Barber Dime 90% Silver Average Circ *4833,127822818625,"Apr 28, 2026",$10.95,$0.00,,,Auction,https://www.ebay.com/itm/127822818625,1
1907-S Barber Silver Dime VF+ E266 QYNE,136854844789,"Apr 8, 2026",$38.90,$0.00,,,Fixed price,https://www.ebay.com/itm/136854844789,1
1907 S 10c Barber Silver Dime Ten Cents Dime San Francisco,136878221808,"Mar 16, 2026",$32.00,$0.00,,,Fixed price,https://www.ebay.com/itm/136878221808,1
,,"Jan 23, 2026",$41.00,$4.65,,,Auction,,1
,,"Nov 15, 2025",$20.50,$0.00,,,Auction,,1
,,"Nov 24, 2025",$18.89,$0.00,,,Auction,,1
,,"Jan 15, 2026",$36.00,$5.15,,,Fixed price,,1
,,"Jan 15, 2026",$45.00,$0.00,,,Fixed price,,1
1907-S Barber Silver Dime AU DETAILS FREE SHIPPING E203 TNM,147009309795,"Mar 25, 2026",$44.94,$0.00,,,Fixed price,https://www.ebay.com/itm/147009309795,1
,,"Dec 29, 2025",$5.00,$0.50,,,Auction,,1
,,"Dec 31, 2025",$39.99,$4.50,,,Fixed price,,1
,,"Jan 29, 2026",$7.22,$1.99,,,Auction,,1
ESTATE FIND 1907 S Barber Dime #K59760,147243695214,"Apr 15, 2026",$12.00,$0.50,,,Auction,https://www.ebay.com/itm/147243695214,1
,,"Dec 29, 2025",$22.50,$8.40,,,Fixed price,,1
,,"Nov 21, 2025",$9.00,$0.74,,,Fixed price,,1
,,"Dec 21, 2025",$5.50,$4.60,,,Auction,,1
,,"Jan 22, 2026",$8.58,$3.00,,,Auction,,1
03/0000031 L#1588 1907 S Barber Silver Dime Coin (bmp),157798732336,"Mar 31, 2026",$160.00,$0.00,,,Auction,https://www.ebay.com/itm/157798732336,1
,,"Dec 26, 2025",$6.88,$1.32,,,Fixed price,,1
,,"Feb 1, 2026",$8.95,$0.74,,,Fixed price,,1
,,"Jan 2, 2026",$19.99,$0.95,,,Fixed price,,1
,,"Dec 30, 2025",$7.50,$5.15,,,Auction,,1
1907 S US Barber Dime ~ Sharp Cameo Toned ~ Full Liberty (TB19),168194875613,"Mar 14, 2026",$56.78,$0.00,,,Auction,https://www.ebay.com/itm/168194875613,1
,,"Jan 12, 2026",$9.00,$5.50,,,Fixed price,,1
,,"Dec 10, 2025",$14.95,$5.32,,,Fixed price,,1
,,"Dec 27, 2025",$6.10,$0.00,,,Auction,,1
,,"Jan 3, 2026",$25.27,$1.90,,,Auction,,1
1907-S Barber Dime. 90% Silver. Good Condition. Charity Auction/Animal Rescue.,177865187736,"Feb 22, 2026",$10.00,$1.53,,,Auction,https://www.ebay.com/itm/177865187736,1
(1) Beautiful Antique 1907-S Barber Dime AG-ALMOST GOOD NICE FILLER,177910474904,"Mar 4, 2026",$7.12,$0.00,,,Fixed price,https://www.ebay.com/itm/177910474904,1
1907-S Barber Dime * Great Coin for a Book * A1018,178117035577,"May 8, 2026",$10.99,$4.99,,,Fixed price,https://www.ebay.com/itm/178117035577,1
,,"Nov 29, 2025",$21.95,$4.75,,,Fixed price,,1
,,"Nov 18, 2025",$89.99,$0.00,,,Fixed price,,1
,,"Dec 18, 2025",$24.69,$0.00,,,Fixed price,,1
,,"Nov 19, 2025",$17.50,$1.32,,,Auction,,1
