Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
"1908-O Barber Half Dollar Very Good Condition, Semi Key Date.",397879706651,"Apr 25, 2026",$28.00,$5.52,,,Fixed price,https://www.ebay.com/itm/397879706651,1
$1 face~Barber Half Dollars~1905-o & 1908-d~90% Silver~.75 tr~Free Ship~Lot 17!,168309481170,"Apr 25, 2026",$54.00,$0.00,,,Auction,https://www.ebay.com/itm/168309481170,1
1908 O Barber Half Dollar...Fine...Check it out !!!,168318299225,"Apr 24, 2026",$36.41,$5.00,,,Auction,https://www.ebay.com/itm/168318299225,1
1908-O Barber Half Dollar KEY DATE,168304401663,"Apr 22, 2026",$28.00,$4.75,,,Auction,https://www.ebay.com/itm/168304401663,1
1908-O 50C Barber Half Dollar. 90% Silver. #1633,336413832917,"Apr 21, 2026",$26.10,$5.20,,,Fixed price,https://www.ebay.com/itm/336413832917,1
1908-O New Orleans Mint Silver Barber Half Dollar,366347785333,"Apr 21, 2026",$30.00,$4.65,,,Auction,https://www.ebay.com/itm/366347785333,1
1908-O New Orleans Mint Silver Barber Half Dollar,358447424915,"Apr 21, 2026",$43.00,$4.65,,,Auction,https://www.ebay.com/itm/358447424915,1
Lot of 5 New Orleans Mint Barber Half Dollars 1900-O to 1908-O Circulated Silver,366326276407,"Apr 20, 2026",$73.05,$0.00,,,Fixed price,https://www.ebay.com/itm/366326276407,13
1908 O-SILVER O Barber Half Dollar VERY NICE,377111590623,"Apr 20, 2026",$23.50,$0.00,,,Auction,https://www.ebay.com/itm/377111590623,1
1908-O BARBER SILVER HALF DOLLAR ~ VG ~NICE COIN~,227282852313,"Apr 20, 2026",$27.99,$5.75,,,Fixed price,https://www.ebay.com/itm/227282852313,1
Fantastic Condition 1908 O New Orleans Barber Early Half 50C Silver Half Dollar,406845595997,"Apr 20, 2026",$68.00,$6.00,,,Auction,https://www.ebay.com/itm/406845595997,1
"1907-D,1908-O,1912-S Silver Barber Half Dollars (3 coins) average circ. #1",127810110323,"Apr 20, 2026",$78.95,$5.95,,,Fixed price,https://www.ebay.com/itm/127810110323,1
Beautiful 1908-O 90% Silver Barber Half Dollar 50c Coin!,389882553417,"Apr 19, 2026",$78.01,$4.99,,,Auction,https://www.ebay.com/itm/389882553417,1
1908-O Barber Half Dollar 90% Silver 50C,327093537451,"Apr 19, 2026",$52.00,$0.00,,,Auction,https://www.ebay.com/itm/327093537451,1
1908-O Barber Half Dollar 🇺🇸,277891400565,"Apr 18, 2026",$63.00,$7.95,,,Auction,https://www.ebay.com/itm/277891400565,1
1908-O Barber Half Dollar 90% Silver New Orleans Mint US Coin,397825694298,"Apr 17, 2026",$24.00,$5.00,,,Auction,https://www.ebay.com/itm/397825694298,1
"1908-O Barber Half Dollar, #3108",198098090971,"Apr 16, 2026",$31.00,$5.00,,,Fixed price,https://www.ebay.com/itm/198098090971,1
1908-O Barber Half Dollar #P34125,306871153401,"Apr 16, 2026",$19.59,$4.25,,,Auction,https://www.ebay.com/itm/306871153401,1
"1908-O Barber Half Dollar Blast White Choice AU++, New Orleans Mint Issue",358426611194,"Apr 15, 2026",$390.99,$0.00,,,Auction,https://www.ebay.com/itm/358426611194,1
"1908-D, S & O Barber Silver Half Dollar, F. Great Set! E9",137209200117,"Apr 15, 2026",$137.55,$6.50,,,Auction,https://www.ebay.com/itm/137209200117,1
04/0000014 L#1581 1908 O Barber Silver Half Dollar Coin (bhp),157830764316,"Apr 14, 2026",$112.00,$0.00,,,Auction,https://www.ebay.com/itm/157830764316,1
1908 O Barber Head Silver Half Dollar,318132134538,"Apr 13, 2026",$29.00,$0.00,,,Fixed price,https://www.ebay.com/itm/318132134538,1
Lot of (2) Coins - 90% Silver Barber Half Dollars - 1906-O & 1908-O,137190454383,"Apr 12, 2026",$51.00,$0.00,,,Auction,https://www.ebay.com/itm/137190454383,1
.3867 Ounces Of Silver. 1908 O Barber Half Dollar,136952033799,"Apr 12, 2026",$27.99,$5.40,,,Fixed price,https://www.ebay.com/itm/136952033799,1
$.50 1908-O Barber Silver Half Dollar 90% Circulated US Silver Coin! Good Date,318118742783,"Apr 12, 2026",$24.50,$0.00,,,Auction,https://www.ebay.com/itm/318118742783,1
1908-O Silver Liberty Head Barber Half Dollar 50c US Coin Circulated Ungraded,168286996462,"Apr 11, 2026",$29.00,$6.09,,,Auction,https://www.ebay.com/itm/168286996462,1
1908-O BARBER SILVER HALF DOLLAR ~ GOOD ~ NICE COIN ~ 90% SILVER,188230632694,"Apr 10, 2026",$21.50,$0.50,,,Auction,https://www.ebay.com/itm/188230632694,1
1908 O-SILVER O Barber Half Dollar VERY NICE,377085764159,"Apr 10, 2026",$26.00,$0.00,,,Auction,https://www.ebay.com/itm/377085764159,1
1908-O-BARBER Half Dollar 90% Silver Coin,358414379466,"Apr 10, 2026",$25.38,$1.32,,,Auction,https://www.ebay.com/itm/358414379466,1
"1908-O Barber Half Dollar Almost Uncirculated AU+ Coin, Old Cleaning #36673",397699152712,"Apr 10, 2026",$299.95,$0.00,,,Fixed price,https://www.ebay.com/itm/397699152712,1
1908-O Barber Half Dollar 90% Silver (114),318098178752,"Apr 10, 2026",$33.00,$5.83,,,Fixed price,https://www.ebay.com/itm/318098178752,1
2 BARBER SILVER HALF DOLLAR COINS 1908 O AND 1900,267630607057,"Apr 10, 2026",$45.99,$6.95,,,Auction,https://www.ebay.com/itm/267630607057,1
"Four Barber Half Dollars; 1900, 1905-S, 1907-D, 1908-O",147237766330,"Apr 9, 2026",$79.12,$6.00,,,Auction,https://www.ebay.com/itm/147237766330,1
1908 O Barber Head Silver Half Dollar,147235795306,"Apr 8, 2026",$28.10,$0.00,,,Auction,https://www.ebay.com/itm/147235795306,1
U.S. - 1908-O Silver Barber Half Dollar (NGC F 12),267626454747,"Apr 8, 2026",$72.00,$0.00,,,Auction,https://www.ebay.com/itm/267626454747,1
1908-O 50c Barber Silver Half Dollar - VF - SKU-Z5100,227280803044,"Apr 7, 2026",$79.00,$5.50,,,Auction,https://www.ebay.com/itm/227280803044,1
1908-O 50c Barber Silver Half Dollar - Deep Patina - Fine/VF - SKU-T4898,226390485970,"Apr 7, 2026",$56.85,$5.50,,,Fixed price,https://www.ebay.com/itm/226390485970,1
1908- O Barber Silver Half Dollar A22,318086498697,"Apr 7, 2026",$57.69,$5.22,,,Auction,https://www.ebay.com/itm/318086498697,1
1908 P-D-O-S (4) Barber Half Dollars - One From Each mint. Great Set For Newbies,147231543349,"Apr 6, 2026",$105.00,$6.00,,,Auction,https://www.ebay.com/itm/147231543349,1
Lot of (2) Coins - 90% Silver Barber Half Dollars - 1903-O & 1908-O,137169158405,"Apr 5, 2026",$52.00,$0.00,,,Auction,https://www.ebay.com/itm/137169158405,1
1908 Barber Half Dollar Silver O Mint Mark New Orleans US Coin,127791978614,"Apr 5, 2026",$29.01,$4.88,,,Fixed price,https://www.ebay.com/itm/127791978614,1
VG/F 1908 O Barber Half Dollar,117106398367,"Apr 4, 2026",$34.00,$0.54,,,Auction,https://www.ebay.com/itm/117106398367,1
1908-O Barber Half Dollar Average Circ 90% Silver *8386,127775903297,"Apr 3, 2026",$39.95,$0.00,,,Auction,https://www.ebay.com/itm/127775903297,1
1908-O 50C Barber Liberty Head Half Dollar in Fine Condition ZM,127779968655,"Apr 3, 2026",$53.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127779968655,1
1908-O 50C Barber Half Dollar,389691337452,"Apr 3, 2026",$25.00,$5.20,,,Fixed price,https://www.ebay.com/itm/389691337452,1
1908-o Barber Half Dollar. Strong Liberty. Fine. 206850,376355635071,"Apr 2, 2026",$69.00,$0.75,,,Fixed price,https://www.ebay.com/itm/376355635071,1
1908-O 50C Barber Half Dollar 90% Silver #8,366310941882,"Apr 2, 2026",$28.00,$0.00,,,Fixed price,https://www.ebay.com/itm/366310941882,1
1908-O BARBER SILVER HALF DOLLAR -GOOD ~NICE COIN~,358360567932,"Apr 1, 2026",$21.38,$5.75,,,Auction,https://www.ebay.com/itm/358360567932,1
1908-O 50C Barber Half Dollar. Beautiful Original Patina Coin,137158057116,"Apr 1, 2026",$38.00,$4.99,,,Auction,https://www.ebay.com/itm/137158057116,1
1908 O Barber Half Dollar F Lot2-61,366307968243,"Apr 1, 2026",$30.00,$0.00,,,Auction,https://www.ebay.com/itm/366307968243,1
