Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
[Removed] Item 197959627345,197959627345,"Jan 19, 2026",$25.71,$0.00,,,Fixed price,,73
[Removed] Item 376747344956,376747344956,"Feb 12, 2026",$17.77,$13.32,,,Fixed price,,52
,,"Feb 26, 2026",$40.32,$5.86,,,Fixed price,,34
"1909-S Indian Head Cent Penny, Gorgeous RED, Superb",377049539590,"Apr 25, 2026",$17.46,$13.17,,,Fixed price,https://www.ebay.com/itm/377049539590,29
1909 Nicely Circulated Indian Head Cent Penny “Best Value On EBay” FAST S&H,327000366479,"Apr 4, 2026",$10.58,$0.99,,,Fixed price,https://www.ebay.com/itm/327000366479,18
[Removed] Item 389768717069,389768717069,"Apr 4, 2026",$45.72,$0.00,,,Fixed price,,17
"(3 PC. LOT) 1909 , 1909 V.D.B. , 1909 Indian and Wheat Cent Penny Lot FAST S&H",326209745929,"Dec 30, 2025",$32.27,$4.99,,,Fixed price,https://www.ebay.com/itm/326209745929,9
,,"Jan 6, 2026",$26.48,$0.00,,,Fixed price,,8
,,"Mar 4, 2026",$17.42,$9.99,,,Fixed price,,8
,,"Jan 20, 2026",$67.50,$10.00,,,Fixed price,,10
,,"Dec 9, 2025",$27.08,$0.00,,,Fixed price,,7
[Removed] Item 406738548334,406738548334,"Mar 8, 2026",$44.14,$10.00,,,Fixed price,,7
[Removed] Item 357889640487,357889640487,"Nov 25, 2025",$31.66,$0.00,,,Fixed price,,6
1871 1872 1877 1878 1908 1909 S Indian Head Cent Penny Key Date Coin,406561591214,"Jan 25, 2026",$88.28,$0.00,,,Fixed price,https://www.ebay.com/itm/406561591214,6
1900's VF/EF Indian Head Cent/Blank Planchet Ends Wheat Penny Roll 50 Coins,267447161231,"Feb 8, 2026",$34.99,$6.89,,,Fixed price,https://www.ebay.com/itm/267447161231,8
,,"Feb 1, 2026",$27.30,$0.00,,,Fixed price,,5
[Removed] Item 318088659167,318088659167,"Apr 10, 2026",$45.19,$5.00,,,Fixed price,,5
,,"Nov 8, 2025",$16.87,$0.00,,,Fixed price,,8
1909-S Indian Head Cent 1c Very Fine VF/XF+ Scratched - Key Date,389727040154,"Mar 18, 2026",$37.87,$5.00,,,Fixed price,https://www.ebay.com/itm/389727040154,5
,,"Dec 14, 2025",$23.53,$0.00,,,Fixed price,,5
"Early 1860's-1909 1c Indian Head Cent Roll, 50+ Coins Mixed Lot - Free Ship USA",178019621058,"Apr 6, 2026",$64.99,$0.00,,,Fixed price,https://www.ebay.com/itm/178019621058,4
1909-S Indian Head Penny Cent ~ Borderline Uncirculated (red) *AU++* ~ Key Date!,296752156814,"Feb 6, 2026",$756.24,$3.98,,,Fixed price,https://www.ebay.com/itm/296752156814,4
,,"Mar 21, 2026",$16.58,$12.49,,,Fixed price,,5
,,"Mar 31, 2026",$15.95,$6.99,,,Fixed price,,4
A Roll of Indian Head Pennies. Mixed Years. No 1870’s. Good Condition. No Junk.,116994850420,"Jan 26, 2026",$71.88,$9.33,,,Fixed price,https://www.ebay.com/itm/116994850420,4
,,"Feb 15, 2026",$16.42,$9.99,,,Fixed price,,3
,,"Dec 4, 2025",$22.47,$7.66,,,Fixed price,,4
,,"Apr 1, 2026",$45.99,$0.00,,,Fixed price,,3
,,"Mar 31, 2026",$45.99,$0.00,,,Fixed price,,3
1909 Nicely Circulated Indian Head Cent Penny “Best Value On EBay” FAST S&H,327094132400,"Apr 15, 2026",$10.13,$0.99,,,Fixed price,https://www.ebay.com/itm/327094132400,3
1857-1909 INDIAN HEAD Cent STARTER COLLECTION**w/ 10 Coins + New Album +Free S/H,224950191548,"Feb 18, 2026",$26.98,$0.00,,,Fixed price,https://www.ebay.com/itm/224950191548,2
[Removed] Item 236493821961,236493821961,"Nov 27, 2025",$19.99,$7.99,,,Fixed price,,2
,,"Jan 24, 2026",$22.99,$6.74,,,Fixed price,,3
[Removed] Item 306866800553,306866800553,"Apr 12, 2026",$18.50,$0.00,,,Fixed price,,2
[Removed] Item 317834456344,317834456344,"Feb 4, 2026",$99.90,$0.00,,,Fixed price,,2
[Removed] Item 336501178212,336501178212,"Mar 27, 2026",$18.99,$6.99,,,Fixed price,,2
,,"Nov 1, 2025",$17.08,$4.92,,,Fixed price,,2
,,"Mar 22, 2026",$18.89,$24.98,,,Fixed price,,5
Item ID 358401870830,358401870830,"Apr 2, 2026",$15.45,$5.89,,,Fixed price,https://www.ebay.com/itm/358401870830,2
[Removed] Item 358465178226,358465178226,"Apr 22, 2026",$78.00,$8.00,,,Fixed price,,2
"1909-s Indian Head Cent Penny, Gorgeous RED, Superb",397871410235,"Apr 24, 2026",$15.69,$9.99,,,Fixed price,https://www.ebay.com/itm/397871410235,2
[Removed] Item 406623923585,406623923585,"Jan 23, 2026",$29.00,$0.00,,,Fixed price,,3
[Removed] Item 406740606707,406740606707,"Mar 8, 2026",$40.50,$10.00,,,Fixed price,,2
Dansco Replacement Page 3 For Album 7101 US Indian Head Cents Penny 1891 1909-S,115476648050,"Nov 6, 2025",$18.97,$0.00,,,Fixed price,https://www.ebay.com/itm/115476648050,1
,,"Nov 21, 2025",$10.00,$0.00,,,Fixed price,,1
,,"Jan 10, 2026",$478.75,$11.95,,,Fixed price,,1
,,"Jan 15, 2026",$489.00,$3.00,,,Fixed price,,1
1909 S INDIAN HEAD PENNY CENT CHOICE XF+/AU DETAILS FROM ORIGINAL COLLECTION,117002789562,"Jan 26, 2026",$800.00,$9.99,,,Fixed price,https://www.ebay.com/itm/117002789562,1
"1909-S 1C Indian Head Cent MS-62RB NGC/CAC, Key Date! Nice Coin!",117003122358,"Feb 22, 2026","$2,000.00",$0.00,,,Fixed price,https://www.ebay.com/itm/117003122358,1
A Roll of Indian Head Pennies. Mixed Years. No 1870’s. Good Condition. No Junk.,117009352437,"Feb 4, 2026",$68.87,$28.00,,,Fixed price,https://www.ebay.com/itm/117009352437,4
