Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
1909 VDB Lincoln Wheat Penny Cent - Gem BU Red,135768256844,"May 17, 2026",$47.70,$4.45,,,Fixed price,https://www.ebay.com/itm/135768256844,32
1 OZ 1909-S VDB Lincoln Wheat Cent Round .999 Copper Restrike (BU),325713697960,"Apr 30, 2026",$8.56,$7.22,,,Fixed price,https://www.ebay.com/itm/325713697960,187
1909 VDB On One End ~ Wheat Penny Lincoln Cent Roll ~ Estate Coins ~ ONE ROLL,267384407482,"Apr 30, 2026",$26.53,$5.54,,,Fixed price,https://www.ebay.com/itm/267384407482,136
1909 VDB Lincoln Wheat Penny Cent ~ Gem BU (red) ~ Better Date!,294856332210,"Apr 29, 2026",$41.94,$4.31,,,Fixed price,https://www.ebay.com/itm/294856332210,159
Item ID 389588963631,389588963631,"Apr 27, 2026",$33.50,$0.00,,,Fixed price,https://www.ebay.com/itm/389588963631,58
1909 VDB Lincoln Wheat Cent - Actual Coin Shown - Free Shipping Tracking INV#285,357780146343,"Apr 27, 2026",$9.03,$0.00,,,Fixed price,https://www.ebay.com/itm/357780146343,27
1 OZ 1909-S VDB Lincoln Wheat Cent Round .999 Copper BU Restrike,375415524074,"Apr 23, 2026",$8.99,$12.63,,,Fixed price,https://www.ebay.com/itm/375415524074,90
1909-P VDB G/VG Lincoln Wheat Cent X-238,395362582753,"Apr 23, 2026",$7.61,$0.00,,,Fixed price,https://www.ebay.com/itm/395362582753,58
[Removed] Item 358402269850,358402269850,"Apr 17, 2026",$29.50,$0.00,,,Fixed price,,53
lincoln penny set collection 1909 vdb-2024 p d s wheat cent with bu memorials,266030594455,"Apr 15, 2026",$146.05,$10.12,,,Fixed price,https://www.ebay.com/itm/266030594455,77
As shown in the figure---1909 S vdb Lincoln Wheat Cent Penny Rare Sought,397363303455,"Mar 28, 2026",$18.09,$10.56,,,Fixed price,https://www.ebay.com/itm/397363303455,37
,,"Mar 22, 2026",$28.49,$0.00,,,Fixed price,,39
"1909-S VDB Lincoln Wheat Cent Penny, Highly Collectible, Scarce Nice Key Date!",406692130398,"Mar 12, 2026",$37.00,$3.09,,,Fixed price,https://www.ebay.com/itm/406692130398,30
[Removed] Item 157627326688,157627326688,"Mar 5, 2026",$27.40,$0.00,,,Fixed price,,60
[Removed] Item 157525936139,157525936139,"Mar 3, 2026",$27.41,$0.00,,,Fixed price,,53
[Removed] Item 206034913627,206034913627,"Feb 27, 2026",$29.39,$3.23,,,Fixed price,,57
[Removed] Item 358073515707,358073515707,"Feb 25, 2026",$18.57,$11.99,,,Fixed price,,126
[Removed] Item 157664973945,157664973945,"Feb 25, 2026",$28.69,$0.00,,,Fixed price,,61
[Removed] Item 197834922486,197834922486,"Feb 23, 2026",$9.77,$26.75,,,Fixed price,,78
---1909-S VDB Lincoln Wheat Cent Penny Rare Sought As shown in the figure,157472108221,"Feb 11, 2026",$28.82,$0.00,,,Fixed price,https://www.ebay.com/itm/157472108221,50
,,"Feb 11, 2026",$28.77,$0.00,,,Fixed price,,48
1909-S VDB Lincoln Wheat Cent Penny Rare Sought---As shown in the figure,236561186543,"Feb 9, 2026",$17.71,$13.45,,,Fixed price,https://www.ebay.com/itm/236561186543,35
,,"Feb 5, 2026",$29.08,$0.00,,,Fixed price,,45
---Vintage Rare 1909-S VDB Lincoln Wheat Cent Penny - A Unique and Precious Find,157606008739,"Feb 3, 2026",$29.12,$3.33,,,Fixed price,https://www.ebay.com/itm/157606008739,27
,,"Feb 3, 2026",$29.12,$3.33,,,Fixed price,,27
1909 S vdb Wrong version Lincoln Wheat Cent Penny Rare Sought---As shown,197959612537,"Feb 1, 2026",$27.71,$0.00,,,Fixed price,https://www.ebay.com/itm/197959612537,51
,,"Feb 1, 2026",$27.71,$0.00,,,Fixed price,,51
[Removed] Item 197959613584,197959613584,"Jan 31, 2026",$27.74,$0.00,,,Fixed price,,124
[Removed] Item 366126944616,366126944616,"Jan 26, 2026",$28.95,$0.00,,,Fixed price,,58
,,"Jan 22, 2026",$27.03,$0.00,,,Fixed price,,44
,,"Jan 21, 2026",$6.71,$25.05,,,Fixed price,,35
,,"Jan 20, 2026",$26.89,$0.00,,,Fixed price,,62
,,"Jan 20, 2026",$27.22,$0.00,,,Fixed price,,42
,,"Jan 20, 2026",$26.84,$0.00,,,Fixed price,,35
👉1909-VDB LINCOLN WHEAT Vf Choice,226579472988,"Jan 15, 2026",$13.30,$1.53,,,Fixed price,https://www.ebay.com/itm/226579472988,54
,,"Jan 15, 2026",$15.77,$9.32,,,Fixed price,,48
,,"Jan 12, 2026",$2.25,$0.00,,,Fixed price,,"1,350"
,,"Jan 12, 2026",$2.27,$0.00,,,Fixed price,,"1,122"
,,"Jan 8, 2026",$28.54,$0.00,,,Fixed price,,45
,,"Jan 8, 2026",$38.06,$10.95,,,Fixed price,,39
,,"Jan 8, 2026",$38.19,$10.95,,,Fixed price,,32
[Removed] Item 197966371147,197966371147,"Jan 7, 2026",$26.86,$0.00,,,Fixed price,,60
,,"Jan 7, 2026",$15.96,$10.27,,,Fixed price,,36
,,"Jan 7, 2026",$26.21,$0.00,,,Fixed price,,30
,,"Jan 6, 2026",$27.75,$0.00,,,Fixed price,,65
,,"Jan 2, 2026",$23.67,$0.00,,,Fixed price,,71
,,"Dec 30, 2025",$26.53,$0.00,,,Fixed price,,41
,,"Dec 30, 2025",$21.98,$0.00,,,Fixed price,,28
,,"Dec 21, 2025",$25.91,$0.00,,,Fixed price,,36
,,"Dec 18, 2025",$24.99,$5.85,,,Fixed price,,68
[Removed] Item 157491733751,157491733751,"Dec 17, 2025",$21.56,$9.99,,,Fixed price,,225
,,"Dec 10, 2025",$22.81,$6.21,,,Fixed price,,28
,,"Dec 5, 2025",$27.20,$0.00,,,Fixed price,,49
,,"Dec 2, 2025",$18.48,$8.51,,,Fixed price,,66
,,"Dec 1, 2025",$19.89,$0.00,,,Fixed price,,30
,,"Nov 26, 2025",$29.63,$5.52,,,Fixed price,,42
,,"Nov 26, 2025",$28.58,$5.41,,,Fixed price,,39
,,"Nov 26, 2025",$28.43,$5.54,,,Fixed price,,30
,,"Nov 26, 2025",$29.85,$5.76,,,Fixed price,,30
[Removed] Item 236443169237,236443169237,"Nov 25, 2025",$27.83,$6.14,,,Fixed price,,32
,,"Nov 15, 2025",$19.16,$2.35,,,Fixed price,,34
