Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
1911-D Indian Quarter Eagle PCGS XF-40,307634596283,12/31/2025,"$7,128.01",$3.99,Certified,keydate_coins,Auction,https://www.ebay.com/itm/307634596283
1911-D $2.50 Indian Quarter Eagle VF Details Key,198685812296,2/1/2026,"$3,382.55",Free,Circulated,bullionshark,Auction,https://www.ebay.com/itm/198685812296
1911-D Indian $2.50 NGC VF-30,285527289141,12/9/2025,"$5,088.25",$3.99,Certified,sdbullion,Buy It Now,https://www.ebay.com/itm/285527289141
1911-D Indian $2.50 NGC AU-55,283637357063,2/11/2026,"$12,599.73",Free,Certified,silvertowne,Best Offer,https://www.ebay.com/itm/283637357063
1911-D Indian $2.50 NGC VF-30,352281734749,1/22/2026,"$4,367.18",Free,Certified,goldeneaglecoin,Buy It Now,https://www.ebay.com/itm/352281734749
1911-D Indian $2.50 PCGS AU-55,212031892917,12/29/2025,"$12,349.47",Free,Certified,keydate_coins,Buy It Now,https://www.ebay.com/itm/212031892917
1911-D $2.50 Indian Quarter Eagle VF Details Key,121690218278,2/19/2026,"$3,390.26",$5.99,Circulated,liberty_coin,Best Offer,https://www.ebay.com/itm/121690218278
1911-D Indian Quarter Eagle NGC VF-20,364053794581,12/31/2025,"$4,808.03",$3.99,Certified,legend_numismatics,Auction,https://www.ebay.com/itm/364053794581
1911-D Indian $2.50 NGC VF-30,137346093247,11/29/2025,"$5,081.54",Free,Certified,davidlawrence,Buy It Now,https://www.ebay.com/itm/137346093247
1911-D $2.50 Indian Quarter Eagle VF Details Key,115885666865,12/31/2025,"$4,234.77",Free,Circulated,legend_numismatics,Best Offer,https://www.ebay.com/itm/115885666865
1911-D $2.50 Indian Quarter Eagle VF Details Key,102962744313,12/23/2025,"$3,513.71",Free,Circulated,davidlawrence,Best Offer,https://www.ebay.com/itm/102962744313
1911-D Indian Quarter Eagle NGC VF-20,239677377475,1/21/2026,"$4,603.25",Free,Certified,goldhillcoins,Auction,https://www.ebay.com/itm/239677377475
1911-D $2.50 Indian Quarter Eagle VF Details Key,292641562437,12/21/2025,"$3,341.72",$5.99,Circulated,moderncoinmart,Buy It Now,https://www.ebay.com/itm/292641562437
1911-D Indian Quarter Eagle PCGS XF-40,204045630132,12/21/2025,"$7,544.78",Free,Certified,liberty_coin,Auction,https://www.ebay.com/itm/204045630132
1911-D $2.50 Indian Quarter Eagle VF Details Key,126560667961,1/3/2026,"$3,375.31",$3.99,Circulated,apmex,Best Offer,https://www.ebay.com/itm/126560667961
1911-D $2.50 Indian Quarter Eagle VF Details Key,312595688901,11/24/2025,"$3,918.36",Free,Circulated,davidlawrence,Buy It Now,https://www.ebay.com/itm/312595688901
1911-D $2.50 Indian Quarter Eagle VF Details Key,208334701435,1/30/2026,"$4,085.68",Free,Circulated,rarecoinwholesalers,Best Offer,https://www.ebay.com/itm/208334701435
1911-D Indian Quarter Eagle NGC XF-40,143048498879,12/8/2025,"$6,289.41",Free,Certified,davidlawrence,Buy It Now,https://www.ebay.com/itm/143048498879
