Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
"1906-S, 1912-S, 1913-S, 1915-S Barber Half Dollars V-G Details",366376558323,"May 11, 2026",$78.11,$0.00,,,Fixed price,https://www.ebay.com/itm/366376558323,3
1912-S Barber Silver Half Dollar. Free Shipping,277976689217,"May 11, 2026",$30.00,$0.00,,,Fixed price,https://www.ebay.com/itm/277976689217,1
1912-S Barber Half 1/2 Dollar 90% Silver 50c Fifty Cent San Francisco US Coin,306921091742,"May 10, 2026",$152.50,$5.62,,,Auction,https://www.ebay.com/itm/306921091742,1
1912-S - Barber Half Dollar - 50c - PCGS VF25,157882543872,"May 10, 2026",$162.50,$5.00,,,Auction,https://www.ebay.com/itm/157882543872,1
1912-S 50C Barber Half Dollar (89691),227329637531,"May 10, 2026",$36.99,$0.00,,,Fixed price,https://www.ebay.com/itm/227329637531,1
1912-S Barber Silver Half Dollar USA 🇺🇸 Historic Silver Coin Better Date!,318272205616,"May 9, 2026",$47.99,$4.99,,,Auction,https://www.ebay.com/itm/318272205616,1
Silver Half Dollar - Barber - 1912-S And 1912- D 90% Silver Lot Of 2 $1 Face#B65,147264065423,"May 8, 2026",$59.99,$0.00,,,Fixed price,https://www.ebay.com/itm/147264065423,1
"1912 S BARBER HALF DOLLAR, CIRCULATED, UNGRADED, PERSONAL FAMILY COLLECTION",177860670494,"May 8, 2026",$25.00,$5.00,,,Fixed price,https://www.ebay.com/itm/177860670494,1
"Barber Half Dollar Lot 1903 O, 1906 O, 1907 O, 1908 S, 1912 D",117172851552,"May 8, 2026",$128.61,$6.36,,,Auction,https://www.ebay.com/itm/117172851552,1
1912-S BARBER SILVER HALF DOLLAR,306912356512,"May 8, 2026",$89.88,$0.61,,,Auction,https://www.ebay.com/itm/306912356512,1
1912-S VG+ Barber Half Dollar LITY and a bit BR Combined Shipping,358530237316,"May 8, 2026",$45.95,$5.75,,,Fixed price,https://www.ebay.com/itm/358530237316,1
1912-S Barber Half Dollar,327132245666,"May 7, 2026",$30.00,$6.00,,,Auction,https://www.ebay.com/itm/327132245666,1
"1912 S Silver Barber Half Dollar, 90% Silver",257352936857,"May 7, 2026",$37.00,$4.65,,,Fixed price,https://www.ebay.com/itm/257352936857,1
US 1912 S Barber Half Dollar - 50 Cent Silver Coin,168342896538,"May 7, 2026",$36.00,$8.60,,,Auction,https://www.ebay.com/itm/168342896538,1
"1911-S and 1912-S Low Mintage Barber Half Dollars, Both in VG Condition",257340811182,"May 6, 2026",$65.95,$0.00,,,Fixed price,https://www.ebay.com/itm/257340811182,1
1906 1902 1912 S Barber Half Dollar,236784365679,"May 5, 2026",$71.00,$6.00,,,Auction,https://www.ebay.com/itm/236784365679,1
1912-S Barber Half Dollar Nice Original Fine CHRC,306833469948,"May 4, 2026",$64.99,$0.00,,,Fixed price,https://www.ebay.com/itm/306833469948,1
1904 O Morgan Dollar PCGS MS 63 Plus A 1912 S Barber Half PCGS F 12 Very Nice,157863497825,"May 3, 2026",$177.50,$9.45,,,Auction,https://www.ebay.com/itm/157863497825,1
1912-S San Francisco Barber Silver 1/2 Half Dollar Better Date,267642422424,"May 3, 2026",$36.00,$4.23,,,Auction,https://www.ebay.com/itm/267642422424,1
1912-S Barber Half dollar,306915203014,"May 3, 2026",$27.00,$6.00,,,Fixed price,https://www.ebay.com/itm/306915203014,1
1912 S 50C Barber Silver Half Dollar - Good Condition - Barb-12BF,397904883143,"May 3, 2026",$39.99,$1.00,,,Fixed price,https://www.ebay.com/itm/397904883143,1
"1912 S Barber Silver Half Dollar, Looks VG Semi-Key Low Mintage 1,370,000",277946497675,"May 1, 2026",$43.50,$5.48,,,Fixed price,https://www.ebay.com/itm/277946497675,1
1912-S Barber Half Dollar,137245954691,"May 1, 2026",$25.00,$5.72,,,Auction,https://www.ebay.com/itm/137245954691,1
"1900, 1911, 1912, 1912-S Better Date Barber Half Dollars",257471854260,"Apr 30, 2026",$81.60,$9.99,,,Auction,https://www.ebay.com/itm/257471854260,1
elf Barber Half Dollar 1912 S F27,397873043583,"Apr 30, 2026",$42.00,$0.40,,,Auction,https://www.ebay.com/itm/397873043583,1
"1912 S Barber Silver Half Dollar, Looks VG Semi-Key Low Mintage 1,370,000",277943466542,"Apr 30, 2026",$33.00,$5.48,,,Fixed price,https://www.ebay.com/itm/277943466542,1
