Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
1913 S Lincoln Wheat Cent/Penny - Circulated - G/VG X-318,395572102121,"Apr 18, 2026",$14.55,$0.00,,,Fixed price,https://www.ebay.com/itm/395572102121,138
1913-S Lincoln Wheat Cent Penny LOWEST PRICES ON THE BAY! FREE SHIPPING!,323772263334,"Apr 11, 2026",$21.83,$0.00,,,Fixed price,https://www.ebay.com/itm/323772263334,49
1913-S LINCOLN WHEAT PENNY CENT - G-VG - GOOD-VERY GOOD - FULL RIM/SHARP DATE!!!,350839755069,"Mar 6, 2026",$18.49,$0.00,,,Fixed price,https://www.ebay.com/itm/350839755069,27
1913-S Lincoln Wheat Cent ~ VERY GOOD (VG) Condition ~ COMBINED SHIPPING!,363617730437,"Apr 2, 2026",$22.50,$2.79,,,Fixed price,https://www.ebay.com/itm/363617730437,20
1913-S Lincoln Cent ~ ABOUT GOOD (AG) Condition ~ COMBINED SHIPPING!,365752751401,"Mar 29, 2026",$11.42,$2.48,,,Fixed price,https://www.ebay.com/itm/365752751401,24
1913-S Lincoln Wheat Cent Penny F/VF Complete Your Album!!,326346014932,"Apr 12, 2026",$29.25,$0.00,,,Fixed price,https://www.ebay.com/itm/326346014932,16
1913-S Lincoln Wheat Cent ~ FINE Condition ~ COMBINED SHIPPING!,363780130421,"Apr 25, 2026",$35.78,$4.39,,,Fixed price,https://www.ebay.com/itm/363780130421,14
1913 S Lincoln Wheat Cent/Penny - Circulated -AG/Cull X-319,395572114233,"Jan 31, 2026",$10.16,$0.00,,,Fixed price,https://www.ebay.com/itm/395572114233,18
1913 S Lincoln Wheat Cent/Penny - Circulated - Fine X-322,395912348479,"Apr 25, 2026",$18.63,$0.00,,,Fixed price,https://www.ebay.com/itm/395912348479,13
Semi Key 1913 S 1913 D Lincoln Wheat Cent 2 Great Coins,113843315246,"Apr 18, 2026",$16.99,$0.00,,,Fixed price,https://www.ebay.com/itm/113843315246,8
