Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
Dansco Coin Album 7150 US Liberty Head Barber Half Dollar Coins 1892-1915 New,116270659329,"Apr 18, 2026",$42.75,$0.00,,,Fixed price,https://www.ebay.com/itm/116270659329,47
Barber Half Dollars Liberty Head 1892-1915 Coin Album 9124 New By Whitman,116298444038,"Apr 24, 2026",$33.13,$0.00,,,Fixed price,https://www.ebay.com/itm/116298444038,39
[Removed] Item 397229941214,397229941214,"Nov 19, 2025",$84.86,$0.00,,,Fixed price,,38
USA 1892-1915 Barber Half Dollar 90% Silver Coin Average Circulated Random Date,197768742277,"Apr 24, 2026",$45.90,$0.00,,,Fixed price,https://www.ebay.com/itm/197768742277,34
[Removed] Item 318095393800,318095393800,"Apr 11, 2026",$46.33,$0.00,,,Fixed price,,15
1915-D Barber Half Dollar Average Circ 90% Silver,365231745146,"Feb 22, 2026",$35.09,$0.00,,,Fixed price,https://www.ebay.com/itm/365231745146,12
Whitman Coin Album 9124 Barber Liberty Head Half Dollar 1892-1915 Book 50 cent,330972560979,"Apr 15, 2026",$27.71,$7.00,,,Fixed price,https://www.ebay.com/itm/330972560979,9
Bulk Lot of 6 1893-1915-S Barber Half Dollar 50c High Grade A++++,358446326634,"Apr 22, 2026",$48.88,$9.99,,,Fixed price,https://www.ebay.com/itm/358446326634,9
Whitman US Barber / Liberty Half Dollar Coin Album 1892 - 1915 #9124,152490204831,"Mar 22, 2026",$30.22,$0.00,,,Fixed price,https://www.ebay.com/itm/152490204831,7
Whitman Barber or Liberty Head Half Dollars Coin Album Book 1892-1915 #9124,363878370857,"Apr 7, 2026",$39.95,$0.00,,,Fixed price,https://www.ebay.com/itm/363878370857,7
,,"Dec 30, 2025",$45.89,$11.42,,,Fixed price,,8
1915-S Barber Half Dollar Average Circ,126777938871,"Jan 6, 2026",$27.38,$0.00,,,Fixed price,https://www.ebay.com/itm/126777938871,6
[Removed] Item 157788905898,157788905898,"Apr 1, 2026",$36.33,$5.99,,,Fixed price,,6
Lot of 5 Coin Barber Silver Half Dollars 1892-1915 Mixed Dates,177665939474,"Feb 12, 2026",$164.28,$0.00,,,Fixed price,https://www.ebay.com/itm/177665939474,9
,,"Mar 29, 2026",$46.40,$0.00,,,Fixed price,,5
Bulk Lot of 5 1892-1915-S Barber Half Dollar 50c High Grade A++++,358478363916,"Apr 25, 2026",$34.59,$9.99,,,Fixed price,https://www.ebay.com/itm/358478363916,5
[Removed] Item 147239837443,147239837443,"Apr 13, 2026",$32.71,$17.48,,,Fixed price,,7
4PCS 1911-1915 S Barber Silver Half Dollar Coins Mixed Dates AU/BU Coins-US,178057350896,"Apr 20, 2026",$29.00,$9.99,,,Fixed price,https://www.ebay.com/itm/178057350896,4
Barber (Liberty) Head Half Dollars: 1892-1915 - Whitman Classic Coin Album,204656762383,"Apr 16, 2026",$39.96,$5.95,,,Fixed price,https://www.ebay.com/itm/204656762383,4
,,"Jan 18, 2026",$25.00,$31.25,,,Fixed price,,25
Bulk Lot of 5 1892-1915-S Barber Half Dollar 50c High Grade A++++,358459787202,"Apr 22, 2026",$39.99,$9.99,,,Fixed price,https://www.ebay.com/itm/358459787202,4
BARBER HALF DOLLAR COIN RING. 90% SILVER. SIZES 9 TO 14. 1915 AND BEFORE,177354721940,"Dec 30, 2025",$51.95,$4.75,,,Fixed price,https://www.ebay.com/itm/177354721940,3
(1 PC. LOT) BARBER HALF DOLLAR AVERAGE CIRC. SILVER COIN From 1892 - 1915,226395372691,"Apr 18, 2026",$40.36,$0.00,,,Fixed price,https://www.ebay.com/itm/226395372691,6
Dansco Coin Album #7150 Liberty Head Barber Half Dollars 1892-1915 4-Page Album,226532543102,"Jan 25, 2026",$41.45,$0.00,,,Fixed price,https://www.ebay.com/itm/226532543102,3
1915 D Barber Half Dollar ~ VG VERY GOOD ~ 90% Silver 50c US Coin Collectible,256895691684,"Dec 1, 2025",$19.95,$3.95,,,Fixed price,https://www.ebay.com/itm/256895691684,3
[Removed] Item 287258343290,287258343290,"Apr 13, 2026",$45.66,$0.00,,,Fixed price,,3
,,"Jan 4, 2026",$28.74,$0.00,,,Fixed price,,8
1915 Barber Half Dollar - Very Good Details Improperly Cleaned,358270348344,"Mar 13, 2026",$60.00,$0.00,,,Fixed price,https://www.ebay.com/itm/358270348344,3
Item ID 358478329940,358478329940,"Apr 24, 2026",$41.33,$9.99,,,Fixed price,https://www.ebay.com/itm/358478329940,3
,,"Nov 11, 2025",$49.99,$0.00,,,Fixed price,,2
2 Vintage Whitman Folders Barber Half Dollars 1892-1915 New never held any coins,157785748631,"Apr 18, 2026",$24.50,$6.75,,,Fixed price,https://www.ebay.com/itm/157785748631,2
,,"Nov 15, 2025",$8.00,$1.85,,,Fixed price,,2
[Removed] Item 227289961139,227289961139,"Apr 9, 2026",$11.50,$9.99,,,Fixed price,,2
Barber Half Dollar Album | Liberty Head | 1892-1915 | Whitman Classic,256991445680,"Apr 15, 2026",$47.45,$0.00,,,Fixed price,https://www.ebay.com/itm/256991445680,2
"Barber Half Dollars (1892-1915) - 90% Silver, Choose How Many!",306415836514,"Apr 21, 2026",$37.15,$0.00,,,Fixed price,https://www.ebay.com/itm/306415836514,4
[Removed] Item 358414734168,358414734168,"Apr 11, 2026",$34.50,$8.99,,,Fixed price,,2
Dansco Album (New) Liberty Head Barber Half Dollars 1892-1915,375498794919,"Apr 6, 2026",$48.56,$7.95,,,Fixed price,https://www.ebay.com/itm/375498794919,2
[Removed] Item 389860477300,389860477300,"Apr 9, 2026",$59.99,$0.00,,,Fixed price,,2
,,"Dec 31, 2025",$33.09,$0.00,,,Fixed price,,1
1915-S Barber Silver Half Dollar San Francisco Mint 50(C) #052,115538066109,"Apr 21, 2026",$40.00,$1.19,,,Fixed price,https://www.ebay.com/itm/115538066109,1
,,"Jan 12, 2026",$22.00,$3.99,,,Fixed price,,1
Dansco Page 4 For 7150 Coin Album Liberty Head Barber Half Dollar 1911-D 1915-S,116270659181,"Feb 26, 2026",$18.97,$0.00,,,Fixed price,https://www.ebay.com/itm/116270659181,1
,,"Dec 26, 2025",$114.49,$0.00,,,Fixed price,,1
,,"Jan 12, 2026",$55.00,$4.00,,,Fixed price,,1
1915 P Barber Half Dollar “Better Date” 135K Mintage Semi Key Date G/VG RARE,116768025219,"Mar 4, 2026",$83.00,$7.70,,,Fixed price,https://www.ebay.com/itm/116768025219,1
,,"Dec 20, 2025",$19.00,$0.55,,,Fixed price,,1
,,"Dec 20, 2025",$20.00,$0.57,,,Fixed price,,1
,,"Jan 3, 2026",$45.95,$4.65,,,Fixed price,,1
,,"Nov 1, 2025",$17.50,$4.99,,,Fixed price,,1
,,"Nov 12, 2025",$16.00,$4.97,,,Auction,,1
