Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
(Key Date) 90% Silver 1916 D Barber Quarter Denver Mint 25C US Coin Circulated,168317069555,"Apr 25, 2026",$12.00,$0.00,,,Auction,https://www.ebay.com/itm/168317069555,1
1916 D Barber 90% Silver Quarter With Stars Last Year Of Barber Silver Quarters,177928583006,"Apr 25, 2026",$14.95,$0.00,,,Fixed price,https://www.ebay.com/itm/177928583006,1
"4 BARBER QUARTERS, 1906-D,1907-D,1915-D,1916, BELOW SILVER VALUE",298239384467,"Apr 25, 2026",$40.00,$2.17,,,Auction,https://www.ebay.com/itm/298239384467,1
1916-D Barber Quarter 🇺🇸,287283438700,"Apr 25, 2026",$93.56,$7.55,,,Auction,https://www.ebay.com/itm/287283438700,1
1916-D 25c Silver Barber Quarter EF-40 Details ANACS # 7490187 + Bonus,226958449164,"Apr 24, 2026",$80.00,$0.00,,,Fixed price,https://www.ebay.com/itm/226958449164,1
1916-D 90% Silver Barber Quarter FULL RIMS,257443888170,"Apr 23, 2026",$16.99,$1.32,,,Fixed price,https://www.ebay.com/itm/257443888170,1
1916 D Barber Quarter 25c. Very Good Condition. Last Year Of Issue. 90% Silver.,377129311241,"Apr 23, 2026",$6.50,$4.85,,,Auction,https://www.ebay.com/itm/377129311241,1
1916-D 90% Silver Barber Quarter VG FULL RIMS #2,257443888166,"Apr 22, 2026",$16.99,$1.32,,,Fixed price,https://www.ebay.com/itm/257443888166,1
SILVER 1915-S & 1916-D Barber Quarters Good & Very Good circulated condition,127764251474,"Apr 22, 2026",$38.95,$5.95,,,Fixed price,https://www.ebay.com/itm/127764251474,1
"1916-D Barber Silver Quarter, Partial Liberty - #C58740NQ",366352945267,"Apr 22, 2026",$22.99,$0.00,,,Auction,https://www.ebay.com/itm/366352945267,1
1916-D Barber Quarter * 90% Silver * FINE Details * *90% Silver* FREE SHIPPING,364570796283,"Apr 21, 2026",$20.00,$0.00,,,Fixed price,https://www.ebay.com/itm/364570796283,1
1916-D Barber Quarter 90% Silver CLEANED POLISHED,336532537515,"Apr 20, 2026",$14.50,$1.74,,,Auction,https://www.ebay.com/itm/336532537515,1
1916-D Barber Quarter #4595,127324478466,"Apr 20, 2026",$20.00,$1.99,,,Fixed price,https://www.ebay.com/itm/127324478466,1
1916-D 25C Barber Liberty Head Silver Quarter Dollar in VF+ Condition #6340,389807863762,"Apr 20, 2026",$37.50,$0.00,,,Fixed price,https://www.ebay.com/itm/389807863762,1
1916-D BARBER SILVER QUARTER ~ NICE COIN ~ 90% SILVER,178036268852,"Apr 19, 2026",$14.53,$0.50,,,Auction,https://www.ebay.com/itm/178036268852,1
1916 D Barber Quarter - Good Condition - MM43,389881336410,"Apr 19, 2026",$11.05,$0.53,,,Auction,https://www.ebay.com/itm/389881336410,1
1916 D Barber Quarter VERY GOOD,366347340992,"Apr 19, 2026",$16.55,$0.16,,,Auction,https://www.ebay.com/itm/366347340992,1
1912 & 1916 D BARBER SILVER QUARTERS***G/G+***,168293562869,"Apr 19, 2026",$23.00,$7.89,,,Auction,https://www.ebay.com/itm/168293562869,1
$1 face~Barber Quarters~1911-s to 1916-d~90% Silver~.72 tr~Free Ship~Lot 8!,168291409060,"Apr 18, 2026",$50.00,$0.00,,,Auction,https://www.ebay.com/itm/168291409060,1
