Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
Bulk Lot of 3 1916-1918-S Half Dollar Walking Statue of Liberty Silver Coin,318078260700,"Apr 5, 2026",$44.20,$0.00,,,Fixed price,https://www.ebay.com/itm/318078260700
,,"Apr 1, 2026",$43.41,$0.00,,,Fixed price,
Bulk Lot of 4 1916-1921-S Half Dollar Walking Statue of Liberty Silver Coin,287214157571,"Mar 25, 2026",$32.60,$12.49,,,Fixed price,https://www.ebay.com/itm/287214157571
[Removed] Item 287233940977,287233940977,"Mar 31, 2026",$33.71,$10.26,,,Fixed price,
Bulk Lot of 3 1916-1918-S Half Dollar Walking Statue of Liberty Silver Coin,389768513854,"Apr 4, 2026",$43.53,$0.00,,,Fixed price,https://www.ebay.com/itm/389768513854
Bulk Lot of 3 1916-1918-S Half Dollar Walking Statue of Liberty Silver Coin,198180144716,"Mar 23, 2026",$38.17,$0.00,,,Fixed price,https://www.ebay.com/itm/198180144716
Bulk Lot of 4 1916-1921-S Half Dollar Walking Statue of Liberty Silver Coin,298193254428,"Apr 5, 2026",$30.25,$9.99,,,Fixed price,https://www.ebay.com/itm/298193254428
[Removed] Item 168242941358,168242941358,"Mar 21, 2026",$42.49,$0.00,,,Fixed price,
1916-S Walking Liberty Half Dollar USA Silver 50c Coin,147239829778,"Apr 5, 2026",$12.50,$9.99,,,Fixed price,https://www.ebay.com/itm/147239829778
,,"Mar 22, 2026",$26.75,$9.99,,,Fixed price,
,,"Mar 31, 2026",$26.99,$0.00,,,Fixed price,
Bulk Lot of 3 1916-1918-S Half Dollar Walking Statue of Liberty Silver Coin,168231185779,"Mar 18, 2026",$34.66,$0.00,,,Fixed price,https://www.ebay.com/itm/168231185779
Bulk Lot of 3 1916-1918-S Half Dollar Walking Statue of Liberty Silver Coin,168240563556,"Mar 25, 2026",$38.27,$0.00,,,Fixed price,https://www.ebay.com/itm/168240563556
Bulk Lot of 4 1916-1921-S Half Dollar Walking Statue of Liberty Silver Coin,287203348607,"Mar 15, 2026",$28.67,$9.99,,,Fixed price,https://www.ebay.com/itm/287203348607
[Removed] Item 298186436294,298186436294,"Apr 3, 2026",$31.33,$9.99,,,Fixed price,
Bulk Lot of 3 1916-1918-S Half Dollar Walking Statue of Liberty Silver Coin,406783016626,"Mar 25, 2026",$29.99,$0.00,,,Fixed price,https://www.ebay.com/itm/406783016626
[Removed] Item 298162221312,298162221312,"Apr 1, 2026",$33.99,$9.99,,,Fixed price,
Bulk Lot of 4 1916-1921-S Half Dollar Walking Statue of Liberty Silver Coin,389751603268,"Mar 19, 2026",$29.99,$9.99,,,Fixed price,https://www.ebay.com/itm/389751603268
[Removed] Item 406802948410,406802948410,"Mar 28, 2026",$34.89,$9.99,,,Fixed price,
1916-S LIBERTY WALKING HALF DOLLAR,117104343451,"Mar 24, 2026",$115.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117104343451
"8 walking Liberty Halfs 1916, 1916-s, 1918,1918-s, 1919, 1936-d, 1946",127733953069,"Mar 12, 2026",$207.50,$5.95,,,Auction,https://www.ebay.com/itm/127733953069
"1916 ""S"" WALKING LIBERTY HALF DOLLAR***VG***KEY DATE",127736833122,"Mar 12, 2026",$74.99,$4.95,,,Fixed price,https://www.ebay.com/itm/127736833122
Walking Liberty Half Dollars Lot of 20 1916-1923 Incl. 1921's,127755880173,"Mar 23, 2026",$574.00,$0.00,,,Auction,https://www.ebay.com/itm/127755880173
1916-S Walking Liberty Silver Half Dollar GOOD E364 GSMQ,136999271610,"Mar 31, 2026",$105.00,$0.00,,,Fixed price,https://www.ebay.com/itm/136999271610
1916 S Walking Liberty Half Dollar cd -,137074104336,"Mar 19, 2026",$59.00,$5.00,,,Fixed price,https://www.ebay.com/itm/137074104336
1916-S Walking Liberty Half dollar,137095190442,"Mar 9, 2026",$80.00,$5.27,,,Fixed price,https://www.ebay.com/itm/137095190442
1916-S WALKING LIBERTY HALF DOLLAR,147173110583,"Mar 8, 2026",$38.00,$5.25,,,Auction,https://www.ebay.com/itm/147173110583
1916 S Walking Liberty Silver Half Dollar,147185053301,"Mar 9, 2026",$38.00,$3.93,,,Auction,https://www.ebay.com/itm/147185053301
1916-S 50c Walking Liberty Silver Half Dollar ~ VG DETAILS ~ BETTER DATE!,147185580492,"Mar 14, 2026",$61.50,$7.00,,,Auction,https://www.ebay.com/itm/147185580492
1916 S Walking Liberty Half Dollar Silver 90% 50C Bullion,147187300947,"Mar 11, 2026",$47.00,$5.89,,,Auction,https://www.ebay.com/itm/147187300947
1916 S Walking Liberty Half Dollar Filler Coin,147189328401,"Mar 13, 2026",$42.00,$8.75,,,Auction,https://www.ebay.com/itm/147189328401
** 1916-S Walking Liberty Half Dollar - PCGS AG03 -KEY DATE - FREE SHIPPING!,147192752071,"Mar 8, 2026",$79.00,$0.00,,,Fixed price,https://www.ebay.com/itm/147192752071
1916-S Obverse Walking Liberty Half,147202308699,"Mar 20, 2026",$117.00,$0.00,,,Auction,https://www.ebay.com/itm/147202308699
ESTATE FIND 1916 S Walking Liberty Half Dollar #K59717,147211369106,"Mar 25, 2026",$79.00,$3.95,,,Auction,https://www.ebay.com/itm/147211369106
1916 S Walking Liberty Silver Half Dollar Obverse Mint Mark,147214641960,"Mar 25, 2026",$55.77,$6.49,,,Auction,https://www.ebay.com/itm/147214641960
1916 S Walking Liberty Silver Half Dollar,147228511705,"Apr 2, 2026",$23.55,$6.49,,,Auction,https://www.ebay.com/itm/147228511705
1916 S Walking Liberty Silver Half Dollar,147228514605,"Apr 2, 2026",$36.99,$1.74,,,Auction,https://www.ebay.com/itm/147228514605
1916-D and 1921-S 50C Walking Liberty Half Dollars in Lower Grade Conditions,147228731591,"Apr 4, 2026",$64.99,$7.49,,,Fixed price,https://www.ebay.com/itm/147228731591
1916-S Walking Liberty Half Dollar ICG VG08 Key Date,157642782951,"Mar 11, 2026",$153.00,$7.95,,,Fixed price,https://www.ebay.com/itm/157642782951
1916-S Walking Liberty Half Dollar - Circulated Semi-Key 50C; Y034,157713753454,"Apr 2, 2026",$87.00,$0.00,,,Fixed price,https://www.ebay.com/itm/157713753454
