Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
One Random Year & Mint Mark 1892-1916 90% Silver Barber Quarter Dollar USA Coin,114244376045,"Aug 16, 2026",$13.95,$1.65,,,Fixed price,https://www.ebay.com/itm/114244376045,1
Dansco 7130 US Liberty Head Barber Quarters Coin Album 1892-1916 New Folder Book,117305620304,"Aug 10, 2026",$51.94,$0.00,,,Fixed price,https://www.ebay.com/itm/117305620304,3
1 Random Barber Quarter (1892–1916) • 90% Silver • Good–VF • Random Date & Mint,366560877809,"Aug 9, 2026",$16.72,$0.00,,,Fixed price,https://www.ebay.com/itm/366560877809,8
1916 Barber 25c Quarter 90% Silver. Free Shipping.,117298565087,"Aug 1, 2026",$17.99,$0.00,,,Fixed price,https://www.ebay.com/itm/117298565087,1
"Barber/Liberty Quarter, NICE!!, 1916-P, 90% SILVER!! #47",117309129308,"Jul 28, 2026",$19.99,$5.25,,,Auction,https://www.ebay.com/itm/117309129308,1
2 Barber Quarters 90% Silver - In Nice Condition 1915-D and 1916-D,117302554748,"Jul 22, 2026",$30.00,$4.99,,,Auction,https://www.ebay.com/itm/117302554748,1
DANSCO COIN ALBUM #7130 LIBERTY HEAD BARBER QUARTERS 1892-1916,318534804716,"Jul 17, 2026",$39.32,$8.99,,,Fixed price,https://www.ebay.com/itm/318534804716,3
1892-1916 Liberty Barber Quarter Set With 18 Coin Starter Whitman Album,127461386826,"Jul 17, 2026",$220.00,$8.85,,,Fixed price,https://www.ebay.com/itm/127461386826,1
1916 Barber 25c Quarter 90% Silver,117294063486,"Jul 12, 2026",$16.99,$0.00,,,Fixed price,https://www.ebay.com/itm/117294063486,1
ROLL 1892-1916 $10 Face 90% Silver Avg Circ Barber Quarters,123972480099,"Jun 26, 2026",$503.78,$0.00,,,Fixed price,https://www.ebay.com/itm/123972480099,4
1916-D PCGS MS62 Barber Quarter,125406020625,"Jun 22, 2026",$430.00,$9.00,,,Fixed price,https://www.ebay.com/itm/125406020625,1
Twelve (12) 1898-1916 U.S. Barber 90% Silver Quarters,117253091876,"Jun 20, 2026",$134.00,$5.99,,,Fixed price,https://www.ebay.com/itm/117253091876,1
Dansco Album (New) 1892-1916 Barber Quarters #7130 Back in Stock! No Coins,377195932708,"Jun 16, 2026",$49.09,$7.95,,,Fixed price,https://www.ebay.com/itm/377195932708,3
1916 Barber Quarter NGC Genuine Stack’s W 57th St Collection,117219756868,"Jun 8, 2026",$24.50,$0.00,,,Auction,https://www.ebay.com/itm/117219756868,1
CAPS Album Barber Quarters 1892-1916 for Air-tite Capsules 2088,123639667688,"Jun 6, 2026",$29.95,$8.99,,,Fixed price,https://www.ebay.com/itm/123639667688,2
"1916 United States ""Barber Quarter"" - About Good (AG) KM#114 - 8076",117221928036,"Jun 5, 2026",$8.00,$5.17,,,Auction,https://www.ebay.com/itm/117221928036,1
[Lot Of 5] 90% Silver Barber Quarters (1892-1916) - Choose How Many Lots Of 5,306473495237,"Jun 2, 2026",$86.95,$0.00,,,Fixed price,https://www.ebay.com/itm/306473495237,2
1916-D Barber Quarter 90% Silver Better Date Denver Mint US Coin,117221957951,"May 31, 2026",$12.96,$5.17,,,Auction,https://www.ebay.com/itm/117221957951,1
Lot of 16 different date 90% Silver Barber Quarters 1893-1916 below melt value,117209882542,"May 26, 2026",$195.00,$6.99,,,Auction,https://www.ebay.com/itm/117209882542,1
Lot of (16) different date 90% Silver Barber Quarters 1894-1916 melt value,117200643379,"May 22, 2026",$199.00,$6.99,,,Auction,https://www.ebay.com/itm/117200643379,1
,,"May 22, 2026",$199.00,$6.99,,,Auction,,1
1916-D Barber Quarter (Fine),127261495439,"May 19, 2026",$23.75,$0.00,,,Fixed price,https://www.ebay.com/itm/127261495439,1
"1916-p, silver Barber quarter",117174288344,"May 9, 2026",$71.99,$5.99,,,Auction,https://www.ebay.com/itm/117174288344,1
,,"May 9, 2026",$71.99,$5.99,,,Auction,,1
1892-1916 Barber Quarters Avg Circ,126022072085,"May 2, 2026",$25.66,$0.00,,,Fixed price,https://www.ebay.com/itm/126022072085,2
VF 1916 D Barber Quarter,117143186090,"Apr 26, 2026",$17.00,$0.25,,,Auction,https://www.ebay.com/itm/117143186090,1
,,"Apr 26, 2026",$17.00,$0.25,,,Auction,,1
1916-P Barber Quarter 90% Silver US Coin Circulated,117158936653,"Apr 23, 2026",$75.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117158936653,1
,,"Apr 23, 2026",$75.00,$0.00,,,Fixed price,,1
Littleton Album LCA26 Barber Quarter 1892-1916 Archival Quality Book 25 Cent,370564056116,"Apr 21, 2026",$27.25,$11.00,,,Fixed price,https://www.ebay.com/itm/370564056116,2
,,"Apr 20, 2026",$20.00,$1.99,,,Fixed price,,1
Whitman US Barber / Liberty Quarter Coin Album 1892 - 1916 #9120,152435990173,"Apr 16, 2026",$32.30,$0.00,,,Fixed price,https://www.ebay.com/itm/152435990173,12
"Whitman Classic Album #9120, ""Barber"" Liberty Head Quarters 1892-1916, NEW",162039864993,"Apr 16, 2026",$34.43,$0.00,,,Fixed price,https://www.ebay.com/itm/162039864993,7
Barber (Liberty Head) Quarters: 1892-1916 - Whitman Classic Coin Album,204656762399,"Apr 16, 2026",$39.13,$5.95,,,Fixed price,https://www.ebay.com/itm/204656762399,6
"Whitman Barber or Liberty Head Quarter 1892-1916 P,D & SF Coin Album Book #9120",364034161648,"Apr 16, 2026",$39.95,$0.00,,,Fixed price,https://www.ebay.com/itm/364034161648,5
US Barber Liberty Head Quarters 1892-1916 Coin Album Whitman 9120 New Free Post,116386660901,"Apr 15, 2026",$32.68,$0.00,,,Fixed price,https://www.ebay.com/itm/116386660901,21
,,"Apr 14, 2026",$47.49,$0.00,,,Fixed price,,1
[Removed] Item 298064375380,298064375380,"Apr 13, 2026",$8.37,$0.00,,,Fixed price,,6
Whitman Coin Album 9120 Barber/Liberty Head Quarters 1892-1916 Book 25 cent,372237423476,"Apr 11, 2026",$35.72,$7.00,,,Fixed price,https://www.ebay.com/itm/372237423476,2
1916 Barber Quarter Average Circ,365231741003,"Apr 10, 2026",$21.03,$0.00,,,Fixed price,https://www.ebay.com/itm/365231741003,22
1916 D Barber Quarter Silver @@ Rare @@,116713872991,"Apr 10, 2026",$15.00,$4.85,,,Fixed price,https://www.ebay.com/itm/116713872991,1
,,"Apr 10, 2026",$15.00,$4.85,,,Fixed price,,1
[Removed] Item 298007908821,298007908821,"Apr 9, 2026",$8.57,$0.99,,,Fixed price,,90
1892-1916 Barber Quarter Album Coin Storage,387445111429,"Apr 7, 2026",$34.95,$0.00,,,Fixed price,https://www.ebay.com/itm/387445111429,6
,,"Mar 30, 2026",$12.25,$0.75,,,Fixed price,,1
,,"Mar 29, 2026",$43.00,$5.00,,,Auction,,1
,,"Mar 28, 2026",$12.95,$0.75,,,Fixed price,,1
,,"Mar 15, 2026",$19.99,$1.03,,,Fixed price,,1
"1916 D Liberty Head ""Barber"" Quarter Silver 25¢ - G - Good",134977988502,"Mar 13, 2026",$17.99,$0.00,,,Fixed price,https://www.ebay.com/itm/134977988502,3
,,"Mar 13, 2026",$17.99,$0.00,,,Fixed price,,3
,,"Mar 13, 2026",$67.49,$0.00,,,Fixed price,,1
,,"Mar 12, 2026",$15.25,$1.32,,,Fixed price,,1
,,"Mar 8, 2026",$22.72,$4.88,,,Auction,,1
,,"Mar 7, 2026",$19.80,$5.07,,,Fixed price,,1
,,"Feb 25, 2026",$14.95,$0.75,,,Fixed price,,1
,,"Feb 25, 2026",$53.00,$2.72,,,Auction,,1
,,"Feb 23, 2026",$119.95,$0.00,,,Fixed price,,1
,,"Feb 16, 2026",$19.99,$1.03,,,Fixed price,,1
1916 D Barber Quarter Circulated Silver 25c Coin Collectible,364619218894,"Feb 15, 2026",$30.24,$0.00,,,Fixed price,https://www.ebay.com/itm/364619218894,2
,,"Feb 11, 2026",$47.50,$5.15,,,Fixed price,,1
Barber Silver Quarter CULL Coins / 1892-1916 / 90% Silver / 1 COIN Antique Money,121839273046,"Feb 8, 2026",$11.57,$0.00,,,Fixed price,https://www.ebay.com/itm/121839273046,22
1916-D Barber Quarter Average Circ,365231740930,"Jan 22, 2026",$19.02,$0.00,,,Fixed price,https://www.ebay.com/itm/365231740930,90
,,"Jan 21, 2026",$14.50,$2.00,,,Auction,,1
,,"Jan 17, 2026",$550.00,$9.50,,,Auction,,1
,,"Jan 16, 2026",$16.99,$0.00,,,Fixed price,,1
,,"Jan 16, 2026",$19.99,$0.00,,,Fixed price,,1
,,"Jan 16, 2026",$134.50,$6.59,,,Auction,,1
,,"Jan 15, 2026",$13.95,$2.00,,,Fixed price,,1
,,"Jan 14, 2026",$27.69,$0.00,,,Fixed price,,2
1916 Barber Quarter G Good 90% Silver 25c US Type Coin Collectible,364619225337,"Jan 12, 2026",$28.99,$0.00,,,Fixed price,https://www.ebay.com/itm/364619225337,37
,,"Jan 11, 2026",$16.50,$0.00,,,Auction,,1
,,"Jan 10, 2026",$43.00,$4.87,,,Auction,,1
,,"Jan 8, 2026",$14.50,$0.00,,,Fixed price,,1
,,"Jan 7, 2026",$189.00,$0.00,,,Fixed price,,1
,,"Jan 7, 2026",$9.00,$2.00,,,Auction,,1
,,"Jan 4, 2026",$27.50,$0.00,,,Fixed price,,1
,,"Jan 2, 2026",$14.00,$0.69,,,Fixed price,,1
,,"Dec 28, 2025",$38.12,$0.00,,,Fixed price,,3
,,"Dec 28, 2025",$12.99,$0.00,,,Fixed price,,1
,,"Dec 28, 2025","$1,589.99",$14.99,,,Fixed price,,1
,,"Dec 28, 2025",$38.78,$0.00,,,Fixed price,,2
,,"Dec 27, 2025",$11.40,$1.83,,,Fixed price,,13
,,"Dec 26, 2025",$12.34,$1.79,,,Fixed price,,21
(1) Barber Liberty Head Quarter From 1892-1916 With Date 90% Silver,267088015028,"Dec 25, 2025",$14.89,$0.00,,,Fixed price,https://www.ebay.com/itm/267088015028,2
,,"Dec 24, 2025",$10.83,$0.00,,,Fixed price,,9
,,"Dec 20, 2025",$159.00,$0.00,,,Fixed price,,1
,,"Dec 19, 2025",$9.18,$5.62,,,Fixed price,,17
,,"Dec 19, 2025",$429.97,$10.67,,,Fixed price,,3
,,"Dec 18, 2025",$369.50,$0.00,,,Fixed price,,1
,,"Dec 17, 2025",$10.25,$1.32,,,Fixed price,,1
,,"Dec 15, 2025",$22.00,$3.99,,,Fixed price,,1
,,"Dec 14, 2025",$69.88,$5.63,,,Auction,,1
,,"Dec 13, 2025",$13.00,$0.96,,,Auction,,1
,,"Dec 13, 2025",$27.00,$4.00,,,Auction,,1
,,"Dec 13, 2025",$13.50,$4.00,,,Auction,,1
,,"Dec 12, 2025",$97.00,$5.00,,,Auction,,1
,,"Dec 7, 2025",$340.57,$8.00,,,Auction,,1
,,"Dec 7, 2025",$70.00,$5.50,,,Auction,,1
,,"Dec 7, 2025",$64.00,$5.50,,,Auction,,1
1892-1916 Barber Coin Lot- Half Quarter Dime .85$ Cents Face Value Old US Silver,164959754103,"Dec 5, 2025",$38.79,$0.00,,,Fixed price,https://www.ebay.com/itm/164959754103,4
,,"Dec 4, 2025",$19.95,$0.00,,,Fixed price,,2
,,"Dec 2, 2025",$535.00,$0.00,,,Auction,,1
,,"Nov 23, 2025",$65.50,$5.50,,,Auction,,1
,,"Nov 20, 2025",$420.00,$8.00,,,Auction,,1
,,"Nov 13, 2025",$340.55,$8.00,,,Auction,,1
,,"Nov 13, 2025",$49.24,$7.50,,,Auction,,1
,,"Oct 30, 2025",$335.00,$43.64,,,Auction,,1
