Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
1916 Standing Liberty Quarter AG Details,215663789375,2/9/2026,"$3,652.67",Free,Circulated,greatcollections,Buy It Now,https://www.ebay.com/itm/215663789375
1916 Standing Liberty Quarter PCGS G-06,125774689980,11/30/2025,"$5,656.19",Free,Certified,sdbullion,Buy It Now,https://www.ebay.com/itm/125774689980
1916 Standing Liberty Quarter PCGS G-06,260751731662,2/12/2026,"$8,765.26",Free,Certified,rarecoinwholesalers,Buy It Now,https://www.ebay.com/itm/260751731662
1916 Standing Liberty Quarter AG Details,229232085254,2/8/2026,"$4,234.53",Free,Circulated,bullionshark,Auction,https://www.ebay.com/itm/229232085254
1916 Standing Liberty Quarter NGC VG-08,282078284366,2/19/2026,"$10,459.40",$5.99,Certified,keydate_coins,Best Offer,https://www.ebay.com/itm/282078284366
1916 Standing Liberty Quarter AG Details,339619701543,2/10/2026,"$5,310.89",$4.99,Circulated,rarecoinwholesalers,Auction,https://www.ebay.com/itm/339619701543
1916 Standing Liberty Quarter NGC G-04,328834981852,11/28/2025,"$5,045.14",$5.99,Certified,jmbullion,Buy It Now,https://www.ebay.com/itm/328834981852
1916 Standing Liberty Quarter NGC G-04,347658127619,2/4/2026,"$4,595.91",Free,Certified,govmint_official,Auction,https://www.ebay.com/itm/347658127619
1916 Standing Liberty Quarter PCGS F-12,162875411475,12/24/2025,"$11,287.98",Free,Certified,silvertowne,Auction,https://www.ebay.com/itm/162875411475
1916 Standing Liberty Quarter NGC AG-03,122326442010,1/27/2026,"$3,253.67",Free,Certified,sdbullion,Auction,https://www.ebay.com/itm/122326442010
1916 Standing Liberty Quarter AG Details,314228140047,12/16/2025,"$4,559.57",Free,Circulated,moderncoinmart,Best Offer,https://www.ebay.com/itm/314228140047
1916 Standing Liberty Quarter NGC F-12,238743806197,12/14/2025,"$14,390.00",Free,Certified,govmint_official,Buy It Now,https://www.ebay.com/itm/238743806197
1916 Standing Liberty Quarter NGC F-12,173668425961,1/12/2026,"$15,611.61",Free,Certified,heritage_auctions_outlet,Auction,https://www.ebay.com/itm/173668425961
1916 Standing Liberty Quarter AG Details,225702096271,2/16/2026,"$4,829.03",Free,Circulated,sdbullion,Auction,https://www.ebay.com/itm/225702096271
1916 Standing Liberty Quarter PCGS VG-08,263143449743,1/11/2026,"$7,812.06",Free,Certified,liberty_coin,Buy It Now,https://www.ebay.com/itm/263143449743
1916 Standing Liberty Quarter PCGS G-04,394890515804,1/17/2026,"$7,034.72",Free,Certified,moderncoinmart,Auction,https://www.ebay.com/itm/394890515804
1916 Standing Liberty Quarter AG Details,229848829710,2/4/2026,"$3,798.61",Free,Circulated,davidlawrence,Buy It Now,https://www.ebay.com/itm/229848829710
1916 Standing Liberty Quarter AG Details,173565431412,12/14/2025,"$4,896.97",Free,Circulated,sdbullion,Auction,https://www.ebay.com/itm/173565431412
