Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
BETTER DATE 1919-D STANDING LIBERTY QUARTER VG PARTIAL DATE,168568603133,"Aug 19, 2026",$139.99,$0.00,,,Fixed price,https://www.ebay.com/itm/168568603133,1
[Removed] Item 407129129000,407129129000,"Aug 18, 2026",$32.29,$0.00,,,Fixed price,,33
1919-D 25C Standing Liberty Silver Quarter Rare Key Date Full Bold Date Shows XF,117350667618,"Aug 17, 2026",$320.89,$20.00,,,Auction,https://www.ebay.com/itm/117350667618,1
1919-D Standing Liberty Quarter - Better Date 25C; Damaged,158120007377,"Aug 13, 2026",$150.00,$0.00,,,Fixed price,https://www.ebay.com/itm/158120007377,1
1919-D STANDING LIBERTY QUARTER - PCGS VG10,128012910962,"Aug 8, 2026",$249.00,$5.00,,,Fixed price,https://www.ebay.com/itm/128012910962,1
1919 D Standing Liberty Quarter,168550209533,"Jul 30, 2026",$316.11,$8.60,,,Auction,https://www.ebay.com/itm/168550209533,1
1919-D Standing Liberty Quarter G 25c,127914680154,"Jul 27, 2026",$149.95,$0.00,,,Fixed price,https://www.ebay.com/itm/127914680154,1
"1919-D Standing Liberty Quarter,RARE This Nice, Choice Unc++ Key Date!",318544626515,"Jul 19, 2026",$69.77,$0.00,,,Fixed price,https://www.ebay.com/itm/318544626515,3
1919-D STANDING LIBERTY QUARTER NICE DETAIL KEY DATE #2602,168543746616,"Jul 19, 2026",$425.00,$0.00,,,Fixed price,https://www.ebay.com/itm/168543746616,1
1919-D Standing Liberty Quarter. VF-XF,336643208690,"Jul 5, 2026",$22.92,$0.00,,,Fixed price,https://www.ebay.com/itm/336643208690,7
,,"Jul 4, 2026",$71.00,$0.00,,,Auction,,1
,,"Jul 2, 2026",$69.79,$0.00,,,Fixed price,,2
"1919-D Standing Liberty Quarter,RARE This Nice, Choice Unc++ Key Date!",318352839556,"Jul 1, 2026",$65.48,$0.00,,,Fixed price,https://www.ebay.com/itm/318352839556,20
"1919-D Standing Liberty Quarter,RARE This Nice, Choice Unc++ Key Date!",168437937249,"Jun 27, 2026",$60.00,$0.00,,,Fixed price,https://www.ebay.com/itm/168437937249,1
"1919-D Standing Liberty Silver Quarter, Good Circulated Coin, Store #QR1055",178231255986,"Jun 21, 2026",$127.65,$9.00,,,Fixed price,https://www.ebay.com/itm/178231255986,1
1919 D Standing Liberty Quarter,137299062337,"Jun 19, 2026",$325.00,$4.99,,,Fixed price,https://www.ebay.com/itm/137299062337,1
1919-D STANDING LIBERTY QUARTER NICE DETAIL KEY DATE #2327,168434386167,"Jun 14, 2026",$325.00,$0.00,,,Fixed price,https://www.ebay.com/itm/168434386167,1
1919-D Denver Standing Liberty Quarter SLQ 25c Very Good VG+,168405764396,"Jun 11, 2026",$250.00,$0.00,,,Fixed price,https://www.ebay.com/itm/168405764396,1
1917-D Standing Liberty Quarter *Type-1* & 1919 Standing Liberty Quarter,178182178708,"Jun 7, 2026",$164.38,$5.50,,,Auction,https://www.ebay.com/itm/178182178708,1
[Removed] Item 800062275471,800062275471,"Jun 6, 2026",$60.00,$0.00,,,Fixed price,,2
1919 D Standing Liberty Quarter 25C Ungraded Choice 90% Silver US Coin CC29171,127669843086,"Jun 4, 2026",$680.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127669843086,1
* 1919-D FH * SOLID+ GEM BU MS STANDING LIBERTY QUARTER * FROM COLLECTION,168399628540,"May 31, 2026","$2,110.00",$11.99,,,Auction,https://www.ebay.com/itm/168399628540,1
