Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
1919-S Standing Liberty Quarter NGC VF-25,189371348248,12/5/2025,$487.87,$3.99,Certified,goldhillcoins,Buy It Now,https://www.ebay.com/itm/189371348248
1919-S Standing Liberty Quarter PCGS AU-50,210749614354,12/26/2025,"$2,479.79",Free,Certified,boldpreciousmetals,Auction,https://www.ebay.com/itm/210749614354
1919-S Standing Liberty Quarter PCGS VF-25,188060169836,12/12/2025,$622.76,Free,Certified,liberty_coin,Auction,https://www.ebay.com/itm/188060169836
1919-S Standing Liberty Quarter PCGS XF-40,236639768104,12/29/2025,$953.70,Free,Certified,mcm_online,Auction,https://www.ebay.com/itm/236639768104
1919-S Standing Liberty Quarter PCGS XF-40,164562762917,11/26/2025,"$1,057.12",Free,Certified,sdbullion,Auction,https://www.ebay.com/itm/164562762917
1919-S Standing Liberty Quarter VG Details,353075464770,12/24/2025,$138.83,Free,Circulated,rarecoinwholesalers,Buy It Now,https://www.ebay.com/itm/353075464770
1919-S Standing Liberty Quarter PCGS XF-40,100694508042,1/22/2026,"$1,340.25",Free,Certified,keydate_coins,Buy It Now,https://www.ebay.com/itm/100694508042
1919-S Standing Liberty Quarter PCGS F-12,226480588761,12/4/2025,$327.55,Free,Certified,boldpreciousmetals,Buy It Now,https://www.ebay.com/itm/226480588761
1919-S Standing Liberty Quarter PCGS XF-40,149536740990,12/19/2025,$861.74,Free,Certified,moderncoinmart,Buy It Now,https://www.ebay.com/itm/149536740990
1919-S Standing Liberty Quarter VG Details,110144495040,12/5/2025,$131.97,Free,Circulated,bullionshark,Best Offer,https://www.ebay.com/itm/110144495040
1919-S Standing Liberty Quarter VG Details,265620577724,12/6/2025,$145.39,Free,Circulated,rarecoinwholesalers,Auction,https://www.ebay.com/itm/265620577724
1919-S Standing Liberty Quarter NGC F-12,348802128243,2/14/2026,$327.12,$3.99,Certified,govmint_official,Buy It Now,https://www.ebay.com/itm/348802128243
1919-S Standing Liberty Quarter VG Details,313229653687,12/12/2025,$137.56,Free,Circulated,greatcollections,Buy It Now,https://www.ebay.com/itm/313229653687
1919-S Standing Liberty Quarter NGC AU-50,238057341416,12/20/2025,"$2,138.86",Free,Certified,greatcollections,Best Offer,https://www.ebay.com/itm/238057341416
1919-S Standing Liberty Quarter PCGS VG-08,253515332515,1/7/2026,$206.56,Free,Certified,moderncoinmart,Buy It Now,https://www.ebay.com/itm/253515332515
1919-S Standing Liberty Quarter NGC F-12,129430711348,12/28/2025,$219.92,Free,Certified,pinehurst_coins,Auction,https://www.ebay.com/itm/129430711348
