Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
1919-D Walking Liberty Silver Half Dollar 50c,257463493210,"Apr 26, 2026",$26.70,$2.99,,,Auction,https://www.ebay.com/itm/257463493210,1
Bulk Lot of 4 1919-1929-S Half Dollar Walking Statue of Liberty Silver Coin,406880503621,"Apr 26, 2026",$25.50,$9.99,,,Fixed price,https://www.ebay.com/itm/406880503621,4
1919 S Walking Liberty Half Dollar MM,127340233114,"Apr 25, 2026",$71.25,$0.00,,,Fixed price,https://www.ebay.com/itm/127340233114,1
1919 D WALKING LIBERTY HALF DOLLAR,127817593856,"Apr 25, 2026",$25.00,$0.89,,,Auction,https://www.ebay.com/itm/127817593856,1
1919 WALKING LIBERTY SILVER HALF DOLLAR FINE NN,287122018500,"Apr 25, 2026",$42.77,$0.00,,,Fixed price,https://www.ebay.com/itm/287122018500,1
1919-s - WALKING LIBERTY HALF DOLLAR - NICE ORIGINAL !!!,298247156997,"Apr 25, 2026",$56.02,$2.58,,,Auction,https://www.ebay.com/itm/298247156997,1
1919 - WALKING LIBERTY HALF DOLLAR - CHOICE KEY ORIGINAL !!!,298247155792,"Apr 25, 2026",$46.51,$5.50,,,Auction,https://www.ebay.com/itm/298247155792,1
SILVER - 1919 S WALKING SILVER HALF DOLLAR - SEMI-KEY DATE,358467601910,"Apr 25, 2026",$27.00,$4.78,,,Fixed price,https://www.ebay.com/itm/358467601910,1
Bulk Lot of 4 1919-1929-S Half Dollar Walking Statue of Liberty Silver Coin,336549010798,"Apr 25, 2026",$21.00,$9.99,,,Fixed price,https://www.ebay.com/itm/336549010798,3
1934-S Walking Liberty Half Dollar USA Silver 50c,406880657168,"Apr 25, 2026",$19.99,$9.99,,,Fixed price,https://www.ebay.com/itm/406880657168,1
1919-P Walking Liberty HAlf Dollar 412,267639010459,"Apr 25, 2026",$41.00,$5.75,,,Fixed price,https://www.ebay.com/itm/267639010459,1
