Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
1920 Philadelphia Mint Silver Standing Liberty Quarter,117257802330,"Jun 28, 2026",$26.00,$1.36,,,Auction,https://www.ebay.com/itm/117257802330,1
1920 25C Standing Quarter VF #,126926211490,"Jun 26, 2026",$20.00,$2.54,,,Fixed price,https://www.ebay.com/itm/126926211490,1
1920-P STANDING LIBERTY QUARTER - BETTER GRADE!,117180202340,"Jun 10, 2026",$139.00,$3.00,,,Fixed price,https://www.ebay.com/itm/117180202340,1
"1920 P Standing Liberty Quarter, PCGS MS62, Bright, Lustrous White and Original!",127265222790,"Jun 2, 2026",$319.99,$2.99,,,Fixed price,https://www.ebay.com/itm/127265222790,1
"1920 25C Standing Liberty Quarter, 90% Silver #1599",127259332702,"May 31, 2026",$33.00,$4.99,,,Fixed price,https://www.ebay.com/itm/127259332702,1
1920-S Standing Liberty Quarter Fine Condition,117218423950,"May 30, 2026",$50.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117218423950,1
1920 p standing liberty quarter - Nice detail and honest wear,117207831069,"May 28, 2026",$42.25,$1.54,,,Auction,https://www.ebay.com/itm/117207831069,1
1920 p standing liberty quarter,117206109462,"May 27, 2026",$22.03,$3.00,,,Auction,https://www.ebay.com/itm/117206109462,1
"XF 1920-P Standing Liberty Silver Quarter, Extra Fine All Original Type Coin",117200708952,"May 24, 2026",$20.33,$8.18,,,Auction,https://www.ebay.com/itm/117200708952,1
,,"May 23, 2026",$49.99,$0.00,,,Fixed price,,2
[Removed] Item 397939883752,397939883752,"May 20, 2026",$49.99,$0.00,,,Fixed price,,4
"1920 standing liberty quarter, anacs vf-30",117178164416,"May 11, 2026",$38.00,$5.17,,,Auction,https://www.ebay.com/itm/117178164416,1
"1920-D Standing Liberty Quarter Denver, Highly Collectible, Scarce Nice Key Date",377167581377,"May 9, 2026",$29.95,$0.00,,,Fixed price,https://www.ebay.com/itm/377167581377,3
1920 S Standing Liberty 25c Quarter 90% Silver,117008032222,"May 9, 2026",$59.95,$5.64,,,Fixed price,https://www.ebay.com/itm/117008032222,1
"Standing Liberty Quarter Lot 1920, 1925(2), 1929",117172779960,"May 8, 2026",$46.00,$6.36,,,Auction,https://www.ebay.com/itm/117172779960,1
1920-D Standing Liberty Quarter ~ Nice Condition ~ Nice Details ~ Denver Mint,206231727256,"May 6, 2026",$27.00,$0.00,,,Fixed price,https://www.ebay.com/itm/206231727256,4
1920 D Standing Liberty Silver Quarter 25C San Francisco High Grade!,389928006033,"Apr 27, 2026",$29.50,$0.00,,,Fixed price,https://www.ebay.com/itm/389928006033,2
"1920-D Standing Liberty Quarter Denver, Highly Collectible, Scarce Nice Key Date",168281097405,"Apr 22, 2026",$29.99,$0.00,,,Fixed price,https://www.ebay.com/itm/168281097405,21
1920 STANDING LIBERTY silver U.S. QUARTER. Flashy AU. #md1,117151981139,"Apr 20, 2026",$85.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117151981139,1
1920-S Standing Liberty Quarter 25C - 90% Silver GREAT DETAILS!,127755927599,"Apr 12, 2026",$120.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127755927599,1
1920 Standing Liberty Quarter AU55 ICG *5225,126936265931,"Apr 4, 2026",$111.00,$0.00,,,Fixed price,https://www.ebay.com/itm/126936265931,1
1920-D Standing Liberty Quarter Denver US Mint American Coin Excellent Condition,389778633553,"Mar 24, 2026",$29.95,$2.99,,,Fixed price,https://www.ebay.com/itm/389778633553,3
1920 Standing Liberty Quarter *3902,127688529703,"Mar 24, 2026",$70.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127688529703,1
,,"Mar 24, 2026",$29.95,$2.99,,,Fixed price,,3
,,"Mar 24, 2026",$70.00,$0.00,,,Fixed price,,1
1920 Philadelphia Mint US Silver Coin Standing Liberty Quarter VF,127344498410,"Mar 23, 2026",$31.99,$3.99,,,Fixed price,https://www.ebay.com/itm/127344498410,1
,,"Mar 23, 2026",$31.99,$3.99,,,Fixed price,,1
,,"Mar 21, 2026",$56.69,$0.00,,,Fixed price,,1
1920 D Standing Liberty Silver Quarter 25C High Grade!,389710143503,"Mar 19, 2026",$27.00,$2.99,,,Fixed price,https://www.ebay.com/itm/389710143503,7
,,"Mar 19, 2026",$27.00,$2.99,,,Fixed price,,7
,,"Mar 14, 2026",$54.00,$6.00,,,Auction,,1
1920 D Standing Liberty Silver Quarter 25C High Grade!,389577097196,"Mar 12, 2026",$27.00,$2.99,,,Fixed price,https://www.ebay.com/itm/389577097196,3
,,"Mar 12, 2026",$27.00,$2.99,,,Fixed price,,3
,,"Mar 7, 2026",$50.00,$0.00,,,Auction,,1
1920-S Standing Liberty Quarter CACG XF-40 CAC,117034482744,"Mar 4, 2026",$127.95,$6.00,,,Fixed price,https://www.ebay.com/itm/117034482744,1
,,"Mar 4, 2026",$127.95,$6.00,,,Fixed price,,1
1920-D Standing Liberty Quarter 25C NGC XF45 BETTER DATE! GREAT 90% SILVER COIN!,127686975205,"Feb 24, 2026",$246.49,$0.00,,,Fixed price,https://www.ebay.com/itm/127686975205,1
,,"Feb 24, 2026",$246.49,$0.00,,,Fixed price,,1
1920 US standing liberty quarter 25 cents silver coin,127687293882,"Feb 22, 2026",$44.20,$0.00,,,Auction,https://www.ebay.com/itm/127687293882,1
,,"Feb 22, 2026",$44.20,$0.00,,,Auction,,1
"1920-D 25C Standing Liberty Quarter AU-58 PCGS/CAC, Better Date! Nice Coin!",127647649037,"Feb 21, 2026","$1,100.00",$0.00,,,Fixed price,https://www.ebay.com/itm/127647649037,1
,,"Feb 21, 2026","$1,100.00",$0.00,,,Fixed price,,1
,,"Feb 19, 2026",$195.00,$4.50,,,Fixed price,,1
1920-S STANDING LIBERTY SILVER QUARTER . FREE SHIPPING,117034479896,"Feb 15, 2026",$100.00,$0.00,,,Auction,https://www.ebay.com/itm/117034479896,1
,,"Feb 15, 2026",$100.00,$0.00,,,Auction,,1
1920 S Standing Liberty Quarter 25c 90% Silver,127681194756,"Feb 12, 2026",$20.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127681194756,1
,,"Feb 12, 2026",$20.00,$0.00,,,Fixed price,,1
1920 D Standing Liberty Quarter,127338112826,"Feb 9, 2026",$99.99,$2.99,,,Fixed price,https://www.ebay.com/itm/127338112826,1
1920- Standing Liberty Quarter #P22395,127655396998,"Feb 9, 2026",$22.00,$4.25,,,Auction,https://www.ebay.com/itm/127655396998,1
,,"Feb 9, 2026",$99.99,$2.99,,,Fixed price,,1
,,"Feb 9, 2026",$22.00,$4.25,,,Auction,,1
"1920 S Standing Liberty Quarter, Choice VF/XF, Tough Early Date, Original",127553292643,"Feb 8, 2026",$89.99,$2.99,,,Fixed price,https://www.ebay.com/itm/127553292643,1
,,"Feb 8, 2026",$89.99,$2.99,,,Fixed price,,1
"Three (3) 90% Silver Standing Liberty Quarters 1926, 1927, & 1929",127653280327,"Feb 5, 2026",$38.01,$7.95,,,Auction,https://www.ebay.com/itm/127653280327,1
,,"Feb 5, 2026",$38.01,$7.95,,,Auction,,1
4 Standing Liberty Quarters 1918 1920 1926 P&D 90% Silver USA Coins Estate Find,127664256443,"Feb 4, 2026",$54.00,$6.00,,,Fixed price,https://www.ebay.com/itm/127664256443,1
,,"Feb 4, 2026",$54.00,$6.00,,,Fixed price,,1
,,"Jan 22, 2026",$26.00,$5.27,,,Fixed price,,1
,,"Jan 20, 2026",$72.00,$2.99,,,Fixed price,,1
1920 Standing Liberty Quarter ~ AU/Uncirculated ~ 90% Silver (ZQ743),127453750643,"Jan 19, 2026",$79.98,$3.98,,,Fixed price,https://www.ebay.com/itm/127453750643,1
,,"Jan 17, 2026",$324.49,$5.50,,,Fixed price,,1
,,"Jan 16, 2026",$23.00,$0.00,,,Fixed price,,1
,,"Jan 15, 2026",$500.00,$5.15,,,Fixed price,,1
,,"Jan 13, 2026",$40.00,$4.65,,,Auction,,1
,,"Jan 13, 2026",$30.00,$4.25,,,Auction,,1
,,"Jan 2, 2026",$35.99,$0.00,,,Fixed price,,1
(10) Standing Liberty Quarter 1920-1930 VG-F Very Good-Fine Esta. Lot 90% Silver,267079135171,"Dec 23, 2025",$162.39,$0.00,,,Fixed price,https://www.ebay.com/itm/267079135171,2
,,"Dec 23, 2025",$64.00,$0.00,,,Fixed price,,1
,,"Dec 22, 2025",$114.99,$0.00,,,Fixed price,,1
,,"Dec 21, 2025",$89.95,$5.35,,,Fixed price,,1
,,"Dec 18, 2025",$103.96,$0.00,,,Fixed price,,1
,,"Dec 15, 2025",$16.95,$0.00,,,Fixed price,,1
,,"Dec 15, 2025",$29.99,$0.00,,,Fixed price,,1
,,"Dec 14, 2025",$160.00,$8.85,,,Fixed price,,1
,,"Dec 13, 2025",$18.50,$0.54,,,Auction,,1
,,"Dec 8, 2025",$76.00,$0.00,,,Fixed price,,1
,,"Dec 5, 2025",$120.00,$0.00,,,Fixed price,,1
,,"Dec 5, 2025",$30.00,$0.00,,,Fixed price,,1
,,"Dec 4, 2025",$63.99,$0.00,,,Auction,,1
,,"Dec 3, 2025",$79.99,$4.95,,,Fixed price,,1
,,"Nov 30, 2025",$31.00,$4.92,,,Auction,,1
,,"Nov 24, 2025",$36.00,$0.00,,,Fixed price,,1
,,"Nov 20, 2025",$40.00,$4.87,,,Auction,,1
,,"Nov 18, 2025",$183.40,$8.50,,,Fixed price,,1
,,"Nov 17, 2025",$29.00,$0.00,,,Fixed price,,1
,,"Nov 17, 2025",$185.00,$5.15,,,Fixed price,,1
,,"Nov 16, 2025",$33.00,$4.95,,,Fixed price,,1
,,"Nov 14, 2025",$33.00,$3.00,,,Fixed price,,1
