Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
1921-D Morgan Silver Dollar - Rainbow toned back - $1 PCGS MS65 DCB930,366505666516,"Jun 29, 2026",$600.00,$4.95,,,Fixed price,https://www.ebay.com/itm/366505666516,1
1921 D Morgan Silver Dollar NGC MS65 Beautiful Coin!,358529852260,"Jun 27, 2026",$550.00,$10.49,,,Fixed price,https://www.ebay.com/itm/358529852260,1
1921-D MS65 ICG Morgan Silver Dollar,227383910620,"Jun 26, 2026",$180.00,$3.99,,,Fixed price,https://www.ebay.com/itm/227383910620,1
1921-D Morgan Dollar PCGS MS65 Silver $1 Coin Denver Uncirculated KM#110,318428913492,"Jun 15, 2026",$465.00,$5.62,,,Auction,https://www.ebay.com/itm/318428913492,1
1921 D Morgan Dollar ICG MS65,137331534709,"Jun 7, 2026",$200.00,$0.00,,,Fixed price,https://www.ebay.com/itm/137331534709,1
ICG MS65 1921-D United States Morgan One Dollar Silver Coin S$1-208,178172808615,"Jun 7, 2026",$145.07,$0.00,,,Auction,https://www.ebay.com/itm/178172808615,1
1921 D Morgan Dollar ICG MS65,137331475696,"Jun 5, 2026",$175.00,$0.00,,,Fixed price,https://www.ebay.com/itm/137331475696,1
1921-D MORGAN SILVER DOLLAR PCGS MS65 CAC A WHITE BEAUTY,168430547459,"Jun 5, 2026",$625.00,$0.00,,,Fixed price,https://www.ebay.com/itm/168430547459,1
1921 d Morgan Silver Dollar ICG MS65,137315006476,"May 26, 2026",$118.50,$5.48,,,Auction,https://www.ebay.com/itm/137315006476,1
1921-D $1 PCGS MS65 CAC Morgan Silver Dollar 56022872,188147290145,"May 25, 2026",$750.00,$0.00,,,Fixed price,https://www.ebay.com/itm/188147290145,1
TONED !! Morgan 1921-D $1 Silver Dollar NGC MS65,227241330114,"May 17, 2026",$500.00,$5.89,,,Fixed price,https://www.ebay.com/itm/227241330114,1
1921-D Morgan Dollar Silver $1 PCGS MS65 Cert# 10485217 Denver Mint,318140750643,"May 17, 2026",$525.00,$6.30,,,Fixed price,https://www.ebay.com/itm/318140750643,1
1921-D SILVER MORGAN DOLLAR ICG MS65,358460722262,"May 12, 2026",$199.00,$0.00,,,Fixed price,https://www.ebay.com/itm/358460722262,1
1921 P S D Morgan Silver Dollars NGS NGC MS63 MS65 MS66 - Lot Of 4 Coins,117168510917,"May 10, 2026",$423.00,$11.50,,,Auction,https://www.ebay.com/itm/117168510917,1
1921 D Morgan Silver Dollar PCGS MS65 Nice Coin,267656403518,"May 8, 2026",$469.00,$8.97,,,Auction,https://www.ebay.com/itm/267656403518,1
1921-D Morgan Silver Dollar PCGS MS65,147277934751,"Apr 29, 2026",$495.00,$0.00,,,Fixed price,https://www.ebay.com/itm/147277934751,1
BU GEM 1921-d Silver MORGAN Dollar. PCGS MS65. Toning. #104 m,377130999166,"Apr 28, 2026",$463.75,$0.00,,,Auction,https://www.ebay.com/itm/377130999166,1
BU GEM 1921-d Silver MORGAN Dollar. PCGS MS65. White. #105 m,377131004463,"Apr 28, 2026",$476.00,$0.00,,,Auction,https://www.ebay.com/itm/377131004463,1
1921-D Morgan Silver Dollar $1 NGC MS65 - White & Lustrous!,287266910876,"Apr 26, 2026",$497.55,$0.00,,,Fixed price,https://www.ebay.com/itm/287266910876,1
1921-D NGC MS65 Morgan Dollar - Blazing White,147243225714,"Apr 5, 2026",$550.00,$0.00,,,Fixed price,https://www.ebay.com/itm/147243225714,1
1921-D Morgan Silver Dollar PCGS MS65,358384159269,"Mar 28, 2026",$495.00,$0.00,,,Fixed price,https://www.ebay.com/itm/358384159269,1
,,"Mar 28, 2026",$495.00,$0.00,,,Fixed price,,1
1921 D Morgan Dollar MS65 - NGC,168239030080,"Mar 23, 2026",$510.00,$14.99,,,Auction,https://www.ebay.com/itm/168239030080,1
,,"Mar 23, 2026",$510.00,$14.99,,,Auction,,1
1921-D Morgan Silver Dollar PCGS MS65 Nice Eye Appeal Nice Strike,147188800808,"Mar 7, 2026",$405.00,$0.00,,,Fixed price,https://www.ebay.com/itm/147188800808,1
,,"Mar 7, 2026",$405.00,$0.00,,,Fixed price,,1
1921-D Morgan Silver Dollar MS65 ICG,277756645884,"Mar 2, 2026",$190.00,$2.50,,,Fixed price,https://www.ebay.com/itm/277756645884,1
,,"Mar 2, 2026",$190.00,$2.50,,,Fixed price,,1
1921 D PCGS MS65 MORGAN SILVER DOLLAR #B51777,198116960748,"Feb 24, 2026",$380.00,$3.95,,,Auction,https://www.ebay.com/itm/198116960748,1
,,"Feb 24, 2026",$380.00,$3.95,,,Auction,,1
1921 D $1 Morgan Silver Dollar PCGS MS65 Gem BU Lustrous Well Struck Coin,277745015086,"Feb 22, 2026",$550.00,$0.00,,,Fixed price,https://www.ebay.com/itm/277745015086,1
,,"Feb 8, 2026",$525.00,$0.00,,,Fixed price,,1
,,"Jan 30, 2026",$526.00,$0.00,,,Fixed price,,1
,,"Jan 27, 2026",$150.00,$7.25,,,Auction,,1
,,"Jan 21, 2026",$520.00,$8.75,,,Fixed price,,1
,,"Jan 8, 2026",$190.00,$7.17,,,Fixed price,,1
,,"Jan 6, 2026",$550.00,$0.00,,,Fixed price,,1
,,"Jan 2, 2026",$330.01,$7.49,,,Auction,,1
,,"Dec 30, 2025",$529.00,$11.00,,,Fixed price,,1
,,"Dec 28, 2025",$500.00,$0.00,,,Fixed price,,1
,,"Dec 28, 2025",$499.00,$0.00,,,Fixed price,,1
,,"Dec 28, 2025",$545.00,$9.00,,,Fixed price,,1
,,"Dec 22, 2025",$355.00,$4.95,,,Auction,,1
,,"Dec 16, 2025",$499.00,$3.99,,,Fixed price,,1
,,"Dec 15, 2025",$400.00,$5.00,,,Fixed price,,1
,,"Dec 5, 2025",$348.06,$0.00,,,Auction,,1
,,"Dec 2, 2025","$1,550.00",$12.20,,,Fixed price,,1
