Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
1921-D Walking Liberty Half Dollar AG Details,125896467502,1/28/2026,$81.64,Free,Circulated,heritage_auctions_outlet,Best Offer,https://www.ebay.com/itm/125896467502
1921-D Walking Liberty Half Dollar NGC G-06,260770457438,12/2/2025,$105.87,$4.99,Certified,goldhillcoins,Buy It Now,https://www.ebay.com/itm/260770457438
1921-D Walking Liberty Half NGC VG-08,313386453619,1/16/2026,$197.01,$5.99,Certified,govmint_official,Auction,https://www.ebay.com/itm/313386453619
1921-D Walking Liberty Half Dollar PCGS G-06,177013954384,11/29/2025,$108.44,$5.99,Certified,liberty_coin,Best Offer,https://www.ebay.com/itm/177013954384
1921-D Walking Liberty Half Dollar AG Details,378481359946,12/4/2025,$118.16,$5.99,Circulated,davidlawrence,Best Offer,https://www.ebay.com/itm/378481359946
1921-D Walking Liberty Half Dollar AG Details,274678409776,2/2/2026,$104.39,Free,Circulated,jmbullion,Buy It Now,https://www.ebay.com/itm/274678409776
1921-D Walking Liberty Half PCGS AG-03,310745471728,12/15/2025,$81.36,$5.99,Certified,heritage_auctions_outlet,Auction,https://www.ebay.com/itm/310745471728
1921-D Walking Liberty Half Dollar PCGS G-06,182157428820,2/6/2026,$111.78,$5.99,Certified,goldhillcoins,Buy It Now,https://www.ebay.com/itm/182157428820
1921-D Walking Liberty Half NGC VG-08,132275110376,12/16/2025,$156.58,Free,Certified,bullionshark,Buy It Now,https://www.ebay.com/itm/132275110376
1921-D Walking Liberty Half PCGS VF-25,331744412554,11/22/2025,$432.98,Free,Certified,keydate_coins,Buy It Now,https://www.ebay.com/itm/331744412554
1921-D Walking Liberty Half PCGS VG-08,308278932272,12/20/2025,$159.68,$3.99,Certified,pinehurst_coins,Auction,https://www.ebay.com/itm/308278932272
1921-D Walking Liberty Half Dollar AG Details,284496409381,1/15/2026,$80.87,Free,Circulated,davidlawrence,Buy It Now,https://www.ebay.com/itm/284496409381
1921-D Walking Liberty Half Dollar AG Details,178320938902,12/1/2025,$94.09,$4.99,Circulated,pinehurst_coins,Best Offer,https://www.ebay.com/itm/178320938902
1921-D Walking Liberty Half Dollar AG Details,292985850391,1/14/2026,$82.04,$3.99,Circulated,rarecoinwholesalers,Buy It Now,https://www.ebay.com/itm/292985850391
1921-D Walking Liberty Half PCGS VG-08,147943801679,2/18/2026,$218.56,Free,Certified,sdbullion,Buy It Now,https://www.ebay.com/itm/147943801679
1921-D Walking Liberty Half Dollar PCGS F-12,180969512275,12/5/2025,$238.55,Free,Certified,goldeneaglecoin,Best Offer,https://www.ebay.com/itm/180969512275
1921-D Walking Liberty Half Dollar AG Details,231879414752,2/9/2026,$81.42,Free,Circulated,boldpreciousmetals,Best Offer,https://www.ebay.com/itm/231879414752
1921-D Walking Liberty Half PCGS VG-08,388155154308,12/26/2025,$145.06,$5.99,Certified,pinehurst_coins,Auction,https://www.ebay.com/itm/388155154308
