Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
1921 Mercury Dime PCGS G-04,168596618506,1/21/2026,$52.72,Free,Certified,apmex,Buy It Now,https://www.ebay.com/itm/168596618506
1921 Mercury Dime PCGS VG-08,164103818431,1/11/2026,$79.41,Free,Certified,rarecoinwholesalers,Auction,https://www.ebay.com/itm/164103818431
1921 Mercury Dime NGC F-12,112375361046,12/16/2025,$121.37,$4.99,Certified,liberty_coin,Buy It Now,https://www.ebay.com/itm/112375361046
1921 Mercury Dime AG Details,392460713579,12/18/2025,$68.16,$4.99,Circulated,goldeneaglecoin,Auction,https://www.ebay.com/itm/392460713579
1921 Mercury Dime PCGS VG-08,153675338656,11/22/2025,$69.09,$5.99,Certified,govmint_official,Auction,https://www.ebay.com/itm/153675338656
1921 Mercury Dime AG Details,298104511904,2/9/2026,$67.41,Free,Circulated,jmbullion,Buy It Now,https://www.ebay.com/itm/298104511904
1921 Mercury Dime NGC VF-25,215694733894,1/2/2026,$278.17,$4.99,Certified,apmex,Auction,https://www.ebay.com/itm/215694733894
1921 Mercury Dime NGC G-04,179898279944,1/1/2026,$56.78,Free,Certified,liberty_coin,Auction,https://www.ebay.com/itm/179898279944
1921 Mercury Dime PCGS F-12,156030223231,1/8/2026,$133.86,Free,Certified,greatcollections,Best Offer,https://www.ebay.com/itm/156030223231
1921 Mercury Dime PCGS VG-08,259505773890,1/10/2026,$106.41,Free,Certified,davidlawrence,Buy It Now,https://www.ebay.com/itm/259505773890
1921 Mercury Dime NGC F-12,318471950451,1/11/2026,$163.15,$5.99,Certified,bullionshark,Buy It Now,https://www.ebay.com/itm/318471950451
1921 Mercury Dime AG Details,127063143619,12/14/2025,$53.95,Free,Circulated,goldeneaglecoin,Auction,https://www.ebay.com/itm/127063143619
1921 Mercury Dime PCGS G-04,168509448976,1/22/2026,$54.20,$4.99,Certified,goldeneaglecoin,Buy It Now,https://www.ebay.com/itm/168509448976
1921 Mercury Dime NGC XF-40,336435135660,2/19/2026,$551.24,$3.99,Certified,silvertowne,Auction,https://www.ebay.com/itm/336435135660
1921 Mercury Dime AG Details,239688281361,12/25/2025,$45.00,Free,Circulated,goldeneaglecoin,Buy It Now,https://www.ebay.com/itm/239688281361
1921 Mercury Dime AG Details,198144249686,11/29/2025,$55.38,Free,Circulated,goldhillcoins,Buy It Now,https://www.ebay.com/itm/198144249686
1921 Mercury Dime NGC VF-25,108944348026,2/17/2026,$275.18,Free,Certified,govmint_official,Best Offer,https://www.ebay.com/itm/108944348026
1921 Mercury Dime AG Details,386050550579,1/21/2026,$72.43,Free,Circulated,davidlawrence,Buy It Now,https://www.ebay.com/itm/386050550579
