Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
1921 MS64 100th Anniv 2021 Special Label Morgan Silver Dollar NGC,134042723460,"Jun 21, 2026",$136.63,$10.20,,,Fixed price,https://www.ebay.com/itm/134042723460,3
1921 Morgan Silver Dollar MS64 PCGS Blue Label,365064377292,"Jun 5, 2026",$105.48,$0.00,,,Fixed price,https://www.ebay.com/itm/365064377292,2
1921 Morgan Silver Dollar $1 PCGS MS64,117165225254,"Jun 4, 2026",$110.00,$8.60,,,Fixed price,https://www.ebay.com/itm/117165225254,1
US Morgan Silver Dollar $1 - NGC MS64 - Pre 1921 Random Date and Label (1 Coin),375317223085,"May 8, 2026",$113.27,$0.00,,,Fixed price,https://www.ebay.com/itm/375317223085,21
1921 $1 Morgan Silver Dollar NGC MS64,277872609230,"May 8, 2026",$115.99,$0.00,,,Fixed price,https://www.ebay.com/itm/277872609230,1
1921 S Morgan Dollar MS64 PCGS RATTLER HOLDER,147288968732,"May 8, 2026",$331.20,$6.24,,,Auction,https://www.ebay.com/itm/147288968732,1
1921-D Morgan Silver Dollar MS64 PCGS CAC and SIGHT WHITE Brilliant Blast White,227335603481,"May 8, 2026",$375.00,$0.00,,,Fixed price,https://www.ebay.com/itm/227335603481,1
1921 P NGC MS64 - Toned Silver Morgan Dollar $1 US Coin #60758A,227335790597,"May 8, 2026",$119.95,$0.00,,,Fixed price,https://www.ebay.com/itm/227335790597,1
1921-D Morgan Silver Dollar NGC MS64,277946353662,"May 8, 2026",$264.00,$5.50,,,Auction,https://www.ebay.com/itm/277946353662,1
US Morgan Silver Dollar $1 - PCGS MS64 - Pre 1921 Random Date and Label,404867624931,"May 7, 2026",$110.51,$0.00,,,Fixed price,https://www.ebay.com/itm/404867624931,46
"1921 ""P"" Morgan SILVER Dollar $1 PCGS MS64 #801 Unc BU Uncirculated ECC&C, Inc.",198314833529,"May 7, 2026",$110.00,$0.00,,,Fixed price,https://www.ebay.com/itm/198314833529,1
1921 P Morgan Silver Dollar NGC MS64,198312897246,"May 6, 2026",$93.00,$0.00,,,Auction,https://www.ebay.com/itm/198312897246,1
"1921 ""S"" Morgan SILVER Dollar $1 PCGS MS64 #334 OGH Green BU Unc ECC&C, Inc.",198281792008,"May 6, 2026",$300.00,$0.00,,,Fixed price,https://www.ebay.com/itm/198281792008,1
1921 Morgan Dollar PCGS MS64 Philadelphia Silver $1 Business Strike Coin,358501073896,"May 6, 2026",$100.00,$5.89,,,Auction,https://www.ebay.com/itm/358501073896,1
1921 Morgan Silver Dollar MS64 ICG,137270578807,"May 5, 2026",$69.99,$5.99,,,Auction,https://www.ebay.com/itm/137270578807,1
1921 Morgan Silver Dollar MS64 ICG *3658,127831446169,"May 3, 2026",$74.00,$0.00,,,Auction,https://www.ebay.com/itm/127831446169,1
"NGC MS64 1921-D US Morgan Silver Dollar - ""Fantastic Eye Appeal"" **WOW FACTOR",287299571058,"May 3, 2026",$233.51,$0.00,,,Auction,https://www.ebay.com/itm/287299571058,1
