Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
Bulk Lot of 4 1916-1921-S Half Dollar Walking Statue of Liberty Silver Coin,287214157571,"Mar 25, 2026",$32.60,$12.49,,,Fixed price,https://www.ebay.com/itm/287214157571
[Removed] Item 287233940977,287233940977,"Mar 31, 2026",$33.71,$10.26,,,Fixed price,
1921-S Walking Liberty Half Dollar USA Silver 50c Coin,406776564452,"Mar 25, 2026",$26.81,$0.00,,,Fixed price,https://www.ebay.com/itm/406776564452
Bulk Lot of 4 1916-1921-S Half Dollar Walking Statue of Liberty Silver Coin,298193254428,"Apr 5, 2026",$30.25,$9.99,,,Fixed price,https://www.ebay.com/itm/298193254428
,,"Mar 30, 2026",$26.74,$0.00,,,Fixed price,
1921-S Walking Liberty Half Dollar USA Silver 50c Coin,147239831426,"Apr 5, 2026",$14.00,$9.99,,,Fixed price,https://www.ebay.com/itm/147239831426
[Removed] Item 157788916138,157788916138,"Mar 30, 2026",$15.99,$8.99,,,Fixed price,
1921–1945 Walking Liberty Half Dollars – 90% Silver(37818-2),267624531320,"Mar 31, 2026",$27.80,$0.00,,,Fixed price,https://www.ebay.com/itm/267624531320
1921-D Walking Liberty Half Dollar - KEY DATE,358307669803,"Mar 18, 2026",$32.98,$0.00,,,Fixed price,https://www.ebay.com/itm/358307669803
Bulk Lot of 4 1916-1921-S Half Dollar Walking Statue of Liberty Silver Coin,287203348607,"Mar 15, 2026",$28.67,$9.99,,,Fixed price,https://www.ebay.com/itm/287203348607
[Removed] Item 298186436294,298186436294,"Apr 3, 2026",$31.33,$9.99,,,Fixed price,
[Removed] Item 298162221312,298162221312,"Apr 1, 2026",$33.99,$9.99,,,Fixed price,
1921 S Walking Liberty Half Dollar - Very Good Details - Improperly Cleaned,317936571055,"Mar 27, 2026",$65.00,$0.00,,,Fixed price,https://www.ebay.com/itm/317936571055
1 OZ Walking Liberty Half Dollar Round .999 Pure Copper Bullion (BU) Restrike,325730999903,"Mar 8, 2026",$8.81,$0.00,,,Fixed price,https://www.ebay.com/itm/325730999903
Bulk Lot of 4 1916-1921-S Half Dollar Walking Statue of Liberty Silver Coin,389751603268,"Mar 19, 2026",$29.99,$9.99,,,Fixed price,https://www.ebay.com/itm/389751603268
[Removed] Item 406802948410,406802948410,"Mar 28, 2026",$34.89,$9.99,,,Fixed price,
1921-S U.S. Mint Walking Liberty Half Dollar **AG/G KEY-DATE,116965620943,"Mar 14, 2026",$34.00,$5.99,,,Fixed price,https://www.ebay.com/itm/116965620943
1921 Walking Liberty Silver Half Dollar (cn16403),117066844336,"Mar 8, 2026",$125.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117066844336
1921-S Walking Liberty Half Dollar Circulated,117067185314,"Mar 11, 2026",$44.89,$5.00,,,Auction,https://www.ebay.com/itm/117067185314
1921-S Walking Liberty Silver Half Dollar Key Date (cn16547),117071957301,"Apr 4, 2026",$68.00,$5.00,,,Fixed price,https://www.ebay.com/itm/117071957301
1921-P Walking Liberty Half Dollar G (Key Date),117075087678,"Mar 8, 2026",$134.91,$10.50,,,Fixed price,https://www.ebay.com/itm/117075087678
1921-D 50C Walking Liberty Silver Half Dollar Circulated,117075091351,"Mar 8, 2026",$299.91,$10.50,,,Fixed price,https://www.ebay.com/itm/117075091351
1921-D Walking Liberty Half Dollar NGC VG-08 VaultBox VG-8 Rare Key Date,117089559483,"Mar 20, 2026",$363.00,$6.99,,,Auction,https://www.ebay.com/itm/117089559483
1921-S WALKING LIBERTY silver U.S. half dollar. AG. #q1,117092501024,"Mar 25, 2026",$57.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117092501024
1921 S Liberty Walking Silver Half Dollar PCGS G6 Mintage548k Semi Key Date Rare,117096930725,"Mar 26, 2026",$103.00,$4.99,,,Auction,https://www.ebay.com/itm/117096930725
"1921-S Walking Liberty Half Dollar, PCGS VF20, Key Date Collector Coin.",117109981837,"Apr 1, 2026","$1,100.00",$15.95,,,Fixed price,https://www.ebay.com/itm/117109981837
1921 Walking Liberty Half Dollar Fine Condition,117110187648,"Mar 27, 2026",$482.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117110187648
1921 Walking Liberty Half Dollar 50c PCGS VF20 CAC,127628785222,"Mar 16, 2026","$1,349.99",$0.00,,,Fixed price,https://www.ebay.com/itm/127628785222
1921-S WALKING LIBERTY HALF DOLLAR ** KEY DATE,127713117172,"Mar 6, 2026",$41.00,$3.99,,,Auction,https://www.ebay.com/itm/127713117172
1921-S walking Liberty half dollar #P30874,127714792162,"Mar 12, 2026",$70.00,$4.25,,,Auction,https://www.ebay.com/itm/127714792162
1921-P Walking Liberty Silver Half Dollar,127734202459,"Mar 18, 2026",$203.50,$5.20,,,Auction,https://www.ebay.com/itm/127734202459
1921-d Walking Liberty Half Dollar,127736828916,"Mar 14, 2026",$135.00,$4.95,,,Fixed price,https://www.ebay.com/itm/127736828916
1921 P Walking Liberty Half Dollar *Extremely Rare Key Date* only 246K minted,127743121591,"Mar 26, 2026",$94.99,$4.88,,,Fixed price,https://www.ebay.com/itm/127743121591
Walking Liberty Half Dollars Lot of 20 1916-1923 Incl. 1921's,127755880173,"Mar 23, 2026",$574.00,$0.00,,,Auction,https://www.ebay.com/itm/127755880173
1921 Walking Liberty Half Dollar VG Details (Cleaned),127760370675,"Mar 21, 2026",$139.03,$0.00,,,Fixed price,https://www.ebay.com/itm/127760370675
"1921-S Walking Liberty Half Dollar - G+ Details - Better Date - Mintage 548,000",127762138317,"Mar 28, 2026",$47.52,$0.00,,,Auction,https://www.ebay.com/itm/127762138317
1921-S Walking Liberty Half Dollar *5973,134928870328,"Mar 18, 2026",$55.55,$0.00,,,Fixed price,https://www.ebay.com/itm/134928870328
1921-D Walking Liberty Silver Half Dollar VG E348 QANMT,136995675483,"Mar 27, 2026",$350.00,$0.00,,,Fixed price,https://www.ebay.com/itm/136995675483
Better 1921-S Walking Liberty Silver Half Dollar VG,137111235252,"Mar 20, 2026",$110.00,$7.45,,,Fixed price,https://www.ebay.com/itm/137111235252
1921-P Key Walking Liberty Half,137131572225,"Mar 27, 2026",$85.00,$5.20,,,Fixed price,https://www.ebay.com/itm/137131572225
1921 Walking Liberty Silver Half Dollar GOOD+ E396 AIKFM,137146344990,"Mar 28, 2026",$110.56,$0.00,,,Fixed price,https://www.ebay.com/itm/137146344990
1921-D US 50C Walking Liberty Half Dollar 90% Silver Key Date Circulated,137158081329,"Mar 30, 2026",$150.00,$9.00,,,Fixed price,https://www.ebay.com/itm/137158081329
1921 Walking Liberty Silver Half Dollar SHARP DATE KEY DATE E380 ATPJ,137168607827,"Mar 30, 2026",$120.00,$0.00,,,Fixed price,https://www.ebay.com/itm/137168607827
"1921 Walking Liberty Half Dollar, PCGS Good-6, Certified Semi Key Date",137168821461,"Mar 26, 2026",$185.00,$8.95,,,Fixed price,https://www.ebay.com/itm/137168821461
1921-D Walking Liberty Half Nice G+ Key Date Nice Strike,145656883993,"Mar 14, 2026",$261.00,$0.00,,,Fixed price,https://www.ebay.com/itm/145656883993
1921-S Walking Liberty Half Dollar,146196378922,"Mar 14, 2026",$225.00,$0.00,,,Fixed price,https://www.ebay.com/itm/146196378922
1921- S WALKING LIBERTY HALF DOLLAR.,146535293583,"Mar 7, 2026",$228.00,$5.25,,,Fixed price,https://www.ebay.com/itm/146535293583
1921 Walking Liberty Silver Half Dollar VG E287 UJPH,147047903794,"Mar 8, 2026",$128.00,$0.00,,,Fixed price,https://www.ebay.com/itm/147047903794
1921-D Walking Liberty Half PCGS G6 Key Date Great Eye Appeal Nice Strike,147157183343,"Mar 10, 2026",$361.00,$0.00,,,Fixed price,https://www.ebay.com/itm/147157183343
1921 S 50C Walking Liberty VG08 PCGS Graded Half Dollar Gold Shield Coin 6585,147162298995,"Mar 27, 2026",$165.82,$0.00,,,Fixed price,https://www.ebay.com/itm/147162298995
