Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
(1) VG-XF Peace Silver Dollar 1922-1925 P/D/S 90% Bullion Bulk Lot,362562818349,"Dec 27, 2025",$53.03,$0.00,,,Fixed price,https://www.ebay.com/itm/362562818349
(1) Choice AU/UNC 1922-D Peace Silver Dollar - 90% Silver,133256287458,"Jan 22, 2026",$50.42,$0.00,,,Fixed price,https://www.ebay.com/itm/133256287458
1922 D US Peace Silver Dollar $1 - AU,406706329286,"Mar 30, 2026",$75.59,$0.00,,,Fixed price,https://www.ebay.com/itm/406706329286
(1) BU 1922-D Peace Silver Dollar $1 Unc MS 90% - Denver Mint,134712794160,"Feb 1, 2026",$76.02,$0.00,,,Fixed price,https://www.ebay.com/itm/134712794160
1922-D Peace US Silver Dollar - 90% Denver Minted,134841000379,"Jan 26, 2026",$55.29,$0.00,,,Fixed price,https://www.ebay.com/itm/134841000379
1922 D US Peace Silver Dollar $1 - NGC Brilliant Uncirculated,305707297013,"Feb 4, 2026",$86.70,$0.00,,,Fixed price,https://www.ebay.com/itm/305707297013
AU / UNC 1922-D PEACE SILVER DOLLAR LOWEST PRICES ON THE BAY,324810344989,"Jan 13, 2026",$83.46,$0.00,,,Fixed price,https://www.ebay.com/itm/324810344989
1922 D Peace Dollar Borderline Uncirculated Silver $1 Coin,365885584424,"Apr 8, 2026",$80.19,$0.00,,,Fixed price,https://www.ebay.com/itm/365885584424
(1) XF 1922-D Peace Silver Dollar 90% - Extra Fine - Denver Mint,136592475278,"Dec 26, 2025",$58.95,$0.00,,,Fixed price,https://www.ebay.com/itm/136592475278
* 1922-D * CHOICE to GEM BU MS PEACE SILVER DOLLAR * FROM ORIGINAL BANK BAG *,154340362279,"Feb 16, 2026",$269.95,$0.00,,,Fixed price,https://www.ebay.com/itm/154340362279
,,"Dec 29, 2025",$57.95,$0.00,,,Fixed price,
,,"Dec 21, 2025",$47.50,$0.00,,,Fixed price,
,,"Oct 15, 2025",$65.23,$0.00,,,Fixed price,
1922-D Peace Silver Dollar MS63 ICG,136533825905,"Nov 30, 2025",$120.00,$0.00,,,Fixed price,https://www.ebay.com/itm/136533825905
1922-D Peace Silver Dollar BU NGC Brown Label,136533826504,"Feb 7, 2026",$109.95,$0.00,,,Fixed price,https://www.ebay.com/itm/136533826504
1922-D $1 SILVER Peace Dollar PCGS XF40 🌟🌟🌟 Denver Mint 💯 Plus Years Old,187820504977,"Jan 13, 2026",$63.57,$4.67,,,Fixed price,https://www.ebay.com/itm/187820504977
1922-D Peace Dollar --- Almost Uncirculated +++,225875275170,"Dec 23, 2025",$49.99,$0.00,,,Fixed price,https://www.ebay.com/itm/225875275170
,,"Dec 17, 2025",$34.17,$5.99,,,Fixed price,
1922 p and d peace dollar,276636826453,"Jan 26, 2026",$75.00,$5.00,,,Fixed price,https://www.ebay.com/itm/276636826453
,,"Dec 12, 2025",$32.00,$6.22,,,Fixed price,
,,"Jan 2, 2026",$300.00,$0.00,,,Fixed price,
1922 D DENVER PEACE $1 DOLLARS FLORIDA HOARD 20 COIN ROLL PLEASE READ*,335518631603,"Jan 20, 2026","$1,490.00",$6.95,,,Fixed price,https://www.ebay.com/itm/335518631603
1922-D BU Peace Silver Dollar $1 NGC 100th Anniversary Lbl MS,365020401630,"Mar 22, 2026",$85.23,$0.00,,,Fixed price,https://www.ebay.com/itm/365020401630
1922-D PEACE Silver DOLLAR. VAM 2Bp R-6 pretty toning DIE BREAKS,365904270585,"Jan 25, 2026",$72.50,$0.00,,,Fixed price,https://www.ebay.com/itm/365904270585
(1) 1922-D Choice AU Peace Silver Dollar 90% - CH AU Almost Unc - Denver,365940405178,"Jan 6, 2026",$63.95,$0.00,,,Fixed price,https://www.ebay.com/itm/365940405178
,,"Dec 9, 2025",$43.99,$0.00,,,Fixed price,
,,"Dec 5, 2025",$34.00,$6.00,,,Fixed price,
,,"Oct 13, 2025",$30.00,$5.00,,,Fixed price,
