Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
1925-P-D-S Buffalo Indian Head Nickel year set Philadelphia Denver San Francisco,226423609209,"Jun 15, 2026",$29.50,$2.50,,,Fixed price,https://www.ebay.com/itm/226423609209,3
1925-D & 1929-D LOT OF 2 BUFFALO NICKELS VG,117217971321,"Jun 14, 2026",$13.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117217971321,1
1925 D Buffalo Nickel Key Date,127922622183,"Jun 14, 2026",$16.00,$5.50,,,Fixed price,https://www.ebay.com/itm/127922622183,1
1925 D Buffalo Nickel Key Date,126581258775,"Jun 7, 2026",$8.00,$1.32,,,Fixed price,https://www.ebay.com/itm/126581258775,1
1913-D+1916-S+1925-D Buffalo Nickel Se/Lot ~ Semi-Key Dates ~ 3 Coins ~ ZBL70,127890381046,"Jun 6, 2026",$7.03,$1.22,,,Auction,https://www.ebay.com/itm/127890381046,1
1925-D Buffalo Nickel AG / Weak Date / Cull / Album Hole Filler,226156283361,"Jun 1, 2026",$4.88,$0.00,,,Fixed price,https://www.ebay.com/itm/226156283361,2
"1925 D Buffalo Nickel F-VF ""Actual Coin Pictured""",127785352081,"May 28, 2026",$45.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127785352081,1
1925 D Buffalo Nickel,117178317859,"May 25, 2026",$10.00,$0.74,,,Fixed price,https://www.ebay.com/itm/117178317859,1
1925 D Buffalo Nickel Very Good - Fine,117206069722,"May 22, 2026",$30.00,$8.05,,,Fixed price,https://www.ebay.com/itm/117206069722,1
Lot of 4 Buffalo Nickels Vintage US Indian Head Coin Collection 1925 1929-D 1935,137310962420,"May 21, 2026",$4.00,$0.00,,,Auction,https://www.ebay.com/itm/137310962420,1
1925-D Buffalo Nickel Better Date 5(C) #041,115730581389,"May 17, 2026",$24.99,$3.99,,,Fixed price,https://www.ebay.com/itm/115730581389,1
"3 Buffalo Nickels - Weak To Partial Dates 1920-D, 1923, 1925",127844065476,"May 10, 2026",$3.25,$0.80,,,Auction,https://www.ebay.com/itm/127844065476,1
1925-D Better Date Buffalo Nickel receive coin pictured w/ die rotation #3824,127836870841,"May 8, 2026",$25.95,$0.00,,,Fixed price,https://www.ebay.com/itm/127836870841,1
1925-D Buffalo Nickel Low Grade Complete Your Album!,326135121142,"May 6, 2026",$4.78,$0.00,,,Fixed price,https://www.ebay.com/itm/326135121142,26
Dansco Album Replacement Page 2 For 7112 US Buffalo Nickels Coin 1925 - 1938-D,115875974555,"May 5, 2026",$19.56,$0.00,,,Fixed price,https://www.ebay.com/itm/115875974555,3
1925 P/D/S Date Set buffalo nickels,137208075048,"May 1, 2026",$6.84,$5.62,,,Fixed price,https://www.ebay.com/itm/137208075048,1
1925-D Indian Head Buffalo Nickel Average Circ,127448845084,"Apr 30, 2026",$15.85,$0.00,,,Fixed price,https://www.ebay.com/itm/127448845084,4
1925 D Buffalo Nickel GOOD PLUS OR BETTER REALLY NICE FOR THE PRICE Take a Look,137248724764,"Apr 29, 2026",$11.90,$0.00,,,Fixed price,https://www.ebay.com/itm/137248724764,2
1925 D Buffalo Nickel Key Date,126507997664,"Apr 24, 2026",$12.35,$1.32,,,Fixed price,https://www.ebay.com/itm/126507997664,1
1925-D Buffalo 🦬 Indian Head Nickel 5c Vg Very Good Tough Date,127811511120,"Apr 24, 2026",$22.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127811511120,1
1925-D Buffalo Nickel VG,115400358616,"Apr 23, 2026",$32.07,$0.00,,,Fixed price,https://www.ebay.com/itm/115400358616,1
1925-D Buffalo Nickel - Actual Coin Shown - Free Shipping & Tracking INV#119,358334237176,"Apr 21, 2026",$8.55,$0.00,,,Fixed price,https://www.ebay.com/itm/358334237176,3
1925 D US Buffalo Nickel Semi key Date Better Coin,126893557716,"Apr 21, 2026",$2.99,$0.74,,,Fixed price,https://www.ebay.com/itm/126893557716,1
1925-D Buffalo Nickel G / VG FREE SHIPPING,323764857426,"Apr 20, 2026",$14.44,$0.00,,,Fixed price,https://www.ebay.com/itm/323764857426,5
1925-D Indian Head Buffalo Nickel 5c - Better Date / Nice Coin - No Reserve!,137229100211,"Apr 20, 2026",$8.50,$1.00,,,Auction,https://www.ebay.com/itm/137229100211,1
1925-D Buffalo 🦬 Indian Head Nickel 5c Fine Tough Date,127736287864,"Apr 14, 2026",$43.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127736287864,1
"1925 D INDIAN HEAD ""BUFFALO"" NICKEL CULL **FREE SHIPPING**",157803255048,"Apr 9, 2026",$2.99,$0.00,,,Fixed price,https://www.ebay.com/itm/157803255048,2
"1925 D Buffalo Nickel G-VG ""Actual Coin Pictured- Not Cleaned or Chem. Treated""",127617026760,"Mar 28, 2026",$8.75,$0.00,,,Fixed price,https://www.ebay.com/itm/127617026760,1
1925-D Buffalo 🦬 Indian Head Nickel 5c Vg Very Good Tough Date,127763310874,"Mar 28, 2026",$19.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127763310874,1
1925 P/D/S Date Set buffalo nickels,136976747411,"Mar 26, 2026",$7.20,$5.07,,,Fixed price,https://www.ebay.com/itm/136976747411,1
,,"Mar 26, 2026",$7.20,$5.07,,,Fixed price,,1
