Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
1925 Peace Silver Dollar BU,386447781099,11/26/2025,$72.15,Free,Uncirculated,bullionshark,Auction,https://www.ebay.com/itm/386447781099
1925 Peace Dollar PCGS MS-65,271168412424,12/31/2025,$154.92,Free,Certified,legend_numismatics,Buy It Now,https://www.ebay.com/itm/271168412424
1925 Peace Dollar NGC MS-65,396377120400,12/4/2025,$142.20,Free,Certified,liberty_coin,Buy It Now,https://www.ebay.com/itm/396377120400
1925 Peace Dollar PCGS MS-63,338391701334,1/24/2026,$88.48,Free,Certified,sdbullion,Buy It Now,https://www.ebay.com/itm/338391701334
1925 Peace Silver Dollar BU,155857591712,1/30/2026,$78.88,Free,Uncirculated,mcm_online,Auction,https://www.ebay.com/itm/155857591712
1925 Peace Silver Dollar PCGS MS-64,209202632302,1/9/2026,$100.61,Free,Certified,govmint_official,Buy It Now,https://www.ebay.com/itm/209202632302
1925 Peace Silver Dollar BU,367703151612,2/16/2026,$73.22,$5.99,Uncirculated,pinehurst_coins,Best Offer,https://www.ebay.com/itm/367703151612
1925 Peace Silver Dollar PCGS MS-64,153380884877,11/22/2025,$89.77,Free,Certified,davidlawrence,Buy It Now,https://www.ebay.com/itm/153380884877
1925 Peace Dollar AU,347837076094,1/7/2026,$66.54,Free,Circulated,mcm_online,Buy It Now,https://www.ebay.com/itm/347837076094
1925 Peace Silver Dollar PCGS MS-64,349419231202,12/20/2025,$87.12,Free,Certified,goldeneaglecoin,Buy It Now,https://www.ebay.com/itm/349419231202
1925 Peace Dollar PCGS MS-63,333453476892,12/16/2025,$86.69,Free,Certified,pinehurst_coins,Buy It Now,https://www.ebay.com/itm/333453476892
1925 Peace Dollar PCGS MS-63,110147938260,1/8/2026,$89.62,$4.99,Certified,greatcollections,Auction,https://www.ebay.com/itm/110147938260
1925 Peace Dollar AU,288854759225,12/21/2025,$66.38,Free,Circulated,heritage_auctions_outlet,Buy It Now,https://www.ebay.com/itm/288854759225
1925 Peace Dollar PCGS MS-63,220017901252,12/10/2025,$89.83,Free,Certified,moderncoinmart,Buy It Now,https://www.ebay.com/itm/220017901252
1925 Peace Silver Dollar NGC MS-64,320032218739,11/24/2025,$84.46,Free,Certified,heritage_auctions_outlet,Buy It Now,https://www.ebay.com/itm/320032218739
1925 Peace Silver Dollar BU,166321819329,12/19/2025,$69.54,$4.99,Uncirculated,davidlawrence,Auction,https://www.ebay.com/itm/166321819329
1925 Peace Dollar AU,277334348970,12/5/2025,$72.75,Free,Circulated,boldpreciousmetals,Auction,https://www.ebay.com/itm/277334348970
1925 Peace Silver Dollar BU,177736187610,11/30/2025,$75.22,Free,Uncirculated,jmbullion,Buy It Now,https://www.ebay.com/itm/177736187610
1925 Peace Dollar PCGS MS-65,120617019440,11/28/2025,$142.25,$4.99,Certified,davidlawrence,Auction,https://www.ebay.com/itm/120617019440
1925 Peace Dollar PCGS MS-63,128219403237,2/13/2026,$85.49,Free,Certified,apmex,Best Offer,https://www.ebay.com/itm/128219403237
1925 Peace Silver Dollar BU,226700611549,2/18/2026,$76.09,Free,Uncirculated,goldeneaglecoin,Buy It Now,https://www.ebay.com/itm/226700611549
1925 Peace Silver Dollar BU,217534372740,2/19/2026,$75.27,Free,Uncirculated,govmint_official,Buy It Now,https://www.ebay.com/itm/217534372740
1925 Peace Dollar NGC MS-63,173098103736,1/8/2026,$82.99,$4.99,Certified,apmex,Auction,https://www.ebay.com/itm/173098103736
1925 Peace Silver Dollar BU,122268635636,12/17/2025,$79.05,Free,Uncirculated,davidlawrence,Buy It Now,https://www.ebay.com/itm/122268635636
1925 Peace Dollar AU,112321314828,12/31/2025,$73.24,Free,Circulated,rarecoinwholesalers,Buy It Now,https://www.ebay.com/itm/112321314828
