Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
(1) XF 1927-S Peace Silver Dollar 90% - Extra Fine - San Francisco,127431033486,"May 6, 2026",$80.90,$0.00,,,Fixed price,https://www.ebay.com/itm/127431033486,42
,,"Nov 15, 2025",$23.22,$0.00,,,Fixed price,,6
1927 S Silver Peace Dollar XF Rare Key Date High Grade AU 0624#20,116259420585,"Feb 17, 2026",$90.00,$5.00,,,Fixed price,https://www.ebay.com/itm/116259420585,1
,,"Jan 21, 2026","$2,597.00",$0.00,,,Fixed price,,1
1927-S PEACE SILVER DOLLAR $1 *ANACS AU55 ABOUT UNCIRCULATED* NICE ORIGINAL COIN,116472022832,"Mar 18, 2026",$169.95,$0.50,,,Fixed price,https://www.ebay.com/itm/116472022832,1
,,"Nov 16, 2025",$105.00,$0.00,,,Fixed price,,1
,,"Dec 29, 2025",$119.99,$5.50,,,Fixed price,,1
,,"Dec 19, 2025",$768.00,$15.95,,,Fixed price,,1
,,"Nov 22, 2025",$52.00,$5.00,,,Fixed price,,1
,,"Nov 27, 2025",$111.99,$8.99,,,Auction,,1
,,"Dec 24, 2025",$96.95,$5.00,,,Auction,,1
,,"Dec 29, 2025",$89.00,$0.00,,,Auction,,1
,,"Dec 31, 2025",$65.00,$5.00,,,Fixed price,,1
,,"Jan 12, 2026",$219.99,$4.99,,,Fixed price,,1
,,"Jan 16, 2026",$190.50,$7.00,,,Auction,,1
,,"Jan 13, 2026",$65.00,$4.76,,,Fixed price,,1
,,"Jan 13, 2026",$60.00,$4.00,,,Auction,,1
,,"Feb 3, 2026",$101.55,$2.12,,,Auction,,1
RARE DATE! 1927 S Peace Silver Dollar ~ from PEACE Set ~ 90% Silver $1,117036292622,"Feb 20, 2026",$78.50,$6.50,,,Auction,https://www.ebay.com/itm/117036292622,1
1927-S Peace Silver Dollar AU+ (cn16270),117040991588,"Mar 1, 2026",$145.00,$4.00,,,Fixed price,https://www.ebay.com/itm/117040991588,1
"1927-S Peace Dollar, Uncertified, NR",117054415372,"Mar 7, 2026",$72.00,$4.95,,,Auction,https://www.ebay.com/itm/117054415372,1
1927-S Peace Silver Dollar “Key Date” RARE,117139451765,"Apr 17, 2026",$56.00,$6.99,,,Auction,https://www.ebay.com/itm/117139451765,1
1927-S Peace Silver Dollar (cn16821),117153944178,"May 5, 2026",$80.00,$5.00,,,Fixed price,https://www.ebay.com/itm/117153944178,1
"1927-S Peace Dollar, Uncertified, NR",117162192223,"May 9, 2026",$50.00,$4.95,,,Auction,https://www.ebay.com/itm/117162192223,1
,,"Dec 1, 2025",$299.00,$0.00,,,Fixed price,,1
1927-S Silver Peace Dollar AU,127268252854,"Feb 12, 2026",$105.00,$5.00,,,Fixed price,https://www.ebay.com/itm/127268252854,1
,,"Dec 8, 2025",$6.00,$4.89,,,Fixed price,,1
,,"Jan 27, 2026",$175.00,$5.00,,,Fixed price,,1
,,"Nov 20, 2025",$41.00,$0.00,,,Auction,,1
,,"Dec 4, 2025",$47.00,$0.00,,,Auction,,1
,,"Dec 7, 2025",$53.68,$6.00,,,Auction,,1
,,"Dec 6, 2025",$44.99,$0.00,,,Auction,,1
,,"Dec 8, 2025",$68.00,$0.00,,,Fixed price,,1
,,"Dec 15, 2025",$84.00,$4.25,,,Auction,,1
,,"Dec 7, 2025",$62.00,$0.00,,,Fixed price,,1
,,"Dec 13, 2025",$47.00,$0.00,,,Auction,,1
,,"Dec 24, 2025",$53.00,$0.00,,,Auction,,1
,,"Dec 25, 2025",$129.99,$0.00,,,Fixed price,,1
,,"Feb 7, 2026",$179.00,$0.00,,,Fixed price,,1
,,"Jan 20, 2026",$74.11,$0.00,,,Auction,,1
,,"Jan 18, 2026",$79.00,$5.07,,,Auction,,1
,,"Jan 25, 2026",$111.50,$6.50,,,Auction,,1
,,"Jan 30, 2026",$83.00,$4.95,,,Auction,,1
,,"Feb 1, 2026",$86.00,$3.81,,,Auction,,1
,,"Feb 8, 2026",$90.00,$6.50,,,Auction,,1
1927-S Peace Silver Dollar Estate Coin Collection *910,127668194501,"Feb 10, 2026",$87.01,$0.00,,,Auction,https://www.ebay.com/itm/127668194501,1
US Coin 1927 S Peace Silver Dollar NO RESERVE!,127669826482,"Feb 11, 2026",$67.66,$7.00,,,Auction,https://www.ebay.com/itm/127669826482,1
RARE! 1927 S Peace Silver Dollar ~ FROM MS PEACE Set ~ 90% Silver $1,127686688590,"Feb 22, 2026",$99.00,$2.09,,,Auction,https://www.ebay.com/itm/127686688590,1
1927-S Peace Silver Dollar 90% Silver,127701612345,"Mar 2, 2026",$70.00,$5.89,,,Auction,https://www.ebay.com/itm/127701612345,1
1927-s Peace Dollar w/ High Relief,127707783843,"Mar 3, 2026",$96.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127707783843,1
